Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2022-04-28,420500,421000,412500,417500,358325,-0.0011961722488038617,-0.020383693045563533,-1934.2664049047144,43.07467982646648,425700.0,432475.0,434583.3333333333,450993.84175643825,413956.15824356175
2022-04-29,418000,426000,414000,417000,332582,-0.0011976047904191933,-0.002447980416156681,-2202.8521349936245,42.82122841605203,421800.0,431925.0,434033.3333333333,451562.40054080484,412287.59945919516
2022-05-02,412500,414500,407000,408500,365546,-0.020383693045563533,-0.014723926380368124,-2802.217230093832,38.657001185997565,416900.0,430425.0,432891.6666666667,452281.97829069704,408568.02170930296
2022-05-03,409500,415000,406500,407500,254850,-0.002447980416156681,0.0,-3092.4694157027575,38.18651050069691,413700.0,428350.0,431283.3333333333,450634.74814755603,406065.25185244397
2022-05-04,409500,410500,399500,401500,364195,-0.014723926380368124,-0.018679950186799466,-3485.8000747138303,35.402370050161906,410400.0,426200.0,428841.6666666667,450077.60456997313,402322.39543002687
2022-05-06,395000,401500,390000,401500,350875,0.0,-0.0012690355329949554,-3532.268454416936,35.402370050161906,407200.0,424450.0,426500.0,450114.9566529928,398785.0433470072
2022-05-09,397000,400000,390000,394000,289113,-0.018679950186799466,-0.0050825921219822545,-3829.476052359763,32.01816278074746,402600.0,422175.0,424550.0,450069.93681656226,394280.06318343774
2022-05-10,387500,398500,382000,393500,407928,-0.0012690355329949554,-0.008939974457215838,-3812.8102240026674,31.799917912843156,399600.0,420600.0,423200.0,451113.27579923207,390086.72420076793
2022-05-11,394000,398000,391500,391500,239355,-0.0050825921219822545,0.03221649484536093,-3687.3245930148078,30.892828739913142,396400.0,419625.0,421691.6666666667,452460.76556135097,386789.23443864903
2022-05-12,390000,395500,386000,388000,251570,-0.008939974457215838,0.0,-3587.53331916935,29.316802935009164,393700.0,417475.0,420441.6666666667,452601.16546109185,382348.83453890815
2022-05-13,390500,401500,390500,400500,228636,0.03221649484536093,0.019975031210986316,-2479.8186588702138,40.910961206575905,393500.0,415450.0,419591.6666666667,449573.15929101524,381326.84070898476
2022-05-16,407000,407500,397000,400500,200731,0.0,0.003671970624234966,-1590.4941689487814,40.910961206575905,394800.0,413725.0,418675.0,447202.56711590616,380247.43288409384
2022-05-17,400500,411000,399000,408500,230327,0.019975031210986316,0.013414634146341475,-370.5058977239232,47.32428042979963,397800.0,412500.0,417908.3333333333,444840.37723960564,380159.62276039436
2022-05-18,410000,413000,407500,410000,233063,0.003671970624234966,0.044524669073405576,578.8118675589803,48.45396488522403,401500.0,411225.0,417166.6666666667,441800.2759595069,380649.7240404931
2022-05-19,398500,417000,398500,415500,320709,0.013414634146341475,0.009216589861751112,1562.6652234901685,52.478305295641334,407000.0,410175.0,416541.6666666667,438570.9063951127,381779.0936048873
2022-05-20,421000,439000,418000,434000,881979,0.044524669073405576,0.0011415525114155667,3342.6575994061877,62.954971363828385,413700.0,410025.0,416441.6666666667,437879.0392043955,382170.9607956045
2022-05-23,438500,444000,432500,438000,361437,0.009216589861751112,-0.027366020524515422,4595.369629454091,64.76378323995621,421200.0,410100.0,416375.0,438245.33709160367,381954.66290839633
2022-05-24,438500,444000,436500,438500,350284,0.0011415525114155667,0.009378663540445586,5218.087718911089,64.9938755976228,427200.0,410375.0,416741.6666666667,439500.37553405965,381249.62446594035
2022-05-25,439000,439000,422000,426500,365195,-0.027366020524515422,0.0,4603.680025031394,55.60853015298664,430500.0,410525.0,416850.0,439948.5874767167,381101.4125232833
2022-05-26,426500,432500,424500,430500,162583,0.009378663540445586,0.020905923344947785,4256.664026916083,57.79625283094338,433500.0,411150.0,417158.3333333333,441691.9383798737,380608.0616201263
2022-05-27,434500,437000,427500,430500,214801,0.0,0.010238907849829282,3830.4626618832795,57.79625283094338,432800.0,411800.0,417100.0,443390.18835018243,380209.81164981757
2022-05-30,434500,440000,432000,439500,229834,0.020905923344947785,-0.007882882882882858,3942.600197891107,62.605257271139635,433100.0,412925.0,417141.6666666667,446702.61832930206,379147.38167069794
2022-05-31,441500,444000,436000,444000,345830,0.010238907849829282,-0.006810442678774176,4090.1142222409944,64.76702096409073,434200.0,414700.0,417400.0,450997.93382549484,378402.06617450516
2022-06-02,440500,442000,438000,440500,153596,-0.007882882882882858,-0.012571428571428567,3732.205107016637,61.77574898696316,437000.0,416350.0,417841.6666666667,454157.53893074766,378542.46106925234
2022-06-03,443500,444000,437500,437500,154981,-0.006810442678774176,-0.01504629629629628,3099.6711283397644,59.24978779566455,438400.0,418150.0,418291.6666666667,456383.6239454227,379916.3760545773
2022-06-07,436500,439500,432000,432000,180249,-0.012571428571428567,-0.007050528789659172,2161.5571449489717,54.82385945763407,438700.0,419675.0,418533.3333333333,457562.0360413691,381787.9639586309
2022-06-08,432500,434500,422500,425500,215828,-0.01504629629629628,0.00591715976331364,1012.3447300521593,50.06415667751056,435900.0,421250.0,419108.3333333333,457311.7525919082,385188.2474080918
2022-06-09,426000,426000,419000,422500,208712,-0.007050528789659172,-0.02352941176470591,12.118006661761683,47.99314741113738,431600.0,422700.0,420091.6666666667,456439.2945984352,388960.7054015648
2022-06-10,418000,426000,412500,425000,285077,0.00591715976331364,0.027710843373494054,-491.32430237974495,49.85475579064727,428500.0,424375.0,421183.3333333333,454928.02767321107,393821.97232678893
2022-06-13,414000,420500,413500,415000,267003,-0.02352941176470591,-0.015240328253223967,-1453.6014573329167,43.19436751668038,424000.0,425725.0,422041.6666666667,451785.4585531414,399664.5414468586
2022-06-14,411000,432500,410500,426500,417106,0.027710843373494054,0.016666666666666607,-1277.6304222107524,51.25876630160943,422900.0,427025.0,422883.3333333333,450375.53532576934,403674.46467423066
2022-06-15,426000,427500,417000,420000,275832,-0.015240328253223967,-0.003512880562060894,-1543.258136068397,47.181642914097345,421800.0,428000.0,423516.6666666667,448263.2672587616,407736.7327412384
2022-06-16,424500,439500,424500,427000,365836,0.016666666666666607,-0.03290246768507643,-1206.690887908113,51.64250566995495,422700.0,428925.0,424200.0,447127.4036874255,410722.5963125745
2022-06-17,419500,430000,417000,425500,1211937,-0.003512880562060894,0.0036452004860267895,-1050.0227651378696,50.655235055166045,422800.0,429700.0,424666.6666666667,445813.34850364755,413586.65149635245
2022-06-20,426500,427000,408500,411500,285056,-0.03290246768507643,-0.029055690072639195,-1809.6523142554124,42.49049826419308,422100.0,429500.0,424741.6666666667,446393.78583976964,412606.21416023036
2022-06-21,414500,416500,406000,413000,204026,0.0036452004860267895,-0.0024937655860348684,-2110.4801034305174,43.54053031420366,419400.0,428450.0,424825.0,446654.1204126978,410245.8795873022
2022-06-22,415000,416500,401000,401000,210875,-0.029055690072639195,0.012499999999999956,-2964.698198614366,37.6224047884479,415600.0,426600.0,424191.6666666667,447816.9743366013,405383.0256633987
2022-06-23,401000,404500,391000,400000,298719,-0.0024937655860348684,0.01728395061728394,-3412.2396436889776,37.16901168590857,410200.0,424675.0,423583.3333333333,448095.66395301383,401254.33604698617
