Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,132500,135000,131500,133500,591584,0.003759398496240518,-0.022140221402214055,741.7844702835687,63.2364333740002,133000.0,127175.0,122533.33333333333,138516.40643835676,115833.59356164325
2020-02-17,133500,136000,132500,135500,555451,0.014981273408239737,-0.007547169811320753,728.1445682044114,65.82201115923996,134100.0,128025.0,122691.66666666667,139185.08512512338,116864.91487487663
2020-02-18,134000,134500,131000,132500,744150,-0.022140221402214055,-0.011406844106463865,463.2643149746673,59.10688766508078,134100.0,128725.0,122816.66666666667,139138.81294243372,118311.18705756629
2020-02-19,133000,134000,130500,131500,776121,-0.007547169811320753,-0.01538461538461533,181.37639209911686,57.01872750482833,133200.0,129400.0,122933.33333333333,138628.21759604747,120171.78240395254
2020-02-20,132500,133000,129000,130000,711858,-0.011406844106463865,-0.04296875,-128.71680329736728,53.9403933195252,132600.0,130050.0,123025.0,137315.67271489708,122784.32728510292
2020-02-21,128000,129500,127000,128000,686417,-0.01538461538461533,0.0,-471.8483796530372,50.05969515717309,131500.0,130100.0,123100.0,137294.442299442,122905.55770055803
2020-02-24,124500,125000,122000,122500,911932,-0.04296875,0.0,-1039.98663436298,41.267099891003255,128900.0,129700.0,123058.33333333333,137614.54357496375,121785.45642503625
2020-02-25,122500,124500,122000,122500,796176,0.0,-0.01224489795918371,-1366.0044789412732,41.267099891003255,126900.0,129275.0,123058.33333333333,137757.1872179291,120792.81278207089
2020-02-26,121000,124000,120000,122500,1001834,0.0,-0.04958677685950408,-1520.0621464473268,41.267099891003255,125100.0,128850.0,123041.66666666667,137783.64427319556,119916.35572680444
2020-02-27,122500,123500,120000,121000,779402,-0.01224489795918371,-0.013043478260869601,-1650.5245155056277,38.93750896719523,123300.0,128525.0,122991.66666666667,138082.58860801195,118967.41139198805
2020-02-28,118500,119000,114000,115000,1777353,-0.04958677685950408,-0.008810572687224627,-2042.7763635907518,31.320999254242594,120700.0,128025.0,122891.66666666667,139180.60397289184,116869.39602710817
2020-03-02,116000,116000,113000,113500,1183337,-0.013043478260869601,0.004444444444444473,-2286.714907659524,29.754037370465,118900.0,127525.0,122758.33333333333,140235.13375224668,114814.86624775334
2020-03-03,116000,116500,112000,112500,1414986,-0.008810572687224627,0.008849557522123908,-2387.7851667693476,28.722377280458872,116900.0,126950.0,122608.33333333333,141193.94608245904,112706.05391754096
