Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,67200,67600,66700,67000,354348,-0.0014903129657227732,0.028358208955223896,166.48525608434534,44.940523578626916,67240.0,67635.0,69630.0,71143.43269851373,64126.56730148627
2020-02-17,66900,67300,66000,67000,560384,0.0,-0.0014513788098693414,165.41754080378655,44.94052357862692,67240.0,67490.0,69555.0,70848.51157508805,64131.48842491196
2020-02-18,67900,70000,67700,68900,1338368,0.028358208955223896,-0.023255813953488413,284.7523214187256,55.498857816505705,67580.0,67475.0,69505.0,70805.39036750955,64144.60963249045
2020-02-19,69300,69400,68000,68800,636116,-0.0014513788098693414,-0.016369047619047672,345.0129917104741,54.90212004747063,67760.0,67355.0,69470.0,70289.26311022042,64420.73688977958
2020-02-20,68700,69000,66700,67200,677402,-0.023255813953488413,-0.04236006051437213,268.57534007106085,46.320364902756154,67780.0,67210.0,69416.66666666667,69860.20753904301,64559.79246095699
2020-02-21,66000,67000,65800,66100,531902,-0.016369047619047672,-0.004739336492891044,141.7615109195532,41.515762950946716,67600.0,66995.0,69350.0,69242.1982556064,64747.801744393604
2020-02-24,64800,65000,63100,63300,874557,-0.04236006051437213,0.004761904761904745,-118.79247152258813,32.32463024518543,66860.0,66710.0,69215.0,69289.06959968134,64130.930400318655
2020-02-25,62200,63500,62100,63000,956415,-0.004739336492891044,-0.014218009478673022,-289.69860914930973,31.51946909125722,65680.0,66505.0,69083.33333333333,69539.122607938,63470.877392062
2020-02-26,62100,63700,61500,63300,607215,0.004761904761904745,-0.03205128205128205,-356.5051522488304,33.308446134099626,64580.0,66310.0,68946.66666666667,69628.37309535871,62991.62690464129
2020-02-27,63000,63600,62000,62400,524379,-0.014218009478673022,-0.004966887417218513,-430.33062608677596,30.716008232359044,63620.0,66070.0,68803.33333333333,69768.70247519323,62371.29752480677
2020-02-28,61400,61700,60000,60400,932828,-0.03205128205128205,0.0016638935108153063,-573.9039960585187,25.89308868205491,62480.0,65795.0,68645.0,70244.93258375906,61345.06741624094
2020-03-02,60300,61200,59600,60100,711979,-0.004966887417218513,0.006644518272425293,-643.8695710020932,25.25257723920052,61840.0,65555.0,68475.0,70643.99793672591,60466.002063274085
2020-03-03,61500,61700,60000,60200,587763,0.0016638935108153063,0.014851485148514865,-637.0369204699834,25.910482304997345,61280.0,65310.0,68303.33333333333,70909.24994977012,59710.750050229886
2020-03-04,60100,61200,60100,60600,520867,0.006644518272425293,-0.019512195121951237,-561.8295737235412,28.616973624558213,60740.0,65080.0,68146.66666666667,71044.42788538856,59115.57211461144
2020-03-05,61300,61900,60800,61500,573595,0.014851485148514865,-0.041459369817578806,-414.51943026485014,34.42164442389132,60560.0,64815.0,68005.0,70919.51472272782,58710.48527727218
2020-03-06,60900,61100,60200,60300,542438,-0.019512195121951237,0.03806228373702414,-362.8112122156522,30.822688148094656,60540.0,64465.0,67840.0,70759.21162656618,58170.78837343383
2020-03-09,59000,59300,57500,57800,1001568,-0.041459369817578806,-0.01666666666666672,-455.871101951127,24.966160908463294,60080.0,64005.0,67651.66666666667,70814.54477186257,57195.455228137434
2020-03-10,58800,61400,58400,60000,1500440,0.03806228373702414,-0.05932203389830504,-333.80844143001764,36.41567544998615,60040.0,63645.0,67465.0,70501.95996779921,56788.0400322008
2020-03-11,60000,61000,58100,59000,938290,-0.01666666666666672,-0.05405405405405406,-286.765567643929,33.88465867677266,59720.0,63200.0,67261.66666666667,70049.81751581754,56350.18248418246
2020-03-12,58900,58900,55000,55500,1649095,-0.05932203389830504,-0.040000000000000036,-448.10027079588394,26.85050516399494,58520.0,62620.0,66991.66666666667,69994.984745747,55245.015254253
2020-03-13,51100,54500,50600,52500,1968749,-0.05405405405405406,-0.018849206349206393,-698.6544274285789,22.532726584543866,56960.0,61895.0,66663.33333333333,70197.64415713458,53592.355842865414
2020-03-16,53100,54200,50400,50400,948845,-0.040000000000000036,-0.029322548028311468,-932.9668739238882,20.096533123527678,55480.0,61065.0,66303.33333333333,70413.42767528322,51716.572324716784
2020-03-17,48000,52000,48000,49450,1004008,-0.018849206349206393,-0.09062499999999996,-1069.29955191527,19.090957513103433,53370.0,60092.5,65920.83333333333,70007.85551556278,50177.144484437216
2020-03-18,50200,50800,47700,48000,886739,-0.029322548028311468,0.03321878579610549,-1166.545306865517,17.640103246968053,51170.0,59052.5,65512.5,69448.14692551654,48656.853074483464
2020-03-19,48900,49600,43650,43650,1601945,-0.09062499999999996,-0.07206208425720617,-1416.6067848766552,14.16274488035269,48800.0,57875.0,65031.666666666664,69566.64231406356,46183.35768593644
2020-03-20,44600,45700,43550,45100,1539670,0.03321878579610549,0.06093189964157708,-1375.970378130215,19.83549765521228,47320.0,56825.0,64575.0,69129.24723418713,44520.75276581287
2020-03-23,42350,42850,41600,41850,1186795,-0.07206208425720617,0.0923423423423424,-1452.0673016828182,17.10662964248155,45610.0,55752.5,64064.166666666664,69289.79939832911,42215.20060167089
2020-03-24,42700,44450,42200,44400,1316623,0.06093189964157708,0.010309278350515427,-1223.8892834436174,25.73920764487596,44600.0,54822.5,63605.833333333336,68789.22742627999,40855.77257372
2020-03-25,48400,48850,46800,48500,1506779,0.0923423423423424,0.008163265306122547,-715.2522250752063,37.08430155477981,44700.0,54082.5,63225.833333333336,67739.01035220939,40425.98964779062
2020-03-26,49450,51300,48600,49000,1377158,0.010309278350515427,-0.018218623481781382,-285.60585407286817,38.32181781159,45770.0,53412.5,62845.833333333336,66680.31349733264,40144.68650266736
2020-03-27,51300,51500,48000,49400,1110394,0.008163265306122547,-0.006185567010309256,66.27709879920803,39.34959800660468,46630.0,52862.5,62467.5,65834.77331657802,39890.22668342198
