Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,211500,213500,210000,211500,65672,0.0023696682464455776,-0.026004728132387744,629.313109880608,35.88671910101351,212300.0,216300.0,231208.33333333334,232207.23106011853,200392.76893988147
2020-02-17,211500,213000,210000,211500,98359,0.0,-0.009708737864077666,731.1093346655634,35.886719101013526,212100.0,215300.0,230850.0,229702.77750991107,200897.22249008893
2020-02-18,209000,209500,206000,206000,115559,-0.026004728132387744,0.004901960784313708,461.482453613713,29.523565879934907,210600.0,214250.0,230391.66666666666,228140.64433350737,200359.35566649263
2020-02-19,207500,208500,203000,204000,120651,-0.009708737864077666,0.004878048780487809,195.49906362849106,27.606644761374113,208800.0,213050.0,229841.66666666666,226103.35205991167,199996.64794008833
2020-02-20,206500,208000,204000,205000,233276,0.004901960784313708,-0.016990291262135915,136.7500416189423,30.05212764679014,207600.0,211900.0,229358.33333333334,223448.16002660163,200351.83997339837
2020-02-21,205000,208000,204500,206000,118751,0.004878048780487809,0.004938271604938205,210.65954646507635,32.50743868039278,206500.0,210850.0,228866.66666666666,220353.1573700534,201346.8426299466
2020-02-24,206000,207500,202500,202500,216885,-0.016990291262135915,-0.017199017199017175,76.1827646499869,28.70901792166258,204700.0,209725.0,228291.66666666666,217415.74118664776,202034.25881335224
2020-02-25,204500,204500,200500,203500,143368,0.004938271604938205,0.010000000000000009,105.14884183263621,31.18319876226998,204200.0,209025.0,227783.33333333334,216294.6286012423,201755.3713987577
2020-02-26,200000,203000,199500,200000,137971,-0.017199017199017175,-0.01980198019801982,-52.379855668809796,27.57592091536938,203400.0,208325.0,227141.66666666666,216213.44091059826,200436.55908940174
2020-02-27,200000,204500,199500,202000,140617,0.010000000000000009,-0.002525252525252486,32.57458497232619,32.388999256735744,202800.0,207900.0,226508.33333333334,216180.09661779378,199619.90338220622
2020-02-28,202000,205000,197000,198000,220401,-0.01980198019801982,-0.005063291139240533,-117.92092021106873,28.333414000462255,201200.0,207250.0,225933.33333333334,216445.1073946964,198054.8926053036
2020-03-02,200500,201500,196000,197500,130885,-0.002525252525252486,-0.022900763358778664,-184.47207795814847,27.863746815532565,200200.0,206625.0,225316.66666666666,216649.34536515977,196600.65463484023
2020-03-03,198000,199000,194000,196500,133050,-0.005063291139240533,0.02604166666666674,-226.40820607296882,26.903218380321732,198800.0,206225.0,224716.66666666666,217154.20399663216,195295.79600336784
