Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2021-12-17,90000,93400,89700,91500,1686560,-0.043887147335423204,0.02285092491838947,-1915.4557040039167,26.539239605390293,98620.0,107180.0,107590.0,118941.39447514624,95418.60552485376
2021-12-20,92100,93400,91600,91900,462510,0.004371584699453646,-0.013829787234042601,-2016.5752869675011,27.466061786138795,95800.0,106325.0,107470.0,119794.94803256495,92855.05196743505
2021-12-21,92200,94900,91300,94000,411144,0.02285092491838947,-0.004314994606256728,-1821.9885724745072,32.29556131457399,94400.0,105475.0,107383.33333333333,119777.42986348824,91172.57013651176
2021-12-22,94500,95000,92100,92700,313539,-0.013829787234042601,0.004333694474539573,-1665.08681310472,30.922941058569464,93160.0,104485.0,107311.66666666667,119431.87592776498,89538.12407223502
2021-12-23,92700,92800,91500,92300,214082,-0.004314994606256728,0.0,-1478.7993359258885,30.493487714668575,92480.0,103400.0,107183.33333333333,118575.242996407,88224.757003593
2021-12-24,93000,93600,92200,92700,220253,0.004333694474539573,0.0,-1229.4343436284262,31.517719138136925,92720.0,102460.0,106936.66666666667,117839.51884813045,87080.48115186955
2021-12-27,92700,93200,92300,92700,191739,0.0,0.010787486515641875,-976.3306477904212,31.517719138136925,92880.0,101670.0,106556.66666666667,117347.64012853974,85992.35987146026
2021-12-28,92800,93500,92400,92700,217210,0.0,0.016008537886873064,-731.9264639361022,31.517719138136925,92620.0,100980.0,106210.0,116958.43546784227,85001.56453215773
2021-12-29,93500,95000,92800,93700,258296,0.010787486515641875,0.025210084033613356,-440.30116454951576,34.53008975832542,92820.0,100265.0,106030.0,116202.66294034354,84327.33705965646
2021-12-30,94400,95300,92900,95200,232685,0.016008537886873064,0.03995901639344268,-101.45369752753868,38.87354489229173,93400.0,99350.0,105833.33333333333,114207.92717709976,84492.07282290024
2022-01-03,96000,97700,94900,97600,225810,0.025210084033613356,0.024630541871921263,306.8958961172398,45.14430234658716,94380.0,98680.0,105635.0,112551.92848885834,84808.07151114166
2022-01-04,98100,102000,96400,101500,425113,0.03995901639344268,0.06730769230769229,832.4287336852694,53.493463414325625,96140.0,98130.0,105585.0,110564.32346370317,85695.67653629683
2022-01-05,102000,105000,101500,104000,488265,0.024630541871921263,0.009009009009008917,1312.618455768712,57.91532513992591,98400.0,97830.0,105635.0,109361.01903562731,86298.98096437269
2022-01-06,102500,112500,100500,111000,845951,0.06730769230769229,-0.004464285714285698,2023.403417004427,67.29265454967694,101860.0,97980.0,105785.0,110099.3399160185,85860.6600839815
2022-01-07,111500,114000,107000,112000,427073,0.009009009009008917,-0.04035874439461884,2453.9427559984224,68.37670370803494,105220.0,98230.0,105951.66666666667,111255.68232377864,85204.31767622136
2022-01-10,111000,116500,110500,111500,432107,-0.004464285714285698,0.014018691588784993,2584.9404569996327,67.17780043387121,108000.0,98430.0,106060.0,112124.53905759516,84735.46094240484
2022-01-11,110500,111000,106000,107000,380355,-0.04035874439461884,-0.027649769585253448,2260.161888991046,57.419722779544934,109100.0,98480.0,106151.66666666667,112291.53141400329,84668.46858599671
2022-01-12,105000,110000,103500,108500,327291,0.014018691588784993,0.004739336492890933,2044.4916314041475,59.52997973563855,110000.0,98855.0,106268.33333333333,113312.0363491277,84397.9636508723
