Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,233000,236000,231500,232000,104123,-0.008547008547008517,-0.019736842105263164,348.49293396401026,38.88114217324235,235000.0,237550.0,251250.0,245856.02191184208,229243.97808815792
2020-02-17,230500,231500,227000,228000,137725,-0.017241379310344862,0.0,-12.932670952633089,35.313693083015025,233600.0,236750.0,250466.66666666666,245487.84870548814,228012.15129451186
2020-02-18,228500,228500,222000,223500,117727,-0.019736842105263164,-0.031319910514541416,-485.25366030584337,31.780870964989802,230700.0,235675.0,249650.0,245330.43888179096,226019.56111820904
2020-02-19,226500,227500,222000,223500,87032,0.0,-0.018475750577367167,-714.0364030598921,31.780870964989802,228200.0,234825.0,248841.66666666666,245564.06420504136,224085.93579495864
2020-02-20,223500,224500,216500,216500,158477,-0.031319910514541416,-0.04941176470588238,-1223.2771348710558,26.921948066940175,224700.0,233625.0,247933.33333333334,246674.42527470083,220575.57472529917
2020-02-21,211500,218000,211000,212500,123940,-0.018475750577367167,0.01980198019801982,-1687.3671727202627,24.60681357011856,220800.0,232200.0,247175.0,247709.35201741196,216690.64798258804
2020-02-24,209000,209500,201000,202000,246357,-0.04941176470588238,-0.014563106796116498,-2509.798227360847,19.79472860449887,215600.0,230250.0,246175.0,250055.30232033838,210444.69767966162
2020-02-25,200500,208500,200500,206000,177839,0.01980198019801982,-0.012315270935960632,-2582.640831023731,25.751627413120588,212100.0,229000.0,245175.0,251438.80567231687,206561.19432768313
2020-02-26,200000,206500,200000,203000,161591,-0.014563106796116498,-0.04239401496259354,-2622.6746717597707,24.294266719837054,208000.0,227425.0,244225.0,252379.50861066993,202470.49138933007
2020-02-27,203000,206500,199000,200500,160934,-0.012315270935960632,-0.00520833333333337,-2602.1595374221906,23.120033743338567,204800.0,225425.0,243233.33333333334,252211.7037912469,198638.2962087531
2020-02-28,198000,200000,190500,192000,231899,-0.04239401496259354,0.002617801047120505,-2921.7440507360825,19.643591815925816,200700.0,223250.0,242141.66666666666,253279.1525021936,193220.8474978064
2020-03-02,192000,194000,190500,191000,181793,-0.00520833333333337,0.02872062663185382,-2952.451561764401,19.27636248816104,198500.0,221225.0,241058.33333333334,254084.51156058168,188365.48843941832
2020-03-03,193000,196500,191000,191500,214940,0.002617801047120505,0.017766497461928932,-2698.0310957124875,20.080854939819744,195600.0,219175.0,239983.33333333334,254020.76731828417,184329.23268171583
2020-03-04,192500,199000,192000,197000,272260,0.02872062663185382,-0.029925187032418976,-1952.9974010028272,28.519734271293487,194400.0,217175.0,239041.66666666666,252289.49131056864,182060.50868943136
2020-03-05,199000,202000,196500,200500,279705,0.017766497461928932,-0.05398457583547556,-1062.6967882223926,33.34329579491855,194400.0,215075.0,238208.33333333334,248879.25269104468,181270.74730895532
2020-03-06,198000,198000,193000,194500,207481,-0.029925187032418976,-0.01902173913043481,-731.8624200830072,29.649545039916816,194900.0,212850.0,237166.66666666666,245912.21408193954,179787.78591806046
2020-03-09,189000,189000,182000,184000,267208,-0.05398457583547556,-0.030470914127423865,-1054.5449643616666,24.52855668743024,193500.0,210300.0,235900.0,243996.29059703753,176603.70940296247
2020-03-10,182000,184500,180000,180500,305611,-0.01902173913043481,-0.06285714285714283,-1320.7965284287402,23.096546119645822,191300.0,207425.0,234558.33333333334,240988.7825639483,173861.2174360517
2020-03-11,181000,184000,173500,175000,253768,-0.030470914127423865,-0.03658536585365857,-1662.3458655781142,21.019805530795338,186900.0,204375.0,233158.33333333334,238083.86381947633,170666.13618052367
2020-03-12,174000,174500,161500,164000,413438,-0.06285714285714283,-0.07911392405063289,-2380.394136009865,17.609476148361097,179600.0,200875.0,231566.66666666666,236057.20430842845,165692.79569157155
2020-03-13,150000,160000,144500,158000,443950,-0.03658536585365857,-0.05154639175257736,-2972.2696481434705,16.07725071777604,172300.0,197175.0,229891.66666666666,234011.49684755597,160338.50315244403
2020-03-16,157000,160000,145000,145500,275952,-0.07911392405063289,-0.10144927536231885,-3862.075838432742,13.45131334056991,164600.0,193050.0,227983.33333333334,233459.03364348126,152640.96635651874
2020-03-17,138000,144000,135500,138000,306127,-0.05154639175257736,-0.13709677419354838,-4564.0833239418735,12.167211224223678,156100.0,188775.0,226008.33333333334,233277.2190457959,144272.7809542041
2020-03-18,139000,140000,124000,124000,387932,-0.10144927536231885,0.13551401869158886,-5515.994172857994,10.208205397316277,145900.0,183800.0,223800.0,233593.9755392156,134006.0244607844
2020-03-19,125500,126500,102500,107000,541476,-0.13709677419354838,-0.11111111111111116,-6753.519793828793,8.432717214426646,134500.0,178325.0,221300.0,235990.65268858057,120659.34731141942
2020-03-20,113000,121500,107000,121500,444841,0.13551401869158886,0.2407407407407407,-6079.541034717313,21.046454659757003,127200.0,173775.0,219016.66666666666,234229.50768966696,113320.49231033304
2020-03-23,109000,113500,107000,108000,336085,-0.11111111111111116,0.12313432835820892,-6015.8375255253595,18.49231214965441,119700.0,169075.0,216458.33333333334,234438.04383977235,103711.95616022765
2020-03-24,113000,138500,109500,134000,771510,0.2407407407407407,0.02657807308970095,-3803.473131806375,34.88262746927799,118900.0,165475.0,214325.0,230234.92201971833,100715.07798028165
2020-03-25,140000,161500,137500,150500,771051,0.12313432835820892,0.0453074433656957,-957.9444410590113,42.7504744771798,124200.0,162850.0,212458.33333333334,225535.80381553707,100164.19618446294
2020-03-26,153000,159500,143000,154500,664819,0.02657807308970095,-0.009287925696594423,1339.7346000853067,44.50114254687596,133700.0,160550.0,210658.33333333334,220872.38390514752,100227.61609485248
2020-03-27,162000,164000,156000,161500,465790,0.0453074433656957,0.046875,3361.9834276974725,47.525301425643555,141700.0,159025.0,208983.33333333334,217606.9724830088,100443.02751699119
2020-03-30,155500,163000,150500,160000,305864,-0.009287925696594423,-0.03880597014925369,4555.475525545262,46.93510542613317,152100.0,157475.0,207350.0,214201.95567364778,100748.04432635222
2020-03-31,162000,167500,160500,167500,342668,0.046875,0.024844720496894457,5730.930257099601,50.26110509052686,158800.0,156275.0,205866.66666666666,211054.07903570487,101495.92096429513
2020-04-01,163500,173000,158500,161000,344349,-0.03880597014925369,-0.0060606060606061,5926.950994776893,47.483355612999894,160900.0,154475.0,204366.66666666666,206055.49534465524,102894.50465534476
2020-04-02,161000,167000,155500,165000,289337,0.024844720496894457,0.024390243902439046,6155.382498773197,49.33888197682626,163000.0,152700.0,202833.33333333334,200096.62435237344,105303.37564762656
