Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2020-03-30,155500,163000,150500,160000,305864,-0.009287925696594423,-0.009287925696594423,4542.477312164025,46.94328638159692,152100.0,157475.0,207350.0,214201.95567364796,100748.04432635204,0
2020-03-31,162000,167500,160500,167500,342668,0.046875,0.046875,5718.900002355636,50.275899507504306,158800.0,156275.0,205866.66666666666,211054.07903570504,101495.92096429496,1
2020-04-01,163500,173000,158500,161000,344349,-0.03880597014925369,-0.03880597014925369,5915.815060415847,47.49170790474959,160900.0,154475.0,204366.66666666666,206055.4953446554,102894.50465534457,0
2020-04-02,161000,167000,155500,165000,289337,0.024844720496894457,0.024844720496894457,6145.073229058522,49.350561653743625,163000.0,152700.0,202833.33333333334,200096.62435237368,105303.37564762632,1
2020-04-03,166000,171000,160000,164000,230824,-0.0060606060606061,-0.0060606060606061,6049.4911567948475,48.88463835525676,163500.0,151175.0,201491.66666666666,194915.45610187465,107434.54389812537,0
2020-04-06,164500,169000,163000,168000,210046,0.024390243902439046,0.024390243902439046,6060.616389957993,50.88222527598267,165100.0,150375.0,200175.0,192229.36058524874,108520.63941475128,1
2020-04-07,171000,173000,165000,169500,222197,0.008928571428571397,0.008928571428571397,5964.682961559165,51.645372348361164,165500.0,149825.0,198900.0,190349.40622637206,109300.59377362794,1
2020-04-08,166000,172500,165000,168000,220330,-0.008849557522123908,-0.008849557522123908,5601.6285165496465,50.79545037323402,166900.0,149475.0,197591.66666666666,189237.38800675864,109712.61199324137,0
2020-04-09,173000,173000,168000,171000,182069,0.017857142857142794,0.017857142857142794,5364.59194994636,52.47983123685968,168100.0,149825.0,196308.33333333334,190210.9814787263,109439.01852127371,1
2020-04-10,169500,180000,168500,179000,279238,0.04678362573099415,0.04678362573099415,5525.828125550781,56.733290885744154,171100.0,150875.0,195200.0,193106.35683351912,108643.64316648088,1
2020-04-13,179500,187000,174500,175000,278323,-0.022346368715083775,-0.022346368715083775,5149.8352275202915,54.12465094702613,172500.0,152350.0,194050.0,195771.30813321983,108928.69186678018,0
2020-04-14,177000,182000,175000,177500,172526,0.014285714285714235,0.014285714285714235,4859.905021632393,55.5018072577081,174100.0,154325.0,192925.0,198541.82372129438,110108.17627870562,1
2020-04-16,173500,181000,172500,180500,222040,0.016901408450704203,0.016901408450704203,4659.9479896545035,57.16362170223624,176600.0,157150.0,191925.0,200466.3941250887,113833.60587491129,1
2020-04-17,183500,191000,183500,188500,244505,0.04432132963988922,0.04432132963988922,4835.333833052318,61.31278941592931,180100.0,161225.0,191058.33333333334,199999.31495204035,122450.68504795965,1
2020-04-20,187000,191500,186000,188000,151164,-0.0026525198938992522,-0.0026525198938992522,4683.312457070319,60.91565105822956,181900.0,164550.0,190175.0,200424.64285536538,128675.35714463462,0
2020-04-21,185500,187500,178500,183000,331631,-0.02659574468085102,-0.02659574468085102,4036.1940870394556,56.943552620468225,183500.0,168300.0,189208.33333333334,193975.66941678477,142624.33058321523,0
2020-04-22,178000,184000,173500,184000,286549,0.005464480874316946,0.005464480874316946,3486.388207174403,57.53988305881918,184800.0,170800.0,188425.0,191971.67919651195,149628.32080348805,1
2020-04-23,181500,184000,179000,182500,208459,-0.008152173913043459,-0.008152173913043459,2858.907300130605,56.280713200257516,185200.0,172400.0,187558.33333333334,191969.36381183652,152830.63618816348,0
2020-04-24,180500,181000,175000,175500,198776,-0.0383561643835616,-0.0383561643835616,1858.1215978450803,50.70433871241823,182600.0,173450.0,186475.0,191237.3550591429,155662.6449408571,0
2020-04-27,176000,180500,175000,178500,114428,0.017094017094017033,0.017094017094017033,1309.7601254473457,52.860044110477155,180700.0,174300.0,185525.0,191330.56076587076,157269.43923412924,1
2020-04-28,178500,183000,176500,183000,167841,0.025210084033613356,0.025210084033613356,1166.4566974002323,55.9703418738997,180700.0,175450.0,184716.66666666666,191543.16625154964,159356.83374845036,1
2020-04-29,183000,183500,181000,182000,141362,-0.005464480874316946,-0.005464480874316946,930.8922650092127,55.10030241756838,180300.0,176175.0,183875.0,192075.55030494276,160274.44969505724,0
2020-05-04,176500,179500,175500,176000,173641,-0.03296703296703296,-0.03296703296703296,328.63908842540013,50.071048023328935,179000.0,176925.0,182858.33333333334,191226.3111287048,162623.6888712952,0
2020-05-06,179000,181500,177000,180000,177000,0.022727272727272707,0.022727272727272707,165.55122083296874,53.14169321504161,179900.0,177675.0,181816.66666666666,190931.22495282936,164418.77504717064,1
2020-05-07,179000,182000,178000,182000,163688,0.011111111111111072,0.011111111111111072,158.2603440244402,54.64369196402558,180600.0,178575.0,180866.66666666666,190357.5082219371,166792.4917780629,1
2020-05-08,183000,186500,182000,182500,141027,0.0027472527472527375,0.0027472527472527375,152.91499949657418,55.031765040084444,180500.0,179300.0,179991.66666666666,190136.97374731596,168463.02625268404,1
2020-05-11,182000,184000,178500,179000,168343,-0.019178082191780854,-0.019178082191780854,-106.54989078212202,51.697298315001355,179900.0,179775.0,179008.33333333334,189641.4836694749,169908.5163305251,0
2020-05-12,181000,184000,178000,181000,260409,0.011173184357541999,0.011173184357541999,-160.45041117883966,53.433627203860816,180900.0,180425.0,178091.66666666666,188684.99394672993,172165.00605327007,1
2020-05-13,179500,185000,178500,185000,247454,0.022099447513812098,0.022099447513812098,45.319413946616805,56.7798976553064,181900.0,181125.0,177275.0,188383.61557048,173866.38442952,1
2020-05-14,184000,185500,180000,181000,226278,-0.021621621621621623,-0.021621621621621623,-107.58581590967196,52.70144143365433,181700.0,181225.0,176425.0,188418.57352085976,174031.42647914024,0
2020-05-15,183500,184500,180000,182000,168516,0.005524861878453136,0.005524861878453136,-157.95254779989273,53.59877788671177,181600.0,181575.0,175658.33333333334,188180.11165689232,174969.88834310768,1
2020-05-18,184000,203500,181500,202000,630281,0.10989010989010994,0.10989010989010994,1071.4857899895792,67.05914602428007,186200.0,182800.0,175300.0,193650.8064216451,171949.1935783549,1
2020-05-19,214500,230000,200500,201500,1218185,-0.0024752475247524774,-0.0024752475247524774,1727.9277211756616,66.53947134477801,190300.0,183850.0,174933.33333333334,197348.5184372217,170351.4815627783,0
2020-05-20,208000,224500,205000,222000,1317938,0.1017369727047146,0.1017369727047146,3327.047478106715,75.06983039740408,197700.0,185525.0,175025.0,206920.03447064327,164129.96552935673,1
2020-05-21,230000,243500,226000,230000,1321635,0.03603603603603611,0.03603603603603611,4627.887121516069,77.48238781277277,207500.0,187625.0,175316.66666666666,216512.49729554314,158737.50270445686,1
2020-05-22,229500,232000,225000,228500,433120,-0.006521739130434745,-0.006521739130434745,5056.762707629887,75.99735229095587,216800.0,189900.0,175758.33333333334,223718.04252170745,156081.95747829255,0
2020-05-25,234000,246500,230500,246500,737103,0.07877461706783362,0.07877461706783362,6149.544807830294,80.76225413453624,225700.0,193025.0,176433.33333333334,234718.49469641532,151331.50530358468,1
2020-05-26,249500,261500,245000,259000,763255,0.05070993914807298,0.05070993914807298,7236.151998085126,83.2491312939051,237200.0,196850.0,177366.66666666666,247131.30865440966,146568.69134559034,1
2020-05-27,267500,271000,251000,255500,774630,-0.013513513513513487,-0.013513513513513487,7224.351854758206,80.12581944310693,243900.0,200850.0,178283.33333333334,256176.39514734363,145523.60485265637,0
2020-05-28,257500,260000,243500,244500,675566,-0.043052837573385516,-0.043052837573385516,6029.611619594938,71.09764063633858,246800.0,204150.0,179158.33333333334,261583.5267940252,146716.4732059748,0
2020-05-29,241500,249000,236500,239000,603576,-0.02249488752556239,-0.02249488752556239,4493.31215601947,67.03080349842939,248900.0,206950.0,179958.33333333334,265436.66514685214,148463.33485314786,0
2020-06-01,240000,247000,239000,243000,362051,0.01673640167364021,0.01673640167364021,3419.491980632836,68.44450766371605,248200.0,210000.0,180816.66666666666,269320.31692430517,150679.68307569483,1
2020-06-02,242000,249500,240000,244000,297667,0.004115226337448652,0.004115226337448652,2492.5895859988013,68.80464225441023,245200.0,213400.0,181600.0,272329.2796494239,154470.7203505761,1
2020-06-03,247500,247500,239000,242500,399539,-0.006147540983606592,-0.006147540983606592,1541.136889820713,67.5591247555463,242600.0,216525.0,182300.0,274661.4558603292,158388.5441396708,0
2020-06-04,241500,244000,239000,239500,294371,-0.012371134020618513,-0.012371134020618513,524.934204349549,65.02388135459547,241600.0,219400.0,183050.0,276091.79834861483,162708.20165138517,0
2020-06-05,237500,258500,233500,257000,871235,0.0730688935281838,0.0730688935281838,828.4841810000544,71.6962633085669,245200.0,223125.0,184266.66666666666,279417.872550617,166832.12744938303,1
2020-06-08,264000,264500,253000,257000,521272,0.0,0.0,824.6195671993191,71.6962633085669,248000.0,227025.0,185541.66666666666,281321.8461330859,172728.15386691413,0
2020-06-09,257500,259000,249000,253500,424430,-0.013618677042801508,-0.013618677042801508,403.034734996545,68.65817158416914,249900.0,230650.0,186850.0,281758.8055035529,179541.19449644707,0
2020-06-10,253500,261000,250500,257000,410736,0.013806706114398493,0.013806706114398493,187.5361850618283,70.02600640010948,252800.0,234250.0,188400.0,282023.94687483966,186476.05312516034,1
