Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,91600,92000,90300,90400,774541,-0.0195227765726681,-0.011074197120708784,-144.15023120673538,35.74418479906117,92280.0,93255.0,95066.66666666667,95370.15956844868,91139.84043155132
2020-02-17,90800,91100,90300,90300,259581,-0.0011061946902655162,-0.014557670772676334,-224.61575692314966,35.41073254185828,91800.0,93055.0,94920.0,95472.00227554713,90637.99772445287
2020-02-18,90300,90300,88600,89300,503239,-0.011074197120708784,-0.01931818181818179,-321.42827622656955,32.1779849800821,91060.0,92820.0,94760.0,95694.43907571546,89945.56092428454
2020-02-19,89600,89600,87500,88000,447883,-0.014557670772676334,-0.009269988412514474,-441.8244012649559,28.531387633471596,90040.0,92570.0,94578.33333333333,96127.0212256887,89012.9787743113
2020-02-20,88000,88400,86100,86300,495625,-0.01931818181818179,-0.021052631578947323,-595.2109680126918,24.604614706710464,88860.0,92200.0,94380.0,96639.81981616371,87760.18018383629
2020-02-21,85800,86200,85000,85500,353874,-0.009269988412514474,0.002389486260454099,-702.44202357376,23.000360157751942,87880.0,91795.0,94170.0,97052.55646664875,86537.44353335125
2020-02-24,84000,85400,83500,83700,642941,-0.021052631578947323,-0.009535160905840279,-837.3391261369893,19.862348766659437,86560.0,91305.0,93936.66666666667,97566.46149073841,85043.53850926159
2020-02-25,83700,84800,82700,83900,541303,0.002389486260454099,0.03730445246690728,-852.9614490774275,21.149607691403403,85480.0,90840.0,93708.33333333333,97810.62407536083,83869.37592463917
2020-02-26,83000,83900,82700,83100,492014,-0.009535160905840279,-0.01740139211136893,-854.8792950424263,19.780872538569696,84500.0,90240.0,93461.66666666667,97689.93959707057,82790.06040292943
2020-02-27,82800,87800,82800,86200,866272,0.03730445246690728,0.008264462809917328,-597.269571957878,36.83872592898792,84480.0,89855.0,93253.33333333333,97304.42279643194,82405.57720356806
2020-02-28,85600,86000,83900,84700,638713,-0.01740139211136893,-0.005854800936768156,-482.6972792331371,33.16397985350115,84320.0,89335.0,93035.0,96698.76941518404,81971.23058481596
2020-03-02,85300,86600,84000,85400,532351,0.008264462809917328,-0.0400471142520612,-322.28512053092754,36.35464277768961,84660.0,88935.0,92833.33333333333,96240.96331772888,81629.03668227112
2020-03-03,85400,86400,84800,84900,434828,-0.005854800936768156,0.012269938650306678,-217.39713592743556,35.066913601699056,84860.0,88600.0,92628.33333333333,96000.27026533491,81199.72973466509
2020-03-04,80100,84000,79100,81500,2017991,-0.0400471142520612,-0.00484848484848488,-337.38476246262917,27.844297716433786,84540.0,88040.0,92381.66666666667,95800.77315736003,80279.22684263997
2020-03-05,81800,82700,81400,82500,1079846,0.012269938650306678,-0.00487210718635811,-310.4634269245844,32.263324363147504,83800.0,87520.0,92161.66666666667,95302.18478320837,79737.81521679163
2020-03-06,81900,83000,81300,82100,624965,-0.00484848484848488,0.007343941248469932,-281.5107813473651,31.434044907617576,83280.0,86940.0,91943.33333333333,94519.81530117984,79360.18469882016
2020-03-09,81400,82900,81300,81700,502685,-0.00487210718635811,-0.0012150668286755595,-252.1610754992862,30.587366352285372,82540.0,86390.0,91713.33333333333,93812.91048039783,78967.08951960217
2020-03-10,81800,82600,81500,82300,591797,0.007343941248469932,-0.03284671532846717,-159.70867012871804,33.48161557889138,82020.0,85855.0,91491.66666666667,92823.63688249,78886.36311751
2020-03-11,81600,82500,81500,82200,512704,-0.0012150668286755595,-0.005031446540880502,-76.85957936721297,33.232902223835225,82160.0,85310.0,91273.33333333333,91598.68825749854,79021.31174250146
2020-03-12,81000,81700,78400,79500,1239210,-0.03284671532846717,0.0025284450063212116,-170.12349379231364,27.32983020940904,81560.0,84675.0,91000.0,90607.24240907264,78742.75759092736
2020-03-13,75000,81100,74000,79100,1050183,-0.005031446540880502,-0.022698612862547263,-221.7142068516223,26.576663391739444,80960.0,84110.0,90721.66666666667,89904.4456162777,78315.5543837223
2020-03-16,79500,80900,75600,79300,619412,0.0025284450063212116,-0.02580645161290318,-205.68456439454712,27.650271634187277,80480.0,83560.0,90443.33333333333,88975.68093594887,78144.31906405113
2020-03-17,78500,79200,76500,77500,569943,-0.022698612862547263,-0.08476821192052986,-275.27862437648446,24.21803089206854,79520.0,82970.0,90130.0,88326.52872670352,77613.47127329648
2020-03-18,76600,77200,75100,75500,705583,-0.02580645161290318,-0.01736613603473225,-407.0278437128627,21.08607108328212,78180.0,82345.0,89771.66666666667,88109.53814281769,76580.46185718231
2020-03-19,74500,75800,68600,69100,881642,-0.08476821192052986,-0.06332842415316642,-850.6982230128287,14.58568819536174,76100.0,81485.0,89301.66666666667,89373.54232415596,73596.45767584404
2020-03-20,69800,71600,66400,67900,900538,-0.01736613603473225,0.06446540880503138,-1132.826042866819,13.730956110931345,73860.0,80605.0,88818.33333333333,90239.20468954236,70970.79531045764
2020-03-23,65200,65700,63000,63600,600618,-0.06332842415316642,0.06499261447562787,-1494.1653276845382,11.198533760368989,70720.0,79600.0,88258.33333333333,91628.9650427624,67571.0349572376
2020-03-24,63600,67700,63400,67700,705417,0.06446540880503138,0.001386962552011095,-1346.7369406767239,25.338056045423343,68760.0,78790.0,87763.33333333333,91701.06502191047,65878.93497808953
2020-03-25,69200,72100,68500,72100,657557,0.06499261447562787,0.03185595567867039,-865.9364880472058,36.94206031631498,68080.0,78240.0,87338.33333333333,91306.0476043829,65173.9523956171
2020-03-26,71000,75700,70500,72200,684372,0.001386962552011095,-0.014765100671140896,-473.8315473868215,37.18102374887531,68700.0,77540.0,86970.0,90322.23767577493,64757.76232422507
2020-03-27,74300,75400,72600,74500,633524,0.03185595567867039,0.017711171662125436,-16.39520588156938,42.571551362494205,70020.0,77030.0,86648.33333333333,89437.27206117444,64622.727938825556
2020-03-30,73900,74500,71500,73400,432977,-0.014765100671140896,-0.04953145917001334,241.06733410480138,40.76966620125416,71980.0,76430.0,86330.0,88309.57911712363,64550.420882876366
2020-03-31,73500,74700,73200,74700,521451,0.017711171662125436,0.004225352112676051,512.3065095977681,43.79727894819575,73380.0,75920.0,86033.33333333333,87159.85765034416,64680.14234965585
2020-04-01,73500,74000,71000,71000,487326,-0.04953145917001334,0.05049088359046294,457.7058382950281,37.86481580737182,73160.0,75395.0,85671.66666666667,86523.60728033836,64266.39271966164
2020-04-02,70700,72100,69100,71300,564737,0.004225352112676051,0.01735647530040052,455.9647720813937,38.59112786536056,72980.0,74835.0,85310.0,85598.32197790255,64071.678022097454
2020-04-03,71200,75000,71200,74900,606101,0.05049088359046294,0.01049868766404205,697.0054064953101,46.65018945948067,73060.0,74475.0,85028.33333333333,84710.99042594316,64239.00957405684
2020-04-06,74300,76400,74100,76200,535187,0.01735647530040052,-0.010389610389610393,929.2119159509512,49.240751926136035,73620.0,74200.0,84753.33333333333,83927.69242934829,64472.30757065171
2020-04-07,76500,78100,76200,77000,614357,0.01049868766404205,0.003937007874015741,1109.6820242739327,50.82328226348178,74080.0,73935.0,84458.33333333333,83034.0713811905,64835.9286188095
2020-04-08,76700,78500,76000,76200,558577,-0.010389610389610393,0.022222222222222143,1143.6267654694375,49.17230124117055,75120.0,73635.0,84160.0,81989.46587161621,65280.53412838379
2020-04-09,76500,77100,75600,76500,643453,0.003937007874015741,-0.010230179028132946,1151.545679262024,49.83046714542543,76160.0,73485.0,83866.66666666667,81514.26522167501,65455.734778324986
2020-04-10,76400,78600,75400,78200,588689,0.022222222222222143,0.0051679586563306845,1229.4571099040909,53.504618936158856,76820.0,73440.0,83601.66666666667,81352.11728932275,65527.88271067725
2020-04-13,78600,79600,77400,77400,428384,-0.010230179028132946,-0.007712082262210762,1184.8079071990096,51.58988962799014,77060.0,73345.0,83320.0,81015.32593831579,65674.67406168421
2020-04-14,77800,78400,77200,77800,423335,0.0051679586563306845,0.010362694300518172,1139.5614385897782,52.50509347006866,77220.0,73360.0,83050.0,81063.8691577674,65656.1308422326
2020-04-16,76300,77500,75500,77200,727390,-0.007712082262210762,-0.0012820512820512775,1029.8975550877276,50.94914710446527,77420.0,73445.0,82786.66666666667,81277.87303612154,65612.12696387846
2020-04-17,77200,78900,77200,78000,635465,0.010362694300518172,0.0012836970474967568,972.604230377548,52.95115405840306,77720.0,73890.0,82525.0,81696.12579965247,66083.87420034753
2020-04-20,78100,78600,77600,77900,526527,-0.0012820512820512775,0.012820512820512775,891.4865088713134,52.66181336073899,77660.0,74390.0,82263.33333333333,81871.68430234796,66908.31569765204
2020-04-21,77500,78100,76100,78000,630670,0.0012836970474967568,0.0151898734177216,810.4200966912215,52.938751152865365,77780.0,75110.0,82005.0,80873.99167244366,69346.00832755634
2020-04-22,77000,79000,76500,79000,486792,0.012820512820512775,-0.016209476309226978,789.22426558951,55.7279829065329,78020.0,75675.0,81768.33333333333,80573.11188112317,70776.88811887683
2020-04-23,78600,80600,78200,80200,586112,0.0151898734177216,0.019011406844106515,817.6300063312522,58.877652387720005,78620.0,76080.0,81520.0,81067.42418488742,71092.57581511258
2020-04-24,80300,80400,78900,78900,428352,-0.016209476309226978,-0.0012437810945273853,714.2282717762516,54.36528807189842,78800.0,76415.0,81270.0,81211.3632055965,71618.6367944035
2020-04-27,78700,81000,78600,80400,434581,0.019011406844106515,0.00996264009962644,710.6942430135748,58.333320003041074,79300.0,76710.0,81025.0,81719.95009955188,71700.04990044812
2020-04-28,79900,80600,79200,80300,499074,-0.0012437810945273853,-0.03205918618988901,666.2125390632484,57.97142114202205,79760.0,77055.0,80806.66666666667,82055.9899020094,72054.0100979906
2020-04-29,80900,82000,80000,81100,485768,0.00996264009962644,0.006369426751592355,654.3148943156399,60.103857591891874,80180.0,77375.0,80631.66666666667,82548.34514603461,72201.65485396539
2020-05-04,80900,80900,78500,78500,622155,-0.03205918618988901,-0.005063291139240533,444.9926278372518,51.040052657964125,79840.0,77750.0,80395.0,82030.88775839777,73469.11224160223
2020-05-06,78600,80000,78500,79000,415323,0.006369426751592355,0.0012722646310432406,319.72198192913237,52.52282478867335,79860.0,78135.0,80163.33333333333,81253.5092592455,75016.4907407545
2020-05-07,78600,79300,78600,78600,296951,-0.005063291139240533,-0.003811944091486663,195.53554919658723,51.18724481913656,79500.0,78320.0,79911.66666666667,81065.6146852754,75574.3853147246
2020-05-08,79400,79800,78700,78700,344788,0.0012722646310432406,-0.015306122448979553,110.00190512941754,51.51915205534288,79180.0,78445.0,79678.33333333333,81015.19454516578,75874.80545483422
2020-05-11,78700,79500,78400,78400,313176,-0.003811944091486663,0.01943005181347157,27.401113008447965,50.411710611866916,78640.0,78515.0,79435.0,80998.76729988941,76031.23270011059
2020-05-12,78400,78700,77000,77200,449634,-0.015306122448979553,-0.020330368487928796,-106.52970443222966,46.13934721158284,78380.0,78565.0,79170.0,80895.9011133036,76234.0988866964
2020-05-13,76800,79700,76800,78700,576005,0.01943005181347157,0.01037613488975353,-93.06181750220208,51.654841466303616,78320.0,78675.0,78945.0,80804.67133614553,76545.32866385447
2020-05-14,78600,78600,77000,77100,572819,-0.020330368487928796,0.0,-185.53593827575042,46.218104063463734,78020.0,78620.0,78723.33333333333,80850.33629751208,76389.66370248792
2020-05-15,77400,77900,76400,77900,421056,0.01037613488975353,0.010269576379974277,-185.97954372716327,49.10264826014423,77860.0,78645.0,78516.66666666667,80830.84079932641,76459.15920067359
2020-05-18,77900,78500,77400,77900,319382,0.0,-0.0025412960609910717,-179.34719662543728,49.10264826014423,77760.0,78650.0,78326.66666666667,80828.53161556125,76471.46838443875
2020-05-19,78900,79100,78500,78700,429097,0.010269576379974277,0.001273885350318471,-117.1645585484402,52.08321032581205,78060.0,78725.0,78171.66666666667,80799.4878886125,76650.5121113875
2020-05-20,78800,79100,78100,78500,322093,-0.0025412960609910717,0.04580152671755733,-86.97441300481148,51.274800368729764,78020.0,78750.0,78041.66666666667,80800.8534808708,76699.1465191292
2020-05-21,78700,78900,78200,78600,374318,0.001273885350318471,0.045012165450121655,-59.07562787413363,51.678657344878474,78320.0,78785.0,77926.66666666667,80800.21710989162,76769.78289010838
2020-05-22,79100,83400,78800,82200,1531549,0.04580152671755733,-0.006984866123399325,189.42094519114912,63.429971670324676,79180.0,78995.0,77901.66666666667,81463.58258926048,76526.41741073952
2020-05-25,83100,86200,82000,85900,938074,0.045012165450121655,-0.004689331770222793,569.1073747950641,71.18593698482668,80780.0,79340.0,77935.0,83232.76251523258,75447.23748476742
2020-05-26,86100,87400,84700,85300,558146,-0.006984866123399325,-0.025912838633686652,735.4042096239216,68.6435339111523,82100.0,79595.0,77971.66666666667,84269.3876604321,74920.6123395679
2020-05-27,84800,87300,84600,84900,537749,-0.004689331770222793,0.0145102781136639,770.3224234298052,66.92741385405378,83380.0,79895.0,77950.0,85093.259324043,74696.740675957
2020-05-28,84600,85300,82400,82700,854208,-0.025912838633686652,0.013110846245530494,604.4370768430019,58.295095917860216,84200.0,80010.0,77916.66666666667,85347.75233595564,74672.24766404436
2020-05-29,83500,85800,83000,83900,981672,0.0145102781136639,0.028235294117647136,536.9903554110149,61.232316001576955,84540.0,80190.0,77891.66666666667,85791.03561852626,74588.96438147374
2020-06-01,83900,85200,83200,85000,394762,0.013110846245530494,0.006864988558352492,527.1730497171241,63.75245276251288,84360.0,80385.0,77893.33333333333,86358.36588532796,74411.63411467204
2020-06-02,85000,88000,84900,87400,680445,0.028235294117647136,-0.006818181818181834,635.7528136738817,68.55535923896345,84780.0,80830.0,77991.66666666667,87464.78711037512,74195.21288962488
2020-06-03,87500,89500,87400,88000,712211,0.006864988558352492,0.010297482837528626,696.528832375373,69.63847235967567,85400.0,81280.0,78083.33333333333,88547.90203566338,74012.09796433662
2020-06-04,88000,88600,87400,87400,543804,-0.006818181818181834,-0.003397508493771184,645.9876836518838,67.14765041405093,86340.0,81720.0,78171.66666666667,89342.49303049862,74097.50696950138
2020-06-05,87600,88500,86900,88300,348995,0.010297482837528626,-0.010227272727272751,622.5787006152696,68.94213990613484,87220.0,82200.0,78281.66666666667,90200.9999375078,74199.0000624922
