Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,137752,137752,135293,135293,380023,-0.007220587479912277,0.0,1670.7975063416607,51.51372285797693,136473.8,130594.45,140442.11666666667,140631.43089018794,120557.46910981205
2020-02-17,126929,135784,125945,134309,1054464,-0.007273103560420768,-0.010989583721120688,1429.8097558606714,49.937931872245336,136473.8,130766.65,140056.73333333334,140933.62157023652,120599.67842976346
2020-02-18,134309,137752,132341,134309,533054,0.0,-0.014815595522197023,1222.1817443582609,49.937931872245336,135686.6,130914.25,139695.95,141196.2786884446,120632.22131155539
2020-02-19,135292,135784,131849,132833,439074,-0.010989583721120688,-0.018797997936805144,949.3667032018468,47.41474332723641,134604.2,130889.65,139367.96666666667,141150.82295975456,120628.47704024545
2020-02-20,133324,133816,129881,130865,444355,-0.014815595522197023,-0.05363498306140724,616.4330206518332,44.207454437912176,133521.8,130815.85,139015.38333333333,141055.4165391655,120576.2834608345
2020-02-21,129880,130372,127913,128405,435738,-0.018797997936805144,-0.008097565792722028,230.4678060100398,40.51795934863553,132144.2,130619.05,138662.8,140885.0631010046,120353.03689899541
2020-02-24,123977,124961,121518,121518,540057,-0.05363498306140724,-0.020409179152770185,-451.54969169604715,32.37232397097148,129586.0,130299.3,138220.03333333333,141257.5546803767,119341.0453196233
2020-02-25,118074,122008,118074,120534,658139,-0.008097565792722028,-0.029168148788048187,-905.629698128643,31.400985958029366,126831.0,130176.35,137777.26666666666,141508.54712632982,118844.15287367019
2020-02-26,118565,120041,117582,118074,799892,-0.020409179152770185,-0.030044490970949966,-1285.1700351680042,29.053916794973205,123879.2,129930.4,137285.3,142060.9398791644,117799.8601208356
2020-02-27,118073,118073,114630,114630,686145,-0.029168148788048187,0.008850035076358509,-1657.9616386000298,26.11136024153953,120632.2,129512.25,136776.93333333332,143063.83825931477,115960.66174068523
2020-02-28,111677,112169,110202,111186,784534,-0.030044490970949966,0.004386199518587874,-2003.2020847453173,23.543476243221875,117188.4,128675.9,136227.56666666668,144408.23570580024,112943.56429419974
2020-03-02,110202,113645,110202,112170,619789,0.008850035076358509,0.004367044788837315,-2025.9256064463116,25.789066112816073,115318.8,128208.5,135678.2,145263.53961297064,111153.46038702936
2020-03-03,114629,116597,112170,112662,635246,0.004386199518587874,-0.017392226523145426,-1872.0913598789134,26.944443421449535,113744.4,127544.35,135153.43333333332,145886.21580776334,109202.48419223668
2020-03-04,113644,115121,112170,113154,564173,0.004367044788837315,-0.044250175381792656,-1611.3914951630823,28.14912612483937,112760.4,126609.6,134677.85,145861.59842509855,107357.60157490145
2020-03-05,114629,114629,110202,111186,812865,-0.017392226523145426,-0.08240641409293659,-1450.695414840333,26.282205303857538,112071.6,125478.05,134202.26666666666,145545.58562822294,105410.51437177707
2020-03-06,109217,109709,105282,106266,840780,-0.044250175381792656,0.01413202883836373,-1546.187038541947,22.300257583455718,111087.6,124223.5,133652.88333333333,145748.33602260414,102698.66397739586
2020-03-09,99870,101346,97410,97509,1464485,-0.08240641409293659,-0.024876879670735264,-2038.5906262846438,17.281554650116462,108155.4,122383.5,132891.96666666667,146303.4833988236,98463.51660117641
2020-03-10,96427,100362,95147,98887,1173117,0.01413202883836373,-0.05714167193835751,-2102.5199507040925,20.32039129015301,105400.4,120415.6,132154.01666666666,145250.55017430068,95580.64982569934
2020-03-11,99378,100854,95246,96427,804290,-0.024876879670735264,-0.06386044414135972,-2134.6787524426563,18.979884181011897,102055.0,118324.7,131366.86666666667,143835.48956128163,92813.91043871836
2020-03-12,95738,95836,89047,90917,1022582,-0.05714167193835751,-0.07283429873929337,-2335.017098501052,16.374321406143125,98001.2,116056.7,130463.28333333334,142814.95997407148,89298.4400259285
2020-03-13,81962,85799,81175,85111,1252202,-0.06386044414135972,-0.02867751419302511,-2643.833109813233,14.167305962377057,93770.2,113547.6,129446.53333333334,141978.9623971838,85116.23760281623
2020-03-16,84618,85504,78912,78912,1131850,-0.07283429873929337,-0.08985113961043201,-3023.50668596829,12.266294494138464,90050.8,110777.75,128334.66666666667,141296.13631300803,80259.36368699197
2020-03-17,73893,78124,73893,76649,1022494,-0.02867751419302511,-0.1918236289097216,-3169.6117866686473,11.65163857355877,85603.2,107894.75,127168.68333333333,139837.44113819304,75952.05886180697
2020-03-18,76059,76551,69762,69762,934819,-0.08985113961043201,0.13089748137637458,-3449.5303122058795,10.008032941937401,80270.2,104741.2,125879.71666666666,138608.50087621383,70873.89912378615
2020-03-19,69761,71139,54215,56380,2224347,-0.1918236289097216,-0.06944792973651193,-4205.280257527898,7.727139507372229,73362.8,101016.95,124326.71666666666,138736.76527247974,63297.13472752027
2020-03-20,60020,64055,58151,63760,1747450,0.13089748137637458,0.1940268320636418,-3885.0874369032263,18.72778980737789,69092.6,97784.7,122872.11666666667,136625.26786454074,58944.132135459266
2020-03-23,57560,61890,56872,59332,1181418,-0.06944792973651193,0.25,-3652.003646026984,17.38830567026963,65176.6,94675.4,121343.71666666666,135332.34095428226,54018.45904571774
2020-03-24,62086,72024,60512,70844,1597217,0.1940268320636418,-0.05555869233809496,-2460.159528597902,31.171429298688437,64015.6,92190.9,119998.98333333334,132292.64027595302,52089.159724046964
2020-03-25,77731,89834,74484,88555,2923932,0.25,0.03176899623363427,-328.6485516138164,46.077229762745425,67774.2,90714.95,118933.03333333334,129030.64965679855,52399.25034320144
2020-03-26,89538,98886,83536,83635,3330971,-0.05555869233809496,-0.018240393083947537,836.581587669094,43.27362655535499,73225.2,89165.2,117850.68333333333,125963.63957343833,52366.76042656166
2020-03-27,88161,89047,83832,86292,1775483,0.03176899623363427,0.010446422247928355,1816.7220285839085,45.21238506564593,77731.6,87920.5,116829.01666666666,123312.53260339808,52528.46739660192
2020-03-30,82061,86292,80388,84718,1169957,-0.018240393083947537,-0.05171547726131098,2355.318038226136,44.24760934488072,82808.8,86547.9,115838.51666666666,120155.98533612101,52939.81466387898
2020-03-31,86586,86783,83143,85603,1044204,0.010446422247928355,0.09575490292697353,2740.487848757337,44.95879034229038,85760.6,85194.95,114813.56666666667,116595.1224293035,53794.77757069649
2020-04-01,83734,85603,81176,81176,849242,-0.05171547726131098,-0.007746011759547589,2664.056295763743,42.06798222421613,84284.8,83596.05,113739.43333333333,112277.63991740158,54914.46008259842
2020-04-02,81766,91999,80093,88949,2108815,0.09575490292697353,0.05240199410831625,3074.812194516613,48.34793226774711,85347.6,82484.2,112852.23333333334,108391.3130201725,56577.086979827494
2020-04-03,94262,96918,86390,88260,1817675,-0.007746011759547589,-0.001065834095925089,3222.3620564933008,47.85275610782546,85741.2,81583.9,112076.55,105279.75439607509,57888.0456039249
2020-04-06,89637,93966,88555,92885,1415851,0.05240199410831625,-0.007425689220356468,3528.9873167710666,51.447520526909386,87374.6,81352.7,111369.75,104506.55307114113,58198.84692885887
2020-04-07,94950,95343,90424,92786,1180106,-0.001065834095925089,0.04701564654657586,3609.7262322730667,51.36589573608697,88811.2,81047.65,110653.1,103416.87941252092,58678.420587479064
2020-04-08,91113,94360,90719,92097,841962,-0.007425689220356468,0.025511526854511635,3498.771777741669,50.7622705087226,90995.4,80831.15,109924.96666666666,102678.52241203141,58983.77758796858
2020-04-09,95246,96427,93475,96427,1200060,0.04701564654657586,-0.041795180357377615,3585.810494531738,54.38977600402964,92491.0,81106.65,109244.4,103585.6471686904,58627.652831309584
