Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2020-03-30,54200,55900,53800,55600,445528,-0.015929203539822967,-0.015929203539822967,678.4948812996226,41.24338691315108,55520.0,58280.0,72183.33333333333,69269.7406702797,47290.2593297203,57100.0
2020-03-31,56000,58800,55300,57100,871656,0.026978417266187105,0.026978417266187105,865.0632230211695,43.969684957950825,56660.0,57730.0,71576.66666666667,67757.78140966385,47702.21859033615,55000.0
2020-04-01,56200,57800,55000,55000,577831,-0.03677758318739055,-0.03677758318739055,847.6277172462251,41.0948266156301,56020.0,57105.0,70936.66666666667,66126.85679336576,48083.143206634246,66000.0
2020-04-02,56600,69300,54800,66000,2752887,0.19999999999999996,0.19999999999999996,1537.320031081632,56.9666367383773,58040.0,57015.0,70505.0,65635.2726174988,48394.72738250119,62800.0
2020-04-03,70000,74900,61700,62800,3054664,-0.048484848484848464,-0.048484848484848464,1724.35686262314,52.53218001408866,59300.0,56940.0,70083.33333333333,65328.420590313755,48551.579409686245,67900.0
2020-04-06,64300,69400,62900,67900,1931543,0.08121019108280247,0.08121019108280247,2112.2906477398105,58.126689559846476,61760.0,57435.0,69758.33333333333,67088.24297839848,47781.75702160151,68400.0
2020-04-07,67900,68900,65100,68400,1328678,0.007363770250368162,0.007363770250368162,2307.431030070704,58.64134158593432,64020.0,57790.0,69445.0,68454.87693318586,47125.12306681414,67700.0
2020-04-08,66800,69100,66600,67700,810059,-0.010233918128654929,-0.010233918128654929,2289.6623626243527,57.574453336083934,66560.0,58050.0,69145.0,69393.4562634146,46706.5437365854,69900.0
2020-04-09,70200,71000,68000,69900,1242109,0.03249630723781394,0.03249630723781394,2319.230511815945,60.03538733854817,67340.0,58595.0,68888.33333333333,71060.54852383159,46129.45147616841,68700.0
2020-04-10,67800,69300,67000,68700,1194086,-0.01716738197424894,-0.01716738197424894,2154.6523969214145,58.057180453851906,68520.0,59185.0,68608.33333333333,72370.03318160406,45999.96681839595,65900.0
2020-04-13,68700,68700,65500,65900,710862,-0.040756914119359555,-0.040756914119359555,1769.9954709088697,53.61768212990138,68120.0,59680.0,68308.33333333333,73090.98057563278,46269.019424367216,67400.0
2020-04-14,66600,68900,66200,67400,795980,0.022761760242792084,0.022761760242792084,1537.9435381041249,55.57742717445099,67920.0,60160.0,68030.0,73949.3292077606,46370.67079223939,66100.0
2020-04-16,65600,66300,64700,66100,686072,-0.01928783382789323,-0.01928783382789323,1231.5112612504913,53.46887220474433,67600.0,60580.0,67736.66666666667,74554.4910461884,46605.5089538116,67200.0
2020-04-17,66700,67500,66700,67200,673373,0.016641452344931862,0.016641452344931862,1044.8780419306208,55.02377590682173,67060.0,61445.0,67468.33333333333,74795.87637572904,48094.12362427096,66800.0
2020-04-20,67300,68400,66700,66800,671763,-0.005952380952380931,-0.005952380952380931,845.0081885918687,54.313027459331714,66680.0,62150.0,67200.0,75061.15796510909,49238.84203489091,68300.0
2020-04-21,65200,68400,65000,68300,1211891,0.022455089820359264,0.022455089820359264,766.6469941317443,56.57814059142828,67160.0,63140.0,66990.0,74675.92649075053,51604.07350924947,67900.0
2020-04-22,67000,68200,66000,67900,641815,-0.005856515373352855,-0.005856515373352855,645.5519915122625,55.783886065285316,67260.0,63965.0,66848.33333333333,74324.58976021734,53605.410239782665,71800.0
2020-04-23,69500,72400,68700,71800,1505615,0.05743740795287189,0.05743740795287189,776.9648768128,61.46411299873179,68400.0,64645.0,66758.33333333333,75185.48860347563,54104.511396524365,70300.0
2020-04-24,72600,73200,69700,70300,819946,-0.02089136490250698,-0.02089136490250698,713.3696890404774,58.35881749238715,69020.0,65365.0,66666.66666666667,75371.45291799246,55358.54708200754,71500.0
2020-04-27,70800,72500,70700,71500,562888,0.017069701280227667,0.017069701280227667,701.5627623158698,60.09572009039995,69960.0,66115.0,66588.33333333333,75585.43293624952,56644.56706375048,68700.0
2020-04-28,68600,70300,67800,68700,2028991,-0.03916083916083912,-0.03916083916083912,465.96499420202235,54.394487384893225,70040.0,66770.0,66508.33333333333,74967.3410323104,58572.6589676896,70000.0
