Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2020-03-30,15344,16224,14926,16225,336860,0.002843191791829014,0.002843191791829014,-119.75734174921422,40.501206812561065,16364.2,18723.7,20918.75,25206.04945370887,12241.35054629113,1
2020-03-31,16595,16781,15807,16086,355528,-0.008567026194144844,-0.008567026194144844,-52.732123176908544,40.07595885684722,16392.0,18450.2,20851.533333333333,24892.928695203584,12007.471304796418,0
2020-04-01,15946,17151,15807,16086,509062,0.0,0.0,6.28547146345727,40.075958856847215,16215.8,18083.95,20773.5,24180.520986218373,11987.379013781629,0
2020-04-02,16549,16781,15853,16643,257971,0.03462638319035194,0.03462638319035194,92.72235560929812,42.86396747679214,16243.8,17740.95,20711.7,23330.192219657296,12151.707780342706,1
2020-04-03,17290,17336,16503,16827,337151,0.011055699092711757,0.011055699092711757,167.7986333119252,43.794263096318936,16373.4,17430.35,20672.283333333333,22470.879070444844,12389.820929555153,1
2020-04-06,17012,17522,16595,17476,346003,0.038568966541867145,0.038568966541867145,261.1114471003523,47.06797858136049,16623.6,17214.75,20624.366666666665,21843.31283850609,12586.187161493908,1
2020-04-07,17986,18171,17429,17848,405194,0.021286335545891433,0.021286335545891433,342.6903378331913,48.905030200860175,16976.0,16976.05,20565.65,20903.926498822173,13048.173501177826,1
2020-04-08,17846,18727,17522,18033,487815,0.010365307037202953,0.010365307037202953,399.9231689307603,49.83741726839136,17365.4,16779.0,20510.783333333333,20019.436205204405,13538.563794795597,1
2020-04-09,18635,18681,17846,18079,321628,0.0025508789441579527,0.0025508789441579527,429.11396086280047,50.08133973442145,17652.6,16656.15,20465.966666666667,19476.619554879027,13835.680445120974,1
2020-04-10,18217,18217,17244,17662,266247,-0.023065435035123594,-0.023065435035123594,408.672700496679,47.81163973222247,17819.6,16563.45,20411.883333333335,19110.46271885311,14016.437281146895,0
2020-04-13,17429,17522,16687,16689,241901,-0.05509002377986638,-0.05509002377986638,321.78052709563735,42.92344438736902,17662.2,16512.5,20336.95,19006.100569457645,14018.899430542355,0
2020-04-14,17336,17708,17151,17523,266848,0.04997303613158377,0.04997303613158377,312.37835569237325,47.84548009929458,17597.2,16487.0,20275.916666666668,18927.754145750754,14046.245854249248,1
2020-04-16,17800,18542,17522,18450,398188,0.052901900359527465,0.052901900359527465,357.261362946595,52.725405496779395,17680.6,16607.5,20225.7,19182.361510838884,14032.638489161116,1
2020-04-17,19191,19654,18820,19099,469177,0.03517615176151767,0.03517615176151767,415.26084564472774,55.84065945181579,17884.6,16922.7,20192.466666666667,19059.75190390864,14785.648096091361,1
2020-04-20,19191,19283,18588,18635,271395,-0.024294465678831312,-0.024294465678831312,406.4655290251924,53.144285143467414,18079.2,17075.65,20145.333333333332,19242.9271188751,14908.3728811249,0
2020-04-21,18356,18867,17800,18311,387404,-0.017386638046686387,-0.017386638046686387,364.27364702871296,51.28216496452178,18403.6,17263.4,20081.216666666667,19158.546580082817,15368.253419917188,0
2020-04-22,17846,18356,17614,18357,203224,0.0025121511659658147,0.0025121511659658147,326.1434953119579,51.54177182918386,18570.4,17383.9,20031.75,19234.875407724157,15532.924592275847,1
2020-04-23,18727,18727,17986,18126,314817,-0.012583755515607087,-0.012583755515607087,274.13716313046837,50.09803603488203,18505.6,17441.85,19976.9,19309.484469054263,15574.215530945732,0
2020-04-24,17846,17986,17383,17476,283825,-0.035860090477766726,-0.035860090477766726,188.79535254269734,46.17833694250674,18181.0,17490.5,19905.033333333333,19307.788254515395,15673.211745484605,0
