Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,142000,146000,142000,143500,47190,0.0034965034965035446,-0.02430555555555558,-187.25476128810772,48.2658626210594,144200.0,145575.0,145583.33333333334,153100.12458368635,138049.87541631365
2020-02-17,145500,145500,142500,144000,48958,0.0034843205574912606,0.007117437722419906,-170.10801462525677,49.075055895329825,144700.0,145700.0,145491.66666666666,153030.75712324455,138369.24287675545
2020-02-18,143000,144000,140500,140500,72876,-0.02430555555555558,-0.03180212014134276,-373.9244348362959,43.89885665176519,143600.0,145500.0,145308.33333333334,153161.59252375123,137838.40747624877
2020-02-19,142000,143000,140500,141500,52743,0.007117437722419906,-0.010948905109489093,-417.5201571341695,45.66232580169025,142500.0,145400.0,145133.33333333334,153214.08983823456,137585.91016176544
2020-02-20,141500,142000,137000,137000,95621,-0.03180212014134276,-0.047970479704797064,-708.4528282728585,39.625988970385464,141300.0,145025.0,144925.0,153653.2964714943,136396.7035285057
2020-02-21,137000,138000,135000,135500,72270,-0.010948905109489093,-0.011627906976744207,-946.0926371135528,37.83074388283731,139700.0,144500.0,144675.0,154055.10334847306,134944.89665152694
2020-02-24,133000,133500,129000,129000,87117,-0.047970479704797064,-0.0117647058823529,-1454.8040234530772,31.228374821105263,136700.0,143150.0,144300.0,153426.67261325382,132873.32738674618
2020-02-25,126000,129500,126000,127500,116620,-0.011627906976744207,-0.003968253968253954,-1784.3462198277343,29.930217363631172,134100.0,141900.0,143916.66666666666,153339.40557896264,130460.59442103736
2020-02-26,126000,127500,124500,126000,115529,-0.0117647058823529,-0.019920318725099584,-1980.2466065686838,28.647730585848564,131000.0,140650.0,143466.66666666666,153244.04621239743,128055.95378760257
2020-02-27,125500,128000,124500,125500,93438,-0.003968253968253954,-0.004065040650406471,-2013.7824277236077,28.213752985743326,128700.0,139550.0,143025.0,153344.56414679356,125755.43585320644
2020-02-28,123500,125500,121000,123000,100883,-0.019920318725099584,-0.01632653061224487,-2066.83879166951,26.08591819345287,126200.0,138350.0,142566.66666666666,153456.6210649504,123243.37893504962
2020-03-02,121500,124000,120000,122500,92130,-0.004065040650406471,0.029045643153526868,-1997.002880071479,25.668952927730004,124900.0,137325.0,142141.66666666666,153754.47047229466,120895.52952770532
2020-03-03,124000,125000,120500,120500,97616,-0.01632653061224487,0.0,-1944.9763070765416,24.015363845646732,123500.0,136075.0,141683.33333333334,153594.34644899756,118555.65355100246
2020-03-04,121000,125000,121000,124000,80779,0.029045643153526868,-0.028225806451612878,-1551.4094559907753,32.24166999883306,123100.0,135225.0,141291.66666666666,153345.36147542327,117104.63852457675
2020-03-05,124500,125500,122500,124000,109709,0.0,-0.05809128630705396,-1184.2290473984722,32.24166999883306,122800.0,134200.0,140900.0,152424.70850247002,115975.29149752998
2020-03-06,123000,123000,120000,120500,100576,-0.028225806451612878,-0.004405286343612369,-1073.4980793439172,28.64502441960252,122300.0,133100.0,140483.33333333334,151836.59520830837,114363.40479169165
2020-03-09,118500,119000,113500,113500,141332,-0.05809128630705396,-0.008849557522123908,-1350.2244567794605,23.09584620043833,120500.0,131700.0,139941.66666666666,151847.95274959726,111552.04725040274
2020-03-10,111500,115500,111500,113000,116969,-0.004405286343612369,-0.0357142857142857,-1437.4028886240594,22.756731967269218,119000.0,130050.0,139383.33333333334,150643.44555920656,109456.55444079344
2020-03-11,112500,115500,110500,112000,113756,-0.008849557522123908,-0.06481481481481477,-1429.8390028423428,22.059118319171205,116600.0,128300.0,138833.33333333334,148782.67560647303,107817.32439352699
2020-03-12,113000,113000,105000,108000,183492,-0.0357142857142857,-0.0217821782178218,-1551.4830783663638,19.485933581539584,113400.0,126550.0,138183.33333333334,147680.3099835285,105419.69001647148
2020-03-13,98200,102500,93800,101000,210940,-0.06481481481481477,-0.07591093117408909,-1935.6522651010182,15.974179413112594,109500.0,124425.0,137383.33333333334,146819.80966652778,102030.19033347223
2020-03-16,101500,104000,98500,98800,118283,-0.0217821782178218,-0.04490690032858713,-2153.491792628659,15.05581213758839,106560.0,122165.0,136563.33333333334,145312.11861117935,99017.88138882064
2020-03-17,93500,96200,90900,91300,206253,-0.07591093117408909,-0.08715596330275233,-2588.9849789421896,12.431853465695866,102220.0,119705.0,135643.33333333334,144901.7835248868,94508.21647511321
2020-03-18,91000,93300,86400,87200,187253,-0.04490690032858713,0.017587939698492372,-2915.189112040822,11.275004158537214,97260.0,116990.0,134663.33333333334,143854.54168602187,90125.45831397812
2020-03-19,86800,88900,77500,79600,207059,-0.08715596330275233,-0.09506172839506177,-3372.5103418747167,9.508662333982826,91580.0,114120.0,133548.33333333334,143923.9997315798,84316.0002684202
2020-03-20,79200,82300,77100,81000,237990,0.017587939698492372,0.09549795361527957,-3305.994085609773,12.236211152561935,87580.0,111395.0,132431.66666666666,142804.2645568152,79985.73544318478
2020-03-23,75000,76800,70300,73300,231152,-0.09506172839506177,0.1095890410958904,-3487.8392450287392,10.38259860156144,82480.0,108610.0,131211.66666666666,143016.04016738935,74203.95983261065
2020-03-24,75700,80300,73400,80300,146516,0.09549795361527957,-0.001122334455667784,-2869.7507552201296,21.956986372977653,80280.0,106250.0,130125.0,141611.30653694813,70888.69346305188
2020-03-25,84000,90400,83500,89100,253558,0.1095890410958904,-0.005617977528089901,-1661.268034010498,33.572146838811776,80660.0,104405.0,129143.33333333333,139299.38206932473,69510.61793067527
2020-03-26,88300,92900,86100,89000,195761,-0.001122334455667784,-0.016949152542372836,-710.2791496522132,33.51111140642489,82540.0,102580.0,128218.33333333333,136679.24339336593,68480.75660663407
2020-03-27,93000,94000,86800,88500,128200,-0.005617977528089901,0.04137931034482767,5.55698182926244,33.186236918031156,84040.0,100855.0,127310.0,134128.26103645406,67581.73896354595
2020-03-30,85300,89300,83400,87000,137487,-0.016949152542372836,-0.04856512141280356,472.648281294707,32.17838447803172,86780.0,99080.0,126451.66666666667,131316.60031703112,66843.39968296887
2020-03-31,88400,93100,87100,90600,159249,0.04137931034482767,0.022041763341067222,1083.7382657210474,37.11450074344794,88840.0,97585.0,125661.66666666667,128453.70745593362,66716.29254406638
2020-04-01,88800,90900,86200,86200,120861,-0.04856512141280356,0.015891032917139558,1240.038120134217,33.869867545996925,88260.0,95695.0,124806.66666666667,124417.14998916363,66972.85001083637
2020-04-02,86200,88900,85700,88100,82836,0.022041763341067222,0.11508379888268161,1502.3158195040487,36.4533199135021,88080.0,93900.0,123966.66666666667,119656.08665927363,68143.91334072637
2020-04-03,87000,90000,86600,89500,92921,0.015891032917139558,-0.012024048096192397,1781.936435017633,38.36402839146653,88280.0,92350.0,123233.33333333333,115068.40663426934,69631.59336573066
