Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-03-30,18000,18000,16850,17200,514919,-0.052341597796143224,-0.052341597796143224,-31.02597544066839,33.01101842467541,17030.0,21300.0,27725.0,32012.516044328724,10587.483955671276
2020-03-31,17400,18400,17200,17950,490408,0.043604651162790775,0.043604651162790775,142.96003638855836,36.52778675839969,17530.0,20792.5,27453.333333333332,31123.24416487023,10461.755835129768
2020-04-01,18000,23300,17950,21000,1481838,0.16991643454039007,0.16991643454039007,468.2743178458768,48.39292691804042,18330.0,20412.5,27244.166666666668,30105.996531180084,10719.003468819914
2020-04-02,21450,22450,18750,19850,1573164,-0.05476190476190479,-0.05476190476190479,602.2832348732454,44.978799138711736,18830.0,19940.0,27012.5,28734.1230375746,11145.876962425396
2020-04-03,20100,23000,20000,20350,1705262,0.025188916876574208,0.025188916876574208,713.2871067844017,46.738222619311905,19270.0,19535.0,26803.333333333332,27423.605706967508,11646.39429303249
2020-04-06,21300,21650,20600,21400,662927,0.051597051597051635,0.051597051597051635,837.5268452079263,50.33022402610545,20110.0,19230.0,26604.166666666668,26291.543740571207,12168.456259428795
2020-04-07,22250,22250,21250,21550,775026,0.007009345794392496,0.007009345794392496,904.2049254250751,50.84027889400871,20830.0,18965.0,26413.333333333332,25213.847893812137,12716.152106187863
2020-04-08,21250,21600,20600,21000,574218,-0.025522041763341052,-0.025522041763341052,884.5758676885489,48.85908869096162,20830.0,18747.5,26211.666666666668,24362.96747831384,13132.03252168616
2020-04-09,21650,21650,20850,21100,578321,0.004761904761904745,0.004761904761904745,851.3455097195258,49.24635301999938,21080.0,18587.5,26000.833333333332,23722.85539179134,13452.144608208659
2020-04-10,21500,25500,21300,22600,3419128,0.07109004739336489,0.07109004739336489,898.7364512596339,54.77811672291808,21530.0,18662.5,25811.666666666668,23982.920566083136,13342.079433916864
2020-04-13,22500,23250,21850,22200,804323,-0.017699115044247815,-0.017699115044247815,870.8729865509217,53.11557828303927,21690.0,18697.5,25628.333333333332,24100.691186697022,13294.308813302978
2020-04-14,22600,23200,21850,22250,1043555,0.0022522522522523403,0.0022522522522523403,824.0352198098922,53.30635136934004,21830.0,18812.5,25455.0,24411.774506576756,13213.225493423244
2020-04-16,21850,22700,21100,21600,1066343,-0.02921348314606742,-0.02921348314606742,721.2095336531352,50.433359002997236,21950.0,19035.0,25276.666666666668,24705.54671085605,13364.453289143948
2020-04-17,21750,22550,21700,22450,811049,0.03935185185185186,0.03935185185185186,682.764709966182,53.930096789988035,22220.0,19472.5,25115.0,24766.787015264697,14178.212984735303
2020-04-20,22850,26450,22800,24900,2632247,0.10913140311804015,0.10913140311804015,787.2400080206057,62.20620128651512,22680.0,19982.5,24999.166666666668,25304.64947178303,14660.350528216974
2020-04-21,24650,25050,22850,24450,1147474,-0.01807228915662651,-0.01807228915662651,788.9525975066117,60.07163696895936,23130.0,20490.0,24880.833333333332,25472.830520898773,15507.169479101227
2020-04-22,24500,24700,23550,24450,636539,0.0,0.0,753.0855014951827,60.07163696895935,23570.0,20940.0,24773.333333333332,25638.36141649409,16241.638583505912
2020-04-23,24650,24950,23750,24150,565780,-0.012269938650306789,-0.012269938650306789,674.6826657571987,58.519067405643355,24080.0,21297.5,24659.166666666668,25827.34271250121,16767.65728749879
2020-04-24,23700,23800,22500,22600,686023,-0.06418219461697727,-0.06418219461697727,492.4194405751423,51.161711096144714,24110.0,21560.0,24522.5,25739.306162510748,17380.693837489252
