Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2020-03-30,20250,21150,19900,20900,557595,0.0,0.0,392.83390479408627,42.7204211908595,20200.0,21557.5,27805.0,27901.416377128568,15213.583622871434,20950.0
2020-03-31,21700,21700,20750,20950,747780,0.0023923444976077235,0.0023923444976077235,476.4067246233344,42.95421298947251,20830.0,21327.5,27588.333333333332,27403.63981076802,15251.36018923198,20250.0
2020-04-01,20800,21850,20250,20250,722604,-0.03341288782816232,-0.03341288782816232,481.10546975689294,40.46413777195797,20710.0,21052.5,27360.833333333332,26791.617963589877,15313.382036410123,20500.0
2020-04-02,20100,20550,19700,20500,514916,0.012345679012345734,0.012345679012345734,495.6514008753079,41.762617573696524,20700.0,20745.0,27140.833333333332,25878.604971167922,15611.395028832076,20300.0
2020-04-03,20550,20700,19900,20300,568670,-0.009756097560975618,-0.009756097560975618,485.75919713158555,40.99236319286258,20580.0,20462.5,26938.333333333332,25007.373485587912,15917.626514412088,20850.0
2020-04-06,20450,21050,20300,20850,471693,0.027093596059113212,0.027093596059113212,507.8243139619624,44.048518586592664,20570.0,20270.0,26734.166666666668,24386.600539279956,16153.399460720044,22100.0
2020-04-07,21600,22200,21100,22100,1094423,0.05995203836930463,0.05995203836930463,592.277900665428,50.3432539274107,20800.0,20142.5,26556.666666666668,23845.77895249602,16439.22104750398,22500.0
2020-04-08,21850,23250,21500,22500,1076683,0.018099547511312153,0.018099547511312153,655.8132396657638,52.19661155142003,21250.0,20072.5,26375.0,23534.0711750591,16610.9288249409,22650.0
2020-04-09,23000,23200,22550,22650,628180,0.006666666666666599,0.006666666666666599,685.4576518170275,52.906448120518604,21680.0,20080.0,26199.166666666668,23563.159485294927,16596.840514705073,23000.0
2020-04-10,22650,23150,22400,23000,532020,0.015452538631346657,0.015452538631346657,703.5071146468272,54.60044555002948,22220.0,20177.5,26027.5,23866.873253006535,16488.126746993465,22000.0
2020-04-13,23000,23000,22000,22000,548489,-0.04347826086956519,-0.04347826086956519,625.5856240335838,49.15948853562174,22450.0,20257.5,25844.166666666668,24031.128890073855,16483.871109926145,22550.0
2020-04-14,22200,22750,22000,22550,406823,0.02499999999999991,0.02499999999999991,589.0877151029262,51.9930374225416,22540.0,20400.0,25670.833333333332,24292.04316522826,16507.95683477174,22100.0
2020-04-16,22100,22350,21400,22100,728349,-0.019955654101995512,-0.019955654101995512,515.3062714782769,49.55926394416264,22460.0,20575.0,25492.5,24442.234153758993,16707.765846241007,22600.0
2020-04-17,22400,22950,22400,22600,574064,0.02262443438914019,0.02262443438914019,481.4762692007365,52.23467125583102,22450.0,20885.0,25325.0,24335.37679101863,17434.62320898137,23600.0
2020-04-20,22700,24400,22600,23600,1117443,0.04424778761061954,0.04424778761061954,505.2719310910247,57.13197102886538,22570.0,21165.0,25175.833333333332,24541.551495238895,17788.448504761105,24900.0
2020-04-21,23600,28800,23050,24900,7928199,0.05508474576271194,0.05508474576271194,581.932517178659,62.51286249822781,23150.0,21592.5,25052.5,24562.8998047401,18622.1001952599,24000.0
2020-04-22,24500,25150,23800,24000,1388639,-0.03614457831325302,-0.03614457831325302,545.9839366727367,57.16325962821121,23440.0,21902.5,24935.0,24495.080760555014,19309.919239444986,24100.0
2020-04-23,24100,24500,24000,24100,803616,0.004166666666666652,0.004166666666666652,503.911852125187,57.5974560539911,23840.0,22065.0,24814.166666666668,24777.95042343203,19352.04957656797,25450.0
2020-04-24,24650,26500,24500,25450,3553804,0.05601659751037347,0.05601659751037347,538.8307247993357,63.04347784172204,24410.0,22310.0,24725.0,25302.089570851786,19317.910429148214,25600.0
2020-04-27,25250,25800,25000,25600,1189479,0.005893909626718985,0.005893909626718985,542.3662320937987,63.60284513860726,24810.0,22545.0,24650.0,25785.20061107334,19304.79938892666,25500.0
2020-04-28,25700,26750,25050,25500,2170777,-0.00390625,-0.00390625,508.8553385237991,62.91911923129264,24930.0,22775.0,24573.333333333332,26165.05899653679,19384.94100346321,25650.0
2020-04-29,25550,26100,25300,25650,1134153,0.00588235294117645,0.00588235294117645,468.67580672214524,63.552047612565474,25260.0,23010.0,24492.5,26511.22835587741,19508.77164412259,23850.0
2020-05-04,24300,24850,23850,23850,1373770,-0.07017543859649122,-0.07017543859649122,300.910127709119,52.06699536733883,25210.0,23190.0,24384.166666666668,26468.200726008097,19911.799273991903,24050.0
2020-05-06,24250,24400,23850,24050,606838,0.008385744234800763,0.008385744234800763,188.9199700783454,53.081581600276806,24930.0,23367.5,24261.666666666668,26420.5763174215,20314.4236825785,24100.0
2020-05-07,24050,24300,23950,24100,453635,0.0020790020790020236,0.0020790020790020236,107.75630141748604,53.347442494260214,24630.0,23557.5,24147.5,26278.212222929877,20836.787777070123,24050.0
2020-05-08,24200,24450,24050,24050,536712,-0.0020746887966804906,-0.0020746887966804906,43.541447672880395,53.02387325417067,24340.0,23717.5,24026.666666666668,26142.84018232495,21292.15981767505,23900.0
2020-05-11,24300,24300,23700,23900,453300,-0.006237006237006182,-0.006237006237006182,-13.164974640554135,52.00480554626598,23990.0,23807.5,23901.666666666668,26116.888447186837,21498.111552813163,23300.0
2020-05-12,23850,23950,23050,23300,632801,-0.025104602510460206,-0.025104602510460206,-90.88055631257993,48.028537710182746,23880.0,23847.5,23769.166666666668,26091.709214846072,21603.290785153928,23900.0
2020-05-13,22900,23900,22800,23900,561222,0.025751072961373467,0.025751072961373467,-100.9019610930767,51.982364227581336,23850.0,23910.0,23654.166666666668,26085.913601225937,21734.086398774063,23400.0
2020-05-14,23650,23800,23150,23400,497724,-0.02092050209205021,-0.02092050209205021,-137.93808287365493,48.66013624979447,23710.0,23930.0,23535.0,26079.27894885704,21780.72105114296,23350.0
2020-05-15,23450,23600,23050,23350,362692,-0.002136752136752129,-0.002136752136752129,-160.93267369399632,48.32751305272945,23570.0,23997.5,23415.0,25978.276362944598,22016.723637055402,23300.0
2020-05-18,23500,23550,22850,23300,447628,-0.0021413276231263545,-0.0021413276231263545,-173.55409237387778,47.97435182976561,23450.0,24035.0,23297.5,25931.33857736429,22138.66142263571,23850.0
2020-05-19,23800,24200,23400,23850,670592,0.023605150214592197,0.023605150214592197,-140.3260089212451,52.11927646378105,23560.0,24122.5,23196.666666666668,25802.819910017144,22442.180089982856,23800.0
2020-05-20,23800,24050,23550,23800,343833,-0.002096436058700246,-0.002096436058700246,-118.07298375704534,51.71589569647916,23540.0,24182.5,23100.0,25720.770132323978,22644.229867676022,24150.0
2020-05-21,24050,24650,23750,24150,675007,0.014705882352941124,0.014705882352941124,-78.06927511555122,54.37770339460199,23690.0,24210.0,23023.333333333332,25725.1237573215,22694.8762426785,23750.0
2020-05-22,24450,24450,23400,23750,492228,-0.0165631469979296,-0.0165631469979296,-76.72215466183269,50.92261006424113,23770.0,24152.5,22966.666666666668,25645.642658957953,22659.357341042047,23850.0
2020-05-25,23900,23950,23600,23850,298244,0.004210526315789442,0.004210526315789442,-67.59115584323425,51.74803693081735,23880.0,24145.0,22898.333333333332,25642.63146334471,22647.36853665529,24250.0
2020-05-26,23850,24400,23800,24250,464268,0.016771488469601747,0.016771488469601747,-34.76068184889141,55.00775109120832,23960.0,24152.5,22847.5,25650.657201364404,22654.342798635596,25700.0
