Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,86800,87600,86300,86500,1508923,-0.0023068050749711633,-0.024390243902439046,540.8333711460377,62.7562840174023,86060.0,83035.0,81650.0,87890.21369251653,78179.78630748347
2020-02-17,85800,86900,85800,86100,41454,-0.0046242774566473965,-0.0023809523809523725,456.93503070332326,61.03243477441971,86280.0,83310.0,81713.33333333333,88205.2630164272,78414.7369835728
2020-02-18,86100,86400,83600,84000,64946,-0.024390243902439046,-0.01670644391408116,237.14994996341943,52.82797462360103,86060.0,83440.0,81746.66666666667,88263.02809446513,78616.97190553487
2020-02-19,84000,84900,83400,83800,68566,-0.0023809523809523725,-0.016990291262135915,64.42823862596128,52.10951603905259,85420.0,83555.0,81783.33333333333,88296.50819887512,78813.49180112488
2020-02-20,83900,84400,82400,82400,60731,-0.01670644391408116,-0.03580246913580243,-146.4687485911279,47.26388929553564,84560.0,83700.0,81816.66666666667,88101.81780631593,79298.18219368407
2020-02-21,81600,83100,80800,81000,37462,-0.016990291262135915,0.010243277848911658,-369.9038586852846,42.961614060810795,83460.0,83580.0,81833.33333333333,88136.1387160621,79023.8612839379
2020-02-24,80000,80800,77600,78100,55077,-0.03580246913580243,-0.012674271229404344,-684.3681936235406,35.71029773416413,81860.0,83260.0,81780.0,88377.18672709918,78142.81327290082
2020-02-25,77600,79200,77600,78900,56880,0.010243277848911658,-0.00898587933247752,-801.7179734277101,38.78006733857336,80840.0,83010.0,81693.33333333333,88455.69554786163,77564.30445213837
2020-02-26,77300,79100,77100,77900,60132,-0.012674271229404344,-0.029792746113989632,-902.4130168881802,36.43792795813304,79660.0,82710.0,81625.0,88571.70623624214,76848.29376375786
2020-02-27,78400,78800,77200,77200,57097,-0.00898587933247752,-0.013351134846461998,-966.188512745242,34.851192440959395,78620.0,82455.0,81551.66666666667,88790.44789261185,76119.55210738815
2020-02-28,77000,77000,73900,74900,114587,-0.029792746113989632,-0.021650879566982417,-1103.3864575860334,30.19806947613918,77400.0,82185.0,81445.0,89279.58244014403,75090.41755985597
2020-03-02,74900,76000,73600,73900,82871,-0.013351134846461998,0.015214384508990264,-1193.9342241512597,28.42131313455934,76560.0,81905.0,81320.0,89798.40864265876,74011.59135734124
2020-03-03,75500,75500,72300,72300,45060,-0.021650879566982417,0.021798365122615904,-1286.0652798767514,25.805177748509834,75240.0,81520.0,81175.0,90432.82222418915,72607.17777581085
2020-03-04,72300,74100,72300,73400,47185,0.015214384508990264,-0.03733333333333333,-1199.1201531692263,30.53902598217421,74340.0,81165.0,81015.0,90752.13200076019,71577.86799923981
2020-03-05,74800,75600,74300,75000,146048,0.021798365122615904,-0.049861495844875314,-969.8494825118967,36.85039205868532,73900.0,80660.0,80891.66666666667,90427.16949786375,70892.83050213625
2020-03-06,74900,74900,72200,72200,72638,-0.03733333333333333,-0.01603498542274051,-941.9779032651791,31.46271632692286,73360.0,80070.0,80721.66666666667,90369.92232980423,69770.07767019577
2020-03-09,72500,72500,68600,68600,179610,-0.049861495844875314,-0.01777777777777778,-1090.707619875629,26.16580614829141,72300.0,79250.0,80508.33333333333,90423.62966989688,68076.37033010312
2020-03-10,67100,69700,65000,67500,127777,-0.01603498542274051,-0.039215686274509776,-1180.3008470474533,24.792337540017186,71340.0,78370.0,80293.33333333333,90308.19081770768,66431.80918229232
2020-03-11,68000,68900,65500,66300,120852,-0.01777777777777778,-0.058084772370486704,-1231.8234652902297,23.35225718039112,69920.0,77335.0,80050.0,89683.16180652003,64986.83819347997
2020-03-12,66100,66200,62500,63700,113400,-0.039215686274509776,-0.05166666666666664,-1343.3204171162315,20.565012956934964,67660.0,76185.0,79750.0,89101.23397124719,63268.76602875281
2020-03-13,58100,61300,55000,60000,262859,-0.058084772370486704,-0.04217926186291743,-1553.7009961246013,17.384968900711144,65220.0,74860.0,79386.66666666667,88677.29351211735,61042.70648788266
2020-03-16,61600,61700,56900,56900,122600,-0.05166666666666664,-0.062385321100917435,-1773.1996222255002,15.256343411677761,62880.0,73400.0,78983.33333333333,88287.4443743713,58512.55562562869
2020-03-17,56000,56500,54100,54500,120859,-0.04217926186291743,-0.09295499021526421,-1938.1929376207318,13.843170986493021,60280.0,71925.0,78523.33333333333,88108.4328867518,55741.567113248195
2020-03-18,55100,55200,50800,51100,185432,-0.062385321100917435,0.024811218985976158,-2119.774288034164,12.129110961234801,57240.0,70290.0,77988.33333333333,87889.53408474213,52690.46591525787
2020-03-19,51100,52400,45050,46350,136132,-0.09295499021526421,-0.012631578947368438,-2383.5563547608926,10.224405287140144,53770.0,68487.5,77374.16666666667,88033.39151202881,48941.608487971185
2020-03-20,46700,48900,45100,47500,142941,0.024811218985976158,0.04797441364605537,-2303.0755225626817,13.755577036371719,51270.0,66812.5,76787.5,87491.0365778142,46133.96342218579
2020-03-23,44950,50000,44000,46900,129998,-0.012631578947368438,0.06408952187182093,-2117.468049711789,13.45814761147848,49270.0,65252.5,76179.16666666667,86970.86722684282,43534.13277315719
2020-03-24,48050,49850,47200,49150,107314,0.04797441364605537,0.0497131931166348,-1688.9926056845352,20.40821938812175,48200.0,63765.0,75606.66666666667,85615.49427358566,41914.50572641434
2020-03-25,52000,54800,51200,52300,434850,0.06408952187182093,0.016393442622950838,-1069.4681600241156,29.004430440180954,48440.0,62485.0,75078.33333333333,83867.70562861492,41102.294371385084
2020-03-26,53400,56500,52000,54900,118551,0.0497131931166348,-0.010752688172043001,-395.3365773632122,35.22321766700223,50150.0,61370.0,74645.0,81874.81406889611,40865.18593110389
2020-03-27,57400,57800,54200,55800,47694,0.016393442622950838,0.030797101449275388,170.0936328789785,37.27151543041659,51810.0,60415.0,74251.66666666667,80071.85885384539,40758.141146154616
2020-03-30,53600,56400,52500,55200,92213,-0.010752688172043001,-0.02108963093145866,541.6369693124107,36.44415447401497,53470.0,59480.0,73858.33333333333,78240.74092353496,40719.25907646504
2020-03-31,55900,57600,55500,56900,142965,0.030797101449275388,0.010771992818671361,917.7249803790273,40.47590043976892,55020.0,58710.0,73496.66666666667,76544.0853423998,40875.914657600195
2020-04-01,56900,59500,55700,55700,142735,-0.02108963093145866,0.005328596802841812,1089.7834445264798,38.61382410269334,55700.0,57825.0,73116.66666666667,74365.08766603126,41284.912333968736
2020-04-02,55500,57700,54100,56300,47880,0.010771992818671361,0.035335689045936425,1237.3285103316175,40.09770522506898,55980.0,56890.0,72741.66666666667,71434.64162501089,42345.358374989104
2020-04-03,57300,57300,56000,56600,23040,0.005328596802841812,0.03754266211604085,1339.8090756969023,40.867385399768395,56140.0,56110.0,72398.33333333333,68847.76275489536,43372.23724510464
2020-04-06,56500,58700,56000,58600,32164,0.035335689045936425,0.00164473684210531,1514.1082172443912,45.86158400934398,56820.0,55610.0,72106.66666666667,67068.21102965028,44151.78897034971
2020-04-07,62500,62500,59600,60800,55789,0.03754266211604085,0.04761904761904767,1733.5973758340924,50.7854849358831,57600.0,55275.0,71838.33333333333,65665.11549502697,44884.88450497304
2020-04-08,60600,61700,59800,60900,52078,0.00164473684210531,0.014106583072100332,1831.9364641405127,51.00362213824621,58640.0,55005.0,71541.66666666667,64474.99999999997,45535.00000000003
2020-04-09,61700,65300,61300,63800,74567,0.04761904761904767,-0.026275115919629055,2023.7000428786278,56.96131612521438,60140.0,55010.0,71278.33333333333,64498.44560505036,45521.55439494964
2020-04-10,63800,65900,63200,64700,79954,0.014106583072100332,0.02063492063492056,2131.7199692289705,58.64206287641043,61760.0,55245.0,71046.66666666667,65423.84571059015,45066.15428940985
2020-04-13,64500,64500,62300,63000,55554,-0.026275115919629055,-0.02488335925349927,2010.8038666746447,54.32642017215284,62640.0,55550.0,70753.33333333333,66260.60222396479,44839.39777603521
2020-04-14,63300,64600,62600,64300,74851,0.02063492063492056,0.009569377990430672,1939.6036810280943,56.936335059619836,63340.0,56040.0,70468.33333333333,67391.14972150396,44688.85027849604
2020-04-16,64200,64200,62700,62700,76518,-0.02488335925349927,-0.020537124802527673,1713.8049261245246,52.92762185344733,63700.0,56620.0,70155.0,68087.05716389342,45152.94283610658
2020-04-17,63700,64900,63200,63300,85820,0.009569377990430672,-0.0370967741935484,1539.436279234581,54.22905338200769,63600.0,57467.5,69885.0,68258.71286047122,46676.28713952877
2020-04-20,63700,63700,62000,62000,57579,-0.020537124802527673,-0.008375209380234505,1281.6814723514276,50.94270236719216,63060.0,58192.5,69528.33333333333,68121.56214100806,48263.437858991936
2020-04-21,61300,61300,59000,59700,86392,-0.0370967741935484,-0.0050675675675675436,918.4348935886887,45.66946831727719,62400.0,58832.5,69115.0,67311.78505240858,50353.21494759142
2020-04-22,59100,60400,56900,59200,88256,-0.008375209380234505,-0.02376910016977929,620.8885977913513,44.5889086264494,61380.0,59335.0,68703.33333333333,66557.54110407131,52112.458895928685
2020-04-23,59800,60700,58500,58900,63432,-0.0050675675675675436,0.012173913043478368,391.46823708466763,43.917485634973424,60620.0,59665.0,68286.66666666667,66135.63366294211,53194.36633705789
2020-04-24,58900,59700,57500,57500,71059,-0.02376910016977929,0.012027491408934665,145.68282158391958,40.82778336343313,59460.0,59795.0,67873.33333333333,65975.44496779962,53614.55503220038
2020-04-27,58000,58800,57500,58200,91725,0.012173913043478368,-0.005093378607809895,36.20963780184388,42.98753432352941,58700.0,59915.0,67505.0,65869.58646758947,53960.41353241053
