Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,11523,11523,11423,11424,504795,-0.004357678229039541,0.0043767507002800965,-5.195699451292299,34.4072712796373,11483.6,11540.7,11698.733333333334,11641.435495233796,11439.964504766205
2020-02-17,11423,11473,11423,11424,355924,0.0,0.0,-7.022905892744355,34.4072712796373,11463.8,11533.25,11694.583333333334,11644.788110079013,11421.711889920987
2020-02-18,11423,11473,11423,11474,438938,0.0043767507002800965,0.0,-4.218542692966736,41.55785462851003,11454.0,11530.8,11689.6,11645.245795029778,11416.354204970221
2020-02-19,11473,11523,11423,11474,403376,0.0,0.0,-1.8394790021661933,41.55785462851003,11454.0,11528.35,11685.45,11645.426513443124,11411.273486556876
2020-02-20,11473,11473,11423,11474,329702,0.0,-0.008715356458079082,0.15249329067189876,41.55785462851003,11454.0,11523.4,11680.466666666667,11640.877487204985,11405.922512795014
2020-02-21,11473,11473,11423,11474,591550,0.0,0.0,1.7970741522509996,41.55785462851003,11464.0,11518.45,11675.483333333334,11635.492684521492,11401.40731547851
2020-02-24,11473,11473,11373,11374,952976,-0.008715356458079082,-0.008791981712678032,-3.24815712876903,32.13415578351781,11454.0,11508.5,11668.0,11638.426902525985,11378.573097474015
2020-02-25,11373,11423,11323,11374,672493,0.0,0.004434983147064031,-5.832784108071827,32.13415578351781,11434.0,11503.5,11661.35,11645.489436226773,11361.510563773227
2020-02-26,11373,11373,11273,11274,953636,-0.008791981712678032,-0.022077004592017002,-13.108133850673063,25.442941168549012,11394.0,11486.05,11652.2,11649.209400587266,11322.890599412733
2020-02-27,11323,11373,11273,11324,339253,0.004434983147064031,0.009030160736861026,-13.339626230255249,32.959670200047,11364.0,11471.1,11642.233333333334,11636.108969453166,11306.091030546835
2020-02-28,11273,11273,11024,11074,1785690,-0.022077004592017002,0.0,-28.258925502621693,21.362588962730726,11284.0,11446.15,11628.1,11678.956593549225,11213.343406450775
2020-03-02,11024,11224,10924,11174,1448509,0.009030160736861026,0.017898693395382193,-29.201573120855244,31.712812774336385,11244.0,11426.2,11615.633333333333,11679.580820110745,11172.819179889257
