Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,49000,49350,48600,48600,71864,-0.011190233977619535,-0.009345794392523366,-361.5348441381276,33.16779258859363,49160.0,51775.0,52246.666666666664,55937.030754331354,47612.969245668646
2020-02-17,48650,48650,47800,48150,72229,-0.0092592592592593,-0.012578616352201255,-355.8632971851148,31.475593952197784,48960.0,51442.5,52210.833333333336,55647.054078615234,47237.945921384766
2020-02-18,47800,48200,47500,47700,69082,-0.009345794392523366,0.002123142250530785,-354.54703544017684,29.836272864735477,48640.0,51102.5,52162.5,55362.485328613235,46842.514671386765
2020-02-19,48150,48350,46950,47100,94424,-0.012578616352201255,-0.010593220338983023,-364.7941478648338,27.76022886542026,48140.0,50767.5,52115.0,55177.40646159303,46357.59353840697
2020-02-20,47100,47900,47000,47200,74346,0.002123142250530785,-0.02997858672376874,-336.24798430774104,28.65129818735886,47750.0,50432.5,52079.166666666664,54857.57344571816,46007.42655428184
2020-02-21,46850,46850,46200,46700,88246,-0.010593220338983023,0.014348785871964642,-322.4076050982833,26.86683988077995,47370.0,50042.5,52030.833333333336,54337.87833025218,45747.12166974782
2020-02-24,46250,46450,45000,45300,103698,-0.02997858672376874,-0.01196953210010876,-375.2111274553572,22.618917011631822,46800.0,49607.5,51945.833333333336,53973.19295759562,45241.80704240438
2020-02-25,45000,46400,44900,45950,72735,0.014348785871964642,0.0022026431718060735,-335.33631542868375,28.28810960293231,46450.0,49255.0,51873.333333333336,53606.53995730247,44903.46004269753
2020-02-26,45850,46700,44850,45400,134578,-0.01196953210010876,-0.04175824175824172,-315.2797197111927,26.517766796848406,46110.0,48870.0,51786.666666666664,53154.670349046704,44585.329650953296
2020-02-27,45000,45600,44950,45500,60459,0.0022026431718060735,0.008027522935779796,-266.4961301858759,27.407312595442576,45770.0,48530.0,51701.666666666664,52750.71084060493,44309.28915939507
2020-02-28,45400,45400,43300,43600,100121,-0.04175824175824172,0.0011376564277587597,-329.2922628981564,21.966285641496924,45150.0,48075.0,51588.333333333336,52360.96546882963,43789.03453117037
2020-03-02,43600,44200,43100,43950,72555,0.008027522935779796,0.002272727272727204,-314.3922595421918,24.923072647672257,44880.0,47677.5,51472.5,51945.34196052291,43409.65803947709
2020-03-03,44100,44600,43600,44000,77817,0.0011376564277587597,0.01927437641723362,-270.00364171072283,25.358190163139,44490.0,47332.5,51357.5,51618.08922436577,43046.91077563423
2020-03-04,43200,44450,43200,44100,46498,0.002272727272727204,-0.005561735261401579,-205.6527802043977,26.278447371845402,44230.0,47052.5,51244.166666666664,51413.86159931735,42691.13840068265
2020-03-05,44150,45200,43900,44950,73049,0.01927437641723362,-0.023489932885906062,-83.83137744189389,33.75472752108982,44120.0,46760.0,51143.333333333336,50853.2383268019,42666.7616731981
2020-03-06,44500,44700,44250,44700,60409,-0.005561735261401579,-0.0068728522336769515,-2.3829935754538383,32.704216509309106,44340.0,46505.0,51013.333333333336,50441.356183070835,42568.643816929165
2020-03-09,43800,44550,43200,43650,83557,-0.023489932885906062,-0.04844290657439443,-1.5579943968091357,28.66862792735631,44280.0,46230.0,50872.5,50157.26367844075,42302.73632155925
2020-03-10,44350,44400,43000,43350,88938,-0.0068728522336769515,-0.054545454545454564,-3.442619778522385,27.619948754548773,44150.0,45932.5,50720.0,49785.19710722242,42079.80289277758
2020-03-11,43100,43450,41000,41250,76592,-0.04844290657439443,-0.07179487179487176,-121.7907386087586,21.649937984030416,43580.0,45515.0,50519.166666666664,49495.08793872698,41534.91206127302
2020-03-12,41250,41250,38250,39000,141781,-0.054545454545454564,-0.056629834254143696,-316.2269787532666,17.328238456471226,42390.0,45007.5,50260.833333333336,49552.527502667064,40462.472497332936
2020-03-13,34100,36850,33450,36200,167088,-0.07179487179487176,-0.06881405563689602,-582.5400801156725,13.670966023045338,40690.0,44387.5,49955.833333333336,50049.025854396496,38725.974145603504
2020-03-16,36400,37400,33800,34150,136240,-0.056629834254143696,-0.07232704402515722,-830.7526582267196,11.720534037837496,38790.0,43687.5,49618.333333333336,50631.76922001156,36743.23077998844
2020-03-17,31750,33050,31350,31800,210517,-0.06881405563689602,-0.11525423728813555,-1071.86031132602,9.965349358063676,36480.0,42892.5,49240.0,51303.04546388045,34481.95453611955
2020-03-18,31900,32150,29500,29500,206515,-0.07232704402515722,0.13601532567049812,-1290.2416038308193,8.606836835498783,34130.0,42012.5,48825.0,52011.04364395136,32013.956356048646
2020-03-19,29850,30500,25550,26100,204582,-0.11525423728813555,-0.10286677908937603,-1550.1892541819343,7.0720379810561695,31550.0,40957.5,48348.333333333336,52822.50210703732,29092.49789296268
2020-03-20,26100,29650,26100,29650,161714,0.13601532567049812,0.041353383458646586,-1375.4970485683252,22.593107642911562,30240.0,40105.0,47937.5,52628.893164667286,27581.106835332714
2020-03-23,27750,29300,26300,26600,193141,-0.10286677908937603,0.07220216606498187,-1355.6002008812002,19.568983158395014,28730.0,39170.0,47484.166666666664,52750.51545413502,25589.484545864983
2020-03-24,27100,27700,26550,27700,258515,0.041353383458646586,0.05050505050505061,-1165.836118380872,23.543772245938754,27910.0,38257.5,47037.5,52336.50120747207,24178.49879252793
2020-03-25,29000,30000,28500,29700,263813,0.07220216606498187,0.019230769230769162,-819.4572169756939,30.28924382978188,27950.0,37472.5,46624.166666666664,51621.580358807776,23323.419641192224
2020-03-26,30600,33000,29850,31200,262796,0.05050505050505061,0.029874213836478036,-423.1140587420432,34.926385131608825,28970.0,36757.5,46249.166666666664,50654.70385545236,22860.29614454764
2020-03-27,32750,33200,30800,31800,192989,0.019230769230769162,0.05343511450381677,-72.70277048629214,36.73910438277493,29400.0,36167.5,45869.166666666664,49852.94025598008,22482.059744019924
2020-03-30,30900,33300,30350,32750,135505,0.029874213836478036,0.004347826086956497,253.05205941432268,39.60766778963014,30630.0,35607.5,45538.333333333336,48883.76735946516,22331.23264053484
2020-03-31,33250,34900,33250,34500,175572,0.05343511450381677,0.0014430014430013571,596.7534666487445,44.591934064476845,31990.0,35132.5,45230.0,47841.36599976568,22423.634000234324
2020-04-01,34350,36100,33900,34650,153512,0.004347826086956497,-0.012968299711815567,830.217661196576,45.0108571351575,32980.0,34660.0,44937.5,46684.375243645714,22635.624756354282
2020-04-02,33900,34950,32850,34700,161714,0.0014430014430013571,0.06569343065693434,974.0747272552571,45.159698809626406,33680.0,34147.5,44617.5,45209.07651512658,23085.923484873416
2020-04-03,34700,35100,33550,34250,109652,-0.012968299711815567,0.06986301369863024,1020.0976107928691,44.00523807923344,34170.0,33625.0,44303.333333333336,43574.748740546165,23675.251259453835
2020-04-06,34250,36500,34250,36500,122019,0.06569343065693434,-0.02432778489116516,1172.3700119932796,50.78041668411828,34920.0,33267.5,44028.333333333336,42213.967179842555,24321.032820157445
2020-04-07,38000,39100,37200,39050,152547,0.06986301369863024,0.018372703412073532,1399.7284123222662,57.11376803762833,35830.0,33052.5,43817.5,41189.48193435379,24915.518065646207
2020-04-08,38600,39250,37750,38100,158365,-0.02432778489116516,-0.012886597938144284,1435.6786716608704,54.30999091642417,36520.0,32895.0,43575.833333333336,40495.45393381211,25294.54606618789
2020-04-09,38850,38950,38200,38800,91709,0.018372703412073532,-0.022193211488250708,1451.8003876175794,56.023105263880865,37340.0,32885.0,43314.166666666664,40453.758154413445,25316.241845586555
2020-04-10,38500,38900,38150,38300,83334,-0.012886597938144284,0.01602136181575431,1374.758686401323,54.452596553565556,38150.0,32990.0,43050.833333333336,40794.39619701614,25185.60380298386
2020-04-13,38000,38350,37450,37450,77028,-0.022193211488250708,-0.0026281208935611255,1217.893077991922,51.79438548777036,38340.0,33155.0,42761.666666666664,41186.743272789536,25123.256727210464
2020-04-14,37700,38350,37700,38050,52751,0.01602136181575431,0.01844532279314892,1108.9783332572938,53.519273038415996,38140.0,33467.5,42487.5,41746.58660420943,25188.413395790572
2020-04-16,38000,38050,37000,37950,77233,-0.0026281208935611255,0.0077619663648125226,988.6278011863722,53.1777448823428,38110.0,33890.0,42223.333333333336,42178.52218432212,25601.477815677878
2020-04-17,37950,39850,37950,38650,96830,0.01844532279314892,-0.019255455712451908,916.2193612384463,55.32679310486921,38080.0,34517.5,41969.166666666664,42232.37362177761,26802.62637822239
2020-04-20,38650,39500,38300,38950,88091,0.0077619663648125226,-0.00654450261780104,850.0405511284503,56.25350553711538,38210.0,34982.5,41710.0,42588.10812821697,27376.891871783035
2020-04-21,38950,39350,37450,38200,125299,-0.019255455712451908,0.027667984189723382,722.2895935240394,53.277937041061065,38360.0,35562.5,41446.666666666664,42234.59674690048,28890.403253099517
2020-04-22,38200,38300,36900,37950,87124,-0.00654450261780104,-0.02692307692307694,592.9059108379603,52.28513643240179,38340.0,36075.0,41195.833333333336,41753.24796922431,30396.752030775693
2020-04-23,37950,39000,37550,39000,81257,0.027667984189723382,0.022397891963109373,550.8929846042604,55.994154728253534,38550.0,36540.0,40960.833333333336,41536.05844641553,31543.941553584467
2020-04-24,38650,38900,37500,37950,112698,-0.02692307692307694,-0.002577319587628857,430.57205231512296,51.66883108549479,38410.0,36877.5,40721.666666666664,41259.22055247707,32495.779447522928
2020-04-27,38000,39050,37650,38800,93694,0.022397891963109373,0.010335917312661591,387.7488014506859,54.71822591615742,38380.0,37227.5,40490.0,41008.03898273777,33446.96101726223
2020-04-28,38850,39100,38300,38700,62075,-0.002577319587628857,-0.03580562659846542,334.2339229172479,54.28428932299088,38480.0,37525.0,40270.0,40744.08372056397,34305.91627943603
2020-04-29,38700,39250,38700,39100,95596,0.010335917312661591,0.007957559681697646,307.97012284392645,55.79442505927916,38710.0,37755.0,40073.333333333336,40724.32652296779,34785.67347703221
2020-05-04,37900,38200,37500,37700,113672,-0.03580562659846542,0.0,184.58984152929352,49.61666790566816,38450.0,37907.5,39873.333333333336,40514.4666280948,35300.5333719052
2020-05-06,38200,38300,37600,38000,66466,0.007957559681697646,0.0052631578947368585,114.87594035676113,50.87196724968642,38460.0,38072.5,39660.0,40224.58619715847,35920.41380284153
2020-05-07,37700,38500,37500,38000,64709,0.0,-0.003926701570680646,63.04647981257375,50.87196724968642,38300.0,38260.0,39463.333333333336,39512.83678106926,37007.16321893074
2020-05-08,38000,38650,38000,38200,78449,0.0052631578947368585,-0.03810775295663604,37.76346322394505,51.80046608250988,38200.0,38345.0,39280.833333333336,39305.15623728641,37384.84376271359
2020-05-11,38450,38450,37700,38050,84685,-0.003926701570680646,0.03688524590163933,8.022368016724727,51.021619047737495,37990.0,38295.0,39093.333333333336,39205.988474131256,37384.011525868744
2020-05-12,38000,38000,36600,36600,126641,-0.03810775295663604,-0.0026350461133070047,-105.93513470813116,44.11636513656775,37770.0,38220.0,38876.666666666664,39392.348071180226,37047.651928819774
2020-05-13,36350,38000,35900,37950,101037,0.03688524590163933,0.010568031704095038,-87.77310323349022,50.79361092229814,37760.0,38177.5,38690.0,39324.00556038773,37030.99443961227
2020-05-14,37750,38700,37300,37850,107422,-0.0026350461133070047,0.006535947712418277,-80.08875088322509,50.314040022841844,37730.0,38155.0,38510.833333333336,39308.646392964496,37001.353607035504
2020-05-15,38350,38350,37600,38250,52410,0.010568031704095038,0.016883116883116944,-47.28306089735807,52.255857933486425,37740.0,38195.0,38345.833333333336,39302.65518100173,37087.34481899827
2020-05-18,38300,38600,37700,38500,76602,0.006535947712418277,-0.003831417624521105,-9.916413553051768,53.47958097094749,37830.0,38217.5,38192.5,39330.72729035898,37104.27270964102
2020-05-19,39050,39600,38700,39150,119720,0.016883116883116944,0.055128205128205154,53.89979914329018,56.594627655383036,38340.0,38277.5,38060.0,39454.13715732591,37100.86284267409
2020-05-20,39150,39300,38900,39000,47380,-0.003831417624521105,0.013365735115431265,79.77175606902341,55.668243652369036,38550.0,38295.0,37923.333333333336,39503.263216356434,37086.736783643566
2020-05-21,39200,41800,39050,41150,200690,0.055128205128205154,0.026378896882494063,227.1035486590946,64.61008966327952,39210.0,38405.0,37830.833333333336,40124.273102215004,36685.726897784996
2020-05-22,42000,42250,40950,41700,186379,0.013365735115431265,0.10280373831775691,340.2147601197263,66.47309714059827,39900.0,38580.0,37770.833333333336,40815.2628480785,36344.7371519215
2020-05-25,42200,43000,41150,42800,123823,0.026378896882494063,-0.0010593220338983578,460.27199452210164,69.88737195453474,40760.0,38822.5,37718.333333333336,41693.64524188519,35951.35475811481
2020-05-26,43000,47300,42950,47200,299150,0.10280373831775691,-0.01590668080593849,787.938500544311,79.06929384121794,42370.0,39232.5,37748.333333333336,43880.21718158496,34584.78281841504
2020-05-27,47200,48350,45950,47150,218718,-0.0010593220338983578,-0.018318965517241326,942.7691810540505,78.77534128670271,44000.0,39692.5,37775.833333333336,45433.86525575581,33951.13474424419
2020-05-28,47550,47600,45300,46400,186378,-0.01590668080593849,0.026344676180021898,934.3321080624544,74.3125411921966,45050.0,40072.5,37822.5,46493.12886328123,33651.87113671877
2020-05-29,46450,46450,45100,45550,115048,-0.018318965517241326,0.0032085561497325887,815.4929572540586,69.50652673268436,45820.0,40415.0,37849.166666666664,47225.22026075515,33604.77973924485
2020-06-01,45550,46800,45150,46750,102776,0.026344676180021898,0.054371002132196145,762.6532049908897,72.23641864112611,46610.0,40797.5,37895.0,48110.12435791693,33484.87564208307
