Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-03-30,16950,17900,16750,17550,804781,-0.01680672268907568,-0.01680672268907568,303.22097224444406,38.4743488228949,17130.0,19142.5,25358.333333333332,26872.459572986154,11412.540427013846
2020-03-31,17950,18400,17500,17950,921186,0.02279202279202286,0.02279202279202286,419.0158837776967,40.592906847734575,17700.0,18842.5,25144.166666666668,26262.356804548206,11422.643195451794
2020-04-01,17650,17950,16900,16900,877766,-0.058495821727019504,-0.058495821727019504,427.0660331294339,36.992044872354604,17590.0,18467.5,24931.666666666668,25472.446466604888,11462.553533395112
2020-04-02,16800,17300,16300,17200,624891,0.01775147928994092,0.01775147928994092,452.342327055218,38.66611420951686,17490.0,18060.0,24726.666666666668,24325.189542224587,11794.810457775413
2020-04-03,17100,17500,16800,17200,473273,0.0,0.0,466.91433077134934,38.66611420951686,17360.0,17700.0,24543.333333333332,23253.64745009983,12146.35254990017
2020-04-06,17250,17800,17200,17800,671823,0.03488372093023262,0.03488372093023262,511.23961033044907,42.22656979724216,17410.0,17437.5,24369.166666666668,22421.96336128578,12453.036638714218
2020-04-07,18500,18550,17650,18150,1073948,0.0196629213483146,0.0196629213483146,554.770427933146,44.25929660551943,17450.0,17192.5,24191.666666666668,21482.753489014416,12902.246510985586
2020-04-08,17900,18350,17700,17850,913097,-0.016528925619834656,-0.016528925619834656,552.7754192775942,42.86706184662805,17640.0,16977.5,24000.0,20637.073062530704,13317.926937469296
2020-04-09,18250,18650,18100,18600,1214050,0.04201680672268915,0.04201680672268915,588.0989463685492,47.327869923560684,17920.0,16887.5,23801.666666666668,20285.12784895585,13489.87215104415
2020-04-10,18700,20850,18650,20150,3203954,0.08333333333333326,0.08333333333333326,694.6750256209416,55.125792050062884,18510.0,16940.0,23624.166666666668,20501.263820612054,13378.736179387946
2020-04-13,20350,20500,19350,19400,1288052,-0.037220843672456594,-0.037220843672456594,691.9599983114401,51.17765142783696,18830.0,17005.0,23446.666666666668,20693.753176887873,13316.24682311213
2020-04-14,19550,20000,19550,19750,797559,0.018041237113401998,0.018041237113401998,689.5080623416216,52.87390467452224,19150.0,17130.0,23275.0,21008.066528568117,13251.933471431883
2020-04-16,19400,19400,18550,19100,1010086,-0.032911392405063244,-0.032911392405063244,621.9603692968813,49.438578372973716,19400.0,17292.5,23085.0,21214.524349745978,13370.475650254022
2020-04-17,19500,19950,19500,19750,711856,0.03403141361256545,0.03403141361256545,598.6982679903246,52.74500589613008,19630.0,17615.0,22911.666666666668,21218.623176748693,14011.376823251307
2020-04-20,19800,20250,19700,19850,1071452,0.005063291139240533,0.005063291139240533,567.9486858633942,53.251505011940914,19570.0,17922.5,22740.833333333332,21169.26377335961,14675.73622664039
2020-04-21,19750,20000,19000,19400,1041042,-0.02267002518891692,-0.02267002518891692,497.72385468222546,50.622037573178446,19570.0,18235.0,22571.666666666668,20691.033387395277,15778.966612604723
2020-04-22,18850,19000,18350,18900,1057311,-0.02577319587628868,-0.02577319587628868,402.1127073131786,47.79789353960243,19400.0,18425.0,22420.833333333332,20427.623279601114,16422.376720398886
2020-04-23,19250,19300,18900,18900,603168,0.0,0.0,326.5943388170907,47.79789353960243,19360.0,18497.5,22261.666666666668,20458.233281198725,16536.766718801275
2020-04-24,18800,19100,18550,18900,764019,0.0,0.0,266.88415796010077,47.79789353960242,19190.0,18557.5,22097.5,20490.18595483082,16624.81404516918
2020-04-27,19000,19650,19000,19500,909077,0.031746031746031855,0.031746031746031855,257.8946645162225,51.82595108145939,19120.0,18640.0,21950.833333333332,20585.661841122528,16694.338158877472
2020-04-28,19850,20250,19500,19750,982921,0.012820512820512775,0.012820512820512775,258.24318297730156,53.43812374150416,19190.0,18750.0,21822.5,20685.458601985665,16814.541398014335
2020-04-29,19900,21650,19900,21600,2376088,0.09367088607594942,0.09367088607594942,365.945990136458,63.24144502731735,19730.0,18932.5,21721.666666666668,21192.87054484443,16672.12945515557
2020-05-04,21200,21650,20800,20900,1405911,-0.03240740740740744,-0.03240740740740744,371.72131886181967,58.244456463498366,20130.0,19132.5,21605.833333333332,21345.47876175988,16919.52123824012
2020-05-06,21200,21300,20500,20900,1008256,0.0,0.0,357.1328630884068,58.244456463498366,20530.0,19317.5,21460.833333333332,21471.165480059586,17163.834519940414
2020-05-07,20750,21250,20700,20950,627487,0.0023923444976077235,0.0023923444976077235,332.9224378165014,58.51599320282644,20820.0,19505.0,21319.166666666668,21538.199449144202,17471.800550855798
2020-05-08,21100,21850,21100,21250,724118,0.014319809069212486,0.014319809069212486,319.14591734539977,60.1888365027066,21120.0,19677.5,21178.333333333332,21688.090709219625,17666.909290780375
2020-05-11,21350,21400,20600,20600,725789,-0.030588235294117694,-0.030588235294117694,251.27717550383622,55.01260643023572,20920.0,19800.0,21030.833333333332,21719.89583050755,17880.10416949245
