Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,11150,11300,11100,11250,466411,0.008968609865470878,-0.0045045045045044585,19.98076531910698,39.37317136703153,11200.0,11495.0,12195.833333333334,12362.121675429695,10627.878324570305
2020-02-17,11250,11250,11000,11100,657309,-0.013333333333333308,0.004524886877828038,19.75906564586296,36.21216442067212,11190.0,11442.5,12170.833333333334,12270.917165442628,10614.082834557372
2020-02-18,11050,11200,11000,11050,552891,-0.0045045045045044585,-0.022522522522522515,18.15889557858145,35.19777731257787,11150.0,11387.5,12145.833333333334,12165.23710211099,10609.76289788901
2020-02-19,11150,11150,10950,11100,448340,0.004524886877828038,-0.01382488479262678,22.118989118385457,37.09542740840572,11130.0,11330.0,12123.333333333334,12007.790528113223,10652.209471886777
2020-02-20,11100,11150,10800,10850,887357,-0.022522522522522515,-0.05607476635514019,10.160840724092566,32.04285921455502,11070.0,11267.5,12099.166666666666,11876.82339525083,10658.17660474917
2020-02-21,10700,10750,10600,10700,791273,-0.01382488479262678,0.014851485148514865,-4.78907965773999,29.45091017062967,10960.0,11192.5,12070.833333333334,11681.6574388681,10703.3425611319
2020-02-24,10450,10500,10100,10100,1459125,-0.05607476635514019,-0.004878048780487809,-49.53751866779538,21.8405729711518,10760.0,11100.0,12030.833333333334,11673.585215988,10526.414784012
2020-02-25,10000,10350,10000,10250,1308065,0.014851485148514865,0.004901960784313708,-62.64115085588537,26.924525809510328,10600.0,11047.5,11990.833333333334,11721.647609949037,10373.352390050963
2020-02-26,10050,10300,10050,10200,1033078,-0.004878048780487809,-0.02634146341463417,-67.84427804745388,26.310187611174683,10420.0,10990.0,11951.666666666666,11742.728370662353,10237.271629337647
2020-02-27,10300,10350,10150,10250,711190,0.004901960784313708,-0.01002004008016033,-61.28636802535732,28.077482495751696,10300.0,10932.5,11912.5,11725.768554778268,10139.231445221732
2020-02-28,10100,10100,9940,9980,1375858,-0.02634146341463417,0.03238866396761142,-67.98261259864347,24.640831906471348,10156.0,10879.0,11872.166666666666,11771.477450695535,9986.522549304465
2020-03-02,10000,10050,9800,9880,1046258,-0.01002004008016033,0.02450980392156854,-71.6313273165373,23.493860682951976,10112.0,10820.5,11830.166666666666,11808.720117180377,9832.279882819623
2020-03-03,10100,10400,10100,10200,1491431,0.03238866396761142,0.019138755980861344,-46.211956618907664,34.0697425104638,10102.0,10775.5,11791.0,11790.319688417603,9760.680311582397
2020-03-04,10150,10500,10100,10450,881841,0.02450980392156854,-0.028169014084507005,-8.267708611094747,40.93880186640976,10152.0,10743.0,11756.0,11755.80007898894,9730.19992101106
2020-03-05,10600,10650,10450,10650,873858,0.019138755980861344,-0.04251207729468598,32.36575025650495,45.80352582053562,10232.0,10703.0,11726.0,11662.752051313255,9743.247948686745
2020-03-06,10450,10500,10200,10350,1006073,-0.028169014084507005,0.004036326942482349,40.572081334315044,40.42479601955422,10306.0,10655.5,11694.333333333334,11585.950965929962,9725.049034070038
