Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,68600,69600,68600,68800,133882,-0.00434153400868309,0.005805515239477588,84.7950114948502,46.91895817972524,68680.0,69910.0,70676.66666666667,76234.20746022773,63585.79253977227
2020-02-17,68800,69100,68200,68900,117803,0.0014534883720929148,-0.01443001443001446,117.46433369550164,47.314672497931504,68980.0,69685.0,70636.66666666667,75813.71112061909,63556.28887938092
2020-02-18,68200,69300,68100,69300,197572,0.005805515239477588,-0.008784773060029227,164.68955375705582,48.953937800752335,69120.0,69465.0,70601.66666666667,75310.77625298813,63619.22374701186
2020-02-19,69700,69700,67800,68300,159725,-0.01443001443001446,-0.01477104874446089,128.84241438057757,45.17007752987003,68880.0,69150.0,70560.0,74514.14019205315,63785.85980794685
2020-02-20,68300,69200,67100,67700,138998,-0.008784773060029227,-0.05697151424287861,68.03970337065607,43.02141559955715,68600.0,68810.0,70515.0,73606.62381264156,64013.376187358444
2020-02-21,66400,67600,66300,66700,129101,-0.01477104874446089,0.019077901430842648,-30.899439660551252,39.63723136592759,68180.0,68355.0,70440.0,72001.62857993518,64708.37142006483
2020-02-24,65500,65800,62900,62900,202661,-0.05697151424287861,0.014040561622464809,-327.1742387065161,29.98476611370097,66980.0,67790.0,70278.33333333333,71127.60393096604,64452.39606903396
2020-02-25,62800,65300,62800,64100,198145,0.019077901430842648,0.0,-411.7699740198317,35.33970990658864,65940.0,67520.0,70138.33333333333,71123.66480128215,63916.33519871784
2020-02-26,62400,65600,62400,65000,188030,0.014040561622464809,-0.03384615384615386,-377.46151693951265,39.10166607199508,65280.0,67325.0,70008.33333333333,71029.52426095444,63620.47573904556
2020-02-27,64200,65500,64000,65000,138213,0.0,-0.015923566878980888,-327.00030792222947,39.10166607199508,64740.0,67205.0,69891.66666666667,71045.03906230132,63364.960937698685
2020-02-28,64300,64300,62100,62800,222785,-0.03384615384615386,0.025889967637540368,-408.7136874332846,33.56539460284024,63960.0,67020.0,69743.33333333333,71308.40296614019,62731.59703385981
