Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,8225,8270,8208,8244,129902,0.002188183807439792,0.0,39.35365107083311,39.72925192013312,8347.6,8352.0,9054.466666666667,8757.190325649506,7946.809674350495
2020-02-17,8261,8342,8243,8288,245563,0.005337214944201918,0.03667953667953672,38.09096803646423,41.476588011340915,8301.0,8325.6,9010.8,8670.7830818565,7980.416918143501
2020-02-18,8243,8368,8225,8288,311016,0.0,0.0,37.213912041764985,41.476588011340915,8283.0,8302.8,8971.6,8589.75476995504,8015.84523004496
2020-02-19,8342,8601,8243,8592,752972,0.03667953667953672,-0.010358472998137858,55.94028809662842,52.509020246770845,8327.6,8301.9,8947.15,8585.083262217155,8018.716737782845
2020-02-20,8646,8655,8449,8592,615593,0.0,-0.06409502528519351,66.44397896920296,52.509020246770845,8400.8,8315.75,8929.416666666666,8625.947920689276,8005.5520793107235
2020-02-21,8485,8583,8413,8503,456614,-0.010358472998137858,-0.011309374214626744,65.41201788926168,49.35025862219114,8452.6,8324.25,8909.45,8645.009645217337,8003.490354782664
2020-02-24,8404,8404,7957,7958,728264,-0.06409502528519351,-0.01931875953228268,27.953888832126495,35.33319539545148,8386.6,8310.85,8878.166666666666,8667.312775055056,7954.387224944946
2020-02-25,7912,8100,7859,7868,718744,-0.011309374214626744,-0.03823224468636599,-1.3985151292721696,33.63424770211448,8302.6,8306.35,8849.85,8682.258645816974,7930.441354183028
2020-02-26,7743,7886,7680,7716,581453,-0.01931875953228268,-0.014418541975474986,-28.085213774275616,30.929333945527958,8127.4,8287.1,8824.966666666667,8735.535012013948,7838.664987986053
2020-02-27,7716,7823,7403,7421,763886,-0.03823224468636599,-0.009844134536505345,-60.76405317228614,26.478615785214075,7893.2,8246.85,8794.416666666666,8833.273831371089,7660.426168628912
2020-02-28,7260,7582,7152,7314,739732,-0.014418541975474986,-0.008561170947252172,-83.34935718055257,25.069484753011423,7655.4,8200.35,8765.8,8913.991443583502,7486.708556416499
2020-03-02,7322,7430,7161,7242,740239,-0.009844134536505345,0.007381615598885727,-96.0006815157711,24.138588309349657,7512.2,8145.8,8733.75,8968.93367079712,7322.666329202881
2020-03-03,7358,7421,7179,7180,433174,-0.008561170947252172,0.013687266694317746,-100.90539490782382,23.335046443603275,7374.6,8091.25,8699.183333333332,9012.697312655444,7169.802687344557
2020-03-04,7161,7269,7161,7233,352862,0.007381615598885727,-0.017048554282596884,-93.12855431173699,25.614617353435307,7278.0,8041.6,8664.75,9033.008977163277,7050.191022836723
2020-03-05,7296,7448,7260,7332,514969,0.013687266694317746,-0.06701817677258226,-74.66296484422242,29.812771048296867,7260.2,7991.1,8626.75,9018.401883576553,6963.798116423448
2020-03-06,7304,7304,7170,7207,428289,-0.017048554282596884,0.005353955978584235,-64.59085606790995,27.687956012888023,7238.8,7923.6,8583.683333333332,8970.518411338691,6876.681588661309
