Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,71000,72500,70600,71800,72838,0.00419580419580412,-0.020604395604395642,-336.57109978874314,38.665531974902194,70780.0,76645.0,79875.0,91532.2395023389,61757.760497661104
2020-02-17,72100,74000,71400,72800,112444,0.013927576601671321,-0.011220196353436185,-63.93936709610807,41.59061608600131,71520.0,75705.0,79780.0,88983.62568189944,62426.374318100556
2020-02-18,72100,73100,70900,71300,96596,-0.020604395604395642,-0.028368794326241176,42.76790353841443,38.615707058329875,71860.0,74710.0,79658.33333333333,86033.58600444222,63386.41399555779
2020-02-19,72300,72600,69600,70500,119896,-0.011220196353436185,-0.016058394160583966,84.45805236299748,37.09186344397898,71580.0,73920.0,79525.0,84039.60473536389,63800.39526463611
2020-02-20,69900,71200,68300,68500,111358,-0.028368794326241176,-0.041543026706231445,6.437568770324106,33.52957450423378,70980.0,73105.0,79350.0,82157.61840574312,64052.381594256876
2020-02-21,67500,69800,67000,67400,126276,-0.016058394160583966,0.035603715170278605,-85.1040324539913,31.724902979792816,70100.0,72185.0,79171.66666666667,79454.18840036486,64915.81159963513
2020-02-24,66100,66500,64200,64600,179160,-0.041543026706231445,-0.017937219730941756,-288.61770544601404,27.64592567279921,68460.0,71255.0,78920.0,77306.60309339591,65203.39690660409
2020-02-25,64500,67700,64100,66900,149713,0.035603715170278605,-0.0091324200913242,-225.51687713173533,35.03492181859292,67580.0,70760.0,78746.66666666667,76529.3673829978,64990.63261700219
2020-02-26,66100,66700,64800,65700,267036,-0.017937219730941756,-0.04761904761904767,-221.4629190507767,33.13370957278708,66620.0,70175.0,78515.0,75487.20293287058,64862.79706712942
2020-02-27,64700,67100,64600,65100,111545,-0.0091324200913242,0.022580645161290214,-215.835553405067,32.19302099479337,65940.0,69730.0,78231.66666666667,75175.40172990008,64284.598270099916
2020-02-28,64200,64400,60900,62000,193127,-0.04761904761904767,-0.028391167192429068,-368.5692288445912,27.801288656906337,64860.0,69220.0,77911.66666666667,75492.35203093693,62947.64796906306
2020-03-02,62900,64200,61000,63400,164777,0.022580645161290214,0.022727272727272707,-324.53445422024606,32.29345479512584,64620.0,68690.0,77595.0,75047.95564627489,62332.04435372511
2020-03-03,64400,64700,61500,61600,171409,-0.028391167192429068,0.023809523809523725,-362.95424733283744,29.73203830981545,63560.0,68070.0,77258.33333333333,74650.30394434775,61489.696055652246
2020-03-04,61600,63500,61400,63000,104606,0.022727272727272707,-0.02635658914728678,-245.99716668756218,34.1095600605571,63020.0,67795.0,76958.33333333333,74730.55333048478,60859.446669515215
2020-03-05,63400,65000,62200,64500,223826,0.023809523809523725,-0.0366242038216561,-30.841511466195243,38.52825866081456,62900.0,67525.0,76755.0,74531.81810810004,60518.18189189997
2020-03-06,63200,63800,62100,62800,74056,-0.02635658914728678,0.011570247933884392,30.438062729066587,35.61333638210233,63060.0,67200.0,76506.66666666667,74446.24040451313,59953.75959548688
