Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,2115,2135,2115,2115,887073,-0.004705882352941226,-0.014251781472684133,8.125021255017074,44.27767755223512,2119.0,2132.0,2238.75,2249.0213655705684,2014.9786344294316
2020-02-17,2110,2135,2090,2105,977699,-0.004728132387706863,-0.01927710843373498,7.505928821792203,43.04984871149631,2119.0,2128.0,2235.25,2242.952163963975,2013.047836036025
2020-02-18,2090,2100,2065,2075,1030715,-0.014251781472684133,-0.03194103194103193,5.166756323037802,39.51014015609869,2112.0,2120.5,2231.8333333333335,2228.5231456679567,2012.476854332043
2020-02-19,2075,2085,2020,2035,2672317,-0.01927710843373498,-0.053299492385786795,1.2221415294190479,35.33797961092702,2091.0,2112.25,2227.4166666666665,2219.9289208712676,2004.5710791287327
2020-02-20,2035,2045,1965,1970,3120514,-0.03194103194103193,-0.06166219839142095,-5.120177269588247,29.826236720644545,2060.0,2100.5,2222.6666666666665,2216.124391890296,1984.8756081097042
2020-02-21,1960,1965,1855,1865,5096605,-0.053299492385786795,0.011428571428571344,-15.173892289302529,23.46054091131124,2010.0,2082.75,2215.9166666666665,2225.385023749431,1940.1149762505688
2020-02-24,1810,1835,1745,1750,3075294,-0.06166219839142095,-0.031073446327683607,-27.630398472439055,18.742443908036776,1939.0,2059.5,2206.25,2251.408832522114,1867.5911674778858
2020-02-25,1745,1785,1740,1770,2606582,0.011428571428571344,0.0,-32.26157708692969,21.691968294597913,1878.0,2042.5,2197.0,2270.370577302119,1814.6294226978812
2020-02-26,1750,1770,1700,1715,4090213,-0.031073446327683607,-0.03790087463556846,-36.458012073847,19.586439839407277,1814.0,2021.0,2186.5,2284.4881401505595,1757.5118598494403
2020-02-27,1715,1750,1700,1715,2806328,0.0,-0.024242424242424288,-36.56890742690507,19.586439839407277,1763.0,2002.75,2175.3333333333335,2296.220185879249,1709.2798141207509
2020-02-28,1675,1685,1620,1650,5178805,-0.03790087463556846,0.009316770186335477,-38.178052580855535,17.286627210729137,1720.0,1982.75,2164.6666666666665,2312.8480914819124,1652.6519085180876
2020-03-02,1645,1660,1600,1610,2519865,-0.024242424242424288,-0.01538461538461533,-38.95946053622788,16.038571547204853,1692.0,1961.75,2152.5,2328.550695201088,1594.9493047989124
