Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,33150,33350,32450,32650,263578,-0.022455089820359264,0.0,150.23883063498306,33.62180009462885,33270.0,33577.5,36395.0,35628.95679944765,31526.04320055235
2020-02-17,32650,33200,32650,33100,135357,0.013782542113323082,-0.013595166163142047,155.58106502267833,39.35518331257253,33200.0,33480.0,36276.666666666664,35424.83932498292,31535.160675017087
2020-02-18,32750,33250,32600,33100,172548,0.0,-0.01071975497702915,159.35353263358763,39.35518331257253,33120.0,33382.5,36157.5,35193.65294771038,31571.34705228962
2020-02-19,33350,33350,32550,32650,192933,-0.013595166163142047,-0.021671826625387025,132.8631942016509,35.77178204571284,32980.0,33265.0,36042.5,34941.03699243185,31588.963007568153
2020-02-20,32650,33000,32100,32300,190931,-0.01071975497702915,-0.03797468354430378,94.87232683057675,33.236919131370655,32760.0,33135.0,35930.833333333336,34681.964770122446,31588.03522987755
2020-02-21,32000,32100,31400,31600,247513,-0.021671826625387025,-0.013157894736842146,29.1122792075098,28.83582232332236,32550.0,32975.0,35810.0,34460.76579581036,31489.234204189637
2020-02-24,30750,31200,30400,30400,235669,-0.03797468354430378,-0.018333333333333313,-82.58088694131106,23.17135074829315,32010.0,32747.5,35671.666666666664,34343.267840257475,31151.73215974253
2020-02-25,29800,30150,29750,30000,335709,-0.013157894736842146,-0.01697792869269954,-165.96655197609994,21.645020565560955,31390.0,32587.5,35532.5,34565.59883474006,30609.401165259937
2020-02-26,29700,29950,29100,29450,387170,-0.018333333333333313,-0.029360967184801412,-236.43278759975192,19.72138848653711,30750.0,32400.0,35380.833333333336,34780.3361107205,30019.663889279498
2020-02-27,29500,29600,28900,28950,334311,-0.01697792869269954,-0.03736654804270467,-291.3776573088635,18.14282879582626,30080.0,32200.0,35225.0,34997.498882930966,29402.501117069034
2020-02-28,28200,28500,27550,28100,566871,-0.029360967184801412,0.003696857670979714,-355.3858084148626,15.823978044810985,29380.0,31980.0,35070.0,35293.06504614685,28666.934953853153
2020-03-02,28000,28200,26950,27050,539518,-0.03736654804270467,0.0018416206261511192,-433.67277228505054,13.524433014585355,28710.0,31747.5,34896.666666666664,35697.876564329024,27797.123435670976
2020-03-03,27400,27800,27100,27150,353176,0.003696857670979714,0.020220588235294157,-442.4267459987798,14.79439233317332,28140.0,31507.5,34715.0,35934.04210417115,27080.957895828844
2020-03-04,27050,27300,26850,27200,418439,0.0018416206261511192,-0.027027027027026973,-409.3223939360041,15.462887830943416,27690.0,31225.0,34532.5,35981.62695615286,26468.373043847143
2020-03-05,27500,27750,27200,27750,267330,0.020220588235294157,-0.0444444444444444,-318.87567860250783,22.65171989663935,27450.0,30942.5,34363.333333333336,35818.489643139124,26066.510356860876
2020-03-06,27400,27450,26900,27000,301930,-0.027027027027026973,-0.019379844961240345,-279.46542794050174,20.137003398627726,27230.0,30607.5,34176.666666666664,35598.92013859783,25616.07986140217
2020-03-09,26400,26500,25700,25800,400724,-0.0444444444444444,-0.005928853754940677,-302.19078553364784,16.90352605816433,26980.0,30225.0,33974.166666666664,35453.33625544494,24996.663744555062
2020-03-10,25300,25700,25050,25300,335314,-0.019379844961240345,-0.05168986083499005,-317.30911921794245,15.767443960561621,26610.0,29815.0,33764.166666666664,35234.32652642374,24395.67347357626
2020-03-11,25300,25850,25000,25150,284024,-0.005928853754940677,-0.08805031446540879,-303.8075956511984,15.432347122174676,26200.0,29405.0,33552.5,34932.19639600404,23877.803603995962
2020-03-12,24700,24950,23150,23850,615505,-0.05168986083499005,-0.029885057471264354,-345.77334661972554,12.877929733514264,25420.0,28927.5,33320.833333333336,34638.67107080501,23216.328929194995
2020-03-13,21500,22400,21250,21750,775512,-0.08805031446540879,-0.05924170616113744,-470.5710403308194,9.998763190382405,24370.0,28382.5,33037.5,34624.39674698324,22140.603253016758
2020-03-16,22150,22600,21000,21100,482654,-0.029885057471264354,-0.08564231738035266,-547.1359505855571,9.305290419418995,23430.0,27782.5,32751.666666666668,34391.37849789963,21173.621502100374
2020-03-17,20000,20600,19500,19850,579279,-0.05924170616113744,-0.08539944903581265,-626.4993922660615,8.136581286636698,22340.0,27120.0,32442.5,34109.37765469859,20130.622345301406
2020-03-18,19900,20100,18150,18150,455853,-0.08564231738035266,0.1656626506024097,-730.7465663480889,6.872402042228799,20940.0,26395.0,32103.333333333332,33926.59345689874,18863.406543101253
2020-03-19,18150,18500,16450,16600,664690,-0.08539944903581265,-0.054263565891472854,-833.8874038835274,5.962740094604527,19490.0,25610.0,31735.833333333332,33763.1956924877,17456.8043075123
2020-03-20,17050,19350,17050,19350,603641,0.1656626506024097,0.05737704918032782,-654.6114454816211,24.9446114710277,19010.0,24997.5,31419.166666666668,33099.07237824856,16895.92762175144
2020-03-23,17700,19200,17550,18300,447626,-0.054263565891472854,0.0620155038759691,-548.7351832962195,23.03287307310812,18450.0,24392.5,31082.5,32596.479217428576,16188.520782571424
2020-03-24,18650,19400,18350,19350,426787,0.05737704918032782,0.0,-359.14686482935167,28.901004944247006,18350.0,23860.0,30762.5,31920.248135138274,15799.751864861728
2020-03-25,20550,20600,20000,20550,577543,0.0620155038759691,0.02676399026763998,-116.63676626563483,35.00033760893821,18830.0,23415.0,30457.5,31168.52178045564,15661.478219544359
2020-03-26,20550,21200,19900,20550,453931,0.0,0.011848341232227444,70.01554090420177,35.00033760893821,19620.0,22995.0,30168.333333333332,30406.200982297,15583.799017703
2020-03-27,21300,21600,20550,21100,327019,0.02676399026763998,0.007025761124121788,246.8127797227503,37.835089049863186,19970.0,22645.0,29889.166666666668,29711.958327314518,15578.041672685482
2020-03-30,20100,21400,20000,21350,279090,0.011848341232227444,-0.018604651162790753,388.4572138252788,39.13447234068315,20580.0,22360.0,29622.5,29147.606352757946,15572.393647242056
2020-03-31,21750,21950,21250,21500,340490,0.007025761124121788,0.0308056872037914,493.37617671392945,39.94556962552569,21010.0,22077.5,29362.5,28504.900329837874,15650.099670162126
2020-04-01,21150,22050,21000,21100,321272,-0.018604651162790753,0.016091954022988464,533.5520811251599,38.47321164891124,21120.0,21772.5,29105.0,27762.698243797946,15782.301756202054
2020-04-02,21100,21750,20600,21750,292016,0.0308056872037914,0.0565610859728507,596.8346773566191,42.20141868911047,21360.0,21472.5,28857.5,26799.4573867265,16145.542613273501
2020-04-03,22500,22750,21800,22100,344545,0.016091954022988464,0.032119914346895095,650.7771160037637,44.16339671234105,21560.0,21227.5,28640.833333333332,25929.039641436622,16525.960358563378
2020-04-06,22200,23500,22150,23350,397145,0.0565610859728507,0.0,751.9902178062948,50.6114666758316,21960.0,21105.0,28440.833333333332,25436.731755314497,16773.268244685503
2020-04-07,24150,24800,23350,24100,627508,0.032119914346895095,0.014522821576763434,843.9031277192903,54.04086939985758,22480.0,21045.0,28260.833333333332,25171.00290838482,16918.99709161518
2020-04-08,23850,24300,23450,24100,408856,0.0,0.036809815950920255,875.3819571186923,54.04086939985758,23080.0,20992.5,28071.666666666668,24930.681687022578,17054.318312977422
2020-04-09,24650,24700,24250,24450,322138,0.014522821576763434,0.05719921104536496,887.6727131857988,55.70550161370124,23620.0,21022.5,27890.0,25055.299895853994,16989.700104146006
2020-04-10,24600,25350,24450,25350,529235,0.036809815950920255,0.005597014925373234,920.3689843090629,59.74329306855739,24270.0,21202.5,27720.833333333332,25649.237568150384,16755.762431849616
2020-04-13,27100,27750,26650,26800,811153,0.05719921104536496,-0.012987012987012991,997.1430524016714,65.24089027748799,24960.0,21487.5,27583.333333333332,26558.28642815885,16416.71357184115
2020-04-14,26900,27150,26500,26950,425433,0.005597014925373234,0.011278195488721776,1012.283952512603,65.76178945278792,25530.0,21842.5,27448.333333333332,27377.865841568197,16307.134158431803
2020-04-16,26400,26950,25750,26600,437257,-0.012987012987012991,0.018587360594795488,953.7846341619379,63.37526291444076,26030.0,22265.0,27308.333333333332,27897.592653476728,16632.407346523272
2020-04-17,26800,27100,26750,26900,295196,0.011278195488721776,-0.025547445255474477,891.5032978305659,64.56238404865806,26520.0,22780.0,27175.0,28122.602362145248,17437.397637854752
2020-04-20,26950,27650,26900,27400,414722,0.018587360594795488,-0.029962546816479363,840.8479728794669,66.51070270359708,26930.0,23182.5,27051.666666666668,28642.470238014124,17722.529761985876
2020-04-21,27300,27300,25500,26700,483961,-0.025547445255474477,0.032818532818532864,721.6373832687041,61.41956388427882,26910.0,23602.5,26914.166666666668,28780.576380278682,18424.423619721318
2020-04-22,25800,26150,25550,25900,498541,-0.029962546816479363,-0.01869158878504673,557.6803740485266,56.131388854269986,26700.0,23930.0,26792.5,28810.819603304346,19049.180396695654
2020-04-23,26250,26750,26100,26750,278019,0.032818532818532864,0.026666666666666616,478.30015216835307,60.06561825901009,26730.0,24240.0,26685.0,29009.02505759825,19470.97494240175
2020-04-24,26650,26650,26100,26250,278853,-0.01869158878504673,-0.007421150278293154,368.84827551798537,56.83660600576115,26600.0,24525.0,26573.333333333332,29053.079062913985,19996.920937086015
2020-04-27,26250,27000,26200,26950,328373,0.026666666666666616,0.007476635514018781,322.02623322804766,60.072736365696834,26510.0,24817.5,26480.833333333332,29175.3980024778,20459.6019975222
2020-04-28,27050,27050,26600,26750,279823,-0.007421150278293154,-0.012987012987012991,258.7439862396659,58.71817218105182,26520.0,25087.5,26398.333333333332,29215.680591979955,20959.319408020045
2020-04-29,26850,27050,26750,26950,303201,0.007476635514018781,0.003759398496240518,213.3994974334389,59.69686342576563,26730.0,25360.0,26315.0,29215.46365564506,21504.53634435494
2020-05-04,26750,26800,26350,26600,288385,-0.012987012987012991,0.014981273408239737,146.08898525445306,57.14370416593287,26700.0,25635.0,26210.833333333332,28987.625836564526,22282.374163435474
2020-05-06,26950,26950,26550,26700,175876,0.003759398496240518,0.011070110701107083,96.92410582157584,57.70035106580691,26790.0,25882.5,26099.166666666668,28746.63599537452,23018.36400462548
2020-05-07,26550,27500,26450,27100,351928,0.014981273408239737,0.0036496350364962904,80.63425117801671,59.94166520104256,26820.0,26132.5,25989.166666666668,28453.7658184706,23811.2341815294
2020-05-08,27250,27450,27200,27400,253162,0.011070110701107083,-0.021818181818181848,79.23821812462984,61.58567760810878,26950.0,26335.0,25888.333333333332,28334.27486854609,24335.72513145391
2020-05-11,27400,27600,27300,27500,221361,0.0036496350364962904,0.009293680297397744,74.30639357129508,62.14339892737684,27060.0,26505.0,25788.333333333332,28280.92229559741,24729.07770440259
2020-05-12,27450,27500,26700,26900,274775,-0.021818181818181848,-0.0018416206261510082,22.57521382404866,56.813583315445186,27120.0,26645.0,25680.833333333332,28041.388198174125,25248.611801825875
2020-05-13,26550,27250,26400,27150,217335,0.009293680297397744,-0.005535055350553542,-1.5835004142813887,58.41401668504986,27210.0,26780.0,25576.666666666668,27762.038695775263,25797.961304224737
2020-05-14,27450,27600,26700,27100,395536,-0.0018416206261510082,0.0018552875695732052,-26.335577745839373,57.95145521740368,27210.0,26867.5,25484.166666666668,27605.92738302421,26129.07261697579
2020-05-15,27100,27250,26850,26950,200736,-0.005535055350553542,0.0185185185185186,-56.48376104722945,56.505843426746,27120.0,26875.0,25381.666666666668,27613.579718107656,26136.420281892344
