Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,63700,64600,63500,63700,32175,0.0015723270440251014,-0.011111111111111072,118.285782450341,41.628646993883166,63880.0,64870.0,67885.0,68906.38452083056,60833.61547916944
2020-02-17,65400,65600,62600,63000,157736,-0.01098901098901095,-0.019261637239165297,94.72701631846462,38.813713235003426,63680.0,64600.0,67723.33333333333,68369.3500766048,60830.649923395205
2020-02-18,63000,63100,62200,62300,51034,-0.011111111111111072,-0.013093289689034338,41.76764947248648,36.179091761444816,63380.0,64325.0,67521.66666666667,67918.81412986267,60731.185870137335
2020-02-19,62700,62700,61000,61100,66602,-0.019261637239165297,-0.021558872305140975,-58.847255626222704,32.15020822125784,62740.0,64005.0,67300.0,67550.40547751602,60459.59452248398
2020-02-20,61300,61800,60000,60300,68548,-0.013093289689034338,-0.027118644067796627,-158.39613895080583,29.770079361499626,62080.0,63690.0,67096.66666666667,67373.96525499367,60006.03474500633
2020-02-21,59900,60400,59000,59000,86829,-0.021558872305140975,0.029616724738676048,-283.6061585869711,26.35557811208777,61140.0,63275.0,66860.0,67105.86152190348,59444.13847809652
2020-02-24,57500,58700,56600,57400,64004,-0.027118644067796627,-0.005076142131979711,-436.83526853757417,22.87765411645465,60020.0,62765.0,66613.33333333333,66863.42652733957,58666.573472660435
2020-02-25,56100,59600,56100,59100,62433,0.029616724738676048,0.0,-387.9997517965983,32.99503594810767,59380.0,62475.0,66411.66666666667,66745.30443879598,58204.69556120402
2020-02-26,58500,59400,58200,58800,35687,-0.005076142131979711,-0.05102040816326525,-341.8250778888189,32.19243664968762,58920.0,62115.0,66213.33333333333,66349.74910709013,57880.25089290986
2020-02-27,58300,59100,58300,58800,32313,0.0,0.016129032258064502,-279.8143337841618,32.19243664968762,58620.0,61805.0,66031.66666666667,66057.28174043074,57552.71825956926
2020-02-28,58600,58700,55600,55800,105963,-0.05102040816326525,0.010582010582010692,-401.9437913352979,25.108937166626987,57980.0,61460.0,65825.0,66425.64195245698,56494.35804754302
2020-03-02,55900,57100,55900,56700,42579,0.016129032258064502,0.03839441535776622,-383.2815318273572,30.079488374620297,57840.0,61185.0,65631.66666666667,66549.42914017892,55820.57085982108
2020-03-03,57400,58400,57200,57300,45352,0.010582010582010692,0.0117647058823529,-295.62378114132457,33.25970081318994,57480.0,60975.0,65456.666666666664,66596.34325584203,55353.65674415796
2020-03-04,56900,60200,56900,59500,56967,0.03839441535776622,-0.014950166112956853,-66.53410888415078,43.42127128002919,57620.0,60830.0,65336.666666666664,66446.44015369173,55213.55984630827
2020-03-05,59900,60300,58500,60200,37103,0.0117647058823529,-0.030354131534570006,143.61824161583354,46.22670108836767,57900.0,60635.0,65233.333333333336,66051.00406203695,55218.995937963045
2020-03-06,59800,59800,58700,59300,36114,-0.014950166112956853,-0.03130434782608693,228.44891510991738,43.25687820864104,58600.0,60400.0,65146.666666666664,65615.74539255904,55184.25460744096
2020-03-09,58500,58700,57200,57500,54172,-0.030354131534570006,-0.16786355475763015,172.32684653653314,37.99885140675379,58760.0,60075.0,65016.666666666664,65161.40344447831,54988.59655552169
2020-03-10,57500,58200,55700,55700,121398,-0.03130434782608693,-0.09277238403451993,30.40757377420732,33.60042727557945,58440.0,59670.0,64805.0,64795.27072455698,54544.72927544302
2020-03-11,56000,56100,45200,46350,644998,-0.16786355475763015,-0.13198573127229485,-639.7407484518264,20.39459992252297,55810.0,58772.5,64420.833333333336,66137.51697214616,51407.48302785384
2020-03-12,45650,46800,41550,42050,367920,-0.09277238403451993,0.02876712328767117,-1282.1052221146006,17.071560044017303,52180.0,57695.0,63965.0,67738.2514655365,47651.748534463506
2020-03-13,38100,38500,34000,36500,445066,-0.13198573127229485,-0.04394141145139818,-1950.2314132218062,13.91915244866182,47620.0,56335.0,63411.666666666664,69605.34664204372,43064.65335795628
