Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,164000,171000,162500,169000,45288,0.02735562310030404,-0.00591715976331364,40.89496327595384,54.61186004702477,162900.0,166825.0,167175.0,176670.17648394385,156979.82351605615
2020-02-17,169500,172500,168500,169000,16521,0.0,-0.02083333333333337,391.7130606191872,54.61186004702477,165100.0,166725.0,166950.0,176438.26412695553,157011.73587304447
2020-02-18,165500,170500,165500,168000,28224,-0.00591715976331364,-0.006079027355623046,538.5972305443324,52.88164314034364,166700.0,166575.0,166750.0,176110.59122446013,157039.40877553987
2020-02-19,170000,170000,163000,164500,34892,-0.02083333333333337,0.003058103975535076,389.1879231389064,47.24034130390647,167000.0,166250.0,166525.0,175601.4704726049,156898.5295273951
2020-02-20,162000,166000,162000,163500,27347,-0.006079027355623046,-0.021341463414634165,220.55700862529034,45.73900579845671,166800.0,165850.0,166383.33333333334,174950.0000000001,156749.9999999999
2020-02-21,164000,167500,163000,164000,48771,0.003058103975535076,-0.012461059190031154,143.94207603858547,46.65193704447328,165800.0,165350.0,166225.0,173669.25477431732,157030.74522568268
2020-02-24,165500,174000,158500,160500,61694,-0.021341463414634165,-0.01577287066246058,-126.58146873417866,41.40092416301038,164100.0,164675.0,166016.66666666666,172233.2736124066,157116.7263875934
2020-02-25,163000,163000,157500,158500,27866,-0.012461059190031154,0.0032051282051281937,-408.4468832566297,38.71901341851343,162200.0,164000.0,165833.33333333334,171224.95674727552,156775.04325272448
2020-02-26,161500,161500,153500,156000,39467,-0.01577287066246058,-0.03194888178913735,-713.6232100614307,35.613432728892064,160500.0,163400.0,165583.33333333334,171169.16983982216,155630.83016017784
2020-02-27,156000,158000,153500,156500,21217,0.0032051282051281937,-0.00990099009900991,-824.3330346464427,36.706859886857195,159100.0,162675.0,165358.33333333334,170173.49984997013,155176.50015002987
2020-02-28,158000,158000,150500,151500,41481,-0.03194888178913735,0.03333333333333344,-1156.4697604040439,31.031625598294994,156600.0,162000.0,165083.33333333334,170848.72872225172,153151.27127774828
2020-03-02,153000,154000,146500,150000,35744,-0.00990099009900991,0.03548387096774186,-1383.9837701949891,29.55531385404116,154500.0,161200.0,164766.66666666666,171266.77704133763,151133.22295866237
2020-03-03,151000,155000,150000,155000,42393,0.03333333333333344,0.015576323987538832,-1116.0264343763015,39.830978561178945,153800.0,160875.0,164575.0,171295.5326159464,150454.4673840536
2020-03-04,156500,162000,155500,160500,31194,0.03548387096774186,-0.030674846625766916,-517.1115424249701,48.69618260702824,154700.0,160900.0,164466.66666666666,171314.4130895602,150485.5869104398
2020-03-05,160500,164000,158500,163000,31733,0.015576323987538832,-0.025316455696202556,67.57063605403755,52.147481632236975,156000.0,160825.0,164450.0,171155.90025118832,150494.09974881168
2020-03-06,163000,164500,157000,158000,24796,-0.030674846625766916,-0.02922077922077926,133.8955337445036,45.54790610504295,157300.0,160650.0,164358.33333333334,171047.5958759707,150252.4041240293
2020-03-09,155500,156000,152000,154000,28224,-0.025316455696202556,0.0,-64.64024183559559,41.069934418140434,158100.0,160450.0,164258.33333333334,171191.97374787348,149708.02625212652
2020-03-10,155000,158000,148500,149500,56210,-0.02922077922077926,-0.050167224080267525,-450.5394865193475,36.6987295405592,157000.0,159925.0,164033.33333333334,171682.0191800474,148167.9808199526
2020-03-11,148500,152000,148500,149500,33795,0.0,-0.04225352112676062,-645.4386899250753,36.6987295405592,154800.0,159250.0,163866.66666666666,171750.00000000012,146749.99999999988
