Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,224000,224000,208500,209000,109990,-0.07929515418502198,0.009615384615384581,1018.9911658729211,48.752614504988124,221500.0,212525.0,203294.25,237579.88974232384,187470.11025767616
2020-02-17,210000,211500,205000,208000,34088,-0.004784688995215336,-0.00952380952380949,173.1120118212616,48.12142758342075,220100.0,212675.0,203527.15,237583.38212329347,187766.61787670653
2020-02-18,206000,212000,206000,210000,17956,0.009615384615384581,0.012019230769230838,-262.5024069376832,49.52882949447225,217000.0,212925.0,203800.7,237619.68566311395,188230.31433688605
2020-02-19,211500,211500,206500,208000,28444,-0.00952380952380949,-0.061757719714964354,-672.807569300292,48.12289039976441,212400.0,213075.0,204121.4,237611.24869453366,188538.75130546634
2020-02-20,211500,213000,208000,210500,23343,0.012019230769230838,-0.0582278481012658,-757.027553742334,50.03227203795614,209100.0,211700.0,204454.5,233414.9717936728,189985.0282063272
2020-02-21,206000,208000,196500,197500,68511,-0.061757719714964354,-0.010752688172043001,-1619.8970854799882,41.48224888390864,206800.0,209900.0,204592.88333333333,229996.26831031087,189803.73168968913
2020-02-24,194000,194500,185500,186000,46674,-0.0582278481012658,-0.021739130434782594,-2826.1574529802456,35.67442752450627,202400.0,208025.0,204473.75,229636.28177596146,186413.71822403854
2020-02-25,185500,188000,180500,184000,59445,-0.010752688172043001,-0.01666666666666672,-3571.705191259377,34.762871351035386,197200.0,206925.0,204357.86666666667,230942.233396043,182907.766603957
2020-02-26,180500,183500,177000,180000,40429,-0.021739130434782594,-0.05932203389830504,-4108.89902365251,32.94948740837599,191600.0,205425.0,204124.1,232088.2237360752,178761.7762639248
2020-02-27,182000,182000,176500,177000,32282,-0.01666666666666672,-0.0030030030030030463,-4414.157400120047,31.617360260252283,184900.0,204025.0,203876.91666666666,233429.8890492721,174620.1109507279
2020-02-28,175000,175000,164000,166500,93350,-0.05932203389830504,0.006024096385542244,-5026.612698665282,27.436393063048868,178700.0,202275.0,203476.68333333332,235931.31441498018,168618.68558501982
2020-03-02,167500,169500,164000,166000,69586,-0.0030030030030030463,0.0059880239520957446,-5149.873852495232,27.25159032874727,174700.0,200875.0,202965.68333333332,237947.73256721176,163802.26743278824
2020-03-03,170500,173500,166500,167000,49929,0.006024096385542244,0.04166666666666674,-4852.591940371236,28.291903860804737,171300.0,199475.0,202464.03333333333,239339.11293381557,159610.88706618443
2020-03-04,166000,169000,164000,168000,66057,0.0059880239520957446,-0.014285714285714235,-4296.245752238462,29.37947178122282,168900.0,197825.0,202030.26666666666,239966.75482819864,155683.24517180136
2020-03-05,169500,176000,167000,175000,47085,0.04166666666666674,-0.04057971014492756,-3213.989685296311,36.62528207763089,168500.0,196100.0,201705.85,239006.40977756123,153193.59022243877
2020-03-06,174500,174500,170000,172500,30829,-0.014285714285714235,-0.0030211480362537513,-2457.7796199081668,35.23483368059473,169700.0,194175.0,201347.08333333334,237685.08503783922,150664.91496216078
