Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-03-30,20100,20600,19550,20400,562936,-0.033175355450236976,-0.033175355450236976,236.41509529075347,35.16104927485016,20340.0,23130.0,30461.666666666668,31694.776704619915,14565.223295380085
2020-03-31,20800,21000,20050,20700,624238,0.014705882352941124,0.014705882352941124,342.4898069615092,36.56548335711919,20920.0,22682.5,30240.833333333332,30759.211892843523,14605.788107156479
2020-04-01,20500,21900,20350,21100,644412,0.019323671497584627,0.019323671497584627,445.97279481307305,38.47891430143427,20890.0,22232.5,30043.333333333332,29575.542625506132,14889.457374493868
2020-04-02,20950,21800,20000,21550,433246,0.021327014218009532,0.021327014218009532,544.5810121445702,40.64791814221041,20970.0,21827.5,29847.5,28335.45474784513,15319.545252154869
2020-04-03,21400,21700,21050,21550,295678,0.0,0.0,605.0054530571815,40.6479181422104,21060.0,21472.5,29667.5,27178.240530378156,15766.759469621846
2020-04-06,21500,23500,21250,23400,573131,0.08584686774941996,0.08584686774941996,755.0132418689564,49.18916448301325,21660.0,21277.5,29510.833333333332,26411.160974392442,16143.839025607556
2020-04-07,23750,25000,23550,24300,617519,0.03846153846153855,0.03846153846153855,890.958872931968,52.751453927478366,22380.0,21135.0,29370.0,25739.682399471214,16530.317600528786
2020-04-08,23900,24300,23200,23600,451915,-0.028806584362139898,-0.028806584362139898,906.8251837253706,49.82551741212332,22880.0,20997.5,29214.166666666668,25108.88358706652,16886.11641293348
2020-04-09,24400,25950,24000,25700,1159857,0.08898305084745761,0.08898305084745761,1023.2189853310504,57.45038100294995,23710.0,21067.5,29073.333333333332,25440.745362428224,16694.254637571776
2020-04-10,26000,27150,24750,25700,864795,0.0,0.0,1060.1706981643324,57.45038100294996,24540.0,21247.5,28931.666666666668,26051.0898034699,16443.9101965301
2020-04-13,25450,25450,24000,24350,515665,-0.05252918287937747,-0.05252918287937747,956.8223893321174,51.60364607994422,24730.0,21405.0,28749.166666666668,26394.979959879594,16415.020040120406
2020-04-14,24400,24800,24150,24550,445373,0.008213552361396204,0.008213552361396204,867.6910212538571,52.376894627449836,24780.0,21552.5,28574.166666666668,26727.7753549932,16377.224645006801
2020-04-16,24000,24500,23500,24300,395888,-0.010183299389002087,-0.010183299389002087,761.4473777382899,51.274088640718745,24920.0,21760.0,28388.333333333332,27025.70033328901,16494.29966671099
2020-04-17,24700,25500,24600,25300,609915,0.04115226337448563,0.04115226337448563,728.0841460241164,55.325990997867855,24840.0,22157.5,28214.166666666668,27228.227265393,17086.772734607
