Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,107000,109500,106500,108500,45008,0.009302325581395321,-0.02314814814814814,-724.263218849534,47.8246720710823,110100.0,112050.0,104980.0,118107.22708836313,105992.77291163687
2020-02-17,108000,109000,106500,108000,32193,-0.004608294930875556,0.009478672985782088,-751.3428026994927,46.79795338904388,109700.0,111800.0,105198.33333333333,118088.083968905,105511.916031095
2020-02-18,107500,108000,103500,105500,111192,-0.02314814814814814,0.0,-898.6088417039699,41.948722220820585,108200.0,111325.0,105320.0,117997.89292586056,104652.10707413944
2020-02-19,106500,108000,104000,106500,52523,0.009478672985782088,-0.028169014084507005,-888.0755586085826,44.42921099061197,107200.0,110850.0,105490.0,117476.46210281173,104223.53789718827
2020-02-20,105000,107500,104500,106500,57487,0.0,-0.04251207729468598,-840.9824495875358,44.42921099061197,107000.0,110425.0,105655.0,117022.53741937096,103827.46258062904
2020-02-21,104500,106000,103000,103500,57119,-0.028169014084507005,-0.029263370332996974,-962.9792708875142,38.678912856743445,106000.0,109675.0,105763.33333333333,115825.40649063133,103524.59350936867
2020-02-24,100000,102500,98300,99100,120924,-0.04251207729468598,0.007276507276507305,-1271.7130145293518,32.113958535020075,104220.0,108855.0,105800.0,115976.65008969129,101733.34991030871
2020-02-25,99900,100500,93800,96200,193156,-0.029263370332996974,-0.006191950464396245,-1582.6805234719675,28.661089190228623,102360.0,107965.0,105796.66666666667,116583.88043773668,99346.11956226332
2020-02-26,95000,97300,93700,96900,69098,0.007276507276507305,-0.036344755970924236,-1645.3958437617307,30.60075006202233,100440.0,107110.0,105796.66666666667,116520.823555885,97699.176444115
2020-02-27,97000,98000,94500,96300,73298,-0.006191950464396245,0.008620689655172376,-1628.4366339319424,29.851539387904225,98400.0,106250.0,105746.66666666667,116290.41831797859,96209.58168202141
2020-02-28,96000,96000,91600,92800,70726,-0.036344755970924236,-0.005341880341880323,-1743.7876905620246,25.872233821779588,96260.0,105440.0,105610.0,116966.21360204642,93913.78639795358
2020-03-02,93300,94900,92200,93600,50028,0.008620689655172376,0.018259935553168738,-1657.6309666414886,28.227317601118642,95160.0,104695.0,105526.66666666667,117216.8968211689,92173.1031788311
2020-03-03,95700,97200,92700,93100,70462,-0.005341880341880323,-0.0031645569620253333,-1528.8744342471355,27.636340459371482,94540.0,103875.0,105443.33333333333,117155.7944039504,90594.2055960496
2020-03-04,93700,95300,93200,94800,40771,0.018259935553168738,-0.013756613756613745,-1236.2833228909894,32.78870890618114,94120.0,103115.0,105405.0,116644.12044443392,89585.87955556608
2020-03-05,94900,96800,93700,94500,33943,-0.0031645569620253333,-0.027896995708154515,-981.1595688540965,32.35095452019395,93760.0,102315.0,105366.66666666667,115894.87849724732,88735.12150275268
2020-03-06,93700,94400,92300,93200,36886,-0.013756613756613745,0.024282560706401668,-824.4750399722584,30.453587153375693,93840.0,101550.0,105285.0,115371.64968446242,87728.35031553758
2020-03-09,92600,92600,88300,90600,62279,-0.027896995708154515,-0.0193965517241379,-818.7877898185079,27.038082400888,93240.0,100580.0,105206.66666666667,114614.75685574923,86545.24314425077
2020-03-10,90000,97200,89500,92800,76969,0.024282560706401668,-0.04175824175824172,-599.8498743973878,33.80337100651421,93180.0,99570.0,105160.0,112766.52984689536,86373.47015310464
2020-03-11,92100,93700,90000,91000,43987,-0.0193965517241379,-0.04931192660550454,-512.6311367124763,31.250213623182887,92420.0,98545.0,105043.33333333333,111041.79558927007,86048.20441072993
2020-03-12,92900,92900,85000,87200,77363,-0.04175824175824172,-0.020506634499396825,-639.010515739818,26.67044433198241,90960.0,97530.0,104845.0,110248.19169536298,84811.80830463702
2020-03-13,78800,85800,78000,82900,90890,-0.04931192660550454,-0.013546798029556606,-923.0964380435034,22.629087531066546,88900.0,96250.0,104543.33333333333,109438.55564495218,83061.44435504782
2020-03-16,82900,84500,79500,81200,50520,-0.020506634499396825,-0.06367041198501877,-1123.1076634810306,21.257646099452657,87020.0,94910.0,104245.0,108491.0014358294,81328.9985641706
2020-03-17,78100,82100,76500,80100,66892,-0.013546798029556606,-0.11733333333333329,-1219.0871909430716,20.39627645987396,84480.0,93640.0,103863.33333333333,107761.95453894396,79518.04546105604
2020-03-18,79000,81900,75000,75000,59036,-0.06367041198501877,0.11933534743202423,-1497.3223690813056,16.96411460813404,81280.0,92065.0,103363.33333333333,107095.67197433302,77034.32802566698
2020-03-19,75700,77900,63800,66200,124313,-0.11733333333333329,-0.05937921727395412,-2107.9189659538697,12.9231685160252,77080.0,90050.0,102725.0,107422.56457751704,72677.43542248296
2020-03-20,68200,74100,66200,74100,64592,0.11933534743202423,0.04734576757532283,-1824.2654191407846,29.22269486089425,75320.0,88580.0,102218.33333333333,106126.00809301078,71033.99190698922
2020-03-23,68500,71800,66700,69700,85191,-0.05937921727395412,0.047945205479452024,-1775.7821894650278,26.27290712497343,73020.0,87110.0,101630.0,105774.82252795348,68445.17747204652
2020-03-24,70600,73800,68100,73000,88531,0.04734576757532283,-0.0039215686274509665,-1381.7973513695306,31.830734621563607,71600.0,85950.0,101071.66666666667,105088.59973979287,66811.40026020713
2020-03-25,74300,78000,73600,76500,98027,0.047945205479452024,-0.007874015748031482,-775.999206400893,37.23497258706447,71900.0,84930.0,100580.0,103798.07886351974,66061.92113648026
2020-03-26,76700,78300,75500,76200,65678,-0.0039215686274509665,0.002645502645502562,-309.9359873302701,36.9644719758163,73900.0,83925.0,100058.33333333333,102400.70025736508,65449.29974263492
2020-03-27,78300,80800,74500,75600,84204,-0.007874015748031482,0.04089709762532978,25.67339088963763,36.394998375630735,74200.0,83065.0,99551.66666666667,101408.96631047931,64721.033689520686
2020-03-30,74000,77300,71800,75800,49200,0.002645502645502562,-0.04309252217997461,312.91924700380423,36.74482157120544,75420.0,82175.0,99090.0,100110.76036860439,64239.239631395605
2020-03-31,76500,79800,75500,78900,54303,0.04089709762532978,-0.0066225165562914245,739.1519008006971,42.063749451999094,76600.0,81465.0,98630.0,98726.20215975701,64203.79784024299
2020-04-01,77300,79500,74100,75500,54768,-0.04309252217997461,-0.01200000000000001,813.6554752234688,38.26348001257126,76400.0,80500.0,98121.66666666667,96802.6378233708,64197.362176629205
2020-04-02,74600,76300,72600,75000,45665,-0.0066225165562914245,0.047233468286099756,847.0132159942323,37.72372492159274,76160.0,79525.0,97580.0,94651.9131021501,64398.08689784991
2020-04-03,75000,75400,72600,74100,54030,-0.01200000000000001,0.05025773195876293,825.3752974874596,36.71964576294229,75860.0,78570.0,97073.33333333333,92486.19200787341,64653.80799212658
2020-04-06,74100,77600,74100,77600,46888,0.047233468286099756,-0.012269938650306789,1049.3179841700548,43.06614447887498,76220.0,77920.0,96600.0,90695.53912756719,65144.46087243282
2020-04-07,78900,82300,78000,81500,101469,0.05025773195876293,0.024844720496894457,1438.5818484007095,49.18208663736791,76740.0,77355.0,96183.33333333333,88319.39236802478,66390.60763197522
2020-04-08,80000,83100,79600,80500,57889,-0.012269938650306789,-0.021818181818181848,1595.0745971898014,47.765233754134016,77740.0,76830.0,95783.33333333333,85987.31401667542,67672.68598332458
2020-04-09,81500,82500,80800,82500,59728,0.024844720496894457,-0.03469640644361838,1785.2848056580306,50.81697510489895,79240.0,76595.0,95391.66666666667,84874.96980670824,68315.03019329176
2020-04-10,82900,82900,79500,80700,56431,-0.021818181818181848,0.025673940949935803,1740.0811834968426,48.09362917814462,80560.0,76485.0,94928.33333333333,84480.56752207121,68489.43247792879
2020-04-13,80100,80500,77700,77900,48689,-0.03469640644361838,0.017521902377972465,1481.910720772979,44.13163169928227,80620.0,76320.0,94343.33333333333,84051.39056056541,68588.60943943459
2020-04-14,78100,80400,77800,79900,35963,0.025673940949935803,0.07872078720787212,1406.7377025325986,47.46102346069403,80300.0,76310.0,93758.33333333333,84022.30186131223,68597.69813868777
2020-04-16,79000,81500,77900,81300,65215,0.017521902377972465,-0.02850627137970352,1408.7077930100845,49.71982670227044,80460.0,76625.0,93180.0,84607.4494987441,68642.5505012559
2020-04-17,82700,87700,82600,87700,97219,0.07872078720787212,-0.03169014084507038,1774.8040031990436,58.50297771018271,81500.0,77700.0,92725.0,85567.1468779984,69832.8531220016
2020-04-20,87500,87500,84200,85200,72823,-0.02850627137970352,0.0060606060606061,1777.9136973381433,54.49818243248318,82400.0,78255.0,92170.0,86580.73720459636,69929.26279540364
2020-04-21,85000,85000,80100,82500,98055,-0.03169014084507038,0.010843373493975905,1536.5317024145425,50.479138771117825,83320.0,78895.0,91620.0,86421.34705551105,71368.65294448895
2020-04-22,81500,83400,79500,83000,52226,0.0060606060606061,-0.016686531585220488,1355.2751540746146,51.1968984420146,83940.0,79395.0,91103.33333333333,86610.67044702015,72179.32955297985
2020-04-23,83700,84000,82200,83900,34622,0.010843373493975905,0.014545454545454639,1243.6439579130536,52.53060936781076,84460.0,79765.0,90601.66666666667,87106.73685172657,72423.26314827343
2020-04-24,82600,83900,82300,82500,27591,-0.016686531585220488,-0.021505376344086002,1031.88933247024,50.230988606513506,83420.0,80080.0,90085.0,87322.81713147585,72837.18286852415
2020-04-27,82500,84300,82000,83700,31834,0.014545454545454639,0.04761904761904767,932.0538500482244,52.16400906617469,83120.0,80485.0,89663.33333333333,87584.93661943542,73385.06338056458
2020-04-28,83500,83600,81500,81900,41360,-0.021505376344086002,-0.0407925407925408,714.0233284840383,49.08439148427984,83000.0,80790.0,89220.0,87575.83819435742,74004.16180564258
2020-04-29,81900,86700,81900,85800,108071,0.04761904761904767,0.019441069258809174,795.4732465857076,55.248998210278806,83560.0,81135.0,88825.0,88197.3721227361,74072.6278772639
2020-05-04,83300,84100,81800,82300,55687,-0.0407925407925408,-0.007151370679380209,586.2982063858179,49.4612736663657,83240.0,81475.0,88363.33333333333,88057.9704541339,74892.0295458661
2020-05-06,83500,83900,82100,83900,48542,0.019441069258809174,0.06842737094837936,530.0641671780234,51.939865689389904,83520.0,81920.0,87920.0,87864.27455624318,75975.72544375682
2020-05-07,83100,84000,81500,83300,50781,-0.007151370679380209,-0.02134831460674158,431.03148183330654,50.93112400685127,83440.0,82380.0,87500.0,87137.9827658368,77622.0172341632
2020-05-08,83800,89900,83700,89000,84344,0.06842737094837936,-0.024110218140068862,711.433765362535,59.06476065286347,84860.0,82950.0,87150.0,88003.11784940743,77896.88215059257
2020-05-11,89000,89000,86800,87100,46194,-0.02134831460674158,0.004705882352941115,728.3236389858836,55.747587340549956,85120.0,83230.0,86718.33333333333,88544.54607657135,77915.45392342865
2020-05-12,87800,87800,83500,85000,42730,-0.024110218140068862,0.02693208430913341,564.7401144179432,52.25446725615367,85660.0,83455.0,86276.66666666667,88668.24275283628,78241.75724716372
2020-05-13,84700,86200,83600,85400,27479,0.004705882352941115,0.11630558722919049,454.871681469444,52.860364585818594,85960.0,83600.0,85908.33333333333,88860.03802267626,78339.96197732374
2020-05-14,85000,88300,83100,87700,91070,0.02693208430913341,0.004085801838610736,504.64712879830813,56.29477493372781,86840.0,83950.0,85561.66666666667,89321.96425900247,78578.03574099753
2020-05-15,89000,104500,88800,97900,276929,0.11630558722919049,0.007121057985757906,1154.8843075435088,67.57664194667868,88620.0,84950.0,85393.33333333333,92463.85387134991,77436.14612865009
