Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,213000,214500,210000,211000,24883,-0.0023640661938534313,-0.0046948356807511304,2064.0520573902213,76.7851368940925,208000.0,192275.0,176733.33333333334,214978.4688979461,169571.5311020539
2020-02-17,215000,216500,211000,213000,48959,0.009478672985782088,-0.014150943396226467,1919.7205080148087,77.9530644218632,210700.0,194075.0,177375.0,217350.04027923488,170799.95972076512
2020-02-18,213500,214500,211000,212000,43860,-0.0046948356807511304,0.02392344497607657,1596.2357014215522,75.897035275011,211600.0,195725.0,177983.33333333334,219169.56226931966,172280.43773068034
2020-02-19,214500,214500,206000,209000,32373,-0.014150943396226467,-0.03738317757009346,1046.1452403902422,69.9375035177216,211300.0,196800.0,178600.0,220606.30168673847,172993.69831326153
2020-02-20,209000,215000,207000,214000,56055,0.02392344497607657,-0.03155339805825241,891.0163301119392,73.65101409242092,211800.0,198200.0,179341.66666666666,222587.2917725607,173812.7082274393
2020-02-21,210000,212000,206000,206000,29105,-0.03738317757009346,-0.007518796992481258,159.913345903944,60.725805213515514,210800.0,198975.0,180008.33333333334,223319.3525278453,174630.6474721547
2020-02-24,198500,202000,198000,199500,36246,-0.03155339805825241,-0.007575757575757569,-798.5113819844319,52.6422673195648,208100.0,199375.0,180541.66666666666,223476.60783018442,175273.39216981558
2020-02-25,198000,202000,197000,198000,72153,-0.007518796992481258,-0.020356234096692072,-1528.2664788498823,50.95652726962121,205300.0,200275.0,181041.66666666666,222701.4910318134,177848.5089681866
2020-02-26,194500,199500,193000,196500,23456,-0.007575757575757569,-0.02857142857142858,-2072.957684574476,49.25783004188293,202800.0,201075.0,181491.66666666666,221691.19509026842,180458.80490973158
2020-02-27,197500,198500,189500,192500,22040,-0.020356234096692072,0.013368983957219305,-2627.920285216511,44.954155560973646,198500.0,201600.0,181875.0,220727.46716112742,182472.53283887258
2020-02-28,187000,190000,185000,187000,38748,-0.02857142857142858,0.0158311345646438,-3249.965674467763,39.80444213172426,194700.0,201975.0,182208.33333333334,219588.84398704633,184361.15601295367
2020-03-02,187500,194000,183500,189500,32768,0.013368983957219305,0.018181818181818077,-3363.4999691100093,43.00072043728718,192700.0,202325.0,182583.33333333334,218604.6652299735,186045.3347700265
2020-03-03,196000,199000,192500,192500,38233,0.0158311345646438,0.028061224489795977,-3112.782777112141,46.66081612266993,191600.0,202200.0,183025.0,218739.04471243752,185660.95528756248
2020-03-04,191500,199000,190500,196000,28367,0.018181818181818077,-0.01985111662531014,-2607.899325998142,50.642847198640915,191500.0,202100.0,183566.66666666666,218763.13295872082,185436.86704127918
2020-03-05,199000,203000,198000,201500,71604,0.028061224489795977,-0.06329113924050633,-1836.5969547535224,56.17913380550399,193300.0,202275.0,184216.66666666666,218835.41968067258,185714.58031932742
2020-03-06,196500,201000,196000,197500,36843,-0.01985111662531014,-0.013513513513513487,-1540.8231408831562,51.64226968541629,195400.0,202225.0,184791.66666666666,218836.66758636857,185613.33241363143
2020-03-09,193000,193000,184500,185000,52144,-0.06329113924050633,-0.013698630136986356,-2097.544661157631,40.60633279734585,194500.0,201500.0,185183.33333333334,219712.63297823814,183287.36702176186
2020-03-10,179000,187000,179000,182500,36359,-0.013513513513513487,-0.04166666666666663,-2516.452112514442,38.81956061938165,192500.0,200250.0,185525.0,220009.8076913721,180490.1923086279
2020-03-11,183000,185500,179000,180000,30520,-0.013698630136986356,-0.060869565217391286,-2821.285051173627,37.063241247251774,189300.0,198725.0,185833.33333333334,219752.30367878886,177697.69632121114
2020-03-12,177500,180000,168500,172500,56059,-0.04166666666666663,-0.0679012345679012,-3351.2964886768095,32.33659498485038,183500.0,196775.0,185975.0,219836.81909563957,173713.18090436043
2020-03-13,159500,168000,153000,162000,69156,-0.060869565217391286,-0.052980132450331174,-4178.47608032439,27.121762799031714,176400.0,194325.0,185891.66666666666,220956.32553967237,167693.67446032763
2020-03-16,164000,164500,151000,151000,51838,-0.0679012345679012,-0.11188811188811187,-5170.9380325452,22.946770394330997,169600.0,191225.0,185625.0,222473.1599458273,159976.8400541727
2020-03-17,141000,149000,138000,143000,53480,-0.052980132450331174,-0.17716535433070868,-6011.730665618408,20.477865058070194,161700.0,187775.0,185241.66666666666,223936.40898803592,151613.59101196408
2020-03-18,144500,145500,126500,127000,38163,-0.11188811188811187,0.14832535885167464,-7210.22352890959,16.62517715670556,151100.0,183675.0,184533.33333333334,227137.94398680332,140212.05601319668
2020-03-19,128000,129000,103000,104500,65475,-0.17716535433070868,-0.050000000000000044,-8968.470247301184,12.938663881901874,137500.0,178200.0,183483.33333333334,231481.70417694992,124918.29582305008
2020-03-20,110000,122500,107500,120000,70469,0.14832535885167464,0.11842105263157898,-8539.87745659265,25.23757744416966,129100.0,173900.0,182666.66666666666,231239.86396914456,116560.13603085544
2020-03-23,109500,125000,109500,114000,43526,-0.050000000000000044,0.10588235294117654,-8115.699233923264,23.833981041502597,121700.0,169625.0,181708.33333333334,231279.5821492612,107970.41785073878
2020-03-24,120000,133000,116000,127500,44943,0.11842105263157898,0.014184397163120588,-6453.582335694304,32.87919675349701,118600.0,166100.0,180958.33333333334,228912.89676491602,103287.10323508397
2020-03-25,147000,147000,136000,141000,43478,0.10588235294117654,0.006993006993007089,-4087.971353236693,40.49002813558715,121400.0,163325.0,180425.0,225420.30980678007,101229.69019321993
2020-03-26,143500,149500,140500,143000,51109,0.014184397163120588,0.02083333333333326,-2130.018964694549,41.54747640680295,129100.0,160850.0,179983.33333333334,222035.86438059038,99664.13561940962
2020-03-27,148500,151000,140500,144000,30976,0.006993006993007089,0.006802721088435382,-589.1811044681563,42.10145340951765,133900.0,158700.0,179500.0,219075.82297575742,98324.17702424257
