Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,119000,121000,115000,116500,224033,-0.04115226337448563,-0.02155172413793105,261.4822716152098,38.474774023595266,118800.0,122225.0,128891.66666666667,137702.32211979837,106747.67788020163
2020-02-17,116500,117500,114500,116000,80548,-0.0042918454935622075,-0.013215859030836996,212.17053699686494,37.814426057522674,118700.0,121225.0,128566.66666666667,135554.9511513473,106895.04884865269
2020-02-18,115500,116000,113500,113500,93253,-0.02155172413793105,-0.044642857142857095,45.28024585807816,34.61537955994815,117500.0,120075.0,128233.33333333333,132932.9741794732,107217.02582052679
2020-02-19,114000,115500,111000,112000,121452,-0.013215859030836996,-0.02336448598130836,-122.84288081983595,32.82124886926184,115900.0,118950.0,127933.33333333333,130425.62634456177,107474.37365543823
2020-02-20,112500,113000,107000,107000,193999,-0.044642857142857095,-0.05167464114832532,-506.0072724067945,27.672549053283575,113000.0,117700.0,127591.66666666667,128651.7121949036,106748.2878050964
2020-02-21,106000,108500,104000,104500,123419,-0.02336448598130836,0.004036326942482349,-843.1717997683154,25.517142511753534,110600.0,116350.0,127191.66666666667,126809.92351788482,105890.07648211518
2020-02-24,100000,101000,99000,99100,268506,-0.05167464114832532,-0.0060301507537688925,-1316.9792477199571,21.603031308406216,107220.0,114805.0,126643.33333333333,125855.33483655586,103754.66516344414
2020-02-25,98000,100500,97700,99500,223456,0.004036326942482349,-0.0030333670374115274,-1478.4499494873726,22.550728024347634,104420.0,113755.0,126160.0,126327.26709865806,101182.73290134194
2020-02-26,98200,102000,97800,98900,251652,-0.0060301507537688925,-0.03448275862068961,-1496.1374460336265,22.118803681099635,101800.0,112675.0,125650.0,126402.03536820678,98947.96463179322
2020-02-27,98500,100500,98400,98600,138024,-0.0030333670374115274,0.006302521008403339,-1400.2219082723514,21.893012318956778,100120.0,111705.0,125035.0,126490.73298825594,96919.26701174406
2020-02-28,97200,97200,93600,95200,221162,-0.03448275862068961,0.013569937369519725,-1432.7736093160147,19.467526152205522,98260.0,110690.0,124413.33333333333,127002.55957843526,94377.44042156474
2020-03-02,95300,96800,94500,95800,112471,0.006302521008403339,0.005149330587023604,-1285.6034367141729,21.12815394925373,97600.0,109830.0,123793.33333333333,127334.75364008303,92325.24635991697
2020-03-03,97000,98500,96600,97100,119010,0.013569937369519725,0.013319672131147486,-985.8994641821155,24.748843010461215,97120.0,108910.0,123245.0,127048.67690874943,90771.32309125057
2020-03-04,96900,99700,96800,97600,131001,0.005149330587023604,-0.04347826086956519,-655.1083051503365,26.1529928620279,96860.0,108090.0,122755.0,126710.51556751315,89469.48443248685
2020-03-05,98800,100500,97400,98900,137424,0.013319672131147486,-0.039112050739957716,-269.62566364597205,29.81967837211397,96920.0,107185.0,122328.33333333333,125744.66325125539,88625.33674874461
2020-03-06,98000,98400,94500,94600,192281,-0.04347826086956519,-0.00990099009900991,-226.83548347721626,25.338156115363773,96800.0,106115.0,121788.33333333333,124983.41540776544,87246.58459223456
2020-03-09,92600,92600,90300,90900,146530,-0.039112050739957716,-0.00666666666666671,-362.2738287277034,22.240801136402354,95820.0,104835.0,121203.33333333333,124179.07144320967,85490.92855679033
