Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2020-03-30,63000,64000,60100,62000,18586,0.04906937394247035,0.04906937394247035,99.70491715803746,43.831823361520954,57340.0,64945.0,74578.33333333333,84273.5772885642,45616.42271143579,1
2020-03-31,63000,63400,62100,62900,11652,0.014516129032257963,0.014516129032257963,582.4174987792512,45.526779072441244,59760.0,64240.0,74213.33333333333,82770.45061513616,45709.54938486384,1
2020-04-01,62900,67000,62900,64100,20044,0.019077901430842648,0.019077901430842648,979.0105411629611,47.78909208817836,61180.0,63555.0,73865.0,81011.51454328727,46098.48545671273,1
2020-04-02,64100,65100,62200,64900,10131,0.012480499219968744,0.012480499219968744,1273.0770335607858,49.30078743854477,62600.0,62885.0,73538.33333333333,79003.71893172656,46766.28106827345,1
2020-04-03,65200,68000,65200,66500,20166,0.024653312788905923,0.024653312788905923,1535.6189502211155,52.2768806801425,64080.0,62325.0,73265.0,77065.26797585444,47584.73202414556,1
2020-04-06,67700,69800,67200,69600,18340,0.046616541353383445,0.046616541353383445,1856.865501955585,57.48428395502271,65600.0,61950.0,73030.0,75501.3098997846,48398.690100215405,1
2020-04-07,70000,72100,68100,69000,17768,-0.008620689655172376,-0.008620689655172376,1957.7091783704855,56.205936769482776,66820.0,61670.0,72803.33333333333,74368.83459219782,48971.16540780218,0
2020-04-08,69000,71400,67400,70500,12608,0.021739130434782705,0.021739130434782705,2044.677289090128,58.67985973810762,68100.0,61570.0,72590.0,73953.71511300224,49186.28488699777,1
2020-04-09,71500,74200,70700,72000,17497,0.02127659574468077,0.02127659574468077,2113.7292188369156,61.04942918583101,69520.0,61670.0,72411.66666666667,74353.0753368416,48986.92466315839,1
2020-04-10,72000,73300,70800,73000,8649,0.01388888888888884,0.01388888888888884,2131.2053688217875,62.589683593279986,70820.0,62090.0,72270.0,75658.77297326474,48521.22702673525,1
2020-04-13,73000,73000,71800,72500,7778,-0.006849315068493178,-0.006849315068493178,2014.854746720033,61.28475785909973,71400.0,62550.0,72145.0,76855.45350556912,48244.54649443088,0
2020-04-14,73800,74600,72800,74200,10269,0.02344827586206888,0.02344827586206888,1956.5299872685398,64.03062506920293,72440.0,63140.0,72055.0,78318.7219488335,47961.278051166504,1
2020-04-16,73600,74300,72100,73500,13086,-0.009433962264150941,-0.009433962264150941,1780.010473877294,62.07821702657769,73040.0,63790.0,71958.33333333333,79562.6218492678,48017.378150732206,0
2020-04-17,73500,74600,73200,74000,24055,0.006802721088435382,0.006802721088435382,1611.1864157582872,62.94729631008771,73440.0,64850.0,71870.0,80373.33727005891,49326.6627299411,1
2020-04-20,74100,76300,74000,75700,8951,0.02297297297297307,0.02297297297297307,1528.9447328434771,65.8158259436585,73980.0,65915.0,71823.33333333333,81346.82102021662,50483.17897978337,1
2020-04-21,75800,75900,74000,75500,15891,-0.0026420079260237594,-0.0026420079260237594,1380.544114670193,65.17653804508979,74580.0,67230.0,71776.66666666667,81148.34760307414,53311.652396925856,0
2020-04-22,75000,75100,73600,74200,22125,-0.017218543046357615,-0.017218543046357615,1125.109793721396,61.02712114836592,74580.0,68400.0,71741.66666666667,80398.83327661485,56401.16672338515,0
2020-04-23,75700,76200,74300,75900,8153,0.022911051212938016,0.022911051212938016,1004.8677492964341,64.23382282331838,75060.0,69345.0,71735.0,80554.7234577843,58135.27654221569,1
2020-04-24,75900,77800,75200,77300,26389,0.01844532279314892,0.01844532279314892,954.2292953365131,66.66627190181929,75720.0,70320.0,71763.33333333333,80705.29729954804,59934.70270045196,1
2020-04-27,77400,77400,76000,76500,11581,-0.010349288486416586,-0.010349288486416586,807.2978328834076,63.988226462004036,75880.0,71190.0,71780.0,80532.783311198,61847.216688802,0
2020-04-28,76500,77400,76200,76400,13728,-0.0013071895424836555,-0.0013071895424836555,650.5465378785566,63.64406331212716,76060.0,71910.0,71781.66666666667,80497.87517375514,63322.124826244864,0
2020-04-29,76800,77300,76200,76400,16905,0.0,0.0,500.7565632053511,63.64406331212716,76500.0,72585.0,71790.0,80313.20160192523,64856.79839807476,0
2020-05-04,74100,77800,74100,77300,15413,0.011780104712041828,0.011780104712041828,419.4766191770841,65.57660921368772,76780.0,73245.0,71783.33333333333,80175.36074097155,66314.63925902845,1
2020-05-06,77400,78500,76500,77300,11600,0.0,0.0,327.00629456953084,65.57660921368772,76780.0,73865.0,71775.0,79852.74581958853,67877.25418041147,0
2020-05-07,77900,78200,76300,77300,13156,0.0,0.0,231.6241899325796,65.57660921368772,76940.0,74405.0,71768.33333333333,79523.38841824258,69286.61158175742,0
2020-05-08,77400,79400,76800,78100,12944,0.010349288486416475,0.010349288486416475,189.94333819279836,67.4948711078276,77280.0,74830.0,71723.33333333333,79686.78906274504,69973.21093725496,1
2020-05-11,82500,82500,78300,78900,27660,0.010243277848911658,0.010243277848911658,183.673451236009,69.33513455271446,77780.0,75325.0,71676.66666666667,79698.04241918596,70951.95758081404,1
2020-05-12,79700,79700,78000,78300,11125,-0.0076045627376425395,-0.0076045627376425395,110.16379052217508,66.30327530065014,77980.0,75715.0,71638.33333333333,79668.36565473012,71761.63434526988,0
2020-05-13,78300,79500,78000,78500,8395,0.0025542784163474774,0.0025542784163474774,49.16608564357966,66.82404125552517,78220.0,76040.0,71585.0,79781.33665953757,72298.66334046243,1
