Date,Open,High,Low,Close,Volume,Change,MACD,RSI,MA5,MA20,MA60
2020-01-02,109000,110000,106500,107500,232765,-0.009216589861751112,,,,,
2020-01-03,108500,109500,107000,107500,253791,0.0,,,,,
2020-01-06,106000,107000,105000,106000,236334,-0.013953488372092981,,,,,
2020-01-07,107000,108000,106500,108000,200467,0.018867924528301883,,,,,
2020-01-08,106500,107000,103000,105000,409091,-0.02777777777777779,,,106800.0,,
2020-01-09,106000,107000,106000,106500,446040,0.014285714285714235,,,106600.0,,
2020-01-10,106000,108000,105500,107000,267976,0.0046948356807512415,,,106500.0,,
2020-01-13,107000,109000,106500,109000,336316,0.01869158878504673,,,107100.0,,
2020-01-14,109000,110000,106500,107000,343008,-0.01834862385321101,,,106900.0,,
2020-01-15,107000,108000,106000,107000,199124,0.0,,,107300.0,,
2020-01-16,107500,108500,106000,108000,200395,0.009345794392523255,,,107600.0,,
2020-01-17,108500,109500,107500,107500,181114,-0.00462962962962965,,,107700.0,,
2020-01-20,108000,112000,107500,112000,544608,0.041860465116279055,,,108300.0,,
2020-01-21,111500,112500,109500,110000,248677,-0.017857142857142905,,58.100059978775306,108900.0,,
2020-01-22,110000,112500,109500,112000,285391,0.018181818181818077,,63.56601233288648,109900.0,,
2020-01-23,113000,119000,112500,117000,1290170,0.044642857142857206,,73.03619425937823,111700.0,,
2020-01-28,113500,114500,111000,112000,706005,-0.042735042735042694,,57.06302513369387,112600.0,,
2020-01-29,112500,114000,110500,113500,384304,0.013392857142857206,,59.896632879595586,112900.0,,
2020-01-30,113500,114000,109000,110500,448272,-0.026431718061673992,,52.442361387166784,113000.0,,
2020-01-31,110000,111500,108000,108500,391016,-0.018099547511312264,,48.14095093387944,112300.0,109075.0,
2020-02-03,106500,108500,105500,107500,379093,-0.009216589861751112,,46.104712398303285,110400.0,109075.0,
2020-02-04,108500,111000,107500,111000,387111,0.032558139534883734,,53.515654725476864,110200.0,109250.0,
2020-02-05,111500,112000,110000,110500,405448,-0.0045045045045044585,,52.406994324728686,109600.0,109475.0,
2020-02-06,112000,117000,112000,115500,608944,0.045248868778280604,,61.08825967418147,110600.0,109850.0,
2020-02-07,115500,116500,114000,115000,358446,-0.0043290043290042934,,59.91137510359013,111900.0,110350.0,
2020-02-10,115000,116500,113000,116000,297490,0.008695652173912993,,61.50855915041632,113600.0,110825.0,
2020-02-11,117000,120000,116500,119000,543327,0.02586206896551735,,65.89809304958032,115200.0,111425.0,
2020-02-12,118500,120000,118000,119500,325990,0.004201680672268893,,66.58210974244562,117000.0,111950.0,
2020-02-13,120000,121500,118000,118500,443917,-0.008368200836820106,,63.82475970004791,117600.0,112525.0,
2020-02-14,118500,120000,117500,119500,310446,0.00843881856540074,,65.36923551745497,118500.0,113150.0,
2020-02-17,120000,120000,118500,119500,210755,0.0,,65.36923551745497,119200.0,113725.0,
2020-02-18,118500,119000,116000,117000,394843,-0.02092050209205021,,58.168646525692814,118800.0,114200.0,
2020-02-19,118000,118000,115500,117500,245852,0.004273504273504258,,59.13810191984926,118400.0,114475.0,
2020-02-20,117500,118000,115000,115500,286186,-0.017021276595744705,-74.32616034499551,53.770113809592374,117800.0,114750.0,
2020-02-21,113500,115000,113000,113500,299243,-0.017316017316017285,-377.94961587555144,48.98199099653253,116600.0,114825.0,
2020-02-24,110000,112000,109500,109500,445637,-0.03524229074889873,-824.3403806227038,41.09931633705981,114600.0,114450.0,
2020-02-25,109500,113000,109000,112000,402750,0.022831050228310446,-920.120734121421,46.855805576753966,113600.0,114450.0,
2020-02-26,110000,112000,109500,110500,331040,-0.013392857142857095,-1044.2978238984156,44.072620005567465,112200.0,114300.0,
2020-02-27,113000,113500,108000,109000,657663,-0.013574660633484115,-1177.383703619004,41.42287732417711,110900.0,114225.0,
2020-02-28,108000,108000,105000,105500,650896,-0.032110091743119296,-1434.0286905698906,35.986213783276995,109300.0,114075.0,
2020-03-02,106000,107500,104500,106500,418061,0.009478672985782088,-1464.2164492538682,38.470998132625574,108700.0,114025.0,
2020-03-03,109000,109500,106000,106500,407337,0.0,-1411.3631306218765,38.470998132625574,107600.0,113800.0,
