Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,74007,74400,73125,73910,63425,-0.0013241811696033112,-0.018416601787967446,250.8019245207165,47.55538221345235,72596.4,74846.0,77166.0,87351.83681326453,62340.16318673547
2020-02-17,74007,75968,73517,74498,87594,0.007955621702069982,0.0,411.7316634295323,49.1581238872806,73419.8,74297.05,77125.15,85812.74184157004,62781.35815842997
2020-02-18,74498,75086,72929,73126,68796,-0.018416601787967446,-0.02547657467932063,421.51653461085334,45.6523251878042,73714.0,73659.9,77079.41666666667,83881.42553976181,63438.37446023818
2020-02-19,73615,74596,72243,73126,52496,0.0,0.050895976874394844,422.65090505863645,45.6523251878042,73733.6,73061.95,77066.35,81836.90500786205,64286.994992137945
2020-02-20,73517,74203,70969,71263,68744,-0.02547657467932063,-0.018320202964347665,298.4482290629219,41.042794513266905,73184.6,72483.6,77025.5,80048.39772102359,64918.80227897642
2020-02-21,76654,77928,73811,74890,548397,0.050895976874394844,0.03199216518403647,451.87638052449165,51.343247234945025,73380.6,72042.5,77015.7,77733.77811655728,66351.22188344272
2020-02-24,73517,75576,72439,73518,162813,-0.018320202964347665,0.03488862528008441,451.2207797048113,47.931831223760845,73184.6,71709.25,76940.55,76082.84078447035,67335.65921552965
2020-02-25,74400,76066,71753,75870,111564,0.03199216518403647,-0.01997019753683915,590.651392359363,53.62090435383718,73733.4,71841.55,76927.46666666666,76538.54454864532,67144.55545135468
2020-02-26,74890,78615,74105,78517,168681,0.03488862528008441,-0.0433144030461734,828.0561434116128,59.04444980870675,74811.6,72165.05,76958.5,77691.98707129038,66638.11292870963
2020-02-27,78418,81065,76654,76949,187132,-0.01997019753683915,0.07456259508802443,843.545276553326,54.94552337938807,75948.8,72552.25,76942.16666666667,78276.9503720722,66827.5496279278
2020-02-28,75772,77340,73125,73616,138215,-0.0433144030461734,-0.008672018203653376,604.5692466997073,47.41117495531825,75694.0,72880.65,76847.41666666667,78029.21944305925,67732.08055694074
