Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2020-03-30,58500,61400,58000,61300,59365,0.0182724252491695,0.0182724252491695,168.73138425614616,45.76165494738195,59340.0,63267.5,69777.5,76051.95442715488,50483.04557284512,1
2020-03-31,61600,62500,61000,61100,70577,-0.0032626427406199365,-0.0032626427406199365,381.86376797415824,45.46092494612316,60560.0,62877.5,69525.83333333333,75424.55045020541,50330.44954979459,0
2020-04-01,60800,62500,59100,60000,53044,-0.018003273322422242,-0.018003273322422242,456.3124188339684,43.75768156339051,60480.0,62352.5,69264.16666666667,74450.49466853908,50254.505331460925,0
2020-04-02,59900,63000,59500,62300,61239,0.03833333333333333,0.03833333333333333,655.874100065037,48.13336922539481,60980.0,61882.5,69029.16666666667,73196.35323397824,50568.64676602176,1
2020-04-03,61900,63000,61700,62900,44494,0.009630818619582593,0.009630818619582593,813.4079535666829,49.242771613455936,61520.0,61487.5,68844.16666666667,72055.46456277177,50919.53543722824,1
2020-04-06,63000,64700,63000,64300,51432,0.022257551669316422,0.022257551669316422,985.541603741382,51.83172155008717,62120.0,61202.5,68677.5,71124.5197036692,51280.4802963308,1
2020-04-07,65900,66700,64500,65700,68405,0.021772939346811793,0.021772939346811793,1155.5563445766697,54.339839028809195,63040.0,61017.5,68532.5,70446.98964684727,51588.010353152735,1
2020-04-08,65100,67300,64900,65200,57130,-0.007610350076103556,-0.007610350076103556,1191.4432325296066,53.272947833824304,64080.0,60887.5,68382.5,70005.935995279,51769.064004720996,0
2020-04-09,65900,66400,65100,65500,48991,0.004601226993865115,0.004601226993865115,1189.7187217404537,53.85831873786047,64720.0,60872.5,68244.16666666667,69959.49482777446,51785.505172225545,1
2020-04-10,65100,68100,65000,67000,60548,0.022900763358778553,0.022900763358778553,1238.380103537822,56.77414113091072,65540.0,60927.5,68139.16666666667,70147.88366880684,51707.11633119317,1
2020-04-13,66700,67900,66000,66000,57311,-0.014925373134328401,-0.014925373134328401,1153.7047983298676,54.310134052091804,65880.0,60962.5,68012.5,70254.0485792197,51670.95142078029,0
2020-04-14,66000,67400,66000,66800,49984,0.0121212121212122,0.0121212121212122,1102.1377285520944,55.95694404505665,66100.0,61057.5,67897.5,70544.92720657185,51570.072793428146,1
2020-04-16,66000,66800,65500,66700,45248,-0.0014970059880239361,-0.0014970059880239361,1014.0775980783282,55.68675346389068,66400.0,61412.5,67787.5,71182.34518812862,51642.65481187139,0
2020-04-17,66800,67500,66800,66800,92028,0.0014992503748125774,0.0014992503748125774,918.2128264909951,55.915989031259045,66660.0,62265.0,67672.5,70699.75547956192,53830.24452043808,1
2020-04-20,66900,67300,66100,66100,63928,-0.010479041916167664,-0.010479041916167664,769.3347229692706,53.81727688767003,66480.0,62715.0,67549.16666666667,70957.6391404695,54472.3608595305,0
2020-04-21,66300,66700,64500,65300,70999,-0.012102874432677768,-0.012102874432677768,586.8980903901718,51.44096938668826,66340.0,63420.0,67424.16666666667,69805.17031879337,57034.829681206626,0
2020-04-22,64800,66500,63700,66500,61945,0.018376722817764257,0.018376722817764257,519.2889198467279,54.6739613642255,66280.0,63995.0,67347.5,69207.09171062827,58782.90828937173,1
2020-04-23,66600,68700,66100,68600,60165,0.03157894736842115,0.03157894736842115,583.4478953145885,59.72719346666649,66660.0,64405.0,67294.16666666667,69710.64793404161,59099.352065958396,1
2020-04-24,68100,70000,67900,68400,54931,-0.002915451895043719,-0.002915451895043719,578.7228498640125,59.0519642673952,66980.0,64835.0,67237.5,69969.30618487055,59700.69381512945,0
2020-04-27,68900,72000,68500,70700,87069,0.033625730994152114,0.033625730994152114,689.2954624030228,64.08101163964582,67900.0,65360.0,67229.16666666667,70636.51400073951,60083.4859992605,1
2020-04-28,70700,72100,70600,71900,51657,0.016973125884016893,0.016973125884016893,794.5675402328243,66.39965764589284,69220.0,65890.0,67259.16666666667,71544.69716253666,60235.30283746335,1
2020-04-29,72800,73700,69400,69800,126452,-0.029207232267037586,-0.029207232267037586,678.5895385746297,59.197886949239596,69880.0,66325.0,67252.5,71773.62367942586,60876.37632057415,0
2020-05-04,69300,69400,67500,68000,63104,-0.025787965616045794,-0.025787965616045794,447.61468823353334,53.81049773866034,69760.0,66725.0,67220.83333333333,71373.3868169506,62076.6131830494,0
2020-05-06,68700,69300,68200,68400,43769,0.00588235294117645,0.00588235294117645,296.0487803011106,54.7950312211313,69760.0,67030.0,67122.5,71258.52220048566,62801.47779951433,1
2020-05-07,68500,69400,67800,69100,27134,0.01023391812865504,0.01023391812865504,220.67073849867256,56.54081911158722,69440.0,67340.0,67027.5,71205.43658594992,63474.56341405008,1
2020-05-08,69200,71000,69200,70200,41917,0.01591895803183796,0.01591895803183796,222.02132896679063,59.206888590252134,69100.0,67635.0,66944.16666666667,71427.24208088042,63842.757919119584,1
2020-05-11,70100,70400,69400,69400,51273,-0.01139601139601143,-0.01139601139601143,149.6335467048009,56.492555550644155,69020.0,67820.0,66844.16666666667,71577.4459410616,64062.5540589384,0
