Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,44450,45200,44150,45050,69073,0.010089686098654793,-0.014301430143014326,35.37633979151428,44.76585411239449,44710.0,46590.0,48987.5,53469.21507150341,39710.78492849659
2020-02-17,44900,45450,44500,45450,66337,0.008879023307436285,-0.022321428571428603,122.21406871977729,46.37978969479449,44960.0,46332.5,48835.0,52973.45437418445,39691.54562581555
2020-02-18,45250,45350,44150,44800,85915,-0.014301430143014326,-0.023972602739726012,140.05878345905376,44.12354103607694,45050.0,46155.0,48703.333333333336,52760.444723862245,39549.555276137755
2020-02-19,45200,45200,43500,43800,135976,-0.022321428571428603,-0.01520467836257311,91.06915945318656,40.83248467060302,44740.0,45930.0,48560.0,52534.42276054461,39325.57723945539
2020-02-20,43850,44200,42300,42750,112545,-0.023972602739726012,-0.0439429928741093,-0.6412644665997504,37.65649663669121,44370.0,45627.5,48407.5,52232.60976441721,39022.39023558279
2020-02-21,42000,43150,41800,42100,97616,-0.01520467836257311,0.012422360248447228,-88.79211906833939,35.80011927214629,43780.0,45107.5,48245.833333333336,51073.09091792251,39141.90908207749
2020-02-24,40850,41300,40100,40250,144100,-0.0439429928741093,-0.0012269938650306678,-246.46971250228103,31.100743459789527,42740.0,44495.0,48035.0,49774.857952634666,39215.142047365334
2020-02-25,39800,41300,39750,40750,107140,0.012422360248447228,-0.012285012285012331,-288.9263345798024,33.636277253765,41930.0,43877.5,47840.833333333336,47665.30609324177,40089.69390675823
2020-02-26,40350,41150,39750,40700,90512,-0.0012269938650306678,-0.04353233830845771,-291.38023126615985,33.503498158283975,41310.0,43465.0,47615.833333333336,46711.552017140566,40218.447982859434
2020-02-27,40500,40800,40000,40200,79186,-0.012285012285012331,-0.005201560468140465,-296.68639157046164,32.1372934912894,40800.0,43195.0,47389.166666666664,46581.57644236764,39808.42355763236
2020-02-28,39500,39800,37950,38450,167769,-0.04353233830845771,-0.005228758169934622,-382.598009233993,27.855811237490528,40070.0,42975.0,47143.333333333336,46944.19387281592,39005.80612718408
2020-03-02,38450,38900,37700,38250,111897,-0.005201560468140465,0.006570302233902758,-414.73853985091887,27.406431006622398,39670.0,42777.5,46905.833333333336,47243.311796303045,38311.688203696955
2020-03-03,38900,39200,37800,38050,116421,-0.005228758169934622,0.007832898172323688,-410.5462620761341,26.938421177374195,39130.0,42547.5,46675.0,47466.69454789089,37628.30545210911
2020-03-04,37800,38450,37700,38300,124331,0.006570302233902758,-0.05440414507772018,-354.1473833190644,28.580204314867075,38650.0,42330.0,46448.333333333336,47585.03568018328,37074.96431981672
2020-03-05,38600,39100,38150,38600,174925,0.007832898172323688,-0.06164383561643838,-263.984884181295,30.595687250458553,38330.0,42025.0,46245.0,47401.10453767404,36648.89546232596
2020-03-06,38050,38350,36050,36500,290861,-0.05440414507772018,-0.020437956204379604,-309.9471873028863,25.22862301984982,37940.0,41625.0,46005.0,47381.95231871859,35868.04768128141
2020-03-09,35850,35850,33500,34250,283430,-0.06164383561643838,-0.03576751117734722,-447.6866766631697,20.98177505884894,37140.0,41127.5,45747.5,47585.400200529526,34669.599799470474
2020-03-10,33000,34200,32850,33550,310402,-0.020437956204379604,-0.07109737248840808,-535.7920492911226,19.861595839994635,36240.0,40587.5,45473.333333333336,47654.66881077559,33520.33118922441
2020-03-11,33600,34000,32050,32350,220148,-0.03576751117734722,-0.0515806988352745,-618.8567433524126,18.079617531916128,35050.0,39937.5,45162.5,47506.50753071361,32368.492469286393
2020-03-12,32000,32250,29800,30050,347983,-0.07109737248840808,-0.038596491228070184,-763.1965797211724,15.254604264369206,33340.0,39210.0,44813.333333333336,47599.13583153827,30820.864168461736
2020-03-13,27100,28900,26700,28500,407060,-0.0515806988352745,-0.014598540145985384,-888.7732282115307,13.700898273787075,31740.0,38382.5,44451.666666666664,47534.454709241036,29230.545290758964
2020-03-16,29100,29500,27150,27400,269435,-0.038596491228070184,-0.09074074074074079,-965.2628959382464,12.711417102440606,30370.0,37480.0,44070.0,47207.96998350628,27752.03001649372
2020-03-17,25050,27300,25050,27000,212295,-0.014598540145985384,-0.1670061099796334,-960.1036862549172,12.36180037105835,29060.0,36590.0,43685.0,46724.821162704306,26455.178837295694
2020-03-18,26650,27350,24450,24550,306466,-0.09074074074074079,0.14914425427872868,-1032.6769366256121,10.463496074221908,27500.0,35627.5,43259.166666666664,46472.05969599499,24782.94030400501
2020-03-19,24550,25450,19850,20450,461642,-0.1670061099796334,-0.12765957446808507,-1253.1124429956308,8.195419351521238,25580.0,34512.5,42785.833333333336,46700.89099307201,22324.10900692799
2020-03-20,20700,23500,19850,23500,369544,0.14914425427872868,0.12195121951219523,-1095.5171603293084,21.778751893471394,24580.0,33582.5,42344.166666666664,46145.870367859054,21019.129632140946
2020-03-23,21200,21850,20100,20500,264304,-0.12765957446808507,0.13260869565217392,-1092.84086878779,18.827885013606576,23200.0,32595.0,41856.666666666664,45984.43240021767,19205.567599782327
2020-03-24,21150,23000,20750,23000,252348,0.12195121951219523,-0.028790786948176605,-833.9171388325612,27.628041471664886,22400.0,31707.5,41421.666666666664,45169.97655522559,18245.023444774408
2020-03-25,24850,26300,24150,26050,414878,0.13260869565217392,0.009881422924901129,-390.9553076496859,36.65134277502317,22700.0,30975.0,41035.833333333336,43987.321084264666,17962.678915735338
2020-03-26,26500,26950,24800,25300,381149,-0.028790786948176605,0.001956947162426559,-97.47880745700968,35.479893341220844,23670.0,30230.0,40653.333333333336,42740.85128998018,17719.14871001982
2020-03-27,27000,27300,24700,25550,269558,0.009881422924901129,0.046875,150.95849793388697,36.211769566694905,24080.0,29585.0,40242.5,41656.623751591935,17513.37624840806
2020-03-30,24550,25600,24200,25600,158540,0.001956947162426559,-0.020522388059701524,345.03501678936664,36.36723649810108,25100.0,28952.5,39853.333333333336,40453.95534269462,17451.04465730538
2020-03-31,26350,26800,25350,26800,239403,0.046875,0.01333333333333342,567.4693447668806,40.13812517674205,25860.0,28390.0,39503.333333333336,39132.0482218243,17647.951778175702
2020-04-01,26550,27650,25600,26250,293732,-0.020522388059701524,-0.007518796992481258,683.0431339872748,38.99744164708385,25900.0,27787.5,39161.666666666664,37545.25973264348,18029.740267356523
2020-04-02,25950,26750,25300,26600,186124,0.01333333333333342,0.08522727272727271,781.459342707918,40.162826046555764,26160.0,27187.5,38834.166666666664,35594.27554119286,18780.72445880714
2020-04-03,26650,26850,26000,26400,116952,-0.007518796992481258,0.0680628272251309,827.0815530679556,39.696149295166364,26330.0,26682.5,38528.333333333336,33923.58244670632,19441.41755329368
2020-04-06,26600,29100,26200,28650,330070,0.08522727272727271,-0.0032679738562091387,991.6901065835164,47.1378760008552,26940.0,26402.5,38210.0,32839.92766949644,19965.072330503557
2020-04-07,29250,30800,29000,30600,344802,0.0680628272251309,0.139344262295082,1200.842380965924,52.59754465373547,27700.0,26255.0,37931.666666666664,32142.265918913326,20367.734081086674
2020-04-08,30800,31700,29750,30500,211955,-0.0032679738562091387,0.004316546762589857,1293.3865152836447,52.29923515200431,28550.0,26162.5,37649.166666666664,31712.26350847479,20612.73649152521
2020-04-09,31500,34750,31100,34750,644704,0.139344262295082,-0.055873925501432664,1582.6505581543524,62.12969856362691,30180.0,26397.5,37443.333333333336,32901.765907848356,19893.234092151644
2020-04-10,35400,36750,34150,34900,534976,0.004316546762589857,0.036418816388467334,1714.7915270829221,62.424036194314695,31880.0,26717.5,37230.0,34165.33693430505,19269.66306569495
2020-04-13,34000,34300,32900,32950,266801,-0.055873925501432664,0.020497803806734938,1603.5982985265355,56.298146655955634,32740.0,26995.0,36935.833333333336,34922.03601606542,19067.963983934573
2020-04-14,32950,34450,32950,34150,281722,0.036418816388467334,0.008608321377331363,1543.087558061102,58.9667530233153,33450.0,27352.5,36699.166666666664,35871.0371396736,18833.9628603264
2020-04-16,33400,34850,33200,34850,187172,0.020497803806734938,-0.02987197724039825,1482.0898516643992,60.48266434258426,34320.0,27867.5,36475.0,36877.28773334858,18857.712266651422
2020-04-17,35500,36000,35000,35150,196409,0.008608321377331363,-0.02346041055718473,1395.0794769243614,61.14517184727376,34400.0,28602.5,36247.5,37469.20598362202,19735.79401637798
2020-04-20,35150,35450,34050,34100,216680,-0.02987197724039825,-0.018018018018018056,1206.9925787602313,57.51098950439327,34240.0,29132.5,35940.833333333336,37983.05224265687,20281.94775734313
2020-04-21,33700,33750,32050,33300,263790,-0.02346041055718473,0.006116207951070374,978.6161356100943,54.836742232292316,34310.0,29772.5,35620.833333333336,37851.08124920451,21693.918750795496
2020-04-22,32950,32950,31550,32700,202504,-0.018018018018018056,-0.03647416413373861,747.4919253618147,52.8517622078783,34020.0,30257.5,35280.833333333336,37798.27416450053,22716.72583549947
2020-04-23,32850,33550,32550,32900,129274,0.006116207951070374,0.009463722397476282,576.1118266995393,53.456554782553184,33630.0,30600.0,35013.333333333336,37965.45993132803,23234.540068671973
2020-04-24,32600,33700,31700,31700,241074,-0.03647416413373861,0.0031250000000000444,360.5044029744395,49.36493309633664,32940.0,30920.0,34781.666666666664,37881.637738348545,23958.362261651455
2020-04-27,31650,32200,31450,32000,221704,0.009463722397476282,0.02336448598130847,223.38347942125188,50.38731217641636,32520.0,31242.5,34600.833333333336,37762.79715580499,24722.202844195006
2020-04-28,32000,32850,31850,32100,151039,0.0031250000000000444,-0.03500761035007616,129.37181013490135,50.744322106017975,32280.0,31567.5,34432.5,37556.76331029107,25578.236689708934
2020-04-29,32050,32850,31850,32850,148591,0.02336448598130847,0.014195583596214423,108.49505026583279,53.4498650426759,32310.0,31870.0,34269.166666666664,37463.603489701316,26276.396510298684
2020-05-04,31850,32350,31550,31700,155700,-0.03500761035007616,-0.0062208398133748455,13.051385591016697,49.004988696304856,32070.0,32142.5,34086.666666666664,37110.42461698029,27174.575383019714
2020-05-06,32400,32450,31700,32150,105112,0.014195583596214423,0.06729264475743357,-22.047540439136355,50.73154740284503,32160.0,32420.0,33877.5,36689.47303539896,28150.526964601046
