Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,ans
2020-03-30,34600,36200,33500,36200,183795,0.03428571428571425,0.03428571428571425,325.3950669389683,43.844840084205295,34500.0,36862.5,43464.166666666664,44587.19255051616,29137.807449483837,37450.0
2020-03-31,37000,38000,36450,37450,226196,0.03453038674033149,0.03453038674033149,551.5622494908584,48.62726332069452,35490.0,36647.5,43296.666666666664,44048.68064905863,29246.31935094137,36900.0
2020-04-01,37300,38400,36200,36900,254570,-0.014686248331108098,-0.014686248331108098,653.719018214596,46.74103598967016,36080.0,36367.5,43151.666666666664,43268.67924705625,29466.320752943746,37450.0
2020-04-02,36750,37700,35800,37450,185622,0.01490514905149043,0.01490514905149043,741.5027077324189,48.87662843408681,36600.0,36090.0,42974.166666666664,42315.31926892107,29864.680731078934,38500.0
2020-04-03,37450,38550,37100,38500,196784,0.028037383177569986,0.028037383177569986,845.8946608439201,52.77024057734545,37300.0,35900.0,42839.166666666664,41562.0667604683,30237.933239531703,39450.0
2020-04-06,38850,39450,38650,39450,279667,0.024675324675324628,0.024675324675324628,946.914221718062,56.032957831308046,37950.0,35812.5,42694.166666666664,41191.2428828677,30433.7571171323,40650.0
2020-04-07,40450,41100,39750,40650,237626,0.03041825095057038,0.03041825095057038,1054.3206270660437,59.80977902426687,38590.0,35772.5,42558.333333333336,40992.50718390309,30552.492816096903,41400.0
2020-04-08,40950,42200,39950,41400,270616,0.01845018450184499,0.01845018450184499,1128.9788028533155,62.00649178144162,39490.0,35830.0,42365.0,41266.85570895531,30393.144291044693,42250.0
2020-04-09,42500,42500,41450,42250,220776,0.020531400966183666,0.020531400966183666,1183.0059131701485,64.38255497254158,40450.0,36072.5,42187.5,42161.38126013309,29983.61873986691,41950.0
2020-04-10,42550,42600,40700,41950,194493,-0.007100591715976323,-0.007100591715976323,1145.1830577779674,62.88769242537318,41140.0,36420.0,42005.0,42998.024019414945,29841.975980585055,41550.0
2020-04-13,41950,42700,41150,41550,235701,-0.009535160905840279,-0.009535160905840279,1042.7812896707196,60.858705790990456,41560.0,36772.5,41810.833333333336,43649.96137757239,29895.038622427608,41300.0
2020-04-14,41600,41950,41300,41300,213750,-0.006016847172081841,-0.006016847172081841,912.4667201507092,59.565192844366386,41690.0,37112.5,41620.833333333336,44176.76747794844,30048.232522051567,42000.0
2020-04-16,41550,42150,41200,42000,157503,0.016949152542372836,0.016949152542372836,830.0353369333826,62.000578623166405,41810.0,37497.5,41460.833333333336,44743.63517676837,30251.364823231634,43200.0
2020-04-17,42250,43400,42250,43200,326970,0.02857142857142847,0.02857142857142847,811.9544100358326,65.80306338485623,42000.0,38062.5,41335.833333333336,45236.541747857336,30888.458252142664,43000.0
2020-04-20,43050,43900,42750,43000,196534,-0.00462962962962965,-0.00462962962962965,743.959596862609,64.64204520477661,42210.0,38547.5,41202.5,45679.50357543376,31415.49642456624,42400.0
2020-04-21,43250,43400,40000,42400,278345,-0.013953488372092981,-0.013953488372092981,621.0214272912301,61.15596276051487,42380.0,39097.5,41085.833333333336,45609.525414569565,32585.474585430435,42300.0
2020-04-22,41600,42300,40850,42300,128084,-0.002358490566037763,-0.002358490566037763,500.583846810119,60.56967444689581,42580.0,39587.5,41045.0,45485.96378305402,33689.03621694598,42350.0
2020-04-23,42350,42500,41700,42350,152298,0.0011820330969267712,0.0011820330969267712,396.45884183689316,60.772172742378224,42650.0,40007.5,41005.833333333336,45416.40700604105,34598.59299395895,41250.0
2020-04-24,42000,42200,41050,41250,136215,-0.025974025974025983,-0.025974025974025983,233.72272469776658,54.179880982714785,42260.0,40327.5,40973.333333333336,45209.65884624824,35445.34115375176,41850.0
2020-04-27,41600,41900,41150,41850,127954,0.014545454545454639,0.014545454545454639,150.73852123131167,56.924637624302086,42030.0,40670.0,40966.666666666664,44930.68069679012,36409.31930320988,42200.0
2020-04-28,42150,42850,41650,42200,169466,0.008363201911588902,0.008363201911588902,105.79346173859267,58.48683170934622,41990.0,40970.0,40956.666666666664,44746.95644666442,37193.04355333558,42700.0
2020-04-29,42300,42900,42250,42700,156559,0.011848341232227444,0.011848341232227444,96.37821990827365,60.68064219892957,42070.0,41232.5,40935.0,44712.48204018353,37752.51795981647,41750.0
2020-05-04,41900,42500,41400,41750,152549,-0.022248243559718994,-0.022248243559718994,16.97066400238191,54.759432379400344,41950.0,41475.0,40892.5,44334.10825258505,38615.89174741495,42350.0
2020-05-06,42500,42500,41900,42350,117550,0.014371257485029876,0.014371257485029876,-3.265343752961485,57.57517327154937,42170.0,41720.0,40840.833333333336,43921.68117582904,39518.31882417096,43950.0
2020-05-07,43000,44500,42950,43950,524535,0.037780401416765086,0.037780401416765086,78.47213969061636,64.00827878507701,42590.0,41992.5,40821.666666666664,43855.635797519855,40129.364202480145,43900.0
2020-05-08,44350,44800,43750,43900,223200,-0.0011376564277588708,-0.0011376564277588708,114.36181873718101,63.68329564346802,42930.0,42215.0,40799.166666666664,43860.63057822828,40569.36942177172,43200.0
2020-05-11,44350,44350,43100,43200,175294,-0.015945330296127547,-0.015945330296127547,77.89145072736255,59.1550572582415,43030.0,42342.5,40749.166666666664,43874.58191686996,40810.41808313004,42200.0
2020-05-12,42600,42800,41400,42200,250850,-0.02314814814814814,-0.02314814814814814,-21.34378549215296,53.32199290642539,43120.0,42382.5,40666.666666666664,43854.66677044414,40910.33322955586,42050.0
2020-05-13,41500,42150,41200,42050,156729,-0.0035545023696682554,-0.0035545023696682554,-100.42308903732544,52.485958854580225,43060.0,42372.5,40573.333333333336,43850.83521232498,40894.16478767502,42800.0
2020-05-14,42100,42800,41600,42800,208385,0.017835909631391145,0.017835909631391145,-105.05879473400125,56.18504661967374,42830.0,42415.0,40492.5,43891.17749610267,40938.82250389733,41850.0
2020-05-15,42800,43000,41500,41850,257830,-0.02219626168224298,-0.02219626168224298,-171.04226240425373,50.79109252475734,42420.0,42430.0,40382.5,43876.51304867946,40983.48695132054,42400.0
2020-05-18,41950,42400,41500,42400,128478,0.0131421744324971,0.0131421744324971,-175.90202072730676,53.57021049738921,42260.0,42485.0,40291.666666666664,43835.96261976412,41134.03738023588,43050.0
2020-05-19,43500,43500,42600,43050,203316,0.015330188679245182,0.015330188679245182,-135.41318296457825,56.683717104764185,42430.0,42537.5,40219.166666666664,43890.59829650323,41184.40170349677,43400.0
2020-05-20,43100,43700,43050,43400,147860,0.008130081300812941,0.008130081300812941,-87.45988061377489,58.30506333646181,42700.0,42547.5,40159.166666666664,43922.80905617608,41172.19094382392,43250.0
2020-05-21,43750,43800,43000,43250,180002,-0.003456221198156695,-0.003456221198156695,-69.0512809677881,57.31491528301742,42790.0,42560.0,40108.333333333336,43955.92263395932,41164.07736604068,42200.0
2020-05-22,43400,43500,42100,42200,175230,-0.024277456647398887,-0.024277456647398887,-127.4042534123223,50.810210589521034,42860.0,42550.0,40108.333333333336,43953.210604292864,41146.789395707136,42600.0
2020-05-25,42450,42700,41600,42600,157645,0.009478672985782088,0.009478672985782088,-137.98494028478194,52.99860719934936,42900.0,42565.0,40108.333333333336,43963.606449291554,41166.393550708446,43850.0
2020-05-26,42900,44300,42700,43850,414321,0.02934272300469476,0.02934272300469476,-63.508717138627844,59.11934309994103,43060.0,42640.0,40137.5,44141.53255042971,41138.46744957029,43300.0
2020-05-27,44000,44500,43200,43300,275836,-0.012542759407069504,-0.012542759407069504,-54.35168296136703,55.68332507158319,43040.0,42742.5,40163.333333333336,44125.711842054545,41359.288157945455,44450.0
2020-05-28,45000,45050,43200,44450,693308,0.02655889145496526,0.02655889145496526,21.998429120033848,60.81193311260737,43280.0,42872.5,40221.666666666664,44378.977679887736,41366.022320112264,43300.0
2020-05-29,44250,44300,43200,43300,172922,-0.025871766029246346,-0.025871766029246346,-10.369304002801528,54.072912471964514,43500.0,42927.5,40253.333333333336,44411.91065746643,41443.08934253357,43450.0
2020-06-01,43150,43700,42850,43450,146342,0.0034642032332563577,0.0034642032332563577,-26.195909525262323,54.77687038225211,43670.0,42965.0,40281.666666666664,44462.3643511183,41467.6356488817,43600.0
2020-06-02,43100,43650,43100,43600,157117,0.0034522439585731313,0.0034522439585731313,-30.765494132287927,55.51123679198806,43620.0,43057.5,40300.0,44469.33391374479,41645.66608625521,44050.0
2020-06-03,43800,44150,43600,44050,234257,0.010321100917431103,0.010321100917431103,-8.824431008633724,57.72892952825222,43770.0,43142.5,40317.5,44578.21410803124,41706.78589196876,46300.0
2020-06-04,44600,47700,44200,46300,980949,0.05107832009080582,0.05107832009080582,143.47471326625964,66.67408367283424,44140.0,43260.0,40384.166666666664,45227.12988894987,41292.87011105013,46850.0
2020-06-05,46550,47150,45650,46850,435937,0.011879049676025932,0.011879049676025932,260.67896816222924,68.43260708019118,44850.0,43407.5,40478.333333333336,45913.14861862152,40901.85138137848,46350.0
2020-06-08,47450,47800,45800,46350,398155,-0.01067235859124871,-0.01067235859124871,282.1396984770637,65.07101042705693,45430.0,43565.0,40560.0,46376.06741292341,40753.93258707659,46550.0
2020-06-09,46550,47500,46000,46550,334895,0.004314994606256839,0.004314994606256839,286.494546728018,65.79481143025458,46020.0,43782.5,40665.0,46802.81041451039,40762.18958548961,47700.0
2020-06-10,48500,48850,47400,47700,639367,0.02470461868958118,0.02470461868958118,339.8732727588724,69.68478252609043,46750.0,44065.0,40836.666666666664,47422.39482337123,40707.60517662877,45750.0
2020-06-11,47700,47750,45600,45750,448731,-0.04088050314465408,-0.04088050314465408,222.571616836457,57.701793720641184,46640.0,44212.5,41015.833333333336,47593.75346580228,40831.24653419772,44600.0
2020-06-12,42450,44650,42450,44600,322695,-0.025136612021857907,-0.025136612021857907,54.986796087222274,52.02047173800725,46190.0,44350.0,41184.166666666664,47554.840089614445,41145.159910385555,41600.0
2020-06-15,44000,44000,41600,41600,353345,-0.06726457399103136,-0.06726457399103136,-253.5174690978713,40.74890818922077,45240.0,44310.0,41302.5,47629.126391085454,40990.873608914546,43000.0
2020-06-16,42350,43050,42050,43000,196904,0.033653846153846256,0.033653846153846256,-352.7994702408122,46.56736643482914,44530.0,44307.5,41447.5,47630.49187480197,40984.50812519803,42550.0
2020-06-17,42800,43300,42150,42550,164279,-0.010465116279069764,-0.010465116279069764,-432.99905974131684,45.03647253219086,43500.0,44265.0,41625.0,47654.40997815253,40875.59002184747,42450.0
2020-06-18,42500,42800,42150,42450,110128,-0.002350176263219761,-0.002350176263219761,-473.71089352688637,44.684914908233196,42840.0,44225.0,41777.5,47679.63456822859,40770.36543177141,42600.0
2020-06-19,42950,43100,42250,42600,104970,0.0035335689045936647,0.0035335689045936647,-470.5042865325131,45.37374094689678,42440.0,44245.0,41964.166666666664,47656.87631663282,40833.12368336718,41650.0
2020-06-22,42200,42400,41600,41650,180161,-0.02230046948356812,-0.02230046948356812,-509.0656030933642,41.821649345145985,42450.0,44197.5,42116.666666666664,47724.180450508655,40670.819549491345,40950.0
2020-06-23,41700,42400,40800,40950,164348,-0.01680672268907568,-0.01680672268907568,-554.6701175885653,39.375596508766726,42040.0,44052.5,42233.333333333336,47852.29933680713,40252.70066319287,41200.0
2020-06-24,41200,41300,40950,41200,97575,0.006105006105006083,0.006105006105006083,-540.4075220688688,40.70935592236937,41770.0,43947.5,42339.166666666664,47936.04296704949,39958.95703295051,40400.0
2020-06-25,40500,40850,40200,40400,113223,-0.01941747572815533,-0.01941747572815533,-555.1458995880098,37.840421346986766,41360.0,43745.0,42429.166666666664,48012.42311002787,39477.57688997213,41000.0
2020-06-26,40400,41200,40400,41000,95691,0.014851485148514865,0.014851485148514865,-496.67889591775054,41.18805483439782,41040.0,43630.0,42509.166666666664,48060.056433049125,39199.943566950875,39800.0
2020-06-29,40700,40700,39750,39800,162359,-0.029268292682926855,-0.029268292682926855,-509.1328776866142,36.90697813914383,40670.0,43447.5,42548.333333333336,48182.42080187197,38712.57919812803,42600.0
2020-06-30,40350,47900,39950,42600,2113544,0.07035175879396993,0.07035175879396993,-308.95482877145423,49.97310196343929,41000.0,43397.5,42643.333333333336,48146.02345471726,38648.97654528274,41250.0
