Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,29850,29900,29050,29300,410401,-0.018425460636515956,-0.0068846815834767705,120.00417934099534,45.90261079098624,30080.0,29662.5,30325.833333333332,31377.689493904403,27947.310506095597
2020-02-17,29350,29350,28550,29050,294576,-0.008532423208191142,-0.012131715771230511,56.25807290111902,44.072248170986136,29860.0,29617.5,30269.166666666668,31347.319354730444,27887.680645269556
2020-02-18,28950,29200,28750,28850,237234,-0.0068846815834767705,-0.010526315789473717,2.062652416482365,42.60848598566909,29550.0,29555.0,30213.333333333332,31300.823587880528,27809.176412119472
2020-02-19,29050,29100,28450,28500,293483,-0.012131715771230511,-0.00886524822695034,-52.88292041818886,40.09858223166861,29110.0,29447.5,30155.0,31175.06331287743,27719.93668712257
2020-02-20,28550,29050,28150,28200,413317,-0.010526315789473717,-0.04472271914132375,-102.10692242812328,38.03066668621436,28780.0,29327.5,30109.166666666668,31051.586714756555,27603.413285243445
2020-02-21,28100,28350,27550,27950,480744,-0.00886524822695034,0.02434456928838946,-141.7407456449812,36.34840861962882,28510.0,29202.5,30046.666666666668,30945.335333587213,27459.664666412787
2020-02-24,27600,27750,26700,26700,706434,-0.04472271914132375,-0.005484460694698323,-236.78056806929612,29.356215229066578,28040.0,29022.5,29959.166666666668,31002.266400361434,27042.733599638566
2020-02-25,26650,27500,26650,27350,426134,0.02434456928838946,-0.011029411764705843,-239.77242080295235,36.22623681528679,27740.0,28937.5,29896.666666666668,31046.972682923402,26828.027317076598
2020-02-26,27000,27750,26700,27200,489129,-0.005484460694698323,-0.024163568773234223,-235.42119274205913,35.37136970939193,27480.0,28835.0,29834.166666666668,31069.300785480787,26600.699214519213
2020-02-27,27150,27450,26750,26900,356716,-0.011029411764705843,-0.00952380952380949,-235.731639516849,33.66052365874992,27220.0,28737.5,29773.333333333332,31125.56930385198,26349.43069614802
2020-02-28,26450,26650,25950,26250,766579,-0.024163568773234223,0.019230769230769162,-260.7465618801913,30.24689244290971,26880.0,28650.0,29710.833333333332,31257.872696279494,26042.127303720506
2020-03-02,26100,26650,25650,26000,500613,-0.00952380952380949,0.013207547169811429,-273.81308768652707,29.027572203655282,26740.0,28555.0,29649.166666666668,31393.467896594935,25716.532103405065
2020-03-03,26550,27100,26400,26500,417696,0.019230769230769162,0.03724394785847296,-230.21829785888406,34.697547799335524,26570.0,28452.5,29589.166666666668,31428.987023321297,25476.012976678703
2020-03-04,26350,27100,26350,26850,321104,0.013207547169811429,-0.03411131059245964,-162.4425395271577,38.40696640496515,26500.0,28352.5,29535.0,31402.331962584183,25302.668037415817
2020-03-05,27100,28350,26800,27850,511357,0.03724394785847296,-0.07620817843866168,-41.211814958346395,47.57060299903728,26690.0,28230.0,29497.5,31151.198384225227,25308.801615774773
2020-03-06,27450,27550,26650,26900,379393,-0.03411131059245964,-0.006036217303822977,-17.18218243494823,41.286382893211346,26820.0,28072.5,29439.166666666668,30923.02188204197,25221.97811795803
2020-03-09,26300,26300,24700,24850,914767,-0.07620817843866168,-0.02429149797570851,-125.49625288156244,31.5888461607843,26590.0,27807.5,29346.666666666668,30817.19682858591,24797.80317141409
2020-03-10,24500,25000,24250,24700,559665,-0.006036217303822977,-0.08091286307053946,-189.54319727370398,31.014801496383853,26230.0,27522.5,29244.166666666668,30575.445299215186,24469.554700784814
2020-03-11,24750,24850,23700,24100,461702,-0.02429149797570851,-0.06320541760722342,-250.7728594247642,28.763189090371128,25680.0,27192.5,29127.5,30227.01396437718,24157.98603562282
2020-03-12,23700,23750,21800,22150,1149867,-0.08091286307053946,-0.01927710843373498,-392.60922766084866,22.935451745946878,24540.0,26807.5,28971.666666666668,30312.963592736363,23302.036407263637
2020-03-13,20000,21500,19200,20750,1525797,-0.06320541760722342,-0.03194103194103193,-541.5384699169704,19.829140733317786,23310.0,26380.0,28784.166666666668,30581.59493525972,22178.40506474028
2020-03-16,20900,21450,20050,20350,689020,-0.01927710843373498,-0.10406091370558379,-622.0543316915023,19.035860223862315,22410.0,25945.0,28606.666666666668,30713.951666771238,21176.048333228762
2020-03-17,18550,20350,18550,19700,785447,-0.03194103194103193,-0.14730878186968843,-670.005865751061,17.790355003860512,21410.0,25487.5,28419.166666666668,30780.691381387995,20194.308618612005
2020-03-18,19850,20100,17650,17650,755478,-0.10406091370558379,0.17607973421926904,-782.8506618716181,14.555679516431326,20120.0,24945.0,28195.0,31053.264892749838,18836.735107250162
2020-03-19,17850,18100,14650,15050,1851550,-0.14730878186968843,-0.10169491525423724,-963.7692268676806,11.66000892133772,18700.0,24287.5,27921.666666666668,31570.69126482342,17004.30873517658
2020-03-20,15400,17700,15150,17700,1108678,0.17607973421926904,0.09119496855345921,-840.6317011947749,27.4927262048097,18090.0,23775.0,27687.5,31390.14937476608,16159.850625233921
2020-03-23,15900,16950,15800,15900,733315,-0.10169491525423724,0.0778097982708934,-815.4454153060583,24.306141662542572,17200.0,23235.0,27420.833333333332,31451.818118955794,15018.181881044207
