Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2020-03-30,45200,45550,44200,45350,12478,-0.03715498938428874,-0.03715498938428874,179.2886422263332,44.641491223467355,44130.0,46680.0,50755.833333333336,54010.37516093143,39349.62483906857,0
2020-03-31,45800,46050,45250,46050,8325,0.015435501653803696,0.015435501653803696,322.25495278320204,46.97570156129827,45260.0,46462.5,50610.0,53593.900633816644,39331.099366183356,1
2020-04-01,46000,46350,43600,45850,8321,-0.004343105320304019,-0.004343105320304019,400.54163724490854,46.374046960766805,45960.0,46210.0,50467.5,53046.56346419753,39373.43653580247,0
2020-04-02,45850,46000,45400,45950,4568,0.0021810250817884125,0.0021810250817884125,452.41685149343516,46.74134520103602,46060.0,45932.5,50331.666666666664,52323.68729188877,39541.31270811123,1
2020-04-03,46150,46150,45650,45950,1936,0.0,0.0,477.60556753607807,46.74134520103601,45830.0,45650.0,50197.5,51489.86301209202,39810.13698790798,0
2020-04-06,46000,46100,45800,46050,5780,0.0021762785636560977,0.0021762785636560977,490.04047607298844,47.161072469540876,45970.0,45432.5,50066.666666666664,50857.836395100356,40007.163604899644,1
2020-04-07,46250,46450,46050,46300,7973,0.005428881650380024,0.005428881650380024,502.28543489708227,48.2589079808441,46020.0,45237.5,49940.0,50226.174673698464,40248.825326301536,1
2020-04-08,46250,46300,45850,46200,4638,-0.002159827213822907,-0.002159827213822907,490.28844350153463,47.83081731631573,46090.0,45050.0,49811.666666666664,49576.58811910257,40523.41188089743,0
2020-04-09,46200,46350,45950,46300,2687,0.0021645021645022577,0.0021645021645022577,475.3720356915944,48.324477191832514,46160.0,44955.0,49686.666666666664,49288.80894825793,40621.19105174207,1
2020-04-10,46500,46500,45850,46500,8153,0.004319654427645814,0.004319654427645814,464.7060343317569,49.35664647802105,46270.0,44925.0,49571.666666666664,49206.997197570374,40643.002802429626,1
2020-04-13,46350,46450,45850,45900,5548,-0.012903225806451646,-0.012903225806451646,405.14994470006195,46.364663600213376,46240.0,44895.0,49443.333333333336,49140.69193418464,40649.30806581536,0
2020-04-14,46300,46300,45800,46200,5248,0.006535947712418277,0.006535947712418277,374.58500228675666,48.060053704013676,46220.0,44905.0,49321.666666666664,49161.98249937682,40648.01750062318,1
2020-04-16,46250,46250,45800,46000,5970,-0.0043290043290042934,-0.0043290043290042934,331.03082718576525,46.99357894631229,46180.0,44915.0,49191.666666666664,49181.274721580936,40648.725278419064,0
2020-04-17,45850,46500,45600,46250,8322,0.005434782608695565,0.005434782608695565,309.5818970101773,48.5310478884645,46170.0,45132.5,49065.833333333336,49200.70292020943,41064.29707979057,1
2020-04-20,46000,46400,45600,46400,7852,0.00324324324324321,0.00324324324324321,296.02512831952345,49.47792791873245,46150.0,45307.5,48942.5,49276.413579306114,41338.586420693886,1
2020-04-21,46400,46400,44400,45400,4866,-0.02155172413793105,-0.02155172413793105,214.0606672298327,43.70525778327045,46050.0,45597.5,48804.166666666664,48581.20156014312,42613.79843985688,0
