Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2020-03-30,8210,8740,8050,8590,236270,0.016568047337278013,0.016568047337278013,124.50546639500772,42.146419123971526,8110.0,9058.0,11751.833333333334,12094.218700950245,6021.781299049755,1
2020-03-31,8840,9170,8720,9170,364444,0.06752037252619325,0.06752037252619325,210.53312650657836,47.40472502691499,8502.0,8954.0,11653.833333333334,11820.51286409114,6087.487135908859,1
2020-04-01,8870,9250,8780,8890,275150,-0.03053435114503822,-0.03053435114503822,245.66001369980268,45.26577666438732,8660.0,8831.0,11558.666666666666,11478.458403828094,6183.541596171906,0
2020-04-02,8800,9190,8750,9140,202816,0.028121484814398245,0.028121484814398245,280.3053260287784,47.54170960699779,8848.0,8705.5,11469.333333333334,11024.072621247822,6386.927378752178,1
2020-04-03,9140,9250,8910,9100,215892,-0.004376367614879695,-0.004376367614879695,293.68663699646754,47.20350508015443,8978.0,8600.5,11394.333333333334,10629.859258485298,6571.140741514702,0
2020-04-06,11800,11800,11800,11800,282497,0.29670329670329676,0.29670329670329676,467.22964103855725,65.19957372938003,9620.0,8665.5,11361.833333333334,10995.122072354225,6335.877927645774,1
2020-04-07,13700,15050,12800,13300,5487836,0.12711864406779672,0.12711864406779672,654.4153729700006,71.0943515931016,10446.0,8820.5,11354.333333333334,11846.358390605878,5794.641609394122,1
2020-04-08,13050,13600,12500,13200,947760,-0.007518796992481258,-0.007518796992481258,736.7397099434468,70.24014736122565,11308.0,8978.0,11342.666666666666,12526.276201199675,5429.723798800325,0
2020-04-09,13500,13600,13100,13550,529301,0.026515151515151603,0.026515151515151603,776.06214817323,71.52950775278124,12190.0,9188.0,11335.166666666666,13258.2363567734,5117.763643226601,1
2020-04-10,13300,13400,12900,13300,503224,-0.01845018450184499,-0.01845018450184499,746.3110812589332,69.22250811169516,13030.0,9415.0,11318.5,13854.119282019801,4975.880717980198,0
2020-04-13,13150,13200,12750,12800,382991,-0.03759398496240607,-0.03759398496240607,657.170269713634,64.72619015808749,13230.0,9623.5,11295.166666666666,14281.857113833159,4965.142886166841,0
2020-04-14,12900,13200,12700,13050,268272,0.01953125,0.01953125,581.8434493302794,65.91821870611574,13180.0,9848.5,11278.5,14708.07724498747,4988.922755012531,1
2020-04-16,12900,12900,12550,12700,313457,-0.026819923371647514,-0.026819923371647514,479.50699017546145,62.722487245871456,13080.0,10090.5,11255.166666666666,15011.538406678006,5169.461593321995,0
2020-04-17,12800,13100,12750,12800,311814,0.007874015748031482,0.007874015748031482,393.2311142872728,63.27038289921365,12930.0,10398.0,11235.166666666666,15187.49517172739,5608.504828272608,1
2020-04-20,12800,12950,12600,12600,381872,-0.015625,-0.015625,301.50287242635363,61.328912080091214,12790.0,10633.0,11211.0,15370.100801122982,5895.899198877018,0
2020-04-21,12550,12650,12050,12250,361046,-0.02777777777777779,-0.02777777777777779,200.90590360902115,57.97615165900501,12680.0,10910.0,11185.166666666666,15334.72146015995,6485.27853984005,0
2020-04-22,12000,12250,11900,12250,282528,0.0,0.0,121.90192502798527,57.97615165900501,12520.0,11162.0,11169.333333333334,15278.462559042655,7045.537440957346,0
2020-04-23,12300,13000,12250,12850,388519,0.048979591836734615,0.048979591836734615,98.58629265166235,62.09594564460524,12550.0,11399.5,11166.833333333334,15325.60990676522,7473.390093234781,1
2020-04-24,12850,12850,12400,12500,228105,-0.027237354085603127,-0.027237354085603127,50.545802060640085,58.493567760961504,12490.0,11614.5,11164.333333333334,15278.418530753652,7950.581469246348,0
2020-04-27,12700,12900,12550,12750,174449,0.020000000000000018,0.020000000000000018,27.702005424009826,60.26668507107974,12520.0,11829.5,11175.166666666666,15219.847917249792,8439.152082750208,1
2020-04-28,12850,13100,12700,13000,393134,0.019607843137254832,0.019607843137254832,21.785379510288976,62.0142274331525,12670.0,12050.0,11194.333333333334,15128.168286497668,8971.831713502332,1
2020-04-29,13000,13200,12850,13200,236664,0.01538461538461533,0.01538461538461533,23.547999101537926,63.4010355673474,12860.0,12251.5,11210.166666666666,15065.452913607474,9437.547086392526,1
2020-05-04,13100,13250,12850,12950,276209,-0.018939393939393923,-0.018939393939393923,1.2598022008603493,60.43107663086707,12880.0,12454.5,11221.833333333334,14819.058944073926,10089.941055926074,0
2020-05-06,13250,13400,13100,13350,226370,0.030888030888030826,0.030888030888030826,6.544013713251957,63.38637597085025,13050.0,12665.0,11232.666666666666,14502.688765814277,10827.311234185723,1
2020-05-07,13250,13450,13150,13350,146179,0.0,0.0,3.29108889537747,63.38637597085025,13170.0,12877.5,11242.666666666666,13742.644496601579,12012.355503398421,0
2020-05-08,13350,13500,13350,13450,181743,0.0074906367041198685,0.0074906367041198685,1.2320414361179246,64.1624356227174,13260.0,12960.0,11247.666666666666,13704.714710476434,12215.285289523566,1
2020-05-11,13500,13500,13300,13400,173127,-0.0037174721189591198,-0.0037174721189591198,-9.54622579807949,63.438401052383526,13300.0,12965.0,11247.666666666666,13720.049667240506,12209.950332759494,0
2020-05-12,13400,13400,12950,13050,255862,-0.026119402985074647,-0.026119402985074647,-44.348057854891294,58.46496140605919,13320.0,12957.5,11242.666666666666,13706.015196906515,12208.984803093485,0
2020-05-13,12850,13300,12800,13250,164201,0.015325670498084198,0.015325670498084198,-57.18223209075495,60.376588273495116,13300.0,12942.5,11243.5,13654.03004153022,12230.96995846978,1
2020-05-14,13150,13250,13050,13200,186600,-0.0037735849056603765,-0.0037735849056603765,-71.39880144849371,59.63760704173613,13270.0,12937.5,11243.5,13640.262406507347,12234.737593492653,0
2020-05-15,13300,13450,13200,13300,190015,0.007575757575757569,0.007575757575757569,-76.00119134603801,60.67431356467721,13240.0,12962.5,11243.5,13679.350751551534,12245.649248448466,1
2020-05-18,13450,13450,13250,13400,107772,0.007518796992481258,0.007518796992481258,-74.16311284348456,61.73281185256673,13240.0,12980.0,11251.833333333334,13721.215218408255,12238.784781591745,1
2020-05-19,13600,14150,13500,14100,618902,0.052238805970149294,0.052238805970149294,-29.9249976063154,68.18773607320458,13450.0,13050.0,11275.166666666666,13924.642784226795,12175.357215773205,1
2020-05-20,14000,14150,13850,13950,213303,-0.010638297872340385,-0.010638297872340385,-15.607204992120955,65.6328940357489,13590.0,13107.5,11301.833333333334,14056.855044227395,12158.144955772605,0
2020-05-21,14000,14100,13850,14100,251120,0.010752688172043001,0.010752688172043001,-1.6125821704108603,66.96581990695714,13770.0,13182.5,11330.166666666666,14194.564721250572,12170.435278749428,1
2020-05-22,14150,14200,13900,13950,188250,-0.010638297872340385,-0.010638297872340385,-7.695760911462344,64.28090989494933,13900.0,13267.5,11364.333333333334,14236.662009160491,12298.337990839509,0
2020-05-25,14200,14200,13800,14000,148350,0.0035842293906809264,0.0035842293906809264,-13.263353459472228,64.78770717715125,14020.0,13355.0,11399.333333333334,14254.388681271896,12455.611318728104,1
2020-05-26,14050,14150,13900,14150,149610,0.010714285714285676,0.010714285714285676,-11.803927921673107,66.33107376547125,14030.0,13420.0,11439.333333333334,14351.343116150003,12488.656883849997,1
2020-05-27,14350,14900,14200,14800,681166,0.04593639575971742,0.04593639575971742,25.919126366326623,72.0483482947707,14200.0,13535.0,11491.0,14547.965942171799,12522.034057828201,1
2020-05-28,15000,15900,14700,15550,1194912,0.05067567567567566,0.05067567567567566,90.71670722142414,76.91862880610552,14490.0,13675.0,11562.666666666666,14954.257597202377,12395.742402797623,1
2020-05-29,15600,16350,15350,15650,1155319,0.006430868167202508,0.006430868167202508,127.39903733934534,77.48200645111312,14830.0,13807.5,11638.5,15309.257303960929,12305.742696039071,1
2020-06-01,15750,16150,15500,15700,427210,0.0031948881789136685,0.0031948881789136685,141.0550732515104,77.7741199711983,15170.0,13932.5,11712.666666666666,15616.327485225253,12248.672514774747,1
2020-06-02,15650,16200,15450,16150,459920,0.02866242038216571,0.02866242038216571,164.76837456353178,80.25652557075213,15570.0,14092.5,11792.666666666666,15969.538891445778,12215.461108554222,1
2020-06-03,16250,16400,15800,15900,473291,-0.015479876160990669,-0.015479876160990669,148.49437942021348,75.22946706186445,15790.0,14220.0,11863.5,16220.349969380357,12219.650030619643,0
