Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower
2020-02-14,38450,38450,37750,38300,102448,-0.0051948051948051965,-0.033419023136246784,-26.08691691019243,46.93483545279291,38370.0,38790.0,38547.5,41401.0534272588,36178.9465727412
2020-02-17,38750,38900,37700,38900,120221,0.015665796344647598,-0.0026595744680850686,27.142034157692308,50.75351803195978,38520.0,38677.5,38577.5,41055.624260840865,36299.375739159135
2020-02-18,39200,39200,37500,37600,138128,-0.033419023136246784,0.008000000000000007,-21.2575037638278,43.45664162172164,38360.0,38457.5,38588.333333333336,40324.65692966604,36590.34307033396
2020-02-19,37950,38150,37100,37500,76549,-0.0026595744680850686,-0.022486772486772444,-54.18897922638331,42.945164234119005,38160.0,38267.5,38610.833333333336,39649.26517541872,36885.73482458128
2020-02-20,37500,38550,37300,37800,88428,0.008000000000000007,-0.05006765899864685,-50.04847727335914,45.035233148489894,38020.0,38177.5,38653.333333333336,39428.68943409858,36926.31056590142
2020-02-21,37200,37800,36850,36950,97766,-0.022486772486772444,-0.019943019943019946,-96.16527282087861,40.50745200072107,37750.0,38087.5,38678.333333333336,39417.49060147053,36757.50939852947
2020-02-24,36000,36050,35000,35100,145842,-0.05006765899864685,0.014534883720930258,-234.96333387777514,32.78225847708532,36990.0,37877.5,38640.0,39633.48263089358,36121.51736910642
2020-02-25,35000,35550,34400,34400,297214,-0.019943019943019946,-0.005730659025787954,-350.65035055150236,30.418398327344946,36350.0,37695.0,38582.5,40010.79360047478,35379.20639952522
2020-02-26,33850,35150,33550,34900,125776,0.014534883720930258,-0.050432276657060515,-368.40690810405886,34.07509605958688,35830.0,37507.5,38535.0,40076.989248858605,34938.010751141395
2020-02-27,34750,35750,34400,34700,147958,-0.005730659025787954,0.025796661608497695,-367.6844138272579,33.3207780963003,35210.0,37385.0,38488.333333333336,40229.83742945005,34540.16257054995
2020-02-28,34000,34500,32350,32950,167757,-0.050432276657060515,0.019230769230769162,-453.49683396973467,27.569778089061572,34410.0,37177.5,38412.5,40618.208502619775,33736.791497380225
2020-03-02,33400,33950,32000,33800,122167,0.025796661608497695,0.023222060957909907,-422.0896962046488,33.56734882356574,34150.0,37000.0,38363.333333333336,40740.05347555353,33259.94652444647
2020-03-03,34650,35150,33750,34450,126551,0.019230769230769162,0.015602836879432536,-330.6595294887161,37.80833503885955,34160.0,36782.5,38321.666666666664,40583.983263148744,32981.016736851256
2020-03-04,34450,35550,34100,35250,114449,0.023222060957909907,-0.008379888268156388,-196.074721960229,42.66013880604884,34230.0,36610.0,38301.666666666664,40360.54662682655,32859.45337317345
2020-03-05,35650,36000,34750,35800,122281,0.015602836879432536,-0.05070422535211272,-57.004101617484366,45.79124544522787,34450.0,36470.0,38293.333333333336,40120.6711711684,32819.3288288316
2020-03-06,35600,35950,35100,35500,67480,-0.008379888268156388,0.026706231454005858,23.472737204256646,44.36808090413429,34960.0,36372.5,38275.833333333336,40017.424553403,32727.575446597002
2020-03-09,35000,35250,33700,33700,85426,-0.05070422535211272,-0.01589595375722541,-32.7745947965343,36.948129660893265,34940.0,36150.0,38209.166666666664,39876.123991495726,32423.87600850427
2020-03-10,33350,34900,33350,34600,113992,0.026706231454005858,-0.06461086637298086,0.612982045111039,42.15691590949137,34970.0,35960.0,38183.333333333336,39594.22618998874,32325.773810011262
2020-03-11,35350,36100,33850,34050,241631,-0.01589595375722541,-0.028257456828885363,-4.1052583616274205,39.98311364531254,34730.0,35737.5,38139.166666666664,39265.7963310924,32209.2036689076
2020-03-12,33950,34300,31600,31850,231773,-0.06461086637298086,-0.05169628432956386,-137.74993741359935,32.71608040346875,33940.0,35405.0,38055.0,39079.62923299754,31730.37076700246
2020-03-13,30000,32000,28900,30950,179524,-0.028257456828885363,0.06473594548551964,-261.9204126406671,30.290625061317783,33030.0,35037.5,37940.0,38943.3769821898,31131.623017810198
2020-03-16,31700,32250,29350,29350,109330,-0.05169628432956386,-0.136,-417.71881403363477,26.52566439713638,32160.0,34560.0,37791.666666666664,38782.51110122877,30337.488898771237
2020-03-17,26900,31300,26900,31250,200895,0.06473594548551964,-0.11111111111111116,-360.85988813214203,36.60286975481313,31490.0,34242.5,37664.166666666664,38457.86178755752,30027.138212442478
2020-03-18,31300,31300,27000,27000,232082,-0.136,0.18333333333333335,-565.3482679893355,27.51292540481691,30080.0,33717.5,37462.5,38721.02625655149,28713.973743448507
2020-03-19,27650,28000,23550,24000,307080,-0.11111111111111116,-0.11443661971830987,-841.8638343512171,23.143772467486542,28510.0,33027.5,37222.5,39247.10408707823,26807.89591292177
2020-03-20,24100,28450,24050,28400,231059,0.18333333333333335,0.12326043737574555,-674.8597526860099,38.555734728349655,28000.0,32600.0,37055.0,38857.635336131396,26342.364663868608
2020-03-23,26100,26650,24350,25150,213429,-0.11443661971830987,-0.001769911504424737,-725.2877642815811,33.251681715237495,27160.0,32102.5,36820.0,39032.03642028096,25172.96357971904
2020-03-24,26800,28250,25150,28250,250320,0.12326043737574555,-0.03191489361702127,-502.45923710958823,41.51619878583344,26560.0,31795.0,36645.833333333336,38834.38207515406,24755.617924845938
2020-03-25,29000,29400,27550,28200,270548,-0.001769911504424737,0.0073260073260073,-319.9202796852146,41.42710350191617,26800.0,31460.0,36460.833333333336,38514.11936388946,24405.880636110534
2020-03-26,28250,28850,27250,27300,285712,-0.03191489361702127,-0.018181818181818188,-225.71888903388435,39.772561180529955,27460.0,31090.0,36254.166666666664,38201.582102457956,23978.417897542044
2020-03-27,28400,28800,27200,27500,220292,0.0073260073260073,0.020370370370370372,-121.11007720541693,40.34276302234353,27280.0,30817.5,36049.166666666664,38039.914762390785,23595.085237609215
2020-03-30,26600,27250,26150,27000,184195,-0.018181818181818188,-0.02177858439201452,-59.858192490650254,39.34001135306095,27650.0,30477.5,35844.166666666664,37746.37026985627,23208.62973014373
2020-03-31,27300,28250,27000,27550,195642,0.020370370370370372,0.03525046382189245,38.15246119911626,41.07503134431679,27510.0,30132.5,35644.166666666664,37268.2042399472,22996.795760052803
2020-04-01,27100,28350,26700,26950,246589,-0.02177858439201452,0.0017921146953405742,80.58764815854147,39.739667444914765,27260.0,29717.5,35425.0,36574.41439351553,22860.58560648447
2020-04-02,27100,27900,26950,27900,125798,0.03525046382189245,0.05903398926654746,184.6983899918805,42.90470651659977,27380.0,29322.5,35178.333333333336,35619.679924378885,23025.320075621115
2020-04-03,27850,28250,27500,27950,105455,0.0017921146953405742,0.023648648648648685,264.15165521705876,43.07417462046417,27470.0,28945.0,34974.166666666664,34586.7107334567,23303.289266543306
2020-04-06,28100,29650,27700,29600,149451,0.05903398926654746,-0.008250825082508295,425.4912273991804,48.50596733236446,27990.0,28740.0,34754.166666666664,33957.719808498776,23522.280191501224
2020-04-07,30500,30900,29600,30300,157667,0.023648648648648685,-0.008319467554076532,568.1013022036825,50.65705303992383,28540.0,28525.0,34551.666666666664,33070.16226333015,23979.837736669844
2020-04-08,30100,30500,29600,30050,124823,-0.008250825082508295,-0.001677852348993314,629.5746367197487,49.85602973207965,29160.0,28325.0,34359.166666666664,32179.672489330384,24470.327510669616
2020-04-09,30650,30800,29550,29800,141602,-0.008319467554076532,-0.04537815126050415,635.5355725807508,49.02124546331027,29540.0,28222.5,34176.666666666664,31795.520430952012,24649.479569047988
2020-04-10,30000,30100,29000,29750,152750,-0.001677852348993314,0.01936619718309851,617.7049489488197,48.845091599689525,29900.0,28162.5,33996.666666666664,31587.536496155994,24737.463503844006
2020-04-13,29600,29600,28400,28400,125840,-0.04537815126050415,0.008635578583765069,501.52611000982847,44.22429166688274,29660.0,28115.0,33784.166666666664,31498.94739911845,24731.05260088155
2020-04-14,28900,29300,28650,28950,100117,0.01936619718309851,0.04965753424657526,449.9052835520763,46.44705488155229,29390.0,28000.0,33566.666666666664,31093.86489685644,24906.13510314356
2020-04-16,28600,29350,28250,29200,128505,0.008635578583765069,-0.013050570962479635,421.28349335032567,47.47176938039077,29220.0,28110.0,33365.0,31210.258053775608,25009.741946224392
2020-04-17,30000,30750,29700,30650,262512,0.04965753424657526,-0.018181818181818188,484.1984613290582,53.0795886584332,29390.0,28442.5,33215.833333333336,31103.566515516006,25781.433484483994
