Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,82500,83000,82000,82900,18676461,0.01842751842751844,0.01842751842751844,125.42025352348071,53.00298070107539,81920.0,81925.0,83885.0,83108.0046491878,80741.9953508122,1
2021-04-02,84000,85200,83900,84800,22997538,0.022919179734619988,0.022919179734619988,299.7296470962355,60.59312810587649,82580.0,82060.0,83900.0,83784.41294358399,80335.58705641601,1
2021-04-05,85800,86000,84800,85400,16255990,0.007075471698113178,0.007075471698113178,434.8801830685028,62.64482411711372,83340.0,82230.0,83953.33333333333,84485.74821289965,79974.25178710035,1
2021-04-06,86200,86200,85100,86000,19042023,0.007025761124121788,0.007025761124121788,537.4107114041852,64.62810429479357,84100.0,82460.0,84005.0,85213.4705373401,79706.5294626599,1
2021-04-07,86100,86200,85400,85600,17885538,-0.0046511627906976605,-0.0046511627906976605,549.078299652798,62.25508357374931,84940.0,82695.0,83951.66666666667,85669.2057763376,79720.7942236624,0
2021-04-08,85700,85700,84100,84700,19244259,-0.010514018691588745,-0.010514018691588745,470.02283068591373,57.16873739114789,85300.0,82830.0,83846.66666666667,85909.02581996318,79750.97418003682,0
2021-04-09,84700,84900,83400,83600,18193707,-0.012987012987012991,-0.012987012987012991,324.4133154997313,51.6178102059256,85060.0,82870.0,83730.0,85967.15998940964,79772.84001059036,0
2021-04-12,84100,84100,83100,83200,12915282,-0.004784688995215336,-0.004784688995215336,188.65506600806737,49.72698640690056,84620.0,82940.0,83621.66666666667,86000.32677993707,79879.67322006293,0
2021-04-13,83000,84500,82800,84000,15238206,0.009615384615384581,0.009615384615384581,142.339284296007,53.40336883648956,84220.0,83000.0,83526.66666666667,86093.86489685635,79906.13510314365,1
2021-04-14,84000,84300,83400,84000,13794652,0.0,0.0,103.13370733487352,53.40336883648956,83900.0,83085.0,83460.0,86190.65613035313,79979.34386964687,0
2021-04-15,83700,84500,83400,84100,16377412,0.0011904761904761862,0.0011904761904761862,76.58659389346457,53.89217845775755,83780.0,83145.0,83445.0,86280.26713375431,80009.73286624569,1
2021-04-16,84700,84700,83600,83900,15429522,-0.0023781212841854638,-0.0023781212841854638,40.04534821998578,52.70142389443319,83840.0,83245.0,83393.33333333333,86342.40213727568,80147.59786272432,0
2021-04-19,83800,84000,83300,83300,15287311,-0.007151370679380209,-0.007151370679380209,-26.462810414280625,49.190030066663056,83860.0,83310.0,83328.33333333333,86354.27331230295,80265.72668769705,0
2021-04-20,83300,84000,83100,83900,15521965,0.007202881152460927,0.007202881152460927,-31.625671282659027,52.59172986565814,83840.0,83415.0,83258.33333333333,86387.72602168447,80442.27397831553,1
2021-04-21,83300,83500,82500,82600,21636079,-0.015494636471990453,-0.015494636471990453,-119.24932222083527,45.48610067466989,83560.0,83495.0,83188.33333333333,86283.888667552,80706.111332448,0
2021-04-22,82900,83000,82400,82400,13934746,-0.002421307506053294,-0.002421307506053294,-183.4931987439685,44.490189363529524,83220.0,83555.0,83071.66666666667,86191.26629914354,80918.73370085646,0
2021-04-23,81900,82900,81600,82800,17805080,0.004854368932038833,0.004854368932038833,-191.00649903251752,46.990040282767545,83000.0,83620.0,83006.66666666667,86110.46180456557,81129.53819543443,1
2021-04-26,82900,83500,82600,83500,15489938,0.008454106280193274,0.008454106280193274,-142.98767198165757,51.13715321352343,83040.0,83715.0,82971.66666666667,86028.67672763503,81401.32327236497,1
2021-04-27,83200,83300,82500,82900,12941533,-0.007185628742514938,-0.007185628742514938,-145.3166747469725,47.693011390439146,82840.0,83750.0,82958.33333333333,85990.98192763797,81509.01807236203,0
2021-04-28,83200,83200,82100,82100,15596759,-0.00965018094089265,-0.00965018094089265,-191.5129583352764,43.487380556415225,82740.0,83785.0,82960.0,85896.1845016483,81673.8154983517,0
2021-04-29,82400,82500,81500,81700,20000973,-0.00487210718635811,-0.00487210718635811,-236.81915587337647,41.5161034591227,82600.0,83725.0,82938.33333333333,85995.57261500265,81454.42738499735,0
2021-04-30,81900,82100,81500,81500,18673197,-0.002447980416156681,-0.002447980416156681,-265.8891474557767,40.52690695176533,82340.0,83560.0,82890.0,85969.48127197535,81150.51872802465,0
2021-05-03,81000,82400,81000,81700,15710336,0.0024539877300613355,0.0024539877300613355,-257.1256220201277,42.01478702938633,81980.0,83375.0,82841.66666666667,85759.00922817005,80990.99077182995,1
2021-05-04,81900,82600,81800,82600,12532550,0.01101591187270512,0.01101591187270512,-179.8497735828475,48.28472750169556,81920.0,83205.0,82843.33333333333,85281.02986491042,81128.97013508958,1
2021-05-06,81700,82300,81700,82300,17047511,-0.003631961259079941,-0.003631961259079941,-139.85393862711913,46.480543660635384,81960.0,83040.0,82823.33333333333,84833.76698598228,81246.23301401772,0
