Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,735292,744187,733316,738258,57706,-0.0013364969171291152,-0.0013364969171291152,6662.319758065214,52.89908118534607,734304.6,713500.65,764694.4166666666,750629.6280913777,676371.6719086224,0
2021-04-02,739245,743198,731339,735293,46921,-0.0040162111348607255,-0.0040162111348607255,6262.466474874918,51.57231153434167,738060.2,714736.05,763244.9166666666,753020.9982458838,676451.1017541162,0
2021-04-05,732327,742210,717503,741222,72957,0.008063452256447334,0.008063452256447334,6156.387808148504,54.05394189369653,738455.4,717404.45,762141.3166666667,755259.8064900663,679549.0935099336,1
2021-04-06,737269,746163,734304,745176,55847,0.005334434218088546,0.005334434218088546,6099.930659494166,55.68487167374343,739839.0,720715.25,761070.6666666666,756040.0158046025,685390.4841953975,1
2021-04-07,745175,769883,736280,756047,104814,0.014588499898010587,0.014588499898010587,6505.058698827151,59.89945631631076,743199.2,724668.45,759884.7166666667,757110.590678291,692226.3093217089,1
2021-04-08,751105,760988,748140,754070,44307,-0.0026149167975006993,-0.0026149167975006993,6343.506220993013,58.8041574014966,746361.6,727040.35,758517.5666666667,760771.8838535032,693308.8161464968,0
2021-04-09,754070,762964,749128,760988,51018,0.00917421459546186,0.00917421459546186,6388.438207086742,61.45987257454678,751500.6,728374.55,757726.9166666666,765125.5021426321,691623.597857368,1
2021-04-12,761976,775812,757035,772848,77708,0.015585002654443958,0.015585002654443958,6861.261597608576,65.55901057071648,757825.8,730697.05,756936.2833333333,772216.3546592792,689177.7453407209,1
2021-04-13,774824,777789,766918,774824,63721,0.0025567770117798094,0.0025567770117798094,6931.080855112066,66.20396944296998,763755.4,733217.2,756409.1833333333,778824.3027126263,687610.0972873736,1
2021-04-14,774824,788660,774824,780754,82332,0.00765335095453934,0.00765335095453934,6981.182596130397,68.13262691138547,768696.8,736725.65,756178.5833333334,785513.733665072,687937.566334928,1
2021-04-15,780754,805461,772847,796567,151421,0.02025349854115377,0.02025349854115377,7631.09780797985,72.61977748672119,777196.2,740876.5,756475.0666666667,794914.765777133,686838.234222867,1
2021-04-16,805461,824239,786684,821274,211200,0.031016851062120265,0.031016851062120265,9173.096340166543,77.8643206229199,789253.4,746954.5,757051.5666666667,807997.4942925484,685911.5057074516,1
2021-04-19,827204,856853,812379,820286,454253,-0.0012030089836034819,-0.0012030089836034819,9532.699090045055,77.22728594608053,798741.0,752637.2,757628.0666666667,818571.9845392711,686702.4154607288,0
2021-04-20,825227,839063,820286,827204,110047,0.008433643875428887,0.008433643875428887,9615.163600671283,78.55055722332727,809217.0,758764.65,758303.4,828397.9499886557,689131.3500113443,1
2021-04-21,820286,835110,810403,823251,126345,-0.004778748652085829,-0.004778748652085829,8803.92357992544,75.83876575910665,817716.4,764546.2,758945.8,835423.7987759188,693668.6012240811,0
2021-04-22,811391,817321,794590,795579,144231,-0.03361307790698098,-0.03361307790698098,5941.296324467192,60.17713603448854,817518.8,768845.3,759192.8833333333,836213.1631399286,701477.4368600715,0
2021-04-23,795578,806449,785695,802497,74351,0.00869555380421061,0.00869555380421061,4136.874518593231,62.27464452904661,813763.4,773144.4,759357.6,837512.833752579,708775.966247421,1
2021-04-26,800520,811391,795578,809415,64828,0.008620592974179386,0.008620592974179386,3080.877386570566,64.29965968295886,811589.2,776652.85,758863.45,840897.300021073,712408.399978927,1
2021-04-27,809414,813368,797555,797555,53928,-0.01465255771143359,-0.01465255771143359,1343.9454214060752,58.50197879296319,805659.4,779617.7,758352.8333333334,841945.3430650169,717290.056934983,0
2021-04-28,794590,801508,781742,781743,74850,-0.019825591965444422,-0.019825591965444422,-984.000992388832,51.79645824355235,797357.8,781742.55,758319.9,841253.9244404392,722231.1755595609,0
2021-04-29,785695,799531,785695,790637,68366,0.011377140569215127,0.011377140569215127,-1981.4270753888559,54.92601545941359,796369.4,784361.5,758105.7666666667,840502.4754261551,728220.5245738449,1
2021-04-30,785695,805461,784707,794590,66574,0.0049997660114566855,0.0049997660114566855,-2403.429071886385,56.28449717492984,794788.0,787326.35,757743.3833333333,838863.0231921081,735789.6768078918,1
2021-05-03,794590,794590,758023,763953,108378,-0.03855699165607418,-0.03855699165607418,-4644.61944723393,44.97167386543478,785695.6,788462.9,756886.85,836784.7602742088,740141.0397257912,0
2021-05-04,758023,762964,736280,755059,98553,-0.011642077457644673,-0.011642077457644673,-6510.381460424202,42.31284714588264,777196.4,788957.05,756079.75,835673.6253045979,742240.4746954022,0
2021-05-06,751105,779765,743198,773836,94042,0.024868255328391653,0.024868255328391653,-6262.288869951697,49.14834065912659,775615.0,789846.5,755602.0666666667,834661.5518843855,745031.4481156145,1
