Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,305849,309630,300649,306795,559416,0.0,0.0,4847.406410649886,59.782777829028035,305754.8,284553.3,302902.7833333333,311326.98772582517,257779.61227417478,0
2021-04-02,306794,308212,300649,303013,529332,-0.012327449925846223,-0.012327449925846223,4217.084837155232,56.945201922341056,306984.0,285451.45,302367.0333333333,313410.4632764017,257492.43672359834,0
2021-04-05,300649,301594,290248,291195,758222,-0.03900162699290133,-0.03900162699290133,2853.5814160762275,49.10224405125215,302729.4,286255.1,301650.06666666665,313902.54429346055,258607.6557065394,0
2021-04-06,292139,295921,285522,286941,671634,-0.014608767320867466,-0.014608767320867466,1578.2238392890458,46.61354130820429,298947.8,287011.45,300799.1666666667,313853.17000058875,260169.72999941127,0
2021-04-07,287412,294976,286466,289304,484448,0.008235142416036734,0.008235142416036734,843.655111748774,48.18456155718104,295449.6,287980.5,299837.9666666667,313658.6976275596,262302.3023724404,1
2021-04-08,289776,294503,286466,294504,514623,0.017974172496750818,0.017974172496750818,665.6775162074639,51.562536088416884,292991.4,288855.05,298853.13333333336,314168.37617002375,263541.7238299762,1
2021-04-09,295448,297339,292139,292614,367125,-0.006417569880205365,-0.006417569880205365,391.905888714002,50.27952184911682,290911.6,289446.0,297679.23333333334,314529.8723884493,264362.1276115507,0
2021-04-12,292612,294030,289303,293559,362060,0.0032295105497344156,0.0032295105497344156,252.4738230593416,50.93688747419795,291384.4,290462.35,296560.4666666667,314459.7119239701,266464.98807602987,1
2021-04-13,295448,301594,292139,298758,606615,0.01771023882762912,0.01771023882762912,475.45735442497994,54.50096065818496,293747.8,291384.15,295985.31666666665,315168.0256410727,267600.27435892733,1
2021-04-14,299703,301594,295921,297813,431477,-0.003163095214186784,-0.003163095214186784,520.727405687509,53.736842819722675,295449.6,292400.5,295764.7166666667,315447.737990701,269353.262009299,0
2021-04-15,297339,297812,292139,292614,578643,-0.01745726345055454,-0.01745726345055454,179.56977464110128,49.61543424686271,295071.6,293227.8,295693.8333333333,315024.50807805645,271431.09192194353,0
2021-04-16,293557,294976,289776,291195,399962,-0.004849392031823441,-0.004849392031823441,-145.0877011815328,48.52158920821057,294787.8,294220.5,295622.9166666667,313615.7242111303,274825.2757888697,0
2021-04-19,291194,296394,288830,292614,602275,0.0048730232318550115,0.0048730232318550115,-260.9389038836125,49.71546226164669,294598.8,295189.6,295599.2833333333,312066.5323326253,278312.66766737466,1
2021-04-20,289776,291194,283158,283631,1119119,-0.030699146315623982,-0.030699146315623982,-903.0778748496814,42.92813584213289,291573.4,295544.15,295410.18333333335,311083.99404394126,280004.3059560588,0
2021-04-21,279376,281267,274176,274650,1062549,-0.03166438083284262,-0.03166438083284262,-1839.2359046544998,37.42669207424478,286940.8,295095.1,295102.9166666667,312404.30684375844,277785.8931562415,0
2021-04-22,276067,278431,271340,272287,816590,-0.0086036774076097,-0.0086036774076097,-2484.067143782377,36.11525037883984,282875.4,294173.3,294582.93333333335,314083.8151625972,274262.78483740275,0
2021-04-23,272285,275122,269449,272287,551629,0.0,0.0,-2756.034444266686,36.11525037883984,279093.8,292944.3,294039.31666666665,314961.0588813615,270927.5411186385,0
2021-04-26,272285,272758,268503,269450,758368,-0.010419153319842667,-0.010419153319842667,-2954.810028551836,34.43515267966427,274461.0,290793.4,293346.0,313162.88015846617,268423.9198415339,0
2021-04-27,269449,269921,258577,259050,1422204,-0.03859714232696232,-0.03859714232696232,-3573.208700194482,29.092222548203765,269544.8,288453.45,292392.6666666667,313646.4380917292,263260.46190827084,0
2021-04-28,257631,266612,251486,255268,1450902,-0.014599498166377178,-0.014599498166377178,-3991.712148760952,27.42571129478482,265668.4,285877.1,291541.76666666666,313465.2978164577,258288.90218354223,0
2021-04-29,255740,261886,249595,253850,1096577,-0.005554946174216924,-0.005554946174216924,-4103.023625107002,26.805702384821345,261981.0,283229.85,289926.63333333336,312396.8218570509,254062.87814294905,0
2021-04-30,255268,258104,250540,251487,739186,-0.009308646838684265,-0.009308646838684265,-4066.914064548944,25.76057839945166,257821.0,280653.55,288516.35,311433.57698163204,249873.5230183679,0
2021-05-03,250540,253377,234941,235887,2042576,-0.06203103937778098,-0.06203103937778098,-4775.781873061256,20.16964380067516,251108.4,277888.15,286972.13333333336,313879.88069623074,241896.41930376933,0
2021-05-04,232104,246285,230686,245814,1933641,0.04208370957280394,0.04208370957280394,-4274.468564822635,30.505725518356996,248461.2,275831.8,285687.9166666667,314144.327693171,237519.27230682902,1
2021-05-06,245813,247231,237304,238723,1219639,-0.028847014409268845,-0.028847014409268845,-4117.223474061284,27.742550468464344,245152.2,273302.75,284285.51666666666,314307.3591988448,232298.14080115518,0
2021-05-07,239668,257158,239195,251960,1376092,0.055449202632339656,0.055449202632339656,-2877.2072685869807,38.87330753755813,244774.2,271175.55,283190.38333333336,311973.61430935154,230377.48569064843,1
2021-05-10,261413,262359,254322,259995,1016746,0.031889982536910555,0.031889982536910555,-1348.9565535087277,44.46554478167347,246475.8,269544.6,282355.23333333334,309380.78420180304,229708.41579819692,1
2021-05-11,258577,261413,251958,255741,729940,-0.016361853112559888,-0.016361853112559888,-501.3401854440781,42.26113593764811,250446.6,267653.7,281386.15,306323.9618770546,228983.43812294543,0
2021-05-12,255740,259522,247231,248178,816271,-0.029572888195478986,-0.029572888195478986,-334.7956845218814,38.597525495985295,250919.4,265124.7,280275.26666666666,301896.5761017164,228352.82389828365,0
