Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,375499,379000,372000,378500,547402,0.003978779840848823,0.003978779840848823,-2588.886479850373,49.8956447625247,377400.0,381375.0,359908.3333333333,401824.63324854505,360925.36675145495,1
2021-04-02,381500,382500,378000,379500,476668,0.0026420079260238705,0.0026420079260238705,-2306.401675628249,50.51507361242177,376700.0,381475.0,361358.3333333333,401867.3392478646,361082.6607521354,1
2021-04-05,379500,379999,374500,377000,421508,-0.006587615283267456,-0.006587615283267456,-2205.8540200835896,48.88787051088699,377700.0,381900.0,362808.3333333333,401533.1352564994,362266.8647435006,0
2021-04-06,378500,391000,378000,388500,997518,0.0305039787798409,0.0305039787798409,-1326.1370379151113,55.92164816100464,380100.0,383250.0,364458.3333333333,400675.5559452202,365824.4440547798,1
2021-04-07,390500,391000,381500,384500,578490,-0.01029601029601035,-0.01029601029601035,-990.3192893201422,53.180311517411404,381600.0,383875.0,365666.6666666667,400520.94545227155,367229.05454772845,0
2021-04-08,384500,387000,380000,381500,626575,-0.007802340702210642,-0.007802340702210642,-946.9363627447697,51.15488959164516,382200.0,384275.0,366875.0,400276.4843061511,368273.5156938489,0
2021-04-09,382000,385000,381500,383500,469100,0.005242463958060384,0.005242463958060384,-767.8735433006623,52.454949505188544,383000.0,384425.0,368200.0,400338.12351488543,368511.87648511457,1
2021-04-12,384500,393000,383000,385500,680329,0.0052151238591917615,0.0052151238591917615,-511.4058253153198,53.7797759885191,384700.0,384550.0,369391.6666666667,400455.6593701739,368644.3406298261,1
2021-04-13,384000,389000,381999,388500,586643,0.0077821011673151474,0.0077821011673151474,-154.8834169356969,55.770634252175526,384700.0,384700.0,370566.6666666667,400694.99921850575,368705.00078149425,1
2021-04-14,391500,398000,390000,391500,757969,0.007722007722007707,0.007722007722007707,246.01484986589276,57.731335847630056,386100.0,385100.0,371991.6666666667,401352.99972312804,368847.00027687196,1
2021-04-15,391500,398500,386500,391000,889538,-0.0012771392081737387,-0.0012771392081737387,429.7887544559985,57.27560970280373,388000.0,384475.0,373500.0,398682.30445932655,370267.69554067345,0
2021-04-16,394500,395000,391000,391500,423962,0.0012787723785165905,0.0012787723785165905,530.6776717682533,57.63575396728333,389600.0,383950.0,374891.6666666667,396164.33583949617,371735.66416050383,1
2021-04-19,391500,393500,388500,390000,449064,-0.003831417624521105,-0.003831417624521105,445.4822716529611,56.10773308530248,390500.0,383625.0,376258.3333333333,394786.87708228326,372463.12291771674,0
2021-04-20,389000,391500,387500,391000,417892,0.002564102564102555,0.002564102564102555,406.64772541429966,56.927574889476055,391000.0,383875.0,377400.0,395454.6157103766,372295.3842896234,1
2021-04-21,389000,389000,380500,380500,835828,-0.026854219948849067,-0.026854219948849067,-335.92293101424275,47.0005526483034,388800.0,383550.0,378016.6666666667,395125.40496051864,371974.59503948136,0
