Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,55300,56000,54600,55000,1495543,-0.02135231316725983,-0.02135231316725983,277.68817252493227,68.90924325836389,54600.0,51800.0,46780.0,55906.701839676265,47693.298160323735,0
2021-04-02,54000,54800,53600,53900,1432792,-0.020000000000000018,-0.020000000000000018,146.31064996120313,62.974993398316485,54740.0,52145.0,46952.5,55703.49687368142,48586.50312631858,0
2021-04-05,53600,54800,53300,54600,1213660,0.01298701298701288,0.01298701298701288,82.49107061574955,65.03833212112002,54920.0,52377.5,47129.166666666664,55939.588572733766,48815.411427266234,1
2021-04-06,54000,54500,52700,53000,1591346,-0.02930402930402931,-0.02930402930402931,-82.60761154598777,57.1927846835993,54540.0,52397.5,47245.833333333336,55968.84078463544,48826.15921536456,0
2021-04-07,53000,53800,52700,53600,1490732,0.01132075471698113,0.01132075471698113,-161.94418766376384,59.181300161554766,54020.0,52497.5,47364.166666666664,56085.88055395473,48909.11944604527,1
2021-04-08,53500,53500,52500,52800,1152087,-0.014925373134328401,-0.014925373134328401,-272.3434085668116,55.48065856487881,53580.0,52537.5,47479.166666666664,56120.63759155304,48954.36240844696,0
2021-04-09,53300,53300,52500,52600,1013836,-0.0037878787878787845,-0.0037878787878787845,-357.513459843909,54.56209699972291,53320.0,52647.5,47585.833333333336,56093.87128005682,49201.12871994318,0
2021-04-12,53000,53600,52600,53400,944418,0.015209125475285079,0.015209125475285079,-357.7730922347271,57.586992695593004,53080.0,52757.5,47687.5,56152.09496847569,49362.90503152431,1
2021-04-13,53100,53500,52500,53500,1479972,0.001872659176029856,0.001872659176029856,-348.6558361219488,57.963706242933206,53180.0,52872.5,47803.333333333336,56203.48709093873,49541.51290906127,1
2021-04-14,53100,53500,52800,53200,1095023,-0.005607476635513975,-0.005607476635513975,-358.8716779373515,56.34679084895244,53100.0,52997.5,47936.666666666664,56177.1973126385,49817.8026873615,0
2021-04-15,53300,54400,53200,54000,1412798,0.015037593984962516,0.015037593984962516,-309.65222833521693,59.584463335347074,53340.0,53182.5,48082.5,56135.341851505174,50229.658148494826,1
2021-04-16,53700,53700,52700,52700,4821328,-0.024074074074074026,-0.024074074074074026,-359.07138835744126,52.73922560226503,53360.0,53335.0,48207.5,55820.37723494855,50849.62276505145,0
2021-04-19,52800,52800,52200,52300,1123966,-0.007590132827324458,-0.007590132827324458,-409.4703901525054,50.80518810650681,53140.0,53380.0,48326.666666666664,55753.68911191009,51006.31088808991,0
2021-04-20,52400,53100,52300,53100,1382496,0.015296367112810794,0.015296367112810794,-380.3270764059032,54.406407908833685,53060.0,53465.0,48465.833333333336,55664.340810333975,51265.659189666025,1
2021-04-21,52600,52800,52000,52400,2090782,-0.013182674199623379,-0.013182674199623379,-397.7155743192575,50.89562849304936,52900.0,53535.0,48605.0,55491.80862630982,51578.19137369018,0
2021-04-22,52700,53600,52400,53500,1880677,0.020992366412213803,0.020992366412213803,-327.57950740106287,55.7300232724832,52800.0,53580.0,48761.666666666664,55489.55492196494,51670.44507803506,1
2021-04-23,53500,55800,53300,54300,3587027,0.01495327102803734,0.01495327102803734,-224.66006658667095,58.89925255858108,53120.0,53635.0,48950.0,55560.90238589617,51709.09761410383,1
2021-04-26,55100,55500,54300,55000,3707157,0.012891344383057168,0.012891344383057168,-112.45756993340274,61.496634379172995,53660.0,53700.0,49160.0,55715.9365069368,51684.0634930632,1
2021-04-27,55400,55400,54700,55000,1248421,0.0,0.0,-44.73452512605661,61.496634379172995,54040.0,53705.0,49391.666666666664,55733.275129266374,51676.724870733626,0
2021-04-28,55400,55600,54500,55000,1400194,0.0,0.0,-8.338533909759235,61.496634379172995,54560.0,53645.0,49636.666666666664,55431.02911510438,51858.97088489562,0
2021-04-29,55300,55400,53900,53900,1127318,-0.020000000000000018,-0.020000000000000018,-63.66609597346451,54.71073631337672,54640.0,53590.0,49833.333333333336,55270.35710490376,51909.64289509624,0
