Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,17500,17500,16000,16550,571024,-0.03779069767441856,-0.03779069767441856,158.83292439764136,80.00204983301725,16170.0,14507.5,11814.333333333334,16851.060325658393,12163.939674341607,0
2021-04-02,16500,16500,15600,15700,378649,-0.051359516616314216,-0.051359516616314216,77.27076791650825,66.16248369856433,16250.0,14667.5,11914.0,16873.916778398874,12461.083221601126,0
2021-04-05,15650,15900,15200,15850,232841,0.009554140127388644,0.009554140127388644,22.075290436062915,67.23951589964227,16320.0,14805.0,12015.166666666666,16945.303716765466,12664.696283234533,1
2021-04-06,15500,16050,15500,15850,129737,0.0,0.0,-23.32358894340473,67.23951589964227,16230.0,14927.5,12113.833333333334,17011.84042325146,12843.159576748541,0
2021-04-07,15800,15950,15450,15800,163861,-0.003154574132492094,-0.003154574132492094,-63.33999016346729,66.42219696886355,15950.0,15050.0,12211.666666666666,17034.69141178171,13065.308588218291,0
2021-04-08,16150,16150,15450,16000,110386,0.012658227848101333,0.012658227848101333,-81.78625186885893,68.09289900489162,15840.0,15160.0,12312.666666666666,17098.710911920618,13221.289088079382,1
2021-04-09,16000,16050,15700,16000,115961,0.0,0.0,-98.32290984176734,68.09289900489162,15900.0,15280.0,12416.166666666666,17111.77509536517,13448.22490463483,0
2021-04-12,16150,16200,15800,15900,106293,-0.006249999999999978,-0.006249999999999978,-118.95345483541212,66.18333276185228,15910.0,15380.0,12517.166666666666,17115.33858367757,13644.66141632243,0
2021-04-13,15850,16050,15700,16050,196454,0.009433962264151052,0.009433962264151052,-124.8429467031608,67.64887466042305,15950.0,15485.0,12619.666666666666,17112.29837460746,13857.70162539254,1
2021-04-14,16200,16300,15950,16300,115942,0.015576323987538832,0.015576323987538832,-114.5179864471886,69.98371809376602,16050.0,15597.5,12726.833333333334,17120.153933104986,14074.846066895014,1
2021-04-15,16300,16700,16150,16700,155191,0.024539877300613577,0.024539877300613577,-84.73771397564292,73.3036210953264,16190.0,15712.5,12845.166666666666,17203.09551857641,14221.904481423588,1
2021-04-16,16750,17000,16450,16950,147732,0.014970059880239583,0.014970059880239583,-53.70387499375374,75.15332209125968,16380.0,15845.0,12966.666666666666,17279.88675511348,14410.113244886523,1
2021-04-19,16950,17000,16700,16900,129924,-0.002949852507374673,-0.002949852507374673,-42.53406708023044,74.04827998445244,16580.0,15970.0,13087.833333333334,17312.162434282858,14627.837565717142,0
2021-04-20,16750,17050,16750,16950,129211,0.002958579881656709,0.002958579881656709,-37.921478673787874,74.45281707335246,16760.0,16077.5,13208.166666666666,17371.12861749425,14783.871382505748,1
2021-04-21,16900,16900,16350,16400,179199,-0.03244837758112096,-0.03244837758112096,-75.8647954961092,62.84748731195537,16780.0,16155.0,13319.833333333334,17325.00000000004,14984.999999999962,0
2021-04-22,16450,16600,16350,16500,111505,0.0060975609756097615,0.0060975609756097615,-96.8378852084661,63.94783440774266,16740.0,16235.0,13432.666666666666,17260.71925983677,15209.28074016323,1
2021-04-23,16500,16750,16250,16650,121359,0.009090909090909038,0.009090909090909038,-102.66332499755083,65.59392084617092,16680.0,16302.5,13548.0,17247.73806525134,15357.261934748662,1
2021-04-26,16700,16900,16650,16900,222044,0.01501501501501501,0.01501501501501501,-92.07337522755972,68.19996800096165,16680.0,16372.5,13666.5,17276.090061919724,15468.909938080275,1
2021-04-27,16900,17050,16850,16950,158698,0.002958579881656709,0.002958579881656709,-84.30339888374624,68.7104276205816,16680.0,16405.0,13787.5,17341.963179639464,15468.036820360536,1
2021-04-28,17000,17300,16950,17150,144092,0.01179941002949847,0.01179941002949847,-68.94344817918841,70.73410082968391,16830.0,16402.5,13914.333333333334,17331.1953214053,15473.8046785947,1
2021-04-29,17250,17300,16850,17150,123892,0.0,0.0,-62.2378392839089,70.73410082968391,16960.0,16432.5,14040.0,17415.49287891627,15449.50712108373,0
2021-04-30,17150,17900,17150,17900,239706,0.0437317784256559,0.0437317784256559,-13.303022782609219,77.15888668940929,17210.0,16542.5,14175.166666666666,17656.625217379133,15428.374782620867,1
2021-05-03,17950,18400,17700,17900,144057,0.0,0.0,11.702071405090123,77.15888668940929,17410.0,16645.0,14310.666666666666,17858.21885906876,15431.781140931242,0
2021-05-04,17900,18450,17550,18350,183285,0.025139664804469275,0.025139664804469275,49.08894821623812,80.18576349028238,17690.0,16770.0,14453.666666666666,18135.4303350959,15404.569664904098,1
2021-05-06,18500,19200,18400,19150,234799,0.043596730245231585,0.043596730245231585,114.50090333297248,84.19553357409248,18090.0,16937.5,14609.166666666666,18579.716489991533,15295.283510008467,1
2021-05-07,19200,19350,18850,19200,159517,0.0026109660574411553,0.0026109660574411553,145.92521323721076,84.40791234209685,18500.0,17097.5,14760.0,18952.890794415052,15242.10920558495,1
2021-05-10,19200,19900,18950,19750,182565,0.02864583333333326,0.02864583333333326,185.97565015120313,86.54912228713934,18870.0,17285.0,14915.0,19398.788068847047,15171.211931152955,1
2021-05-11,19800,20550,19650,20500,250065,0.03797468354430378,0.03797468354430378,241.67292291364652,88.8064996196831,19390.0,17515.0,15077.5,19952.232036552967,15077.767963447033,1
2021-05-12,20500,21400,20250,20700,419654,0.009756097560975618,0.009756097560975618,268.60704960629164,89.32117163814583,19860.0,17747.5,15236.666666666666,20453.691973973786,15041.308026026214,1
2021-05-13,20700,21250,20250,20450,277776,-0.012077294685990392,-0.012077294685990392,246.77090363174102,84.11483853571664,20120.0,17955.0,15393.333333333334,20817.32423041139,15092.675769588614,0
2021-05-14,20850,20950,19550,19600,418958,-0.041564792176039145,-0.041564792176039145,156.65814334449396,69.32029577873776,20200.0,18100.0,15535.833333333334,20987.040006650433,15212.959993349565,0
2021-05-17,16300,17700,16050,16550,2800391,-0.15561224489795922,-0.15561224489795922,-112.2811322538223,41.27032482809979,19560.0,18080.0,15628.333333333334,21003.93570380748,15156.06429619252,0
2021-05-18,16550,17400,16550,16950,1283721,0.024169184290030232,0.024169184290030232,-258.7803103923685,44.44528144794869,18850.0,18082.5,15722.5,21002.478595811986,15162.521404188014,1
2021-05-20,17000,17550,16050,17250,910601,0.017699115044247815,0.017699115044247815,-326.6486322140727,46.769549873105795,18160.0,18097.5,15813.333333333334,20997.064622490787,15197.935377509213,1
2021-05-21,17150,17850,17150,17700,390203,0.026086956521739202,0.026086956521739202,-331.35773917253755,50.13931414412403,17610.0,18162.5,15904.166666666666,20963.548910676167,15361.451089323833,1
2021-05-24,17850,19000,17700,18500,712704,0.04519774011299438,0.04519774011299438,-273.1416010333255,55.529165833310294,17390.0,18262.5,16013.333333333334,20959.8829909748,15565.117009025202,1
2021-05-25,18600,19600,18450,19550,520139,0.05675675675675684,0.05675675675675684,-161.95996357629667,61.42338969452435,17990.0,18407.5,16135.833333333334,21053.87015551494,15761.129844485062,1
2021-05-26,19850,19950,18550,19750,548558,0.010230179028132946,0.010230179028132946,-77.28477714042799,62.44444877307173,18550.0,18550.0,16260.833333333334,21163.044201692763,15936.95579830724,1
2021-05-27,19500,19800,19200,19300,344950,-0.02278481012658229,-0.02278481012658229,-54.96746772268773,58.68095516254391,18960.0,18667.5,16377.5,21192.0346105768,16142.9653894232,0
2021-05-28,19300,19650,18600,18850,260662,-0.023316062176165775,-0.023316062176165775,-72.77949580664358,55.10437385769007,19190.0,18752.5,16486.666666666668,21179.530078099604,16325.469921900396,0
2021-05-31,18800,19000,18200,18700,306839,-0.007957559681697646,-0.007957559681697646,-95.4989009190491,53.924540131477144,19230.0,18830.0,16590.0,21143.741558601603,16516.258441398397,0
2021-06-01,18750,19450,18500,19200,248495,0.02673796791443861,0.02673796791443861,-78.4040233290425,57.21312273176389,19160.0,18895.0,16701.666666666668,21173.354669492914,16616.645330507086,1
2021-06-02,19200,19350,18900,19000,122817,-0.01041666666666663,-0.01041666666666663,-81.74413244690732,55.50653786359171,19010.0,18950.0,16800.0,21182.26342531525,16717.73657468475,0
2021-06-03,19050,19100,18600,18600,146848,-0.021052631578947323,-0.021052631578947323,-110.29462265310576,52.15573420838963,18870.0,18962.5,16886.666666666668,21183.95785465315,16741.04214534685,0
