Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,285000,296500,282000,286000,452005,0.014184397163120588,0.014184397163120588,5939.5711892225045,60.38897733028381,278600.0,257250.0,286916.6666666667,284686.2898366372,229813.71016336282,1
2021-04-02,288500,290500,281000,284500,302104,-0.005244755244755206,-0.005244755244755206,5840.960476466732,59.373519500426895,280400.0,258200.0,287466.6666666667,287932.8101598211,228467.18984017888,0
2021-04-05,285000,285500,277500,279500,216448,-0.017574692442882234,-0.017574692442882234,5195.106124939759,55.99360234875512,282600.0,259425.0,287575.0,290517.2417975926,228332.75820240742,0
2021-04-06,282500,287500,278500,279500,202332,0.0,0.0,4547.354436200495,55.99360234875512,282300.0,260925.0,287300.0,292840.9442912154,229009.0557087846,0
2021-04-07,278500,284000,277000,278000,198421,-0.00536672629695889,-0.00536672629695889,3826.2789108149045,54.906114054574466,281500.0,262625.0,287058.3333333333,294375.3936983459,230874.60630165404,0
2021-04-08,276500,282000,272000,279000,247255,0.003597122302158251,0.003597122302158251,3247.8686916294537,55.52624500269666,280100.0,264050.0,286875.0,296052.9686123017,232047.0313876983,1
2021-04-09,282500,296500,282000,293000,694443,0.05017921146953408,0.05017921146953408,3611.4266218563657,63.16378447844018,281800.0,265825.0,287066.6666666667,300039.4340885535,231610.56591144655,1
2021-04-12,303000,303500,295000,295500,481631,0.008532423208191142,0.008532423208191142,3804.1993260350264,64.3414186159823,285000.0,268050.0,287050.0,303868.8497861108,232231.1502138892,1
2021-04-13,295500,301000,288500,299500,339467,0.013536379018612488,0.013536379018612488,3966.877651443552,66.20314695949827,289000.0,270625.0,286941.6666666667,307690.98845302756,233559.01154697244,1
2021-04-14,296000,296000,291000,293500,334591,-0.02003338898163609,-0.02003338898163609,3454.947581871663,61.053923166206836,292100.0,273050.0,286791.6666666667,309432.5507626936,236667.44923730643,0
2021-04-15,294500,294500,283500,284500,590839,-0.030664395229982988,-0.030664395229982988,2347.694743977687,54.239142388909215,293200.0,274925.0,286533.3333333333,309567.8564064798,240282.14359352022,0
2021-04-16,286000,290500,285000,286000,276644,0.005272407732864748,0.005272407732864748,1590.0837505030922,55.137917782311746,291800.0,276700.0,286150.0,309756.6180968347,243643.3819031653,1
2021-04-19,286500,294000,286500,293000,299193,0.02447552447552437,0.02447552447552437,1438.7097400820448,59.16829755855923,291300.0,279050.0,285466.6666666667,309632.5113422685,248467.4886577315,1
2021-04-20,293000,296500,290500,294500,206054,0.005119453924914641,0.005119453924914641,1320.9723401209885,59.9976328336918,290300.0,281650.0,284683.3333333333,307895.19003550906,255404.80996449094,1
2021-04-21,296000,308000,291000,303000,419520,0.028862478777589073,0.028862478777589073,1674.2025885598705,64.40910830971214,292200.0,284600.0,284266.6666666667,306086.2746887399,263113.7253112601,1
2021-04-22,305500,306000,298000,300000,363684,-0.00990099009900991,-0.00990099009900991,1566.390341289004,61.81791655034354,295300.0,286800.0,283350.0,304859.3466105501,268740.6533894499,0
2021-04-23,295500,301500,292500,296000,251396,-0.013333333333333308,-0.013333333333333308,1107.8695014842879,58.441933461029464,297300.0,287825.0,282616.6666666667,305526.059290336,270123.940709664,0
2021-04-26,299000,299000,291500,294000,284298,-0.006756756756756799,-0.006756756756756799,578.6779992686279,56.77246455714882,297500.0,289100.0,281875.0,304584.1854806764,273615.8145193236,0
2021-04-27,294000,294000,286500,288000,298269,-0.020408163265306145,-0.020408163265306145,-223.65699151987792,51.97558228161801,296200.0,289450.0,281308.3333333333,304496.2619942626,274403.7380057374,0
2021-04-28,288500,289000,279000,279500,302504,-0.02951388888888884,-0.02951388888888884,-1314.167703283555,46.040657875173764,291500.0,289325.0,280783.3333333333,304655.606641617,273994.393358383,0
2021-04-29,280000,288000,278000,284000,259674,0.01610017889087656,0.01610017889087656,-1695.5101169145764,49.33880146738987,288300.0,289225.0,280033.3333333333,304666.7453676711,273783.2546323289,1
2021-04-30,284000,284000,276000,276000,208033,-0.028169014084507005,-0.028169014084507005,-2406.2253678860598,44.16997210410178,284300.0,288800.0,279208.3333333333,305178.0340700583,272421.9659299417,0
2021-05-03,275000,280500,273000,274000,165240,-0.007246376811594235,-0.007246376811594235,-2897.7380071843872,42.95832640430071,280300.0,288525.0,278333.3333333333,305684.4726026178,271365.5273973822,0
2021-05-04,279500,290500,274500,279000,353916,0.018248175182481674,0.018248175182481674,-2772.764613613981,46.881344289157084,278500.0,288500.0,277683.3333333333,305713.36689901166,271286.63310098834,1
2021-05-06,276500,281500,273000,280500,179636,0.005376344086021501,0.005376344086021501,-2484.9831616949987,48.0359584726396,278700.0,288625.0,277100.0,305565.7054162449,271684.2945837551,1
2021-05-07,280000,286000,277000,282500,137156,0.007130124777183555,0.007130124777183555,-2072.6701409705356,49.608740177479085,278400.0,288800.0,276683.3333333333,305408.4315936211,272191.5684063789,1
2021-05-10,288000,291500,284500,289500,254561,0.024778761061946986,0.024778761061946986,-1280.1049217599277,54.768817367597805,281100.0,288625.0,276416.6666666667,305126.13632450777,272123.86367549223,1
2021-05-11,288000,288500,279000,281000,255525,-0.029360967184801412,-0.029360967184801412,-1277.0087408089134,48.300935311385004,282500.0,287900.0,275941.6666666667,304403.33299670066,271396.66700329934,0
2021-05-12,281500,282500,269000,272000,322532,-0.03202846975088969,-0.03202846975088969,-1797.8970360799551,42.56866076243491,281100.0,286525.0,275441.6666666667,303508.74222602276,269541.25777397724,0
2021-05-13,265000,271500,263500,264000,314611,-0.02941176470588236,-0.02941176470588236,-2551.9873897755497,38.225941150112874,277800.0,285050.0,274783.3333333333,304324.0758533318,265775.9241466682,0
2021-05-14,266000,271500,264500,270000,173146,0.022727272727272707,0.022727272727272707,-2513.4498244784572,42.928527986344704,275300.0,284325.0,274308.3333333333,304687.4040820328,263962.5959179672,1
2021-05-17,273500,274000,266000,268500,140523,-0.005555555555555536,-0.005555555555555536,-2453.0324562284004,42.066363074116616,271100.0,283450.0,273958.3333333333,304923.0063102488,261976.9936897512,0
2021-05-18,273000,274000,269000,269500,119553,0.003724394785847407,0.003724394785847407,-2216.933312938927,42.889839465510256,268800.0,282275.0,273691.6666666667,304098.0955641033,260451.90443589672,1
2021-05-20,267000,271000,266000,270000,130280,0.0018552875695732052,0.0018552875695732052,-1909.9529362519502,43.32362702894697,268400.0,281050.0,273541.6666666667,302740.7814520359,259359.21854796412,1
2021-05-21,271500,274500,268500,269500,132697,-0.0018518518518518823,-0.0018518518518518823,-1634.1024890083445,42.972119064603554,269500.0,279375.0,273441.6666666667,299112.97102034505,259637.02897965492,0
2021-05-24,269500,270500,265000,265000,146738,-0.016697588126159513,-0.016697588126159513,-1643.7704198718607,39.83920677228038,268500.0,277625.0,273441.6666666667,295889.3778979734,259360.62210202657,0
2021-05-25,267000,269500,265500,269500,163346,0.016981132075471805,0.016981132075471805,-1253.783470164999,44.218802122791374,268700.0,276300.0,273316.6666666667,292799.69696691365,259800.30303308635,1
2021-05-26,270000,271000,266000,267000,123667,-0.00927643784786647,-0.00927643784786647,-1077.6103648255694,42.37325785677787,268200.0,274950.0,273391.6666666667,289768.5694316279,260131.43056837207,0
2021-05-27,267000,267500,260500,260500,579664,-0.02434456928838946,-0.02434456928838946,-1297.5014834383405,37.93954427590045,266300.0,273575.0,273166.6666666667,288398.2081547814,258751.79184521866,0
2021-05-28,262500,268500,261000,265500,168503,0.019193857965451144,0.019193857965451144,-1017.2505265533287,42.88983310128012,265500.0,272875.0,272933.3333333333,287834.5287358919,257915.47126410808,1
2021-05-31,265500,266500,262000,265000,143344,-0.0018832391713747842,-0.0018832391713747842,-786.8900556395433,42.52454132130211,265500.0,271925.0,272800.0,286341.2234999314,257508.77650006858,0
2021-06-01,265000,272000,265000,268500,154636,0.013207547169811429,0.013207547169811429,-342.81171445226437,45.9921130434789,265300.0,271550.0,272850.0,285912.7991700774,257187.20082992266,1
2021-06-02,268500,271500,266500,270500,146791,0.007448789571694592,0.007448789571694592,116.99636848402861,47.92548268403908,266000.0,271375.0,273108.3333333333,285699.36735077586,257050.6326492241,1
2021-06-03,270000,274500,270000,272000,192929,0.005545286506469571,0.005545286506469571,530.384159009935,49.38883857118198,268300.0,271025.0,273483.3333333333,284922.7516167175,257127.2483832825,1
2021-06-04,270000,273500,268000,270000,160789,-0.007352941176470562,-0.007352941176470562,668.4354623473969,47.47327182162476,269200.0,270500.0,273916.6666666667,283702.2725316505,257297.7274683495,0
2021-06-07,272500,272500,268500,271000,123611,0.0037037037037037646,0.0037037037037037646,816.603804053033,48.54782255034364,270400.0,269925.0,274258.3333333333,281934.47542567836,257915.5245743216,1
2021-06-08,270000,271500,269000,269500,123730,-0.005535055350553542,-0.005535055350553542,801.9407153039183,46.9948188334092,270600.0,268925.0,274458.3333333333,276901.684775016,260948.315224984,0
2021-06-09,270500,272500,269000,269000,129583,-0.0018552875695733162,-0.0018552875695733162,747.9765825682184,46.461290562461414,270300.0,268325.0,274758.3333333333,274071.9557158527,262578.0442841473,0
2021-06-10,272000,286500,269000,281500,689263,0.04646840148698894,0.04646840148698894,1500.1330455567395,58.99476444611812,272200.0,268800.0,275316.6666666667,276808.7452200686,260791.2547799314,1
2021-06-11,286000,290000,281500,286500,363787,0.017761989342806483,0.017761989342806483,2236.0694108356397,62.75107884982402,275500.0,269925.0,276008.3333333333,280747.54591119726,259102.4540888027,1
2021-06-14,288500,292000,285000,287500,219730,0.003490401396160525,0.003490401396160525,2662.893222992273,63.47179724741283,278800.0,270800.0,276683.3333333333,284060.46756339964,257539.53243660036,1
2021-06-15,289500,289500,285000,287000,152424,-0.0017391304347825765,-0.0017391304347825765,2771.8006978013736,62.81733275444259,282300.0,271725.0,277291.6666666667,286686.53401225875,256763.46598774128,0
2021-06-16,286000,288000,284000,285500,119449,-0.005226480836236891,-0.005226480836236891,2605.600103347819,60.79217475545861,285600.0,272525.0,277950.0,288595.0808958753,256454.9191041247,0
2021-06-17,283000,289000,281500,285000,165574,-0.0017513134851138146,-0.0017513134851138146,2333.5585847275524,60.09668084044746,286300.0,273275.0,278658.3333333333,290182.02516707114,256367.97483292889,0
2021-06-18,284000,286000,279500,282000,223815,-0.010526315789473717,-0.010526315789473717,1844.5760796632865,55.959935435251964,285400.0,273900.0,279291.6666666667,291123.82071434724,256676.17928565276,0
2021-06-21,278000,280000,274500,275000,191166,-0.024822695035460973,-0.024822695035460973,985.7776207864201,47.70791633735778,282900.0,274400.0,279608.3333333333,291134.99327756,257665.00672244,0
2021-06-22,277000,279500,275500,275500,113251,0.0018181818181817189,0.0018181818181817189,416.5910129292615,48.2944284832693,280600.0,274700.0,279608.3333333333,291287.3445734987,258112.65542650127,1
2021-06-23,279500,287000,277000,285500,309851,0.0362976406533575,0.0362976406533575,664.0835161791538,58.35492454188682,280600.0,275625.0,279891.6666666667,292453.1757775458,258796.82422245422,1
2021-06-24,287000,291500,284500,287500,246436,0.007005253940455258,0.007005253940455258,898.4258073800993,60.02998705811418,281100.0,276975.0,280000.0,293048.1919667495,260901.80803325053,1
2021-06-25,289000,293000,286000,290000,238105,0.008695652173912993,0.008695652173912993,1142.1023280545921,62.08301948403281,282700.0,278200.0,280133.3333333333,294322.65486822755,262077.34513177245,1
2021-06-28,289500,290000,286000,286500,112784,-0.012068965517241348,-0.012068965517241348,993.3463719237943,57.62077525945869,285000.0,279275.0,280141.6666666667,294580.14619335544,263969.85380664456,0
2021-06-29,285000,286000,281500,281500,136759,-0.017452006980802848,-0.017452006980802848,508.4288419983718,51.883610303649135,286200.0,279925.0,280091.6666666667,294427.67216756905,265422.32783243095,0
2021-06-30,280000,285000,280000,282500,114943,0.003552397868561208,0.003552397868561208,219.97909908781912,52.893818345199826,285600.0,280525.0,280141.6666666667,294397.5448278239,266652.4551721761,1
2021-07-01,282500,284000,276500,276500,200282,-0.0212389380530974,-0.0212389380530974,-377.4324525590564,46.5753751788127,283400.0,280750.0,280091.6666666667,294201.7656833586,267298.2343166414,0
2021-07-02,275500,279500,275000,276000,93180,-0.001808318264014508,-0.001808318264014508,-785.320583720546,46.08136720696142,280600.0,281050.0,280058.3333333333,293777.5292181941,268322.4707818059,0
2021-07-05,277500,280500,276000,277000,102483,0.0036231884057971175,0.0036231884057971175,-955.520536571159,47.28563007123349,278700.0,281350.0,280025.0,293379.5469573872,269320.4530426128,1
2021-07-06,277500,279500,277000,277000,86381,0.0,0.0,-1029.4598205040677,47.28563007123349,277800.0,281725.0,279758.3333333333,292672.48829640774,270777.51170359226,0
2021-07-07,276500,276500,272500,275000,133578,-0.0072202166064981865,-0.0072202166064981865,-1164.4777430619117,44.9565992446033,276300.0,282025.0,279416.6666666667,291830.483159946,272219.516840054,0
2021-07-08,275500,279000,272500,272500,179705,-0.009090909090909038,-0.009090909090909038,-1359.9554619957323,42.16114040322293,275500.0,281575.0,278966.6666666667,292225.2347391963,270924.7652608037,0
2021-07-09,270000,272500,266500,270000,199247,-0.00917431192660545,-0.00917431192660545,-1579.9813313703503,39.515037480573774,274300.0,280750.0,278575.0,292267.378173872,269232.621826128,0
2021-07-12,272000,279000,271000,278000,122937,0.029629629629629672,0.029629629629629672,-1130.1728190794481,50.27078600598229,274500.0,280275.0,278466.6666666667,291417.1497028169,269132.8502971831,1
2021-07-13,279000,284000,278500,282500,175832,0.01618705035971213,0.01618705035971213,-504.8907295932723,55.106734138416854,275600.0,280050.0,278408.3333333333,290815.22178127244,269284.77821872756,1
2021-07-14,280500,281000,275500,279500,110210,-0.010619469026548645,-0.010619469026548645,-279.88525230063755,51.510412768901475,276500.0,279750.0,278183.3333333333,290221.3895925986,269278.6104074014,0
2021-07-15,279000,282000,277000,278000,98934,-0.00536672629695889,-0.00536672629695889,-221.19614897639437,49.76175743239538,277600.0,279400.0,277908.3333333333,289610.77861869417,269189.22138130583,0
2021-07-16,278000,279000,275000,277500,102022,-0.0017985611510791255,-0.0017985611510791255,-205.50569196278374,49.16264564784261,279100.0,279175.0,277483.3333333333,289344.9311698743,269005.0688301257,0
2021-07-19,274000,275000,272500,273000,100816,-0.01621621621621616,-0.01621621621621616,-472.390739347554,44.0252694646759,278100.0,279075.0,277033.3333333333,289444.54675962176,268705.45324037824,0
2021-07-20,268000,275500,268000,272000,126171,-0.00366300366300365,-0.00366300366300365,-677.9595858898023,42.951148790641504,276000.0,278900.0,276633.3333333333,289617.2757732542,268182.7242267458,0
2021-07-21,273000,274000,270000,270000,112014,-0.007352941176470562,-0.007352941176470562,-896.5928237983312,40.8067866580407,274100.0,278125.0,276233.3333333333,289060.6069790378,267189.3930209622,0
2021-07-22,272500,277500,272000,277500,116557,0.02777777777777768,0.02777777777777768,-503.64213083509776,50.73893301723002,274000.0,277625.0,276058.3333333333,287679.2279663821,267570.7720336179,1
2021-07-23,277500,279000,274000,275500,82276,-0.007207207207207245,-0.007207207207207245,-353.08150697178166,48.40640207518683,273600.0,276900.0,275991.6666666667,285222.2593086241,268577.7406913759,0
2021-07-26,275500,275500,271000,271000,107225,-0.016333938294010864,-0.016333938294010864,-521.078334605591,43.55475843173698,273200.0,276125.0,275775.0,283567.27787710045,268682.72212289955,0
2021-07-27,273000,275000,271000,271500,70370,0.0018450184501845879,0.0018450184501845879,-559.6581680320962,44.22368444732521,273100.0,275625.0,275700.0,282897.3792530353,268352.6207469647,1
2021-07-28,270000,274000,270000,273500,99088,0.007366482504604033,0.007366482504604033,-418.09744819623893,46.932764801407274,273800.0,275175.0,275691.6666666667,281772.5374193693,268577.4625806307,1
2021-07-29,274000,277000,272000,273000,90222,-0.001828153564899404,-0.001828153564899404,-329.64019721712,46.32696296330276,272900.0,275000.0,275591.6666666667,281633.24958070915,268366.75041929085,0
2021-07-30,271500,272000,268000,268000,176072,-0.01831501831501836,-0.01831501831501836,-565.5324174878692,40.67308711395027,271400.0,274600.0,275383.3333333333,281877.3621594626,267322.6378405374,0
2021-08-02,268000,272500,264000,271500,100462,0.013059701492537323,0.013059701492537323,-448.61563743952956,45.671402486752875,271500.0,274325.0,275200.0,281634.4117410348,267015.5882589652,1
2021-08-03,270500,273000,269000,273000,93594,0.005524861878453136,0.005524861878453136,-243.3068236953527,47.70488717714927,271800.0,274125.0,274925.0,281349.09163839836,266900.90836160164,1
2021-08-04,271500,277000,270000,277000,130351,0.0146520146520146,0.0146520146520146,166.74048206923953,52.78048656616782,272500.0,274225.0,274858.3333333333,281549.4453714925,266900.5546285075,1
2021-08-05,275500,280500,275000,277000,119078,0.0,0.0,427.96786029188115,52.78048656616782,273300.0,274450.0,274941.6666666667,281824.9576269954,267075.0423730046,0
2021-08-06,276000,280000,274500,278500,96653,0.005415162454873723,0.005415162454873723,676.9748906319919,54.69294793814003,275400.0,274875.0,275183.3333333333,282154.251335129,267595.748664871,1
2021-08-09,275000,280000,272500,273500,142079,-0.01795332136445238,-0.01795332136445238,488.9113061432414,47.750501606945164,275800.0,274650.0,275241.6666666667,281806.1162651244,267493.8837348756,0
2021-08-10,273500,280000,272000,274000,152383,0.001828153564899404,0.001828153564899404,386.6417548378214,48.4551159015428,276000.0,274225.0,275333.3333333333,280409.4563221012,268040.5436778988,1
2021-08-11,274500,275500,271000,272500,107088,-0.005474452554744547,-0.005474452554744547,214.99081789268985,46.43212547969027,275100.0,273875.0,275383.3333333333,279601.0370239789,268148.9629760211,0
2021-08-12,274000,276000,271500,271500,143290,-0.003669724770642202,-0.003669724770642202,40.27002267053251,45.08086264497691,274000.0,273550.0,275408.3333333333,279035.43526075885,268064.56473924115,0
