Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,223848,246971,223848,237624,3637216,0.10274032995336113,0.10274032995336113,3811.4637294952554,54.67638834729597,215977.0,218117.05,257163.55,247446.6941401876,188787.40585981237,1
2021-04-02,243035,243035,233688,237624,898205,0.0,0.0,5008.252516950493,54.67638834729596,222372.8,217600.5,257122.55,245117.84539158968,190083.15460841032,0
2021-04-05,237131,237131,228768,228768,730952,-0.0372689627310373,-0.0372689627310373,5053.436449335877,49.705061295123976,227784.4,217256.1,256720.76666666666,244023.0992184414,190489.1007815586,0
2021-04-06,231227,231719,218928,224832,794381,-0.01720520352496857,-0.01720520352496857,4676.91325456823,47.632176766611344,228866.6,217182.3,256154.98333333334,243857.0433884572,190507.55661154276,0
2021-04-07,225815,236639,225323,228768,753835,0.017506404782237306,0.017506404782237306,4547.523188593723,49.883014168944634,231523.2,217502.05,255326.81666666668,244568.4496532609,190435.65034673907,1
2021-04-08,230736,242543,224340,239592,1140036,0.04731430969366346,0.04731430969366346,5009.025564207659,55.542095863802906,231916.8,217600.45,254498.66666666666,244971.3444645593,190229.5555354407,1
2021-04-09,237130,239591,231228,234180,862491,-0.022588400280476817,-0.022588400280476817,4769.134985368088,52.358603846565636,231228.0,217379.05,253736.1,244131.2958158197,190626.80418418028,0
2021-04-12,271078,277474,260747,262223,4335947,0.11974976513792801,0.11974976513792801,6226.350471151178,63.9036597589115,237919.0,219248.6,253498.31666666668,252305.95114857273,186191.24885142728,1
2021-04-13,264682,278949,263698,272554,2512062,0.03939776449815624,0.03939776449815624,7526.3599424090935,67.06965603904149,247463.4,222274.25,253744.3,262449.78319559107,182098.71680440893,1
2021-04-14,276489,279441,270094,272062,1051198,-0.0018051468699780138,-0.0018051468699780138,7951.834412468714,66.76930336811625,256122.2,225250.7,253973.88333333333,270587.46288444113,179913.9371155589,0
2021-04-15,272553,275505,268618,272062,677589,0.0,0.0,7820.137663033465,66.76930336811625,262616.2,228300.95,254367.46666666667,277455.5358103803,179146.36418961972,0
2021-04-16,275505,275997,271570,272062,551246,0.0,0.0,7328.296873057792,66.76930336811625,270192.6,231498.8,254474.05,283235.62390560936,179761.9760943906,0
2021-04-19,273537,274521,267634,267634,667557,-0.01627570186207561,-0.01627570186207561,6337.2205962393955,63.569307207934926,271274.8,234819.6,254433.05,286880.65322945395,182758.5467705461,0
2021-04-20,267142,269602,263207,264191,698869,-0.012864583722546508,-0.012864583722546508,5133.6036354069265,61.116598998496826,269602.2,238091.25,254310.06666666668,288884.817674953,187297.68232504698,0
2021-04-21,264190,264682,258779,259763,591014,-0.016760601231684658,-0.016760601231684658,3785.3049614346037,58.01629913740019,267142.4,241018.5,254080.48333333334,289677.6921778407,192359.30782215932,0
