Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,20250,20350,19800,20350,798980,0.00992555831265518,0.00992555831265518,-304.9065604169767,45.64498043124472,20360.0,21495.0,19760.833333333332,23650.43499090091,19339.56500909909,1
2021-04-02,20300,20300,19900,20000,634073,-0.017199017199017175,-0.017199017199017175,-292.4984570444557,43.84790235460822,20270.0,21450.0,19842.5,23689.1962843842,19210.8037156158,0
2021-04-05,19950,20000,19700,19750,634396,-0.012499999999999956,-0.012499999999999956,-285.7994065705089,42.558994335807604,20220.0,21360.0,19920.833333333332,23717.45625622195,19002.54374377805,0
2021-04-06,19950,20000,19700,19950,655743,0.010126582278481067,0.010126582278481067,-253.6605117693566,43.97775227133117,20040.0,21242.5,19981.666666666668,23634.8367237912,18850.1632762088,1
2021-04-07,19800,20300,19600,20300,1045827,0.01754385964912286,0.01754385964912286,-197.11039617886013,46.469534153493825,20070.0,21182.5,20055.833333333332,23605.984062254178,18759.015937745822,1
2021-04-08,20300,20400,19850,20000,1092968,-0.014778325123152691,-0.014778325123152691,-169.25647784268276,44.636877149161236,20000.0,21090.0,20136.666666666668,23545.52438391477,18634.47561608523,0
2021-04-09,20100,20550,20050,20300,641815,0.014999999999999902,0.014999999999999902,-122.17256039272223,46.89243487316246,20060.0,20982.5,20223.333333333332,23377.96968254662,18587.03031745338,1
2021-04-12,20250,20250,19900,20000,484771,-0.014778325123152691,-0.014778325123152691,-103.51601111294269,44.92149988752611,20110.0,20870.0,20304.166666666668,23227.837992738263,18512.162007261737,0
2021-04-13,20050,20750,20050,20300,1224793,0.014999999999999902,0.014999999999999902,-65.12866039526278,47.30662000336311,20180.0,20770.0,20389.166666666668,23044.950548913097,18495.049451086903,1
2021-04-14,20200,20300,19950,20200,590839,-0.0049261083743842304,-0.0049261083743842304,-41.76537807800753,46.58249371732418,20160.0,20680.0,20471.666666666668,22894.81376192221,18465.18623807779,0
2021-04-15,20300,20350,20000,20000,571579,-0.00990099009900991,-0.00990099009900991,-35.33020727149716,45.09572821059852,20160.0,20507.5,20558.333333333332,22336.2359022013,18678.7640977987,0
2021-04-16,20100,20350,19950,20100,585857,0.004999999999999893,0.004999999999999893,-20.61676726095851,46.0233697724368,20120.0,20337.5,20637.5,21550.296355535425,19124.703644464575,1
2021-04-19,20100,20150,19900,19950,646939,-0.007462686567164201,-0.007462686567164201,-17.393397499699063,44.80062976029715,20110.0,20202.5,20715.833333333332,20801.227817960724,19603.772182039276,0
2021-04-20,19900,20100,19800,20100,609887,0.007518796992481258,0.007518796992481258,-2.3558133237683023,46.33603545619402,20070.0,20182.5,20764.166666666668,20766.68746991014,19598.31253008986,1
2021-04-21,20000,20050,19550,19700,880370,-0.01990049751243783,-0.01990049751243783,-15.79594916763665,42.90847210601918,19970.0,20170.0,20822.5,20783.514466007127,19556.485533992873,0
2021-04-22,19750,20000,19550,20000,1045805,0.015228426395939021,0.015228426395939021,-1.6724472493829126,46.1271849587307,19970.0,20122.5,20883.333333333332,20623.972830769533,19621.027169230467,1
2021-04-23,19900,20350,19700,19800,1421905,-0.010000000000000009,-0.010000000000000009,-2.917988550015764,44.33274625514678,19910.0,20090.0,20946.666666666668,20586.588360717415,19593.411639282585,0
2021-04-26,20100,22250,20100,21000,5735896,0.06060606060606055,0.06060606060606055,75.62012497161953,55.514832557639686,20120.0,20140.0,21026.666666666668,20772.929695937873,19507.070304062127,1
2021-04-27,21100,22450,21050,22300,3844090,0.06190476190476191,0.06190476190476191,206.25740280129972,63.960730232296186,20560.0,20212.5,21130.833333333332,21313.351942815203,19111.648057184797,1
2021-04-28,22200,22250,21250,21550,1510721,-0.03363228699551568,-0.03363228699551568,231.40489235024955,57.21202443715755,20930.0,20282.5,21215.0,21527.19875873643,19037.80124126357,0
2021-04-29,21700,22900,21550,22250,2661686,0.03248259860788871,0.03248259860788871,281.12334730277723,61.314762665023295,21380.0,20377.5,21280.833333333332,21889.609453710284,18865.390546289716,1
2021-04-30,22500,22550,20850,21000,1644079,-0.0561797752808989,-0.0561797752808989,218.55090236875574,51.768853968016444,21620.0,20427.5,21320.0,21952.45081887909,18902.54918112091,0
2021-05-03,20900,21600,20750,20900,996332,-0.004761904761904745,-0.004761904761904745,161.7690394570995,51.08366720872564,21600.0,20485.0,21346.666666666668,21990.024916737264,18979.975083262736,0
2021-05-04,20700,21800,20550,21750,1481012,0.04066985645933019,0.04066985645933019,171.85127651959732,56.36972569069675,21490.0,20575.0,21332.5,22154.715164198915,18995.284835801085,1
2021-05-06,21700,22600,21500,22550,1747059,0.0367816091954023,0.0367816091954023,219.7315415340868,60.67680272434555,21690.0,20687.5,21340.833333333332,22479.11240227902,18895.88759772098,1
2021-05-07,22700,22750,22000,22300,860821,-0.011086474501108667,-0.011086474501108667,221.28355595012363,58.7257979702887,21700.0,20802.5,21326.666666666668,22695.242718913483,18909.757281086517,0
2021-05-10,22200,22450,21650,22350,1079434,0.0022421524663676085,0.0022421524663676085,212.35751041836772,59.00967592684868,21970.0,20905.0,21330.0,22897.209828306248,18912.790171693752,1
2021-05-11,22050,23000,22050,23000,1470915,0.029082774049216997,0.029082774049216997,235.13853053030493,62.60996136828732,22390.0,21055.0,21345.0,23198.105223734943,18911.894776265057,1
2021-05-12,23050,23450,21950,21950,1879688,-0.04565217391304344,-0.04565217391304344,167.57274963691032,54.31132713233687,22430.0,21137.5,21357.5,23285.027648250427,18989.972351749573,0
2021-05-13,21500,22200,21250,21250,1112159,-0.03189066059225509,-0.03189066059225509,68.87550420663854,49.59211755335646,22170.0,21190.0,21350.833333333332,23294.186303538736,19085.813696461264,0
2021-05-14,21800,22250,21600,22000,643011,0.03529411764705892,0.03529411764705892,48.218163945701804,54.185472132701705,22110.0,21290.0,21338.333333333332,23348.0573364219,19231.9426635781,1
2021-05-17,22000,22150,21400,21500,577096,-0.022727272727272707,-0.022727272727272707,-2.3243624494173787,50.85821722327277,21940.0,21360.0,21310.833333333332,23345.34631739654,19374.65368260346,0
2021-05-18,21600,22700,21600,22550,1007439,0.04883720930232549,0.04883720930232549,29.973854819588894,56.850386830402286,21850.0,21490.0,21293.333333333332,23428.96879809862,19551.03120190138,1
2021-05-20,22100,22150,21550,21700,897616,-0.037694013303769425,-0.037694013303769425,-8.81995832592969,51.38769572420554,21800.0,21570.0,21274.166666666668,23402.04803430478,19737.95196569522,0
2021-05-21,21950,21950,21250,21400,700160,-0.01382488479262678,-0.01382488479262678,-55.01942549611522,49.577020115827175,21830.0,21655.0,21246.666666666668,23277.92945009942,20032.07054990058,0
2021-05-24,21300,21400,20700,21200,582324,-0.009345794392523366,-0.009345794392523366,-96.93159394577816,48.35379745330906,21670.0,21715.0,21245.0,23168.650576995726,20261.349423004274,0
2021-05-25,21400,21500,21050,21100,462826,-0.004716981132075526,-0.004716981132075526,-127.35676839787982,47.719813127006944,21590.0,21780.0,21221.666666666668,22979.3331480452,20580.6668519548,0
2021-05-26,21150,21300,20900,21100,467669,0.0,0.0,-142.3151414137944,47.719813127006944,21300.0,21785.0,21200.833333333332,22972.05517984633,20597.94482015367,0
2021-05-27,21200,21400,20950,21000,382133,-0.004739336492891044,-0.004739336492891044,-152.8524816873023,47.005050519152235,21160.0,21720.0,21190.0,22929.297316626482,20510.702683373518,0
2021-05-28,21050,21600,20950,21500,591134,0.023809523809523725,0.023809523809523725,-121.4274394829983,50.9602300571874,21180.0,21717.5,21184.166666666668,22928.398426788972,20506.601573211028,1
2021-05-31,21350,21400,20500,20700,1175550,-0.037209302325581395,-0.037209302325581395,-148.034746793948,45.15354539336717,21080.0,21640.0,21170.833333333332,22901.982567233004,20378.017432766996,0
2021-06-01,20650,21050,20600,20800,425235,0.004830917874396157,0.004830917874396157,-151.84750892370192,45.98211525520368,21020.0,21630.0,21169.166666666668,22915.068091581146,20344.931908418854,1
2021-06-02,20950,21000,20500,20550,739298,-0.012019230769230727,-0.012019230769230727,-163.16331159422566,44.18498332406613,20910.0,21612.5,21152.5,22945.49474867683,20279.50525132317,0
2021-06-03,20550,20750,20400,20650,329717,0.0048661800486617945,0.0048661800486617945,-155.88061711533356,45.10911932367822,20840.0,21557.5,21125.0,22952.589602857108,20162.410397142892,1
2021-06-04,20600,20750,20400,20550,362334,-0.004842615012106588,-0.004842615012106588,-149.73076512034444,44.318880621219506,20650.0,21457.5,21109.166666666668,22840.350317279495,20074.649682720505,0
2021-06-07,20600,21100,20600,20950,662573,0.019464720194647178,0.019464720194647178,-112.36324364122109,48.22594696932272,20700.0,21390.0,21094.166666666668,22732.981757135967,20047.018242864033,1
2021-06-08,20950,21100,20750,20950,432685,0.0,0.0,-82.65892590510069,48.22594696932272,20730.0,21320.0,21069.166666666668,22600.000000000004,20039.999999999996,0
2021-06-09,21200,21950,20950,21500,1555075,0.026252983293556076,0.026252983293556076,-24.026793721915624,53.436248489547566,20920.0,21245.0,21056.666666666668,22273.542658327795,20216.457341672205,1
2021-06-10,21750,21750,21050,21050,1040641,-0.020930232558139528,-0.020930232558139528,-14.09976301690449,49.08389446761928,21000.0,21200.0,21035.833333333332,22178.774744259375,20221.225255740625,0
2021-06-11,21200,21400,20850,21250,555119,0.009501187648456089,0.009501187648456089,6.293079996489908,50.994348470369886,21140.0,21200.0,21023.333333333332,22178.774744259375,20221.225255740625,1
2021-06-14,21200,21550,20950,21450,546622,0.009411764705882453,0.009411764705882453,32.16232167769137,52.89765450631084,21240.0,21172.5,20990.0,22088.72868324453,20256.27131675547,1
2021-06-15,21400,21400,20750,20750,922380,-0.03263403263403264,-0.03263403263403264,2.5987536798127735,46.14275752759928,21200.0,21135.0,20944.166666666668,22055.923449587426,20214.076550412574,0
2021-06-16,20700,22150,20650,22000,2066380,0.06024096385542177,0.06024096385542177,64.27926693212926,56.7610387354789,21300.0,21107.5,20933.333333333332,21878.392340083883,20336.607659916117,1
2021-06-17,22050,22500,21600,22100,1521015,0.00454545454545463,0.00454545454545463,106.3795893515529,57.48321824739969,21510.0,21127.5,20960.0,21975.718721792913,20279.281278207087,1
2021-06-18,22200,22650,22100,22400,1172121,0.013574660633484115,0.013574660633484115,146.5215311805662,59.659985043146584,21740.0,21177.5,21000.833333333332,22186.695223928455,20168.304776071545,1
2021-06-21,22150,22350,21500,21600,964340,-0.0357142857142857,-0.0357142857142857,112.79830866630093,52.012591672616324,21770.0,21197.5,21011.666666666668,22223.402042107336,20171.597957892664,0
2021-06-22,21950,23600,21750,23450,3373068,0.08564814814814814,0.08564814814814814,203.40537815149307,63.62454231767535,22310.0,21315.0,21061.666666666668,22732.779954717942,19897.220045282058,1
2021-06-23,23300,23550,22700,23100,1505634,-0.014925373134328401,-0.014925373134328401,226.3280312800816,60.63514719718541,22530.0,21415.0,21113.333333333332,23026.862276995154,19803.137723004846,0
2021-06-24,23050,23100,22500,22800,832259,-0.012987012987012991,-0.012987012987012991,208.3007959726499,58.11467251924433,22670.0,21505.0,21145.833333333332,23212.30782227459,19797.69217772541,0
2021-06-25,23100,24000,23050,23750,2502525,0.04166666666666674,0.04166666666666674,244.849301511239,63.31502901303524,22940.0,21617.5,21205.833333333332,23585.30969608344,19649.69030391656,1
2021-06-28,23950,24300,23450,23550,1043545,-0.008421052631578996,-0.008421052631578996,239.74051657406307,61.58157211871068,23330.0,21760.0,21259.166666666668,23850.35882087263,19669.64117912737,0
2021-06-29,23500,23500,22850,23200,1185980,-0.014861995753715496,-0.014861995753715496,198.67049324633496,58.560019371471995,23280.0,21880.0,21312.5,24011.290688761157,19748.709311238843,0
2021-06-30,23250,23600,23000,23300,621444,0.004310344827586299,0.004310344827586299,165.47875934513468,59.176341791750524,23320.0,22017.5,21371.666666666668,24142.652935673104,19892.347064326896,1
2021-07-01,23500,24000,23050,23650,1075591,0.015021459227467782,0.015021459227467782,154.54220655545794,61.343372723903286,23490.0,22167.5,21433.333333333332,24308.825524062144,20026.174475937856,1
2021-07-02,24100,25000,23450,23500,2506872,-0.006342494714587699,-0.006342494714587699,125.86701744275513,59.876417370708,23440.0,22315.0,21486.666666666668,24395.88923299632,20234.11076700368,0
2021-07-05,23550,24200,23300,23400,719394,-0.004255319148936176,-0.004255319148936176,90.48080233191564,58.86575661826385,23410.0,22437.5,21543.333333333332,24470.44736773976,20404.55263226024,0
2021-07-06,23900,24650,23800,24250,1723517,0.03632478632478642,0.03632478632478642,113.16380658456399,64.37078384091566,23620.0,22602.5,21609.166666666668,24661.25569215971,20543.74430784029,1
2021-07-07,23950,24400,23550,23800,1003696,-0.01855670103092788,-0.01855670103092788,87.83350581285652,59.807378994858524,23720.0,22717.5,21672.5,24774.02011903604,20660.97988096396,0
2021-07-08,23900,24550,23350,23400,1331589,-0.01680672268907568,-0.01680672268907568,36.727944711210625,56.006608571975505,23670.0,22835.0,21724.166666666668,24761.421553035576,20908.578446964424,0
2021-07-09,23100,23900,22750,23650,1114973,0.010683760683760646,0.010683760683760646,13.543758811599446,57.81119940559008,23700.0,22955.0,21781.666666666668,24767.15341513902,21142.84658486098,1
2021-07-12,23800,23950,23400,23500,567538,-0.006342494714587699,-0.006342494714587699,-16.482431196413245,56.31848005289471,23720.0,23057.5,21840.0,24745.183323375568,21369.816676624432,0
2021-07-13,23650,24500,23550,23900,1099111,0.017021276595744705,0.017021276595744705,-14.085752437311953,59.333927925343964,23650.0,23215.0,21903.333333333332,24566.332675546626,21863.667324453374,1
2021-07-14,23900,24150,23450,24000,745797,0.004184100418409997,0.004184100418409997,-10.605880397452438,60.07594419791457,23690.0,23315.0,21970.833333333332,24585.472353103367,22044.527646896633,1
2021-07-15,24000,24700,23800,24500,836451,0.02083333333333326,0.02083333333333326,18.921734037145143,63.64759535779356,23910.0,23435.0,22044.166666666668,24676.813190459823,22193.186809540177,1
2021-07-16,24300,24400,23150,23300,1700047,-0.048979591836734726,-0.048979591836734726,-45.305472513973655,51.69462828580907,23840.0,23480.0,22104.166666666668,24630.391237796954,22329.608762203046,0
2021-07-19,23050,23500,22650,23400,554699,0.0042918454935623185,0.0042918454935623185,-81.86326492920637,52.49526238652153,23820.0,23570.0,22160.833333333332,24335.114370535546,22804.885629464454,1
2021-07-20,22950,23200,22700,22850,746144,-0.023504273504273532,-0.023504273504273532,-140.45688326387142,47.80242055851278,23610.0,23540.0,22211.666666666668,24366.196102629398,22713.803897370602,0
2021-07-21,23050,23750,23000,23450,1024632,0.026258205689277947,0.026258205689277947,-136.08011304670868,52.763402616721905,23500.0,23557.5,22252.5,24360.16742801736,22754.83257198264,1
2021-07-22,23900,25400,23400,23650,5929262,0.008528784648187626,0.008528784648187626,-117.68107217471464,54.321839879038436,23330.0,23600.0,22275.0,24323.878442834157,22876.121557165843,1
2021-07-23,23650,27300,23650,27200,9447199,0.15010570824524305,0.15010570824524305,122.5997409188061,71.98789306694803,24110.0,23772.5,22369.166666666668,25502.377163269117,22042.622836730883,1
2021-07-26,27200,28500,26750,27600,3879533,0.014705882352941124,0.014705882352941124,288.0507623743821,73.24356310487423,24950.0,23975.0,22458.333333333332,26372.602969634463,21577.397030365537,1
2021-07-27,27650,28150,26200,26250,2039078,-0.048913043478260865,-0.048913043478260865,285.5892665506708,62.982179936452695,25630.0,24127.5,22545.833333333332,26690.793779495438,21564.206220504562,0
2021-07-28,26600,27100,25900,26200,1279034,-0.0019047619047618536,-0.0019047619047618536,260.32454083656626,62.63219047984708,26180.0,24272.5,22634.166666666668,26957.360331562893,21587.639668437107,0
2021-07-29,26500,26700,26000,26500,1155359,0.011450381679389388,0.011450381679389388,243.83446111842977,63.9274305892187,26750.0,24415.0,22713.333333333332,27250.859658022593,21579.140341977407,1
2021-07-30,26500,26550,25350,25850,1361585,-0.024528301886792447,-0.024528301886792447,172.52606805850257,59.143993415304,26480.0,24532.5,22768.333333333332,27401.519867480878,21663.480132519122,0
2021-08-02,25850,26200,25050,25550,856548,-0.011605415860735047,-0.011605415860735047,92.53968252752463,57.02320647266513,26070.0,24640.0,22822.5,27492.297319705645,21787.702680294355,0
2021-08-03,25500,25800,24650,24800,1327355,-0.02935420743639927,-0.02935420743639927,-17.621747436167198,52.00281122403261,25780.0,24667.5,22863.333333333332,27514.82769452341,21820.17230547659,0
2021-08-04,24900,25350,24600,25100,935518,0.012096774193548487,0.012096774193548487,-73.87275593523361,53.75661331182377,25560.0,24732.5,22898.333333333332,27556.90701741091,21908.09298258909,1
2021-08-05,25100,25150,24400,24700,1061569,-0.015936254980079667,-0.015936254980079667,-137.88897958145526,51.07675695470114,25200.0,24797.5,22944.166666666668,27555.302567262566,22039.697432737434,0
2021-08-06,24800,24900,24400,24550,628451,-0.006072874493927127,-0.006072874493927127,-187.14776058841198,50.06875275862042,24940.0,24842.5,22999.166666666668,27552.90126180608,22132.09873819392,0
2021-08-09,24650,25000,24200,24500,932131,-0.0020366598778004397,-0.0020366598778004397,-217.76632176734427,49.716541395830305,24730.0,24892.5,23040.833333333332,27538.114295395306,22246.885704604694,0
2021-08-10,24500,24550,23750,24050,891902,-0.01836734693877551,-0.01836734693877551,-260.12721073752687,46.54317794172188,24580.0,24900.0,23083.333333333332,27535.147054720095,22264.852945279905,0
2021-08-11,23950,24950,23900,24000,1092435,-0.0020790020790020236,-0.0020790020790020236,-281.50738742404263,46.19039082410641,24360.0,24900.0,23107.5,27535.147054720095,22264.852945279905,0
