Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,27200,27600,27200,27200,1474260,0.0,0.0,-105.74670485561964,45.10886029380069,27410.0,27687.5,27475.633333333335,29108.371211616355,26266.628788383645,0
2021-04-02,27300,27450,27150,27250,1759740,0.0018382352941177516,0.0018382352941177516,-91.48659744231452,45.61781163972009,27250.0,27665.0,27563.433333333334,29098.5619972642,26231.4380027358,1
2021-04-05,27250,27250,26600,27050,2128787,-0.007339449541284404,-0.007339449541284404,-89.53382976576893,43.865769893904655,27210.0,27665.0,27649.183333333334,29098.5619972642,26231.4380027358,0
2021-04-06,27100,27550,27000,27100,1996461,0.001848428835489857,0.001848428835489857,-79.2389498485484,44.440276163695664,27160.0,27665.0,27736.416666666668,29098.5619972642,26231.4380027358,1
2021-04-07,27150,27500,26900,27200,1767752,0.0036900369003689537,0.0036900369003689537,-60.88358542320657,45.638594913293595,27160.0,27667.5,27829.2,29097.63111287047,26237.36888712953,1
2021-04-08,27250,27300,26950,27200,2583974,0.0,0.0,-44.68128437479098,45.638594913293595,27160.0,27655.0,27906.466666666667,29096.839103367685,26213.160896632315,0
2021-04-09,27150,27200,26950,27000,1409760,-0.007352941176470562,-0.007352941176470562,-43.33952821159966,43.46417660885563,27110.0,27620.0,27975.883333333335,29089.48970734746,26150.51029265254,0
2021-04-12,27000,27000,26700,26800,1474127,-0.007407407407407418,-0.007407407407407418,-51.28363120961862,41.34290396124025,27060.0,27557.5,28029.033333333333,29054.588841719196,26060.411158280804,0
2021-04-13,26650,26700,26350,26650,2585131,-0.005597014925373123,-0.005597014925373123,-61.323718866705775,39.7749940498536,26970.0,27472.5,28049.966666666667,28972.991586114404,25972.008413885596,0
2021-04-14,26600,26600,26250,26300,2693862,-0.013133208255159512,-0.013133208255159512,-84.7749747204081,36.314328618018585,26790.0,27335.0,28072.816666666666,28732.533541636876,25937.466458363124,0
