Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,21165,21211,20703,20796,2248284,-0.011032908502948469,-0.011032908502948469,46.84988187618319,50.807728601031364,20602.4,20539.9,20744.866666666665,21066.383390051302,20013.4166099487,0
2021-04-02,21073,21166,20888,21166,1648636,0.017791883054433466,0.017791883054433466,78.36344404086668,55.18987465583179,20778.0,20558.4,20808.016666666666,21142.436437219385,19974.363562780618,1
2021-04-05,21350,22783,21165,22737,9953655,0.0742228101672493,0.0742228101672493,195.4945188047676,68.15953320479072,21267.8,20673.9,20885.8,21784.550241975357,19563.249758024645,1
2021-04-06,22737,24170,22506,23893,15258162,0.0508422395214847,0.0508422395214847,333.2188852527993,74.09997671982372,21924.0,20849.5,20977.466666666667,22628.70358587766,19070.29641412234,1
2021-04-07,24031,24309,23107,23662,8174493,-0.009668103628677871,-0.009668103628677871,387.3564161443046,71.23974872646323,22450.8,21025.15,21063.733333333334,23152.600330795045,18897.699669204958,0
2021-04-08,23569,24077,22875,23107,6062613,-0.023455329219846166,-0.023455329219846166,364.70557232426506,64.770883691477,22913.0,21145.3,21146.916666666668,23450.618468238164,18839.981531761834,0
2021-04-09,23199,24124,22876,23477,8884211,0.01601246375557186,0.01601246375557186,353.3127587945043,66.92700252569324,23375.2,21270.1,21230.1,23786.875548196535,18753.324451803463,1
2021-04-12,23708,23800,22737,22830,4120238,-0.02755888742173196,-0.02755888742173196,283.86565530968556,60.01051586201055,23393.8,21385.65,21295.566666666666,23965.297128969385,18806.002871030618,0
2021-04-13,22922,23153,22460,22784,4310143,-0.0020148926850634963,-0.0020148926850634963,219.37920820594974,59.53940093560401,23172.0,21487.35,21344.1,24118.5995339667,18856.1004660333,0
2021-04-14,22875,23199,22552,22737,2566478,-0.0020628511235954994,-0.0020628511235954994,160.81866327880255,59.02949125847546,22987.0,21600.55,21398.783333333333,24242.28446621722,18958.815533782777,0
2021-04-15,22783,23523,22783,23246,4045065,0.022386418612833747,0.022386418612833747,144.15828238266153,62.750135131695934,23014.8,21748.45,21468.116666666665,24410.81868032961,19086.081319670393,1
2021-04-16,23384,23523,22737,22830,2531658,-0.01789555192291148,-0.01789555192291148,95.27357233953404,58.10577116206447,22885.4,21884.8,21525.116666666665,24474.450679145746,19295.149320854252,0
2021-04-19,22830,23014,22598,22830,2473952,0.0,0.0,55.0848947596063,58.105771162064464,22885.4,21986.5,21578.266666666666,24556.811770972552,19416.188229027448,0
2021-04-20,22783,23291,22783,22876,2243073,0.0020148926850636073,0.0020148926850636073,25.263541662777698,58.49968105131866,22903.8,22097.4,21600.6,24619.81292416608,19574.987075833924,1
2021-04-21,22968,23107,22460,23015,3142552,0.006076237104388982,0.006076237104388982,9.380973323588478,59.73178325118697,22959.4,22222.2,21621.4,24665.6392646432,19778.760735356802,1
2021-04-22,23569,24632,23384,24401,11808341,0.06022159461220933,0.06022159461220933,82.62680135324331,69.46618866747447,23190.4,22430.15,21665.3,24871.997274093967,19988.302725906036,1
2021-04-23,24354,25279,24077,25002,8006913,0.02463013810909387,0.02463013810909387,157.61172489377554,72.5634154388956,23624.8,22665.85,21710.75,25144.866198010848,20186.83380198915,1
2021-04-26,25279,25510,24262,24494,6205179,-0.020318374530037597,-0.020318374530037597,158.6228280335448,66.4296408130862,23957.6,22876.15,21766.216666666667,25222.6813358232,20529.618664176804,0
2021-04-27,24632,25417,24170,25002,6211892,0.02073977300563401,0.02073977300563401,177.69278288736768,69.23064155005571,24382.8,23095.65,21828.6,25374.259424627275,20817.04057537273,1
2021-04-28,25186,25325,24031,24216,4887769,-0.031437485001199916,-0.031437485001199916,124.09694281660848,60.780482291851115,24623.0,23255.05,21897.15,25373.16921052623,21136.93078947377,0
2021-04-29,23753,24354,23291,23338,6783113,-0.036257020151965635,-0.036257020151965635,21.611105650804802,52.99855420119322,24410.4,23382.15,21935.65,25174.858038136797,21589.441961863206,0
2021-04-30,23338,23384,22275,22460,6492159,-0.037621047219127624,-0.037621047219127624,-106.19481368473544,46.57649170217868,23902.0,23446.85,21958.75,24991.151042543286,21902.54895745671,0
2021-05-03,22459,23106,21766,22275,7618105,-0.008236865538735483,-0.008236865538735483,-198.70339202489754,45.33008734844718,23458.2,23423.75,21979.533333333333,25022.687256430123,21824.812743569877,0
2021-05-04,22275,22460,21582,22137,4738910,-0.006195286195286198,-0.006195286195286198,-260.78651288909305,44.37611990805644,22885.2,23335.95,21988.783333333333,25013.111587325526,21658.788412674476,0
2021-05-06,22229,22414,22044,22322,3892376,0.008357049284004159,0.008357049284004159,-279.33755603555585,46.01628326002002,22506.4,23268.95,22003.433333333334,24995.00683278398,21542.89316721602,1
2021-05-07,22367,23153,22136,22830,5202120,0.02275781739987459,0.02275781739987459,-248.3812876816662,50.345974745795175,22404.8,23255.1,22029.616666666665,24990.552321442527,21519.64767855747,1
2021-05-10,23061,23061,22599,22784,3052302,-0.0020148926850634963,-0.0020148926850634963,-222.80644889326925,49.955265004406385,22469.6,23220.45,22048.1,24964.448678325258,21476.451321674744,0
2021-05-11,22460,22691,21489,21582,6578900,-0.0527563202247191,-0.0527563202247191,-275.2106596176983,41.001248569138646,22331.0,23158.05,22041.933333333334,25037.509972971024,21278.590027028975,0
2021-05-12,21535,21951,20749,20981,5881120,-0.027847280140858133,-0.027847280140858133,-334.7618358344233,37.39235460887845,22099.8,23067.9,22008.8,25170.22927011927,20965.570729880732,0
2021-05-13,20473,20657,20057,20242,7578606,-0.035222344025546914,-0.035222344025546914,-403.71466816866956,33.48903331642548,21683.8,22943.15,21962.583333333332,25378.880138993278,20507.419861006725,0
2021-05-14,20426,20703,20241,20334,3286286,0.004545005434245519,0.004545005434245519,-420.9930289826047,34.407021125786684,21184.6,22797.55,21920.216666666667,25479.18625236537,20115.91374763463,1
2021-05-17,20657,20934,20334,20519,2918518,0.009098062358611214,0.009098062358611214,-398.08250091724653,36.31063625890429,20731.6,22682.0,21891.716666666667,25541.355381899943,19822.644618100057,1
2021-05-18,20472,21443,20472,21397,3557096,0.042789609630099035,0.042789609630099035,-306.0504120605086,44.537407660352606,20694.6,22610.35,21866.3,25522.607287740928,19698.09271225907,1
2021-05-20,21212,21258,20657,20704,3624648,-0.03238771790437911,-0.03238771790437911,-275.0787412414075,40.13117160106168,20639.2,22501.75,21828.55,25526.11551197109,19477.38448802891,0
2021-05-21,20981,21674,20935,21074,4611975,0.01787094281298307,0.01787094281298307,-215.5370069418459,43.353494950683924,20805.6,22404.7,21798.516666666666,25481.081127233774,19328.318872766227,1
2021-05-24,21119,21350,20703,21166,2233976,0.004365568947518161,0.004365568947518161,-158.45944455071003,44.15831294172394,20972.0,22242.95,21790.816666666666,25221.087234917177,19264.812765082825,1
2021-05-25,21351,21397,20842,21074,2693299,-0.004346593593498982,-0.004346593593498982,-117.29976652484618,43.49284512391543,21083.0,22046.55,21776.95,24778.916554838514,19314.183445161485,0
2021-05-26,20981,21489,20935,21120,1928597,0.0021827844737591917,0.0021827844737591917,-79.20058087167445,43.947689460904655,21027.6,21877.85,21780.8,24392.941431737636,19362.75856826236,1
2021-05-27,21120,21166,20704,21120,3150522,0.0,0.0,-47.7719732051566,43.947689460904655,21110.8,21683.75,21778.483333333334,23766.486265108968,19601.013734891032,0
2021-05-28,21212,21859,21119,21628,3913007,0.02405303030303041,0.02405303030303041,10.356361072300047,49.18629239969729,21221.6,21554.35,21786.183333333334,23283.21567147365,19825.48432852635,1
2021-05-31,21674,22229,21489,22183,3850442,0.025661179951914193,0.025661179951914193,85.14820935215153,54.22024770733844,21425.0,21496.6,21806.216666666667,23051.718953649535,19941.481046350462,1
2021-06-01,22228,22829,21951,22737,5459288,0.024974079249876047,0.024974079249876047,166.2058254516536,58.62634263671777,21757.6,21510.45,21838.566666666666,23104.099330938283,19916.80066906172,1
2021-06-02,22829,22829,22182,22275,2850348,-0.020319303338171224,-0.020319303338171224,181.7239661201903,53.962050440714194,21988.6,21510.45,21869.366666666665,23104.099330938283,19916.80066906172,0
2021-06-03,22368,22737,21998,22137,2815884,-0.006195286195286198,-0.006195286195286198,175.61248412203068,52.61548241440309,22192.0,21510.45,21898.633333333335,23104.099330938283,19916.80066906172,0
2021-06-04,22137,22137,21490,21675,4369239,-0.020870036590323937,-0.020870036590323937,135.18716820590848,48.27250782159927,22201.4,21478.1,21924.066666666666,23030.267761551575,19925.932238448422,0
2021-06-07,21767,22044,21536,21906,2768006,0.010657439446366768,0.010657439446366768,119.29128994318188,50.473730780194394,22146.0,21431.9,21944.1,22871.267902935186,19992.532097064817,1
2021-06-08,21859,22136,21489,21721,3120283,-0.008445174837943936,-0.008445174837943936,92.78323906457422,48.68683753247323,21942.8,21378.75,21956.433333333334,22687.016467505768,20070.483532494232,0
2021-06-09,21628,21674,21166,21305,3249992,-0.019151972745269585,-0.019151972745269585,46.059927699982495,44.842436475440174,21748.8,21364.9,21969.533333333333,22670.127780887316,20059.672219112686,0
2021-06-10,21212,21396,20934,21212,3618049,-0.004365172494719571,-0.004365172494719571,9.62352140671328,44.005867016441556,21563.8,21376.45,21977.233333333334,22671.936700047525,20080.963299952477,0
2021-06-11,21258,21489,21120,21120,2630185,-0.0043371676409579285,-0.0043371676409579285,-18.41331174022889,43.148303897775115,21452.8,21420.35,21988.016666666666,22614.642640017522,20226.057359982475,0
2021-06-14,21350,21628,21119,21397,2341112,0.013115530303030365,0.013115530303030365,-16.125032432792068,46.52712847596991,21351.0,21473.5,22006.5,22559.369697523616,20387.630302476384,1
2021-06-15,21443,21489,20888,20981,4383545,-0.01944197784736179,-0.01944197784736179,-39.138404331469786,42.447054626239975,21203.0,21496.6,22021.133333333335,22518.008713493295,20475.191286506702,0
2021-06-16,21027,21165,20796,20981,2661682,0.0,0.0,-50.166609560478236,42.447054626239975,21138.2,21475.8,22024.216666666667,22521.137189618752,20430.462810381247,0
2021-06-17,20935,22321,20750,21998,9306306,0.04847242743434532,0.04847242743434532,11.912276182567837,53.90723650411745,21295.4,21540.5,22046.55,22546.178378011595,20534.821621988405,1
2021-06-18,22506,22644,21812,22506,9462547,0.023093008455314035,0.023093008455314035,84.04865108582922,58.36678923614614,21572.6,21612.1,22079.666666666668,22676.898741546982,20547.301258453015,1
2021-06-21,22229,23199,22183,22599,11370879,0.004132231404958775,0.004132231404958775,132.0314630151764,59.14607415645772,21813.0,21683.75,22118.95,22809.91817127818,20557.58182872182,1
2021-06-22,23106,23199,22459,22691,4457021,0.00407097659188449,0.00407097659188449,161.99520724032726,59.94481279796599,22155.0,21764.6,22159.0,22935.351621822512,20593.848378177485,1
2021-06-23,22598,22690,21997,22044,4707911,-0.0285135075580627,-0.0285135075580627,131.56372652400654,52.21347523360821,22367.6,21810.8,22188.266666666666,22948.619247508166,20672.980752491832,0
2021-06-24,22044,22368,21859,22137,3633253,0.0042188350571583655,0.0042188350571583655,111.7981682488105,53.14885207881478,22395.4,21861.65,22213.683333333334,22961.709139319362,20761.59086068064,1
2021-06-25,22182,22737,22182,22414,3088993,0.012512987306319667,0.012512987306319667,111.24158625484907,55.91666728365476,22377.0,21900.95,22236.783333333333,23020.794538317732,20781.10546168227,1
2021-06-28,22598,22783,22275,22460,2415858,0.0020522887481038143,0.0020522887481038143,107.7585729832684,56.377549193739256,22349.2,21914.8,22264.516666666666,23054.923431914307,20774.67656808569,1
2021-06-29,22506,22598,22136,22183,2296342,-0.012333036509349915,-0.012333036509349915,81.76520559412043,52.79791509633229,22247.6,21887.1,22281.466666666667,22971.53347421594,20802.666525784058,0
2021-06-30,22321,23014,22321,22645,4033060,0.02082675923004107,0.02082675923004107,90.00029373096379,57.63003236825538,22367.8,21905.6,22279.933333333334,23027.837122893397,20783.3628771066,1
2021-07-01,22737,22737,22321,22599,2308476,-0.0020313534996687643,-0.0020313534996687643,86.63291565416884,57.00430595782346,22460.2,21928.7,22258.366666666665,23087.46366874357,20769.93633125643,0
2021-07-02,22691,23384,22691,22969,5483670,0.016372405858666284,0.016372405858666284,102.52055426423911,60.70047246544294,22571.2,21993.4,22246.816666666666,23230.154203550595,20756.645796449407,1
2021-07-05,23153,23153,22783,22922,2377862,-0.0020462362314424,-0.0020462362314424,102.79837714004628,59.99493196943061,22663.6,22044.2,22243.733333333334,23344.265475274256,20744.134524725745,0
2021-07-06,22968,23107,22321,22414,4434029,-0.02216211499869125,-0.02216211499869125,63.623464676353194,52.84525514625815,22709.8,22078.85,22226.016666666666,23379.55231413651,20778.14768586349,0
2021-07-07,22413,22598,21951,21998,3969159,-0.018559828678504475,-0.018559828678504475,7.500169998702717,47.81960625778502,22580.4,22113.5,22212.15,23365.922692224984,20861.077307775016,0
2021-07-08,21998,22090,21351,21721,4923946,-0.012592053823074822,-0.012592053823074822,-47.45040559347666,44.766707378769325,22404.8,22138.95,22194.433333333334,23336.54867651901,20941.35132348099,0
2021-07-09,21443,21628,21120,21305,3603290,-0.019151972745269585,-0.019151972745269585,-107.54784980624603,40.576992026710876,22072.0,22148.2,22170.566666666666,23316.678942899736,20979.721057100265,0
2021-07-12,21581,21720,21350,21443,1621134,0.006477352734099995,0.006477352734099995,-132.12073516764093,42.49951403234498,21776.2,22150.5,22140.516666666666,23313.222236821883,20987.777763178117,1
2021-07-13,21628,21906,21490,21675,1752613,0.01081938161637841,0.01081938161637841,-126.83937373107962,45.68122162036852,21628.4,22185.2,22121.266666666666,23242.924274090412,21127.47572590959,1
2021-07-14,21720,21812,21443,21443,2086423,-0.010703575547866162,-0.010703575547866162,-132.44510988965905,43.11216729620821,21517.4,22208.3,22098.15,23176.183691359704,21240.416308640295,0
2021-07-15,21628,21998,21535,21767,2734468,0.015109826050459407,0.015109826050459407,-108.79631567132472,47.54860446015667,21526.6,22196.75,22079.666666666668,23179.79076721166,21213.70923278834,1
2021-07-16,21628,21674,21351,21490,1790127,-0.012725685670969766,-0.012725685670969766,-106.15750458164678,44.36325016277058,21563.6,22145.95,22054.25,23164.192893419877,21127.707106580125,0
2021-07-19,21489,21489,20981,21074,3080090,-0.019357840856212172,-0.019357840856212172,-125.45437556800653,40.02648714120029,21489.8,22069.7,21998.8,23166.206652966626,20973.193347033375,0
2021-07-20,20796,21258,20796,21166,2315566,0.004365568947518161,0.004365568947518161,-124.78322413307069,41.3910251587661,21388.0,21993.45,21934.866666666665,23118.262246554983,20868.63775344502,1
2021-07-21,21351,21397,20750,20843,2880380,-0.015260323159784539,-0.015260323159784539,-137.83161023207214,38.11239957283436,21268.0,21933.4,21874.016666666666,23164.243028172183,20702.55697182782,0
2021-07-22,20981,21165,20749,20981,3067471,0.006620927889459338,0.006620927889459338,-129.06102956486052,40.2886253860376,21110.8,21875.6,21807.0,23169.715048981372,20581.484951018625,1
2021-07-23,20981,21165,20934,20981,1485381,0.0,0.0,-115.58719297758233,40.2886253860376,21009.0,21803.95,21753.083333333332,23129.199331258107,20478.700668741894,0
2021-07-26,21119,21119,20703,20750,2435805,-0.011009961393641854,-0.011009961393641854,-114.3502012233775,37.71404926135027,20944.2,21718.45,21709.95,23083.41395190498,20353.486048095023,0
2021-07-27,20796,21073,20703,20796,1722769,0.00221686746987948,0.00221686746987948,-102.90975177850407,38.556089165306524,20870.2,21649.1,21682.216666666667,23052.991149626654,20245.208850373343,1
2021-07-28,21119,21674,20842,21166,4966201,0.017791883054433466,0.017791883054433466,-64.7622247735614,44.99713596822889,20934.8,21575.15,21663.733333333334,22915.802717895298,20234.497282104705,1
2021-07-29,21350,21396,20703,20796,4131442,-0.017480865539072132,-0.017480865539072132,-58.95244037220084,40.432625274826464,20897.8,21485.0,21641.383333333335,22779.836978155952,20190.163021844048,0
2021-07-30,20796,20796,20334,20381,3677380,-0.01995576072321603,-0.01995576072321603,-76.45331538245233,36.019211790167795,20777.8,21355.6,21609.033333333333,22544.270416894447,20166.92958310555,0
2021-08-02,20380,20518,20056,20334,2573388,-0.0023060693783425457,-0.0023060693783425457,-83.98828246694757,35.545986772276734,20694.6,21226.2,21567.433333333334,22257.68991269911,20194.710087300893,0
2021-08-03,20242,20612,20149,20612,1563293,0.01367168289564269,0.01367168289564269,-63.949649084219686,40.523479838989374,20657.8,21136.1,21531.233333333334,22044.2706667802,20227.929333219796,1
2021-08-04,20657,21258,20380,21212,3537256,0.029109256743644396,0.029109256743644396,-6.9838334570073926,49.57457984144856,20667.0,21096.8,21525.066666666666,21916.052000302712,20277.547999697286,1
