Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,129000,129000,124500,125500,275069,-0.027131782945736482,-0.027131782945736482,830.4852733413611,50.25894425193789,126300.0,123125.0,127791.66666666667,128527.5456962436,117722.4543037564,0
2021-04-02,125500,128000,125500,127000,149213,0.01195219123505975,0.01195219123505975,788.3786854451903,52.8455026327625,126500.0,123350.0,127700.0,128998.89369699947,117701.10630300053,1
2021-04-05,128500,131500,127000,131000,326986,0.03149606299212593,0.03149606299212593,982.8664138104186,58.972353470157756,127900.0,123850.0,127725.0,130292.82546713787,117407.17453286213,1
2021-04-06,131500,131500,128500,129500,170513,-0.011450381679389277,-0.011450381679389277,962.2142055504003,56.0322140699213,128400.0,124375.0,127725.0,130862.48795759963,117887.51204240037,0
2021-04-07,129500,129500,127500,128500,161167,-0.007722007722007707,-0.007722007722007707,837.5148269484571,54.0958938197768,128300.0,124875.0,127633.33333333333,131005.8645393615,118744.1354606385,0
2021-04-08,128000,130000,127000,128000,190005,-0.0038910505836575737,-0.0038910505836575737,684.1376113935439,53.10767888715669,128800.0,125275.0,127650.0,131118.5862276517,119431.41377234833,0
2021-04-09,127500,133000,127000,131500,345643,0.02734375,0.02734375,774.5373375692084,58.78364066401381,129700.0,125725.0,127758.33333333333,132013.68030670984,119436.31969329015,1
2021-04-12,133000,140000,132000,140000,941931,0.06463878326996197,0.06463878326996197,1330.3158168760547,68.69419890641993,131500.0,126700.0,127975.0,135128.5230022822,118271.4769977178,1
2021-04-13,140500,140500,136500,138500,444932,-0.010714285714285676,-0.010714285714285676,1507.4411594766643,65.69227414066009,133300.0,127525.0,128175.0,137103.4915305073,117946.50846949269,0
2021-04-14,141000,144000,140000,141500,621442,0.02166064981949467,0.02166064981949467,1721.6925724282337,68.6436214427535,135900.0,128425.0,128466.66666666667,139575.22421299233,117274.77578700767,1
2021-04-15,144000,144000,138500,141000,390405,-0.0035335689045936647,-0.0035335689045936647,1720.6965649267424,67.59984493012365,138500.0,129350.0,128808.33333333333,141412.752588029,117287.24741197101,0
2021-04-16,144000,147500,142500,146000,814441,0.03546099290780136,0.03546099290780136,1931.9151921443454,72.15893218368045,141400.0,130600.0,129233.33333333333,144044.70155860667,117155.29844139334,1
2021-04-19,147000,151000,143500,143500,609663,-0.017123287671232834,-0.017123287671232834,1782.0377075205824,67.07667074745811,142100.0,131650.0,129608.33333333333,145668.2024525258,117631.7975474742,0
2021-04-20,144500,147500,144000,147500,284111,0.027874564459930307,0.027874564459930307,1824.4421914038649,70.63979270514385,143900.0,132750.0,130050.0,148058.49437403955,117441.50562596046,1
2021-04-21,147000,147000,144000,145500,333753,-0.013559322033898313,-0.013559322033898313,1598.0781192044115,66.74994547395659,144700.0,133825.0,130358.33333333333,149538.92694395644,118111.07305604356,0
2021-04-22,145000,145000,139500,141000,562426,-0.030927835051546393,-0.030927835051546393,1051.9349988423073,58.89203794303321,144700.0,134575.0,130541.66666666667,150154.71437478877,118995.28562521121,0
2021-04-23,141000,142000,137500,140000,284588,-0.007092198581560294,-0.007092198581560294,554.9545417844793,57.27835320550316,143500.0,135275.0,130750.0,150504.82271728732,120045.1772827127,0
2021-04-26,141500,142500,139000,139500,269232,-0.0035714285714285587,-0.0035714285714285587,145.48480467931404,56.44554222022524,142700.0,136050.0,130891.66666666667,150461.45377815855,121638.54622184145,0
2021-04-27,139500,140500,136000,137000,309455,-0.017921146953404965,-0.017921146953404965,-315.63674522194106,52.3472363520438,140600.0,136550.0,130925.0,150351.81147531007,122748.18852468995,0
2021-04-28,136000,136500,132000,132000,379089,-0.03649635036496346,-0.03649635036496346,-943.7846566638673,45.268080450699514,137900.0,136700.0,130933.33333333333,150232.92281807592,123167.07718192406,0
2021-04-29,134000,135500,131000,132500,243947,0.0037878787878788955,0.0037878787878788955,-1290.5446770604512,46.05373884015637,136200.0,137050.0,130816.66666666667,149742.12354178765,124357.87645821234,1
2021-04-30,132000,132500,128500,129500,287814,-0.02264150943396226,-0.02264150943396226,-1663.1788964686489,42.14468363043197,134100.0,137175.0,130600.0,149513.05089955463,124836.94910044539,0
2021-05-03,129500,130000,125500,126000,270238,-0.027027027027026973,-0.027027027027026973,-2060.6145717978648,38.08330893000055,131400.0,136925.0,130275.0,149937.59005732526,123912.40994267473,0
2021-05-04,125000,127000,121500,125500,426606,-0.003968253968253954,-0.003968253968253954,-2256.611535500665,37.52694354957312,129100.0,136725.0,130066.66666666667,150298.77987150228,123151.22012849772,0
2021-05-06,125000,128000,123000,127000,247982,0.01195219123505975,0.01195219123505975,-2183.2975307751117,40.34269917669698,128100.0,136650.0,129875.0,150419.89469821757,122880.10530178243,1
2021-05-07,127000,131500,127000,130500,251700,0.027559055118110187,0.027559055118110187,-1812.4163653888802,46.411906608134565,127700.0,136775.0,129758.33333333333,150271.20316978078,123278.79683021923,1
2021-05-10,132500,134500,131000,133000,223887,0.019157088122605304,0.019157088122605304,-1334.1548723828146,50.30120187344439,128400.0,136850.0,129700.0,150244.40181568405,123455.59818431594,1
2021-05-11,132000,132500,128500,130000,232351,-0.022556390977443663,-0.022556390977443663,-1161.6170702515155,45.98787945103459,129200.0,136350.0,129566.66666666667,149981.21417922853,122718.78582077149,0
2021-05-12,130000,130500,126500,127500,195924,-0.019230769230769273,-0.019230769230769273,-1155.1892792184312,42.70176402166773,129600.0,135800.0,129450.0,149918.7818171399,121681.21818286009,0
2021-05-13,125000,130000,123500,128500,265116,0.007843137254901933,0.007843137254901933,-1027.2182470834418,44.41279909018383,129900.0,135150.0,129325.0,149355.98465436313,120944.01534563689,1
2021-05-14,128500,129500,126500,127500,182417,-0.0077821011673151474,-0.0077821011673151474,-955.0688085416131,43.0290291573917,129300.0,134475.0,129233.33333333333,148787.4945414837,120162.50545851632,0
2021-05-17,128000,131500,127500,131500,296640,0.031372549019607954,0.031372549019607954,-600.4243421161153,49.770563145993975,129000.0,133750.0,129258.33333333333,147089.79010329625,120410.20989670376,1
2021-05-18,132500,135000,132000,134000,216194,0.019011406844106515,0.019011406844106515,-181.6665212009392,53.47605879002972,129800.0,133275.0,129308.33333333333,145846.6943965402,120703.3056034598,1
2021-05-20,132500,136000,131500,136000,204196,0.014925373134328401,0.014925373134328401,223.82955412974127,56.25627415631524,131500.0,132700.0,129458.33333333333,143550.80642164446,121849.19357835555,1
2021-05-21,137500,138000,133000,135000,259819,-0.007352941176470562,-0.007352941176470562,407.7935056485237,54.502502400657185,132800.0,132175.0,129616.66666666667,141390.6117539749,122959.3882460251,0
2021-05-24,135000,137500,133000,137500,193266,0.0185185185185186,0.0185185185185186,665.6940989021166,58.02549986769081,134800.0,132000.0,129850.0,140654.47860936754,123345.52139063245,1
2021-05-25,138000,138500,136000,138000,288140,0.0036363636363636598,0.0036363636363636598,827.2645924026203,58.714059692608785,136100.0,131900.0,129983.33333333333,140222.2593086253,123577.7406913747,1
2021-05-26,138000,138000,135500,136000,175354,-0.01449275362318836,-0.01449275362318836,758.5577904615363,54.838900400461576,136500.0,131725.0,130191.66666666667,139531.88798433795,123918.11201566205,0
