Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,39100,39350,38950,39200,216954,0.002557544757033181,0.002557544757033181,-47.528876381134374,50.05214212079723,39030.0,39282.5,39139.166666666664,40441.928738646755,38123.071261353245,1
2021-04-02,39450,39450,39100,39250,173274,0.0012755102040815647,0.0012755102040815647,-26.999687392154982,50.53128360118806,39090.0,39317.5,39160.833333333336,40427.57882602994,38207.42117397006,1
2021-04-05,39000,39050,38750,38900,208245,-0.008917197452229297,-0.008917197452229297,-34.86291002316245,47.123535438316125,39100.0,39272.5,39170.833333333336,40373.62442530352,38171.37557469648,0
2021-04-06,38850,38900,38600,38750,181773,-0.003856041131105381,-0.003856041131105381,-47.26675069397284,45.70107093627823,39040.0,39252.5,39158.333333333336,40376.09912780315,38128.90087219685,0
2021-04-07,38800,39100,38750,38900,187301,0.003870967741935516,0.003870967741935516,-42.61330333018883,47.41063805591656,39000.0,39265.0,39113.333333333336,40366.862060332416,38163.137939667584,1
2021-04-08,39000,39250,38800,39050,276554,0.003856041131105492,0.003856041131105492,-27.41549534309914,49.135269589892495,38970.0,39260.0,39099.166666666664,40364.80767557073,38155.19232442927,1
2021-04-09,39100,39100,38850,38900,228170,-0.003841229193341844,-0.003841229193341844,-25.488194289221624,47.45915723890989,38900.0,39205.0,39080.0,40265.61303028013,38144.38696971987,0
2021-04-12,38950,39100,38750,39050,191841,0.003856041131105492,0.003856041131105492,-12.776230298789613,49.32091524272885,38930.0,39142.5,39063.333333333336,40077.52673758562,38207.47326241438,1
2021-04-13,39050,39200,38950,39050,387828,0.0,0.0,-3.5145606307016095,49.32091524272885,38990.0,39067.5,39038.333333333336,39743.721117682675,38391.278882317325,0
2021-04-14,39050,41350,39050,40650,1300171,0.04097311139564663,0.04097311139564663,105.21529187413094,64.76589960081282,39340.0,39095.0,39053.333333333336,39956.33617130596,38233.66382869404,1
2021-04-15,40700,41500,40500,41400,656297,0.01845018450184499,0.01845018450184499,216.10525464818687,69.46376118957843,39810.0,39175.0,39105.0,40470.95524614085,37879.04475385915,1
2021-04-16,41500,41800,40850,41650,414493,0.006038647342995196,0.006038647342995196,290.13471810732074,70.85855968820272,40360.0,39312.5,39155.0,40989.960878828475,37635.039121171525,1
2021-04-19,41450,41500,40800,41050,337413,-0.014405762304921965,-0.014405762304921965,282.2736979441944,63.37651639751139,40760.0,39402.5,39193.333333333336,41242.19426807826,37562.80573192174,0
2021-04-20,41050,41700,40850,41450,350520,0.00974421437271622,0.00974421437271622,286.6717017575546,65.95726535297945,41240.0,39540.0,39221.666666666664,41552.11331688849,37527.88668311151,1
2021-04-21,41400,42900,40900,42750,727935,0.031363088057901,0.031363088057901,355.3053883152467,72.69229305507933,41660.0,39745.0,39283.333333333336,42149.76610089214,37340.23389910786,1
2021-04-22,42900,43250,42300,42350,382688,-0.009356725146198785,-0.009356725146198785,351.3030237630655,68.22002193317822,41850.0,39915.0,39341.666666666664,42541.42342359338,37288.57657640662,0
2021-04-23,42200,42750,41750,42250,246052,-0.0023612750885477762,-0.0023612750885477762,320.32820862563597,67.10843972047108,41970.0,40080.0,39410.833333333336,42853.69789270569,37306.30210729431,0
2021-04-26,42400,44650,42300,44400,876231,0.050887573964496946,0.050887573964496946,416.93098580409355,76.1183008966379,42640.0,40357.5,39519.166666666664,43646.15854110761,37068.84145889239,1
2021-04-27,44350,44650,43700,44450,431792,0.0011261261261261701,0.0011261261261261701,453.4654849790322,76.28102272321193,43240.0,40627.5,39644.166666666664,44306.01532550838,36948.98467449162,1
2021-04-28,44600,45500,43950,44900,712234,0.01012373453318327,0.01012373453318327,474.9286783603086,77.75038943001297,43670.0,40917.5,39788.333333333336,44964.63170035273,36870.36829964727,1
2021-04-29,45100,45250,43950,44250,338606,-0.014476614699331813,-0.014476614699331813,414.53844446092785,70.91651280130898,44050.0,41170.0,39904.166666666664,45383.71569994939,36956.28430005061,0
2021-04-30,44600,44600,43050,43050,566370,-0.027118644067796627,-0.027118644067796627,269.9652918904304,60.36732413217136,44210.0,41360.0,39986.666666666664,45552.9226083962,37167.0773916038,0
2021-05-03,42900,44400,42250,43450,449267,0.009291521486643362,0.009291521486643362,181.69963694425974,62.376396170113324,44020.0,41587.5,40078.333333333336,45715.07495389242,37459.92504610758,1
2021-05-04,43850,43850,42350,43000,405784,-0.010356731875719172,-0.010356731875719172,78.69431766420257,58.76717000677037,43730.0,41800.0,40170.0,45755.37608831322,37844.62391168678,0
2021-05-06,43200,46750,43150,46650,1045093,0.08488372093023266,0.08488372093023266,233.32323276354055,72.61055047866054,44080.0,42187.5,40313.333333333336,46438.01467471881,37936.98532528119,1
2021-05-07,46800,46900,46100,46700,412238,0.001071811361200492,0.001071811361200492,311.0510109381685,72.74553949256236,44570.0,42570.0,40443.333333333336,46995.539515132594,38144.460484867406,1
2021-05-10,46850,49600,46650,49300,1258898,0.05567451820128477,0.05567451820128477,498.5301223019633,78.64064180523494,45820.0,43090.0,40616.666666666664,48076.84268851545,38103.15731148455,1
2021-05-11,49450,50300,48300,50000,1185306,0.014198782961460488,0.014198782961460488,622.5814660152944,79.90111905148845,47130.0,43637.5,40803.333333333336,49110.60469477791,38164.39530522209,1
2021-05-12,49200,49500,47100,47650,939668,-0.04700000000000004,-0.04700000000000004,504.3116736025818,65.85143493513786,48060.0,44067.5,40931.666666666664,49380.34057731832,38754.65942268168,0
2021-05-13,47100,49350,47000,47700,856425,0.0010493179433368471,0.0010493179433368471,392.37255040291143,65.98846842327845,48270.0,44420.0,41056.666666666664,49714.563249220846,39125.436750779154,1
2021-05-14,47950,48550,47600,48250,342821,0.011530398322851187,0.011530398322851187,321.2839373269567,67.5319037854373,48580.0,44762.5,41178.333333333336,50117.205874275445,39407.794125724555,1
2021-05-17,48600,48650,47050,47650,422489,-0.012435233160621784,-0.012435233160621784,205.40363068392367,64.11378674244524,48250.0,45062.5,41310.0,50358.05237911967,39766.94762088033,0
2021-05-18,48100,49800,47850,49100,606491,0.030430220356768123,0.030430220356768123,197.88144983269535,68.2907898311922,48070.0,45465.0,41479.166666666664,50702.85261342852,40227.14738657148,1
2021-05-20,48100,48400,46350,46900,719198,-0.044806517311609007,-0.044806517311609007,25.284883346127344,57.378292620043936,47920.0,45737.5,41577.5,50669.62682318693,40805.37317681307,0
2021-05-21,46850,46900,45250,46150,579870,-0.015991471215351827,-0.015991471215351827,-149.2513296450004,54.19868156681291,47610.0,45907.5,41658.333333333336,50646.6217540806,41168.3782459194,0
2021-05-24,46250,46550,45850,46050,232423,-0.0021668472372697867,-0.0021668472372697867,-274.0321433433933,53.77082666656957,47170.0,46092.5,41767.5,50541.68812818699,41643.31187181301,0
2021-05-25,46550,46950,46300,46700,312797,0.014115092290988063,0.014115092290988063,-312.598197693844,56.19164803396799,46980.0,46315.0,41880.0,50403.77732335719,42226.22267664281,1
2021-05-26,46800,47200,46250,46850,271744,0.0032119914346895317,0.0032119914346895317,-326.3011722301967,56.75444363100437,46530.0,46437.5,42010.833333333336,50435.233733004236,42439.766266995764,1
2021-05-27,47000,47100,45550,45800,765346,-0.022411953041622246,-0.022411953041622246,-399.53960765441934,51.743365527269525,46310.0,46505.0,42132.5,50410.75216827694,42599.24783172306,0
2021-05-28,46050,46450,45900,46250,256605,0.009825327510917026,0.009825327510917026,-409.6173094530059,53.63287622902875,46330.0,46572.5,42251.666666666664,50411.051158966104,42733.948841033896,1
2021-05-31,46400,46450,45600,46100,257700,-0.00324324324324321,-0.00324324324324321,-416.9357948461925,52.88947206954378,46340.0,46665.0,42372.5,50361.76885942305,42968.23114057695,0
2021-06-01,46250,48550,46250,48050,595903,0.042299349240780826,0.042299349240780826,-287.173834722857,60.54572100604837,46610.0,46915.0,42530.833333333336,50259.56275169117,43570.43724830883,1
2021-06-02,48450,48450,47650,48300,373988,0.00520291363163361,0.00520291363163361,-186.13034464184648,61.41157606042026,46900.0,47157.5,42672.5,50146.35847774698,44168.64152225302,1
2021-06-03,48550,49350,47850,48050,390816,-0.005175983436852993,-0.005175983436852993,-139.86850513373543,59.99368996702277,47350.0,47410.0,42820.833333333336,49729.6120365268,45090.3879634732,0
2021-06-04,47600,47850,47150,47350,272492,-0.014568158168574374,-0.014568158168574374,-158.76702508113613,56.08879022969108,47570.0,47445.0,42965.833333333336,49738.66518916776,45151.33481083224,0
2021-06-07,47800,47800,46900,47400,231158,0.001055966209081216,0.001055966209081216,-169.2909942966544,56.30754994979116,47830.0,47480.0,43103.333333333336,49748.34741607188,45211.65258392812,1
2021-06-08,47400,48200,47050,47650,318334,0.0052742616033756295,0.0052742616033756295,-160.8648923155531,57.44899873027066,47750.0,47397.5,43230.833333333336,49509.72039569738,45285.27960430262,1
2021-06-09,47950,48300,47500,47750,279669,0.0020986358866736943,0.0020986358866736943,-150.20896896506656,57.92252532137827,47640.0,47285.0,43355.0,49040.306241087295,45529.693758912705,1
2021-06-10,47600,47800,47300,47700,280566,-0.0010471204188481353,-0.0010471204188481353,-147.94433083739636,57.577507019954645,47570.0,47287.5,43474.166666666664,49045.01955892388,45529.98044107612,0
2021-06-11,47350,47850,47250,47300,272493,-0.008385744234800874,-0.008385744234800874,-173.05689107410785,54.76697788526505,47560.0,47267.5,43594.166666666664,49014.86229786499,45520.13770213501,0
2021-06-14,47300,47500,46650,46900,212926,-0.008456659619450302,-0.008456659619450302,-213.6180752964358,52.03178090123303,47460.0,47200.0,43712.5,48893.812268228095,45506.187731771905,0
2021-06-15,46900,47350,46700,47000,224119,0.002132196162046851,0.002132196162046851,-229.3401627293208,52.668206276718166,47330.0,47167.5,43847.5,48850.436421853185,45484.563578146815,1
2021-06-16,47700,48600,47450,47600,367429,0.012765957446808418,0.012765957446808418,-196.23786317468068,56.40553404882502,47300.0,47092.5,43986.666666666664,48541.73255552723,45643.26744447277,1
2021-06-17,47650,48000,47350,47550,190350,-0.0010504201680672232,-0.0010504201680672232,-175.3028766798824,56.008647166454,47270.0,47125.0,44134.166666666664,48584.62323905863,45665.37676094137,0
2021-06-18,47400,47450,46350,46350,417367,-0.025236593059936863,-0.025236593059936863,-236.08233555069376,47.39019206344162,47080.0,47135.0,44262.5,48570.30484566868,45699.69515433132,0
2021-06-21,46000,46400,45550,46150,330559,-0.004314994606256728,-0.004314994606256728,-280.5369228225603,46.11650094112606,46930.0,47140.0,44382.5,48560.77443670697,45719.22556329303,0
2021-06-22,46600,46950,46200,46450,214350,0.00650054171180936,0.00650054171180936,-279.88078161627595,48.35857430365309,46820.0,47127.5,44507.5,48567.80378740042,45687.19621259958,1
2021-06-23,46500,46550,45500,45600,278092,-0.01829924650161463,-0.01829924650161463,-323.7369142211412,42.91053410272394,46420.0,47065.0,44620.0,48649.329511181306,45480.670488818694,0
2021-06-24,45800,45900,45250,45900,206398,0.006578947368421018,0.006578947368421018,-319.0652914617402,45.25476378874301,46090.0,47070.0,44734.166666666664,48638.88495435452,45501.11504564548,1
2021-06-25,46050,47050,46050,46900,294889,0.02178649237472774,0.02178649237472774,-238.822726951535,52.28771812325223,46200.0,47102.5,44864.166666666664,48628.43414012532,45576.56585987468,1
2021-06-28,46850,47100,46400,47100,194469,0.004264392324093924,0.004264392324093924,-165.93001378107107,53.57236194519681,46390.0,47152.5,44995.833333333336,48607.65463095851,45697.34536904149,1
2021-06-29,47300,47300,45750,46300,355716,-0.01698513800424628,-0.01698513800424628,-164.9046772660277,48.00460670028963,46360.0,47065.0,45113.333333333336,48504.13168264756,45625.86831735244,0
2021-06-30,46350,46600,46000,46250,216316,-0.001079913606911398,-0.001079913606911398,-160.73907099104116,47.67113458036836,46490.0,46962.5,45235.833333333336,48325.172007491165,45599.827992508835,0
2021-07-01,46500,47200,45950,46250,348611,0.0,0.0,-151.26633238408374,47.67113458036836,46560.0,46872.5,45360.833333333336,48172.29806123875,45572.70193876125,0
2021-07-02,46850,47400,46350,46850,364420,0.012972972972973063,0.012972972972973063,-100.32839779827728,52.28419828884092,46550.0,46847.5,45493.333333333336,48128.7006088041,45566.2993911959,1
2021-07-05,47000,47200,46350,46450,183889,-0.008537886872998945,-0.008537886872998945,-89.66012749394716,49.172052759827125,46420.0,46800.0,45616.666666666664,48066.096362841316,45533.903637158684,0
2021-07-06,46700,47200,46300,47000,292427,0.011840688912809538,0.011840688912809538,-43.96021677231295,53.28918024216231,46560.0,46767.5,45751.666666666664,47976.74563261564,45558.25436738436,1
2021-07-07,46250,46350,45600,45750,371470,-0.02659574468085102,-0.02659574468085102,-93.47041799385889,44.472327110150445,46460.0,46667.5,45863.333333333336,47865.94691163189,45469.05308836811,0
2021-07-08,45600,45700,44350,44700,471303,-0.022950819672131195,-0.022950819672131195,-187.08449554197352,38.68264523469854,46150.0,46517.5,45957.5,47898.54127382204,45136.45872617796,0
2021-07-09,44400,44450,43650,44050,246987,-0.014541387024608499,-0.014541387024608499,-277.4811547668004,35.593461022721215,45590.0,46355.0,46014.166666666664,48057.02820188151,44652.97179811849,0
2021-07-12,44550,45050,44350,44450,146031,0.009080590238365494,0.009080590238365494,-293.4814735794563,38.830825375741014,45190.0,46232.5,46065.0,48104.203769296844,44360.796230703156,1
2021-07-13,44700,45400,44450,45250,138509,0.017997750281214753,0.017997750281214753,-235.816875196399,44.806218056554485,44840.0,46145.0,46125.0,48028.58700356528,44261.41299643472,1
2021-07-14,45200,45350,44550,44950,146874,-0.006629834254143652,-0.006629834254143652,-204.66536321515048,43.105687810970736,44680.0,46012.5,46190.0,47840.03248945128,44184.96751054872,0
2021-07-15,44800,44800,44450,44500,147401,-0.010011123470522798,-0.010011123470522798,-200.8709296905438,40.61559877967527,44640.0,45860.0,46240.833333333336,47657.66515235736,44062.33484764264,0
2021-07-16,44300,44500,44000,44000,189436,-0.011235955056179803,-0.011235955056179803,-217.15535113333624,37.989641451025,44630.0,45742.5,46261.666666666664,47697.05237842326,43787.94762157674,0
2021-07-19,43750,43850,43500,43800,131492,-0.004545454545454519,-0.004545454545454519,-225.53091348034457,36.960264246537214,44500.0,45625.0,46285.833333333336,47743.135972972465,43506.864027027535,0
2021-07-20,42700,43550,42700,43400,199538,-0.0091324200913242,-0.0091324200913242,-240.75979753948474,34.922165609775135,44130.0,45472.5,46305.0,47763.23678103793,43181.76321896207,0
2021-07-21,43600,43750,42950,43050,130211,-0.008064516129032251,-0.008064516129032251,-255.74626413978626,33.19718534575017,43750.0,45345.0,46282.5,47865.49598293669,42824.50401706331,0
2021-07-22,43650,43950,43300,43750,180979,0.016260162601626105,0.016260162601626105,-202.2037283534586,39.62087374662455,43600.0,45237.5,46270.833333333336,47836.32184845364,42638.67815154636,1
2021-07-23,43750,44050,43550,43750,105893,0.0,0.0,-152.72683117320366,39.62087374662455,43550.0,45080.0,46251.666666666664,47638.20249393984,42521.79750606016,0
2021-07-26,43750,43750,43150,43150,114040,-0.013714285714285679,-0.013714285714285679,-146.33436116251357,36.16396204522874,43420.0,44882.5,46233.333333333336,47395.918986162076,42369.081013837924,0
2021-07-27,43300,43950,43300,43550,119028,0.009269988412514474,0.009269988412514474,-103.13028983150457,39.92698682660328,43450.0,44745.0,46241.666666666664,47233.95560426457,42256.04439573543,1
2021-07-28,43850,44150,43400,43750,121986,0.004592422502870175,0.004592422502870175,-51.64672673454629,41.775124872750865,43590.0,44620.0,46246.666666666664,47044.33496035511,42195.66503964489,1
2021-07-29,43800,44000,43700,43850,89884,0.0022857142857142243,0.0022857142857142243,-3.93664509369637,42.72394260999317,43610.0,44500.0,46260.833333333336,46825.29568012329,42174.70431987671,1
2021-07-30,43600,43600,42800,42800,205976,-0.023945267958951022,-0.023945267958951022,-34.4740908216703,36.07626719212851,43420.0,44297.5,46196.666666666664,46469.2446903354,42125.7553096646,0
2021-08-02,43200,43300,42500,43050,151121,0.005841121495327117,0.005841121495327117,-29.413211042771877,38.528749723335075,43400.0,44127.5,46135.833333333336,46123.86544750704,42131.13455249296,1
2021-08-03,42600,43250,42550,43150,151888,0.0023228803716608404,0.0023228803716608404,-11.8109010860652,39.52815511508488,43320.0,43935.0,46033.333333333336,45477.10894556773,42392.89105443227,1
2021-08-04,42900,43750,42850,43550,181655,0.009269988412514474,0.009269988412514474,31.901610741827767,43.48609874730474,43280.0,43825.0,45925.833333333336,45129.032208191195,42520.967791808805,1
2021-08-05,43250,43500,43050,43400,115089,-0.003444316877152742,-0.003444316877152742,54.515583838760676,42.36626760071087,43190.0,43760.0,45855.0,45011.63892556919,42508.36107443081,0
2021-08-06,43400,43500,43100,43150,105691,-0.005760368663594417,-0.005760368663594417,56.2139213434848,40.494583857567484,43260.0,43715.0,45779.166666666664,44986.25921825566,42443.74078174434,0
2021-08-09,42850,43100,42600,42700,156286,-0.010428736964078755,-0.010428736964078755,31.822058342664263,37.30024397317253,43190.0,43627.5,45686.666666666664,44924.987957554906,42330.012042445094,0
2021-08-10,43100,43250,42300,42400,212447,-0.007025761124121788,-0.007025761124121788,1.8561455450353606,35.30100513741425,43040.0,43485.0,45599.166666666664,44658.49904132897,42311.50095867103,0
2021-08-11,42450,42850,42000,42250,312576,-0.003537735849056589,-0.003537735849056589,-20.46419197128057,34.310770384309706,42780.0,43350.0,45485.0,44436.278049120025,42263.721950879975,0
2021-08-12,42600,43100,42000,42000,281895,-0.00591715976331364,-0.00591715976331364,-43.1574863942451,32.66608939664705,42500.0,43225.0,45403.333333333336,44328.4038245357,42121.5961754643,0
2021-08-13,42300,42600,41450,41850,251031,-0.0035714285714285587,-0.0035714285714285587,-58.41479196525256,31.684710138412584,42240.0,43117.5,45331.666666666664,44313.0228981496,41921.9771018504,0
2021-08-17,41900,42200,41300,41600,222969,-0.005973715651135025,-0.005973715651135025,-74.46017786814423,30.06359424780311,42020.0,43007.5,45257.5,44329.723506068476,41685.276493931524,0
2021-08-18,41050,42250,40800,41450,197219,-0.0036057692307692735,-0.0036057692307692735,-83.60691542376719,29.101504256961647,41830.0,42910.0,45170.0,44381.25796514412,41438.74203485588,0
