Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,43005,43200,42324,42373,841020,-0.01133950862129307,-0.01133950862129307,179.2364689662553,57.36805107746926,42723.0,41105.55,41314.03333333333,44373.22565556925,37837.874344430755,0
2021-04-02,42421,42616,41740,42373,631474,0.0,0.0,123.97670742450123,57.36805107746926,42625.8,41324.45,41369.98333333333,44303.07669530773,38345.82330469226,0
2021-04-05,42470,43735,42324,43686,1364619,0.030986713237203034,0.030986713237203034,162.0991961048088,64.91291759205501,42781.4,41594.45,41451.86666666667,44396.1575132854,38792.7424867146,1
2021-04-06,43881,44416,43151,43589,1378672,-0.002220390971936048,-0.002220390971936048,166.40106341831518,64.01162271606482,42976.0,41818.2,41520.78333333333,44504.16877122572,39132.231228774275,0
2021-04-07,43978,44027,43443,43784,821495,0.004473605726215357,0.004473605726215357,167.53480563210985,65.06184986245927,43161.0,42093.1,41585.65,44371.19893551614,39815.001064483855,1
2021-04-08,44318,45778,43637,45146,3182819,0.031107253791339273,0.031107253791339273,240.7167637342884,71.3505922323599,43715.6,42414.2,41622.95,44504.9383002183,40323.46169978169,1
2021-04-09,45437,45729,44464,45195,1378196,0.0010853674744162323,0.0010853674744162323,270.8795937891018,71.54900291150562,44280.0,42640.45,41636.73333333333,44899.77587069676,40381.124129303236,1
2021-04-12,44951,45048,44124,44514,762656,-0.015068038499834069,-0.015068038499834069,225.293398435202,64.8292106979593,44445.6,42786.4,41657.816666666666,45132.20318014953,40440.59681985047,0
2021-04-13,44610,45437,43735,44173,2034282,-0.00766051129981582,-0.00766051129981582,155.80340161648041,61.70414913852677,44562.4,42912.9,41668.35,45271.25594429672,40554.544055703285,0
2021-04-14,44756,45145,44027,44903,1132309,0.01652593213048692,0.01652593213048692,142.96735607385506,65.53439707642406,44786.2,43080.75,41722.683333333334,45503.055668159905,40658.444331840095,1
2021-04-15,45389,45681,44902,45146,1001262,0.005411665144867905,0.005411665144867905,134.90874253654863,66.72736948266163,44786.2,43270.5,41777.01666666667,45715.53353760221,40825.46646239779,1
2021-04-16,45535,46313,45097,45876,1450236,0.016169760333141436,0.016169760333141436,161.03869462952548,70.07806845975074,44922.4,43511.35,41809.45,45986.37196151863,41036.32803848137,1
2021-04-19,46410,47189,45875,46557,1256214,0.014844363065655175,0.014844363065655175,203.73349676365,72.8271774816325,45331.0,43749.75,41853.23333333333,46425.622633366445,41073.877366633555,1
2021-04-20,47091,48259,46945,48114,1968191,0.03344287647399957,0.03344287647399957,310.01261756551185,77.84015013833387,46119.2,44048.95,41928.65,47224.92691899664,40872.97308100335,1
2021-04-21,47724,48600,47383,48162,1473926,0.0009976306272603264,0.0009976306272603264,353.5663941796131,77.97505040709478,46771.0,44365.15,42011.35,47842.602474153944,40887.69752584606,1
2021-04-22,48600,48648,47675,47676,992558,-0.010090943067148417,-0.010090943067148417,320.63749749926865,73.12138195094839,47277.0,44625.45,42076.21666666667,48271.77392828714,40979.12607171285,0
2021-04-23,47140,48454,46313,48454,1337708,0.01631848309421935,0.01631848309421935,321.4316594404138,75.72621533443646,47792.6,44905.2,42170.26666666667,48815.4593059795,40994.94069402049,1
2021-04-26,48648,50302,47918,50011,1524532,0.032133569983902266,0.032133569983902266,392.3025022631962,79.92019406272016,48483.4,45260.35,42302.433333333334,49642.322034369834,40878.37796563016,1
2021-04-27,50205,50886,49427,50595,1120492,0.011677430965187696,0.011677430965187696,440.39216071050964,81.23015496428,48979.6,45659.3,42461.36666666667,50440.32658850579,40878.273411494214,1
2021-04-28,50497,52248,50108,51276,1724471,0.013459828046249678,0.013459828046249678,476.8686453498449,82.65144005847873,49602.4,46080.15,42663.26666666667,51265.79211163857,40894.50788836143,1
2021-04-29,51372,53416,51275,52832,1893060,0.030345580778531778,0.030345580778531778,558.9076357686774,85.37619826243791,50633.6,46603.1,42838.4,52274.59722383774,40931.60277616225,1
2021-04-30,52151,52248,48843,49038,2635695,-0.07181253785584496,-0.07181253785584496,322.50533769510093,60.44686201677993,50750.4,46936.35,42954.35,52351.943864942165,41520.75613505783,0
2021-05-03,48551,50010,48113,48843,1444328,-0.003976508014193025,-0.003976508014193025,127.8475255077567,59.485456368521014,50516.8,47194.2,43041.1,52455.07618557966,41933.323814420335,0
2021-05-04,48940,49524,47821,49135,1195606,0.0059783387588805414,0.0059783387588805414,0.3464444281469241,60.49861660805279,50224.8,47471.5,43160.28333333333,52523.53766810969,42419.46233189031,1
2021-05-06,49135,50886,48745,50886,1031264,0.03563651165157222,0.03563651165157222,14.73090061355424,65.99087132014319,50146.8,47826.6,43320.0,52789.55590953609,42863.64409046391,1
2021-05-07,51470,52443,51178,52151,1099703,0.0248594898400345,0.0248594898400345,86.24344649697264,69.31069129201936,50010.6,48176.85,43497.566666666666,53319.14471247994,43034.55528752006,1
2021-05-10,52832,53124,51664,52249,959968,0.0018791585971504876,0.0018791585971504876,115.14218648897554,69.5586068520803,50652.8,48529.55,43672.7,53772.049498330845,43287.05050166916,1
2021-05-11,52443,53416,52151,52638,1079947,0.007445118566862474,0.007445118566862474,134.1250066486166,70.57472773884564,51411.8,48935.75,43856.75,54129.47228271777,43742.02771728223,1
2021-05-12,52637,52832,50108,50692,1238808,-0.03696948972225389,-0.03696948972225389,-3.42233347485967,59.81777989500474,51723.2,49261.7,44003.51666666667,54018.78974479135,44504.610255208645,0
2021-05-13,49135,51567,48843,50108,1132213,-0.011520555511717823,-0.011520555511717823,-144.94182840527446,57.00949145029256,51567.6,49521.95,44141.35,53846.59729082026,45197.302709179734,0
2021-05-14,51178,51567,50302,50497,594723,0.007763231420132577,0.007763231420132577,-219.10736860087582,58.41011236513418,51236.8,49789.5,44297.01666666667,53633.53420900478,45945.46579099522,1
2021-05-17,50983,51956,50302,51178,709587,0.013485949660375862,0.013485949660375862,-228.03472681318613,60.816854260868254,51022.6,50054.6,44481.066666666666,53492.32845931714,46616.871540682856,1
2021-05-18,51859,52540,51567,52346,834766,0.022822306459806985,0.022822306459806985,-164.00513001443323,64.6005696290424,50964.2,50344.05,44672.416666666664,53519.94568311036,47168.154316889646,1
2021-05-20,51956,52832,51567,51762,665328,-0.011156535360868025,-0.011156535360868025,-169.03881063633025,61.407591727798916,51178.2,50526.45,44863.76666666667,53585.98038716712,47466.91961283288,0
2021-05-21,52248,52637,50691,51178,794469,-0.011282407944051664,-0.011282407944051664,-216.71086806903963,58.304149174153835,51392.2,50677.25,45038.083333333336,53547.18769096107,47807.31230903893,0
2021-05-24,51178,52248,50108,51762,606854,0.011411153229903492,0.011411153229903492,-213.5758267757103,60.45635135518524,51645.2,50881.55,45244.833333333336,53431.731285712645,48331.36871428736,1
2021-05-25,52443,52443,50302,50692,969745,-0.02067153510297126,-0.02067153510297126,-283.82785778622383,54.86821876179446,51548.0,50993.45,45415.916666666664,53291.693718581424,48695.20628141857,0
2021-05-26,50789,51859,50399,51470,735419,0.015347589363213121,0.015347589363213121,-277.8128125859789,57.91428917698361,51372.8,51066.4,45628.35,53327.59785954237,48805.20214045763,1
2021-05-27,52054,55167,52054,54778,3895914,0.06427044880512911,0.06427044880512911,-62.21847911008422,67.85017626779317,51976.0,51275.55,45892.666666666664,54041.19498625529,48509.90501374472,1
2021-05-28,54291,54778,53708,54584,1120279,-0.003541567782686439,-0.003541567782686439,50.08663062784194,66.85335770271021,52657.2,51440.95,46149.7,54560.00943995926,48321.89056004073,0
2021-05-31,54583,55848,53416,55849,1317357,0.023175289462113335,0.023175289462113335,184.76065049102885,69.95318216081304,53474.6,51591.8,46433.48333333333,55216.25662686134,47967.34337313867,1
2021-06-01,56043,56237,55070,55459,893592,-0.0069831151855896945,-0.0069831151855896945,220.35589468949433,67.84657172354069,54428.0,51912.85,46724.55,55709.04042067163,48116.65957932837,0
2021-06-02,55459,56918,54681,55849,1272051,0.007032222001839283,0.007032222001839283,241.26006237730212,68.8565863292477,55303.8,52263.15,47017.26666666667,56153.404607348864,48372.89539265114,1
2021-06-03,55945,56043,54000,54778,1485676,-0.019176708625042505,-0.019176708625042505,158.07282958732003,63.003627476044166,55303.8,52545.3,47278.333333333336,56303.42134450168,48787.17865549833,0
2021-06-04,54194,55362,54097,54584,930949,-0.003541567782686439,-0.003541567782686439,69.61174698124546,61.97596564234444,55303.8,52730.2,47549.96666666667,56507.41170177144,48952.988298228556,0
2021-06-07,54875,55264,54097,54778,879152,0.0035541550637550046,0.0035541550637550046,7.0849879160000455,62.63236027785705,55089.6,52861.55,47817.53333333333,56730.64800728789,48992.451992712115,1
2021-06-08,54972,57405,54681,56238,2057497,0.026653035890320975,0.026653035890320975,44.86813071812389,67.21872399413778,55245.4,53061.0,48077.0,57186.02576961637,48935.97423038363,1
2021-06-09,56335,56432,55167,55362,786949,-0.015576656353355367,-0.015576656353355367,-5.637404318253857,62.279551052723775,55148.0,53197.2,48306.45,57435.68678657833,48958.713213421666,0
2021-06-10,55167,55167,53708,54292,1415138,-0.019327336440157494,-0.019327336440157494,-121.20076658068206,56.79042225122472,55050.8,53377.2,48517.26666666667,57478.38059100049,49276.019408999506,0
2021-06-11,54291,54486,53513,54097,940441,-0.00359168938333454,-0.00359168938333454,-215.36639525575515,55.824770763950795,54953.4,53576.65,48726.45,57401.130318945194,49752.16968105481,0
2021-06-14,54291,54681,53610,54195,647542,0.001811560715011984,0.001811560715011984,-271.99458212727995,56.22760077216901,54836.8,53761.55,48940.51666666667,57320.97694685523,50202.12305314477,1
2021-06-15,54194,54194,52637,52832,1443659,-0.025149921579481482,-0.025149921579481482,-394.74416073408975,49.47072763364525,54155.6,53844.25,49136.73333333333,57232.46922991992,50456.03077008008,0
2021-06-16,52735,53513,52735,52930,882380,0.0018549364021804848,0.0018549364021804848,-458.3653023232546,49.93656227770569,53669.2,53873.45,49322.416666666664,57219.31894393656,50527.581056063435,1
2021-06-17,52637,53221,52248,53222,565799,0.005516720196485858,0.005516720196485858,-468.1654257045011,51.374995976410744,53455.2,53946.45,49507.28333333333,57166.19473988221,50726.705260117786,1
2021-06-18,54097,54486,53027,53319,916423,0.0018225545826913159,0.0018225545826913159,-455.09523963696574,51.8697178972447,53299.6,54053.5,49698.63333333333,57031.21607108522,51075.78392891478,1
2021-06-21,53416,53999,52637,53416,755033,0.0018192389204598758,0.0018192389204598758,-427.33829332214464,52.39135919899641,53143.8,54136.2,49881.066666666666,56941.64517679444,51330.754823205556,1
2021-06-22,53708,53902,53318,53805,537825,0.00728246218361539,0.00728246218361539,-372.22228695927265,54.52016007707626,53338.4,54291.85,50063.5,56620.59449221017,51963.10550778983,1
2021-06-23,54097,54291,52540,52638,743582,-0.021689434067465818,-0.021689434067465818,-401.29933893525106,47.63822228580717,53280.0,54350.25,50225.666666666664,56439.24141932159,52261.25858067841,0
2021-06-24,52735,53027,51664,52735,887548,0.001842775181427836,0.001842775181427836,-400.04253224182946,48.223246707477365,53182.6,54248.1,50394.316666666666,56440.66907758894,52055.53092241106,1
2021-06-25,53416,55264,53318,54195,1696057,0.027685597800322315,0.027685597800322315,-291.9436808478313,56.16236904755917,53357.8,54228.65,50583.25,56415.850061722565,52041.44993827744,1
2021-06-28,54972,56724,54486,56627,2065823,0.044874988467570764,0.044874988467570764,-59.848858191279646,65.61925858751819,54000.0,54267.55,50820.816666666666,56592.00713877439,51943.09286122562,1
2021-06-29,57016,57113,55945,56432,949373,-0.0034435869814752884,-0.0034435869814752884,70.28484773431785,64.41928180597657,54525.4,54316.2,51055.13333333333,56775.20220414688,51857.19779585311,0
2021-06-30,56627,57989,55654,56724,1260137,0.00517436915225411,0.00517436915225411,160.6084860017146,65.43849968682812,55342.6,54359.95,51272.433333333334,56953.91233395923,51765.98766604076,1
2021-07-01,57308,57600,56140,56238,823532,-0.008567801988576318,-0.008567801988576318,171.22882906190353,62.242704906801634,56043.2,54432.95,51483.25,57149.15797988653,51716.74202011347,0
2021-07-02,56335,58864,56237,58378,1859574,0.03805256232440701,0.03805256232440701,298.5308749108691,69.34248219989513,56879.8,54622.65,51726.48333333333,57838.542117282435,51406.75788271757,1
2021-07-05,58572,58962,57697,58573,858872,0.003340299427866622,0.003340299427866622,367.48759959169183,69.89793311864696,57269.0,54812.4,51950.26666666667,58461.25847355024,51163.541526449764,1
2021-07-06,58864,60227,58086,58281,1153185,-0.004985232103528969,-0.004985232103528969,364.34300099390384,67.91367193732327,57638.8,54914.55,52168.36666666667,58822.516196117795,51006.58380388221,0
2021-07-07,57891,58281,57405,57600,851541,-0.011684768620991437,-0.011684768620991437,290.51605223118077,63.39376015405471,57814.0,55026.45,52386.46666666667,59103.752955386,50949.147044613994,0
2021-07-08,57210,57891,55945,56141,1274428,-0.02532986111111113,-0.02532986111111113,125.94461907861614,54.95509806434414,57794.6,55118.9,52585.933333333334,59209.22668132992,51028.57331867008,0
2021-07-09,55167,56043,54583,55557,1183221,-0.010402379722484478,-0.010402379722484478,-31.323189831852915,51.972836426083894,57230.4,55191.9,52763.5,59258.71530930524,51125.08469069476,0
2021-07-12,56140,56432,55459,56141,732147,0.010511726695106027,0.010511726695106027,-101.15856692156922,54.62464675171219,56744.0,55289.2,52946.75,59349.06623424953,51229.33376575047,1
2021-07-13,56724,57600,56432,56919,622028,0.013857964767282294,0.013857964767282294,-99.92091611227215,57.955220334390354,56471.6,55493.55,53130.8,59448.18795940912,51538.91204059088,1
2021-07-14,56529,56821,55945,56141,518159,-0.01366854653103533,-0.01366854653103533,-153.27349295033605,53.70965018487747,56179.8,55654.1,53290.53333333333,59436.36608794246,51871.83391205754,0
2021-07-15,56335,56627,55848,56043,496517,-0.0017456048164442572,-0.0017456048164442572,-194.2999839600069,53.18116541975423,56160.2,55795.15,53422.683333333334,59410.835676327464,52179.46432367254,0
2021-07-16,55751,57113,55459,56822,602602,0.013900041039915711,0.013900041039915711,-169.03910658223754,56.81842805906207,56413.2,55970.3,53567.01666666667,59425.020428630894,52515.57957136911,1
2021-07-19,56237,56627,55751,56043,520371,-0.013709478723029855,-0.013709478723029855,-202.59745374364195,52.43177482207966,56393.6,56101.65,53706.46666666667,59351.6114320788,52851.68856792121,0
2021-07-20,55362,56335,55264,55946,588530,-0.0017308138393733463,-0.0017308138393733463,-227.27796001574075,51.894514823547645,56199.0,56208.7,53831.333333333336,59285.441074578695,53131.9589254213,0
2021-07-21,56237,56627,55264,55265,583137,-0.012172452007292778,-0.012172452007292778,-281.85171791442247,48.16317249556643,56023.8,56340.05,53918.9,58990.60816574541,53689.49183425459,0
2021-07-22,55654,56140,55264,55751,340217,0.008793992581199728,0.008793992581199728,-277.1835294831403,50.87771140907395,55965.4,56490.85,54004.833333333336,58589.56744405952,54392.13255594048,1
2021-07-23,55945,55945,52735,53805,2088211,-0.03490520349410775,-0.03490520349410775,-390.2011520232427,41.505280266700176,55362.0,56471.35,54046.98333333333,58660.33755364203,54282.36244635797,0
2021-07-26,53513,54194,52345,52541,1388274,-0.023492240498094952,-0.023492240498094952,-526.6443963221814,36.7674729545616,54661.6,56267.05,54042.13333333333,59043.630160917324,53490.46983908268,0
