Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,94200,94900,93000,93200,47470,-0.008510638297872353,-0.008510638297872353,308.59415145314574,47.50047240229169,93680.0,92965.0,97555.0,95999.64989743446,89930.35010256554,0
2021-04-02,93200,94000,92600,93000,44286,-0.0021459227467811592,-0.0021459227467811592,268.685331101973,46.79703944929385,93440.0,93040.0,97538.33333333333,95999.32424718869,90080.67575281131,0
2021-04-05,92500,92700,92000,92500,41792,-0.005376344086021501,-0.005376344086021501,205.3145521734084,45.002765803261,93260.0,93160.0,97511.66666666667,95811.33928421071,90508.66071578929,0
2021-04-06,92600,93700,92300,93000,60976,0.00540540540540535,0.00540540540540535,193.90998351127837,47.18360545113682,93140.0,93270.0,97480.0,95693.30353030712,90846.69646969288,1
2021-04-07,93300,93300,92400,92600,42764,-0.004301075268817178,-0.004301075268817178,157.79681751350222,45.6249158726834,92860.0,93260.0,97315.0,95692.61176516085,90827.38823483915,0
2021-04-08,93100,93100,92000,92900,77570,0.003239740820734305,0.003239740820734305,152.40260703283082,47.03803427080187,92800.0,93250.0,97221.66666666667,95686.80118187738,90813.19881812262,1
2021-04-09,92500,93800,92300,93000,79910,0.0010764262648008671,0.0010764262648008671,153.43432703928988,47.527557514224576,92800.0,93085.0,97133.33333333333,95080.26940536834,91089.73059463166,1
2021-04-12,93000,93600,92300,93400,51551,0.004301075268817289,0.004301075268817289,177.23520259395355,49.536783672935464,92980.0,93020.0,96965.0,94880.75253593779,91159.24746406221,1
2021-04-13,93500,96200,93400,95200,187273,0.01927194860813697,0.01927194860813697,303.0004369757422,57.43528154950564,93420.0,93030.0,96635.0,94934.83595094143,91125.16404905857,1
2021-04-14,95200,95500,94500,95300,73224,0.0010504201680672232,0.0010504201680672232,376.901506912433,57.83017826524272,93960.0,93095.0,96281.66666666667,95205.42649717988,90984.57350282012,1
2021-04-15,95300,98100,94500,97700,194665,0.025183630640083887,0.025183630640083887,560.3426991559714,65.98629787238525,94920.0,93310.0,96101.66666666667,96224.0350032213,90395.9649967787,1
2021-04-16,98600,98700,97100,97400,99142,-0.0030706243602866,-0.0030706243602866,629.2404008322771,64.31186545181399,95800.0,93550.0,95908.33333333333,96942.04952794015,90157.95047205985,0
2021-04-19,97500,97800,96500,97100,76174,-0.0030800821355235763,-0.0030800821355235763,621.298564171558,62.60113819895773,96540.0,93785.0,95718.33333333333,97464.82336532598,90105.17663467402,0
2021-04-20,97100,98300,97000,98200,78558,0.011328527291452062,0.011328527291452062,653.5401819526403,66.15603515075256,97140.0,94140.0,95538.33333333333,98076.19105227364,90203.80894772636,1
2021-04-21,98000,98000,95800,96000,99142,-0.022403258655804503,-0.022403258655804503,497.19001074357266,54.913539086449546,97280.0,94380.0,95371.66666666667,98151.79002596898,90608.20997403102,0
2021-04-22,96100,96500,95500,95600,67572,-0.004166666666666652,-0.004166666666666652,344.56889242291834,53.145145744150255,96860.0,94565.0,95165.0,98192.27170198197,90937.72829801803,0
2021-04-23,95500,96500,94700,95900,54760,0.003138075313807498,0.003138075313807498,246.17274589313917,54.33295923594965,96560.0,94650.0,95021.66666666667,98318.51468580938,90981.48531419062,1
2021-04-26,96600,98500,96100,98300,106332,0.02502606882168923,0.02502606882168923,320.3778662962236,62.51908662465149,96800.0,94895.0,94926.66666666667,98840.8712599373,90949.1287400627,1
2021-04-27,98400,99500,98000,98300,105174,0.0,0.0,344.9835628154764,62.519086624651486,96820.0,95130.0,94936.66666666667,99293.21990771557,90966.78009228443,0
2021-04-28,98800,98800,96200,96200,76274,-0.021363173957273607,-0.021363173957273607,202.40804873456386,52.896722033478035,96860.0,95240.0,94971.66666666667,99394.22676318942,91085.77323681058,0
2021-04-29,96200,97600,95500,96400,67349,0.0020790020790020236,0.0020790020790020236,108.83993262538002,53.62872626794578,97020.0,95400.0,94961.66666666667,99473.32787779221,91326.67212220779,1
