Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,7710,7730,7420,7510,2617179,-0.02213541666666663,-0.02213541666666663,73.1494289499237,65.45419435362618,7592.0,7051.0,6862.5,7703.6530471851,6398.3469528149,0
2021-04-02,7560,7560,7290,7450,2920288,-0.007989347536617841,-0.007989347536617841,56.61255591420374,62.69168001342036,7572.0,7082.5,6875.333333333333,7748.198880876329,6416.801119123671,0
2021-04-05,7460,7570,7450,7560,1659398,0.014765100671140896,0.014765100671140896,49.0325126300049,65.56139477459337,7542.0,7123.0,6888.833333333333,7801.294921107328,6444.705078892672,1
2021-04-06,7640,7670,7500,7500,1326398,-0.007936507936507908,-0.007936507936507908,36.503037242272654,62.72718441323164,7540.0,7161.0,6901.166666666667,7834.346864550505,6487.653135449495,0
2021-04-07,7500,7530,7400,7480,1307268,-0.002666666666666706,-0.002666666666666706,23.997678249306148,61.76863320865571,7500.0,7197.5,6914.666666666667,7856.768534058768,6538.231465941232,0
2021-04-08,7560,7650,7450,7610,2600345,0.017379679144384985,0.017379679144384985,21.680940537592903,65.46301661442155,7520.0,7241.0,6932.0,7888.484362745538,6593.515637254462,1
2021-04-09,7680,7690,7540,7560,1708615,-0.006570302233902758,-0.006570302233902758,14.335085741381334,62.943683304547406,7542.0,7281.0,6948.0,7903.025722940776,6658.974277059224,0
2021-04-12,7580,7650,7460,7650,1404232,0.011904761904761862,0.011904761904761862,13.123960008040513,65.51622049815624,7560.0,7321.0,6964.5,7929.765964883054,6712.234035116946,1
2021-04-13,7670,7680,7580,7660,1492704,0.0013071895424836555,0.0013071895424836555,10.686127549110637,65.80031556068545,7592.0,7358.0,6981.5,7954.610425654794,6761.389574345206,1
2021-04-14,7700,7870,7620,7690,2726561,0.003916449086161844,0.003916449086161844,8.859211715752878,66.68699885130867,7634.0,7395.5,7000.833333333333,7976.377784047552,6814.622215952448,1
2021-04-15,7730,7760,7610,7610,1306005,-0.01040312093628093,-0.01040312093628093,0.4708415792248388,62.06582434179252,7634.0,7427.0,7018.666666666667,7982.0891820239285,6871.9108179760715,0
2021-04-16,7630,7650,7500,7610,1536908,0.0,0.0,-6.486048812144048,62.06582434179252,7644.0,7459.0,7031.5,7977.609679817099,6940.390320182901,0
2021-04-19,7660,7880,7560,7840,3038782,0.030223390275952777,0.030223390275952777,2.5118219537114044,69.18567748144233,7682.0,7503.5,7047.666666666667,7991.609618835763,7015.390381164237,1
2021-04-20,7880,7960,7770,7810,1736796,-0.003826530612244916,-0.003826530612244916,4.439827121091895,67.40849063760018,7712.0,7547.0,7064.166666666667,7978.2354345366275,7115.7645654633725,0
2021-04-21,7820,7870,7740,7810,1472381,0.0,0.0,3.73991893108888,67.40849063760018,7736.0,7590.0,7079.5,7938.02298774649,7241.97701225351,0
2021-04-22,7840,7930,7800,7820,1637374,0.001280409731113874,0.001280409731113874,2.059228510108227,67.72895375222448,7778.0,7631.0,7095.333333333333,7866.278558309066,7395.721441690934,1
2021-04-23,7870,7940,7750,7900,1533352,0.010230179028132946,0.010230179028132946,4.314450425659629,70.24922095838141,7836.0,7648.5,7114.833333333333,7907.905088616228,7389.094911383772,1
2021-04-26,7970,8150,7780,7870,2819173,-0.0037974683544304,-0.0037974683544304,1.8886269578796373,68.10136424395607,7842.0,7656.5,7134.833333333333,7932.345971513076,7380.654028486924,0
2021-04-27,7900,7920,7790,7890,1551490,0.0025412960609911828,0.0025412960609911828,-0.1574407665729325,68.78653558898452,7858.0,7675.5,7156.666666666667,7960.559642881964,7390.440357118036,1
2021-04-28,7930,8030,7800,7820,2148696,-0.008871989860583018,-0.008871989860583018,-7.601457601352678,63.63457032752701,7860.0,7682.5,7179.333333333333,7974.450338242641,7390.549661757359,0
2021-04-29,7840,7890,7630,7730,2328198,-0.011508951406649648,-0.011508951406649648,-19.297604716563768,57.65542861311903,7842.0,7693.5,7197.666666666667,7975.015541311652,7411.984458688348,0
2021-04-30,7780,7800,7670,7760,1640346,0.0038809831824062613,0.0038809831824062613,-25.343670552575986,59.03708489211461,7814.0,7709.0,7216.333333333333,7968.453271322588,7449.546728677412,1
2021-05-03,7700,7730,7370,7440,2825900,-0.04123711340206182,-0.04123711340206182,-49.809849125772985,42.941873932889116,7728.0,7703.0,7226.5,7980.856077853252,7425.143922146748,0
2021-05-04,7400,7630,7340,7540,1602829,0.013440860215053752,0.013440860215053752,-57.62189447142782,47.73700788201809,7658.0,7705.0,7240.333333333333,7977.506880647063,7432.493119352937,1
2021-05-06,7540,7580,7470,7550,902335,0.0013262599469496816,0.0013262599469496816,-60.198189218803236,48.205766572463695,7604.0,7708.5,7253.833333333333,7970.97095077359,7446.02904922641,1
2021-05-07,7600,7740,7550,7730,1430715,0.02384105960264904,0.02384105960264904,-48.37155659766577,55.87718186531322,7604.0,7714.5,7266.666666666667,7973.14841000863,7455.85158999137,1
2021-05-10,7780,7920,7760,7840,2116311,0.014230271668822736,0.014230271668822736,-32.49440766278961,59.79610773270088,7620.0,7728.5,7282.666666666667,7982.4507826331555,7474.5492173668445,1
2021-05-11,7810,7850,7710,7820,1697396,-0.0025510204081632404,-0.0025510204081632404,-23.133014925203852,58.773966749505945,7696.0,7737.0,7298.333333333333,7991.251843651117,7482.748156348883,0
2021-05-12,7820,7850,7550,7660,1921563,-0.020460358056266004,-0.020460358056266004,-27.228059731309187,51.22943754091923,7720.0,7737.0,7310.333333333333,7991.251843651117,7482.748156348883,0
2021-05-13,7500,7740,7470,7610,1214622,-0.00652741514360311,-0.00652741514360311,-32.460668604065674,49.10798200186043,7732.0,7733.0,7319.833333333333,7992.545757044865,7473.454242955135,0
2021-05-14,7700,7740,7590,7610,895821,0.0,0.0,-34.86711097118426,49.10798200186043,7708.0,7733.0,7329.5,7992.545757044865,7473.454242955135,0
2021-05-17,7610,7650,7560,7590,820146,-0.0026281208935611255,-0.0026281208935611255,-36.57290131673017,48.18236396531947,7658.0,7732.0,7339.5,7993.579815735068,7470.420184264932,0
2021-05-18,7550,7670,7550,7670,726398,0.010540184453228019,0.010540184453228019,-31.2849927786352,52.07369636655383,7628.0,7723.5,7351.0,7981.513565534823,7465.486434465177,1
2021-05-20,7670,7940,7670,7770,2222491,0.01303780964797907,0.01303780964797907,-20.543112070960774,56.473830165575365,7650.0,7721.5,7365.0,7977.412094282377,7465.587905717623,1
2021-05-21,7800,7810,7640,7670,1146628,-0.012870012870012881,-0.012870012870012881,-19.66260526088363,51.39251106148304,7662.0,7714.5,7377.833333333333,7967.993589662525,7461.006410337475,0
2021-05-24,7640,7680,7580,7670,829080,0.0,0.0,-18.582592748721147,51.39251106148304,7674.0,7707.0,7392.833333333333,7956.407297407258,7457.592702592742,0
2021-05-25,7680,7690,7610,7690,730625,0.0026075619295957697,0.0026075619295957697,-16.1154432039838,52.386224600966365,7694.0,7696.5,7406.833333333333,7929.675899269184,7463.324100730816,1
2021-05-26,7690,7720,7670,7710,575248,0.002600780234070177,0.002600780234070177,-12.871464741564637,53.41191794262323,7702.0,7688.5,7424.5,7907.887784527746,7469.112215472254,1
2021-05-27,7720,7720,7650,7660,745516,-0.006485084306095956,-0.006485084306095956,-13.74853947010061,50.483971539572146,7680.0,7677.0,7440.5,7876.108010888544,7477.891989111456,0
2021-05-28,7660,7690,7620,7650,768444,-0.0013054830287205776,-0.0013054830287205776,-14.578590538889628,49.89486280592162,7676.0,7668.5,7456.0,7856.67810712193,7480.32189287807,0
2021-05-31,7650,7660,7610,7640,684996,-0.0013071895424836555,-0.0013071895424836555,-15.302427883344592,49.27562315572136,7670.0,7664.0,7469.5,7850.375964115528,7477.624035884472,0
2021-06-01,7650,7690,7640,7690,563042,0.00654450261780104,0.00654450261780104,-12.057810615839166,52.45308233316245,7670.0,7660.5,7484.0,7842.101211449683,7478.898788550317,1
2021-06-02,7700,7890,7690,7790,1651966,0.013003901170351106,0.013003901170351106,-3.277565697616268,58.10550808230177,7686.0,7678.0,7501.333333333333,7837.323570133212,7518.676429866788,1
2021-06-03,7840,7870,7790,7790,940350,0.0,0.0,2.137732295310091,58.10550808230177,7712.0,7690.5,7518.833333333333,7843.663311533776,7537.336688466224,0
2021-06-04,7800,7860,7750,7830,987222,0.005134788189987249,0.005134788189987249,7.7079021045557745,60.295208856714304,7748.0,7704.5,7536.833333333333,7854.896143567555,7554.103856432445,1
2021-06-07,7880,8000,7800,8000,2388743,0.02171136653895278,0.02171136653895278,21.361873490488634,67.95990941753575,7820.0,7718.0,7557.833333333333,7916.050498610814,7519.949501389186,1
2021-06-08,8130,8590,8120,8170,7863941,0.02124999999999999,0.02124999999999999,39.318163322509015,73.47436612151742,7916.0,7734.5,7581.333333333333,8010.215433010182,7458.784566989818,1
2021-06-09,8230,8240,8060,8170,1501478,0.0,0.0,48.09114772596186,73.47436612151742,7992.0,7752.0,7603.333333333333,8085.562587830218,7418.437412169782,0
2021-06-10,8170,8340,8090,8200,1795903,0.003671970624234966,0.003671970624234966,52.45324031890371,74.37693785048697,8074.0,7779.0,7624.666666666667,8162.139661220282,7395.860338779718,1
2021-06-11,8230,8270,8160,8250,954018,0.0060975609756097615,0.0060975609756097615,54.97880500791982,75.85174470264698,8158.0,7811.0,7646.5,8236.85913163861,7385.140868361389,1
2021-06-14,8300,8310,8200,8240,1005222,-0.00121212121212122,-0.00121212121212122,52.26650766517575,74.92292056289747,8206.0,7842.5,7667.5,8296.49889867707,7388.501101322931,0
2021-06-15,8250,8500,8200,8360,4113640,0.014563106796116498,0.014563106796116498,54.59057333664035,78.34909794741846,8244.0,7881.0,7690.666666666667,8371.913434324211,7390.08656567579,1
2021-06-16,8370,8580,8260,8520,2390545,0.019138755980861344,0.019138755980861344,62.37778600554631,81.8999739595092,8314.0,7923.5,7716.833333333333,8477.152418038602,7369.847581961398,1
2021-06-17,8520,8650,8420,8450,1922184,-0.008215962441314506,-0.008215962441314506,58.360740547740875,76.02534234708115,8364.0,7957.5,7742.0,8551.330783978054,7363.669216021945,0
2021-06-18,8510,8520,8370,8490,1535621,0.004733727810650956,0.004733727810650956,54.04252203041716,77.03887260168413,8412.0,7998.5,7767.666666666667,8619.862213205784,7377.137786794216,1
2021-06-21,8480,8480,8170,8190,2045876,-0.035335689045936425,-0.035335689045936425,27.940722686884186,57.429446613146396,8402.0,8024.5,7787.5,8632.068103178557,7416.931896821443,0
2021-06-22,8250,8390,8240,8320,1106260,0.015873015873015817,0.015873015873015817,16.931609235104304,61.94930043277502,8394.0,8056.0,7800.333333333333,8656.213295420877,7455.786704579123,1
2021-06-23,8410,8530,8360,8450,1362011,0.015625,0.015625,15.920824262842245,65.85361264707419,8380.0,8093.0,7812.666666666667,8694.567951273993,7491.4320487260065,1
2021-06-24,8460,8470,8360,8400,863170,-0.00591715976331364,-0.00591715976331364,9.706318634092383,63.16890750285397,8370.0,8130.0,7827.5,8711.17123122191,7548.828768778091,0
2021-06-25,8490,8560,8430,8560,1440130,0.01904761904761898,0.01904761904761898,13.935583102877303,67.70596207293667,8384.0,8175.5,7842.166666666667,8741.520317656521,7609.479682343479,1
2021-06-28,8600,8680,8500,8570,2094139,0.001168224299065379,0.001168224299065379,14.884683721944981,67.97152070402893,8460.0,8222.0,7859.833333333333,8756.32574334388,7687.674256656121,1
2021-06-29,8420,8420,8290,8350,1506236,-0.025670945157526215,-0.025670945157526215,-0.9839001185481493,56.8882485510822,8466.0,8255.0,7874.833333333333,8732.304933978257,7777.695066021743,0
2021-06-30,8380,8390,8280,8350,621670,0.0,0.0,-12.519496831813655,56.8882485510822,8446.0,8283.0,7888.0,8711.070087719276,7854.929912280724,0
2021-07-01,8340,8350,8180,8220,1143631,-0.015568862275449069,-0.015568862275449069,-29.00230794684751,51.1701961472194,8410.0,8304.5,7900.0,8669.984609799085,7939.015390200916,0
2021-07-02,8220,8300,8160,8190,802340,-0.0036496350364964014,-0.0036496350364964014,-41.274012502097435,49.9231286832214,8336.0,8322.5,7911.833333333333,8622.291594278406,8022.708405721593,0
2021-07-05,8200,8280,8180,8200,764523,0.0012210012210012167,0.0012210012210012167,-47.61619564147412,50.35742941143992,8262.0,8332.5,7921.666666666667,8600.22187060453,8064.77812939547,1
2021-07-06,8220,8260,8180,8250,955679,0.0060975609756097615,0.0060975609756097615,-47.248168416833295,52.57225988046652,8242.0,8336.5,7933.166666666667,8596.674941145355,8076.325058854645,1
2021-07-07,8260,8280,8150,8210,847714,-0.00484848484848488,-0.00484848484848488,-48.32950554010239,50.62628617583112,8214.0,8338.5,7942.5,8594.099295773656,8082.900704226345,0
2021-07-08,8180,8230,8080,8110,1093151,-0.01218026796589522,-0.01218026796589522,-53.98149778884195,46.03827894761845,8192.0,8334.0,7950.0,8602.059694844243,8065.940305155757,0
