Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,3033,3055,2962,2971,474227,-0.020441806791955175,-0.020441806791955175,8.259033172511714,41.609846381426365,3004.0,3003.65,3168.633333333333,3080.524638210539,2926.7753617894614,0
2021-04-02,2971,3002,2957,2976,156578,0.0016829350387075337,0.0016829350387075337,6.542572063358122,42.27678636422815,2999.6,3001.65,3159.516666666667,3079.2135868175346,2924.0864131824655,1
2021-04-05,2975,2975,2931,2931,248072,-0.015120967741935498,-0.015120967741935498,2.6121513931631313,38.0629578029105,2988.8,2996.95,3149.133333333333,3079.5150652516018,2914.384934748398,0
2021-04-06,2931,2948,2833,2856,526853,-0.025588536335721557,-0.025588536335721557,-4.420380628063768,32.28686450818432,2953.4,2991.4,3138.016666666667,3093.80976515939,2888.9902348406104,0
2021-04-07,2855,2913,2846,2904,217411,0.01680672268907557,0.01680672268907557,-5.168951405797188,38.698481293216936,2927.6,2990.05,3129.0333333333333,3096.2507062123477,2883.8492937876526,1
2021-04-08,2904,2997,2900,2989,292075,0.029269972451790638,0.029269972451790638,0.4334189475327648,48.074851598611495,2931.2,2992.05,3123.1,3096.5765038160243,2887.523496183976,1
2021-04-09,2993,2993,2926,2953,207151,-0.012044161927065922,-0.012044161927065922,1.9998254808482443,44.93967706717396,2926.6,2989.8,3116.133333333333,3095.646303667164,2883.9536963328364,0
2021-04-12,2975,2980,2935,2958,170443,0.0016931933626820328,0.0016931933626820328,3.5664206722804934,45.471563608918935,2932.0,2988.45,3107.016666666667,3095.1916975694194,2881.7083024305803,1
2021-04-13,2948,3069,2948,3029,350832,0.024002704530087904,0.024002704530087904,9.254847820195288,52.48997095620731,2966.6,2989.55,3099.75,3097.480486888559,2881.6195131114414,1
2021-04-14,3029,3033,2988,3011,180625,-0.005942555298778518,-0.005942555298778518,11.527696884487952,50.70803873959019,2988.0,2988.0,3092.9333333333334,3093.741193486746,2882.258806513254,0
2021-04-15,3015,3015,2980,3011,163848,0.0,0.0,12.663025268758918,50.70803873959019,2992.4,2984.9,3087.516666666667,3083.9129284487713,2885.887071551229,0
2021-04-16,3033,3042,2993,3011,203112,0.0,0.0,12.997000342231505,50.70803873959019,3004.0,2981.8,3081.65,3073.173081375214,2890.426918624786,0
2021-04-19,3011,3193,3002,3131,1531137,0.03985386914646294,0.03985386914646294,20.439692025386606,61.57077556997253,3038.6,2985.8,3077.266666666667,3094.333128582942,2877.266871417058,1
2021-04-20,3153,3175,3140,3158,571318,0.008623442989460273,0.008623442989460273,25.96620243657559,63.51882162059897,3064.4,2993.8,3070.883333333333,3125.800909087784,2861.7990909122163,1
2021-04-21,3149,3451,3109,3403,2469737,0.07758074730842313,0.07758074730842313,43.85504722569121,75.60381693861181,3142.8,3015.6,3071.266666666667,3236.66234414753,2794.53765585247,1
2021-04-22,3562,3682,3464,3625,5069455,0.06523655598001765,0.06523655598001765,66.98684010951771,81.56354682512851,3265.6,3048.3,3075.4166666666665,3392.4907029540464,2704.109297045954,1
2021-04-23,3580,3691,3536,3634,2155909,0.0024827586206896957,0.0024827586206896957,78.44636552806367,81.758104724969,3390.2,3080.1,3080.1666666666665,3507.329633803649,2652.870366196351,1
2021-04-26,3625,3625,3518,3549,1335320,-0.023390203632360995,-0.023390203632360995,75.81155703639442,73.83336089304082,3473.8,3108.3,3085.133333333333,3578.947256445844,2637.6527435541566,0
2021-04-27,3544,3731,3398,3701,2460317,0.042828965905888916,0.042828965905888916,79.43281056857201,77.94943739058183,3582.4,3141.7,3094.9166666666665,3676.6497546499104,2606.7502453500892,1
2021-04-28,3709,3785,3602,3692,2884411,-0.0024317751958929934,-0.0024317751958929934,76.3297231657054,77.1753363897392,3640.2,3174.65,3106.483333333333,3757.772036969963,2591.527963030037,0
2021-04-29,3727,3740,3576,3629,987336,-0.017063921993499487,-0.017063921993499487,65.55449338098784,71.80015932123514,3641.0,3207.55,3116.55,3814.7516057291014,2600.348394270899,0
2021-04-30,3638,3647,3504,3572,749504,-0.015706806282722474,-0.015706806282722474,50.7688627681418,67.23723683431302,3628.6,3237.35,3124.3333333333335,3854.588454732041,2620.1115452679587,0
2021-05-03,3638,3638,3478,3496,432853,-0.021276595744680882,-0.021276595744680882,32.91642967915172,61.614781476624884,3618.0,3265.6,3130.7,3875.8466386634163,2655.3533613365835,0
