Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,3765,3820,3765,3805,459134,-0.001312335958005284,-0.001312335958005284,-7.493814446182853,38.311453109275405,3818.0,3879.75,3940.4166666666665,3996.5179322416902,3762.9820677583098,0
2021-04-02,3785,3845,3785,3830,374113,0.006570302233902758,0.006570302233902758,-4.31934534002707,42.249232867525635,3820.0,3873.75,3942.6666666666665,3987.762060765517,3759.737939234483,1
2021-04-05,3835,3840,3790,3825,280801,-0.0013054830287205776,-0.0013054830287205776,-2.078351613485097,41.67623886089226,3820.0,3868.75,3944.5833333333335,3982.1023268398135,3755.3976731601865,0
2021-04-06,3830,3850,3775,3810,383552,-0.0039215686274509665,-0.0039215686274509665,-1.1733584191150825,39.92678871336559,3816.0,3863.25,3943.4166666666665,3976.79624608502,3749.70375391498,0
2021-04-07,3800,3810,3775,3795,252257,-0.003937007874015741,-0.003937007874015741,-1.150511393175762,38.19991669639276,3813.0,3858.25,3942.0,3974.5373595882197,3741.9626404117803,0
2021-04-08,3775,3805,3755,3760,363638,-0.00922266139657446,-0.00922266139657446,-2.9555052026135087,34.45525407292587,3804.0,3849.5,3942.6666666666665,3967.6905241548575,3731.3094758451425,0
2021-04-09,3755,3790,3750,3770,218034,0.0026595744680850686,0.0026595744680850686,-2.933002412413778,36.374360584297385,3792.0,3842.0,3943.1666666666665,3960.380741677014,3723.619258322986,1
2021-04-12,3765,3800,3735,3800,324192,0.007957559681697646,0.007957559681697646,-0.4832016093634621,41.87288202975934,3787.0,3836.25,3943.6666666666665,3951.005174175285,3721.494825824715,1
2021-04-13,3805,3805,3770,3805,247955,0.001315789473684159,0.001315789473684159,1.7652196761321122,42.760735388217746,3786.0,3830.0,3942.5,3937.004672795163,3722.995327204837,1
2021-04-14,3790,3820,3770,3820,340814,0.003942181340341744,0.003942181340341744,4.403707567736454,45.452536391267394,3791.0,3824.5,3941.6666666666665,3921.190227013902,3727.809772986098,1
2021-04-15,3820,3820,3790,3810,297587,-0.002617801047120394,-0.002617801047120394,5.542889220264186,43.96803904301718,3801.0,3818.25,3942.75,3900.6681412068965,3735.8318587931035,0
2021-04-16,3795,3815,3790,3800,333657,-0.002624671916010457,-0.002624671916010457,5.669983618149288,42.47410899163616,3807.0,3811.5,3942.9166666666665,3874.3569805192706,3748.6430194807294,0
2021-04-19,3790,3810,3780,3805,429079,0.001315789473684159,0.001315789473684159,6.100400751541443,43.507672862712006,3808.0,3806.0,3942.4166666666665,3847.1825205639475,3764.8174794360525,1
2021-04-20,3800,4020,3790,3905,1665517,0.026281208935611033,0.026281208935611033,12.747145537229713,59.26954778123077,3828.0,3809.5,3940.0833333333335,3868.1429876455827,3750.8570123544173,1
2021-04-21,3900,3905,3825,3865,510330,-0.010243277848911658,-0.010243277848911658,13.978204462572478,52.910331856458676,3837.0,3812.75,3935.4166666666665,3875.954034681339,3749.545965318661,0
2021-04-22,3845,3880,3800,3860,496913,-0.001293661060802087,-0.001293661060802087,13.95204134497385,52.157012098098406,3847.0,3817.5,3929.3333333333335,3879.9099351065192,3755.0900648934808,0
2021-04-23,3860,3880,3805,3855,338691,-0.0012953367875647714,-0.0012953367875647714,13.107447796722226,51.36937200863384,3858.0,3819.25,3923.9166666666665,3883.769376934375,3754.730623065625,0
2021-04-26,3895,4010,3885,3990,1034961,0.035019455252918386,0.035019455252918386,20.69875130917353,66.20761314594367,3895.0,3827.5,3920.4166666666665,3926.0646995632815,3728.9353004367185,1
2021-04-27,4000,4035,3975,4015,539231,0.006265664160401085,0.006265664160401085,26.11244333352843,68.14594526472297,3917.0,3836.75,3920.5833333333335,3964.8232212447238,3708.6767787552762,1
2021-04-28,4020,4075,3935,3965,570987,-0.012453300124533051,-0.012453300124533051,25.03161565618495,60.65263560056636,3937.0,3844.5,3923.75,3983.456827827926,3705.543172172074,0
2021-04-29,3940,4005,3935,3980,405549,0.003783102143757988,0.003783102143757988,24.02790365509363,62.00251344216291,3961.0,3853.25,3924.8333333333335,4002.7918001764056,3703.7081998235944,1
2021-04-30,4005,4060,3980,4040,556852,0.015075376884422065,0.015075376884422065,25.94217292657078,66.89487679396692,3998.0,3863.75,3925.0833333333335,4033.422478616893,3694.077521383107,1
2021-05-03,4010,4025,3915,3945,430446,-0.023514851485148536,-0.023514851485148536,19.634161819212615,54.85238433968707,3989.0,3869.75,3923.4166666666665,4041.984578409795,3697.515421590205,0
2021-05-04,3945,4025,3935,3995,674052,0.012674271229404344,0.012674271229404344,17.712072055375646,59.03255040329962,3985.0,3879.0,3924.25,4057.1740721878464,3700.8259278121536,1
2021-05-06,4005,4080,3995,4045,725140,0.01251564455569465,0.01251564455569465,18.599382546766996,62.74707919076099,4001.0,3891.5,3924.25,4079.1725872363886,3703.8274127636114,1
2021-05-07,4035,4130,4030,4125,755537,0.01977750309023496,0.01977750309023496,23.073194568275575,67.78075083065534,4030.0,3909.75,3924.0,4113.059493137925,3706.440506862075,1
2021-05-10,4125,4535,4110,4480,2666990,0.08606060606060617,0.08606060606060617,47.057700720198795,80.42245871308792,4118.0,3945.25,3928.9166666666665,4257.379380225572,3633.1206197744277,1
2021-05-11,4505,5500,4500,5120,11106389,0.1428571428571428,0.1428571428571428,100.09460469240594,88.88760325501673,4353.0,4011.25,3944.5833333333335,4604.367821347496,3418.132178652504,1
2021-05-12,5110,5920,4995,5660,7214236,0.10546875,0.10546875,161.95080440142155,92.02207649557326,4686.0,4104.0,3970.4166666666665,5027.334175691553,3180.6658243084466,1
2021-05-13,5630,5770,5420,5460,3064885,-0.035335689045936425,-0.035335689045936425,178.4979737512655,82.71598741039874,4969.0,4186.0,3993.0833333333335,5271.018893844711,3100.981106155289,0
2021-05-14,5570,5980,5410,5680,2702780,0.04029304029304037,0.04029304029304037,192.17547650835814,84.56507342184256,5280.0,4279.5,4020.25,5528.671325319309,3030.3286746806907,1
2021-05-17,5570,5600,4755,4790,5667051,-0.15669014084507038,-0.15669014084507038,132.0617169225947,57.68090472090297,5342.0,4329.0,4033.4166666666665,5576.704291889709,3081.2957081102913,0
2021-05-18,4885,4980,4710,4750,1542254,-0.008350730688935326,-0.008350730688935326,82.79230516421404,56.80680572940253,5268.0,4376.25,4045.75,5612.522118103454,3139.977881896546,0
2021-05-20,4680,4810,4670,4750,871710,0.0,0.0,45.26671065440115,56.80680572940253,5086.0,4418.5,4058.0833333333335,5645.182925616885,3191.817074383115,0
2021-05-21,4715,4720,4510,4565,1540781,-0.03894736842105262,-0.03894736842105262,5.159627156390172,52.53639245093531,4907.0,4453.5,4067.3333333333335,5654.695654337794,3252.3043456622063,0
2021-05-24,4555,4645,4455,4645,812394,0.017524644030668224,0.017524644030668224,-17.563082959188023,54.141814938574214,4700.0,4492.75,4079.0833333333335,5664.754586168501,3320.745413831499,1
2021-05-25,4610,4780,4565,4710,780000,0.013993541442411273,0.013993541442411273,-29.11567775673376,55.460030888435654,4684.0,4535.5,4090.5,5673.207783220278,3397.792216779722,1
2021-05-26,4755,4970,4750,4780,1285434,0.014861995753715496,0.014861995753715496,-32.676005726793534,56.89699722025872,4690.0,4575.0,4103.916666666667,5688.813269807825,3461.1867301921748,1
2021-05-27,4810,4980,4770,4890,944350,0.023012552301255207,0.023012552301255207,-28.413115630536538,59.128495879713576,4718.0,4618.75,4118.25,5709.643555760597,3527.8564442394027,1
