Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,6200,6210,5870,5990,11371656,-0.02917341977309562,-0.02917341977309562,-86.98252245587042,47.514133535221276,6342.0,6341.0,5487.0,6949.6016759753375,5732.3983240246625,0
2021-04-02,6120,6130,5970,6090,5149216,0.016694490818029983,0.016694490818029983,-96.09869340870324,49.448428171345256,6194.0,6324.0,5498.0,6940.649008756189,5707.350991243811,1
2021-04-05,6090,6250,6010,6210,5855828,0.019704433497536922,0.019704433497536922,-91.43934461348331,51.746557615029836,6144.0,6310.5,5516.166666666667,6924.714132041904,5696.285867958096,1
2021-04-06,6280,6330,6220,6240,3791793,0.004830917874396157,0.004830917874396157,-83.92519866034104,52.33001551654234,6140.0,6332.0,5535.5,6903.230251299763,5760.769748700237,1
2021-04-07,6260,6280,6070,6160,4403842,-0.012820512820512775,-0.012820512820512775,-81.84428561850055,50.57386871545141,6138.0,6337.0,5554.916666666667,6900.31518708445,5773.68481291555,0
2021-04-08,6180,6190,6030,6190,4948218,0.004870129870129913,0.004870129870129913,-76.07141990418489,51.234769377576455,6178.0,6340.0,5576.083333333333,6899.499776586184,5780.500223413816,1
2021-04-09,6160,6180,6040,6040,3483935,-0.024232633279482996,-0.024232633279482996,-79.60093027327599,47.79361514308148,6168.0,6322.5,5595.75,6896.359738960654,5748.640261039346,0
2021-04-12,6010,6130,5950,6020,3335547,-0.0033112582781457123,-0.0033112582781457123,-80.29824407068412,47.33709038726605,6130.0,6311.5,5614.083333333333,6899.522958735448,5723.477041264552,0
2021-04-13,6080,6270,6070,6140,5932007,0.019933554817275656,0.019933554817275656,-70.06634870883605,50.39852491871531,6110.0,6312.0,5633.583333333333,6899.421484115102,5724.578515884898,1
2021-04-14,6150,6170,6050,6070,3292565,-0.01140065146579805,-0.01140065146579805,-65.48627038588904,48.62285570160315,6092.0,6315.0,5655.5,6896.807528311546,5733.192471688454,0
2021-04-15,6130,6160,5910,5970,4874952,-0.016474464579901205,-0.016474464579901205,-66.45401022075394,46.12281712934602,6048.0,6307.5,5678.333333333333,6902.878031170105,5712.121968829895,0
2021-04-16,6070,6470,6030,6340,18422951,0.06197654941373543,0.06197654941373543,-40.70252035072126,55.28407090134447,6108.0,6309.0,5703.583333333333,6904.5468075642675,5713.4531924357325,1
2021-04-19,6450,6590,6380,6510,11364342,0.02681388012618302,0.02681388012618302,-12.224634076842122,58.754318031166605,6206.0,6286.0,5732.25,6808.738940581234,5763.261059418766,1
2021-04-20,6600,6660,6430,6520,6384570,0.001536098310291889,0.001536098310291889,6.286282990962604,58.956100079712485,6282.0,6268.5,5754.25,6731.9339219349295,5805.0660780650705,1
2021-04-21,6470,6480,6270,6280,4773359,-0.036809815950920255,-0.036809815950920255,1.61098032721047,52.33821975226871,6324.0,6252.5,5773.583333333333,6690.444060354734,5814.555939645266,0
2021-04-22,6510,7070,6510,6970,38969920,0.10987261146496818,0.10987261146496818,41.99484701903806,64.6306924390068,6524.0,6273.0,5803.583333333333,6796.606722645909,5749.393277354091,1
2021-04-23,6880,7350,6860,7000,26316069,0.004304160688665792,0.004304160688665792,66.2885662279111,65.05271846855146,6656.0,6281.5,5837.666666666667,6844.9988908595915,5718.0011091404085,1
2021-04-26,7300,7690,7230,7430,36006283,0.06142857142857139,0.06142857142857139,104.59975628386215,70.48822366732941,6840.0,6330.0,5879.666666666667,7082.037233120801,5577.962766879199,1
2021-04-27,7620,7620,7360,7470,12176499,0.0053835800807537915,0.0053835800807537915,124.56119672243597,70.94099967497526,7030.0,6390.5,5925.416666666667,7290.4216632574135,5490.5783367425865,1
2021-04-28,7500,7790,7300,7400,18236995,-0.009370816599732268,-0.009370816599732268,124.67111471864271,68.94744137261227,7254.0,6452.0,5972.916666666667,7446.396299269053,5457.603700730947,0
2021-04-29,7350,7540,7100,7210,10466431,-0.025675675675675635,-0.025675675675675635,104.39045060594384,63.71378408117564,7302.0,6513.0,6016.0,7535.821587570378,5490.178412429622,0
2021-04-30,7330,7730,7220,7340,17761219,0.018030513176144236,0.018030513176144236,92.57623605230432,65.63584534521607,7370.0,6575.5,6060.833333333333,7639.2382196762455,5511.7617803237545,1
2021-05-03,7350,7600,6850,7020,12069658,-0.043596730245231585,-0.043596730245231585,57.75900002270379,57.55429645354901,7288.0,6616.0,6100.5,7682.665833333002,5549.334166666998,0
2021-05-04,7150,7320,7010,7160,10313108,0.019943019943019946,0.019943019943019946,39.57357373160926,59.881634620634586,7226.0,6662.0,6144.25,7739.136945796581,5584.863054203419,1
2021-05-06,7280,7760,7240,7700,17992669,0.07541899441340782,0.07541899441340782,58.20282301670318,67.32391712652813,7286.0,6739.0,6196.416666666667,7879.875102717202,5598.124897282798,1
2021-05-07,7810,7840,7320,7440,20286260,-0.03376623376623378,-0.03376623376623378,47.74343464225876,61.41631859035347,7332.0,6801.5,6242.75,7952.139387471151,5650.860612528849,0
2021-05-10,7460,7520,7170,7390,10111009,-0.006720430107526876,-0.006720430107526876,32.89304260193967,60.320130176881335,7342.0,6869.0,6287.083333333333,7991.067734140852,5746.932265859148,0
