Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,106500,106500,105500,106000,45168,-0.0046948356807511304,-0.0046948356807511304,708.8673928004539,66.97206945020785,106300.0,100525.0,101075.0,113034.01674793025,88015.98325206975,0
2021-04-02,106000,106000,103500,104500,10755,-0.014150943396226467,-0.014150943396226467,435.6417253893537,59.96160960294989,106000.0,100975.0,101125.0,113375.62498424976,88574.37501575024,0
2021-04-05,104000,105000,102500,104500,19907,0.0,0.0,224.19988649332163,59.96160960294989,105600.0,101550.0,101108.33333333333,113475.51885663679,89624.48114336321,0
2021-04-06,105500,106000,103000,105000,9444,0.004784688995215225,0.004784688995215225,93.96491996141435,61.51882684238972,105300.0,102225.0,100966.66666666667,113296.38202755191,91153.61797244809,1
2021-04-07,102000,103000,100000,102500,31736,-0.023809523809523836,-0.023809523809523836,-170.21117657527202,50.86620281391326,104500.0,102795.0,100816.66666666667,112620.37022203233,92969.62977796767,0
2021-04-08,102500,106000,102000,103500,16907,0.009756097560975618,0.009756097560975618,-280.740661953874,54.2767957411205,104000.0,103380.0,100733.33333333333,111811.51231986289,94948.48768013711,1
2021-04-09,104000,105000,103000,103000,13569,-0.004830917874396157,-0.004830917874396157,-384.2599207931489,52.32118758876429,103700.0,103950.0,100675.0,110435.8307100941,97464.1692899059,0
2021-04-12,104500,104500,103000,103000,7870,0.0,0.0,-445.1740168462975,52.32118758876429,103400.0,104360.0,100575.0,109342.93086446117,99377.06913553883,0
2021-04-13,103000,104000,103000,104000,5762,0.009708737864077666,0.009708737864077666,-411.35849924187414,55.99853090319448,103200.0,104825.0,100500.0,107133.13777751672,102516.86222248328,1
2021-04-14,103500,104000,103000,103000,8438,-0.009615384615384581,-0.009615384615384581,-446.6387187310827,51.703983183633774,103300.0,104750.0,100466.66666666667,107189.26218353005,102310.73781646995,0
2021-04-15,103000,104000,102500,103000,7126,0.0,0.0,-458.54171641691914,51.703983183633774,103200.0,104650.0,100491.66666666667,107201.47016443458,102098.52983556542,0
2021-04-16,103000,104000,102500,102500,6897,-0.004854368932038833,-0.004854368932038833,-486.0320721446419,49.50253916385238,103100.0,104525.0,100500.0,107235.62723368591,101814.37276631409,0
2021-04-19,103000,104000,102500,102500,8827,0.0,0.0,-488.83459472737263,49.50253916385238,103000.0,104400.0,100458.33333333333,107239.01391331563,101560.98608668437,0
2021-04-20,103000,104000,102500,103000,8594,0.004878048780487809,0.004878048780487809,-442.99336408160946,51.87877575410592,102800.0,104300.0,100416.66666666667,107187.90581563869,101412.09418436131,1
2021-04-21,103000,103500,102500,102500,17682,-0.004854368932038833,-0.004854368932038833,-431.874236690399,49.376555080113235,102700.0,104150.0,100375.0,107084.2801502242,101215.7198497758,0
2021-04-22,102500,103000,101500,102000,8524,-0.004878048780487809,-0.004878048780487809,-442.1168052269569,46.9384665583082,102500.0,104000.0,100308.33333333333,107049.59013639533,100950.40986360467,0
2021-04-23,101500,102500,101500,102500,5791,0.004901960784313708,0.004901960784313708,-400.386201110686,49.61758753989605,102500.0,103825.0,100258.33333333333,106796.11090334906,100853.88909665094,1
2021-04-26,102500,103000,102000,102500,8878,0.0,0.0,-359.2636772543332,49.61758753989605,102500.0,103625.0,100258.33333333333,106379.5417041678,100870.4582958322,0
2021-04-27,102500,102500,100500,101500,12243,-0.009756097560975618,-0.009756097560975618,-383.6768262023218,44.41583462982646,102200.0,103375.0,100283.33333333333,105941.61255354204,100808.38744645796,0
2021-04-28,101500,101500,100500,100500,8973,-0.009852216748768461,-0.009852216748768461,-447.0122105217047,39.9099511786545,101800.0,103075.0,100343.33333333333,105509.64576478789,100640.35423521211,0
2021-04-29,100500,102000,100000,102000,8836,0.014925373134328401,0.014925373134328401,-370.86016162688867,48.37079212597432,101800.0,102875.0,100368.33333333333,104945.62792408477,100804.37207591523,1
2021-04-30,102000,102000,100000,100500,14363,-0.014705882352941124,-0.014705882352941124,-401.8798342797344,42.00189107275081,101400.0,102675.0,100360.0,104849.28149051579,100500.71850948421,0
2021-05-03,100500,102500,100000,102500,5777,0.01990049751243772,0.01990049751243772,-274.1687744432914,51.22365456755338,101400.0,102575.0,100385.0,104581.86322403883,100568.13677596117,1
2021-05-04,102500,103500,101500,103000,10962,0.004878048780487809,0.004878048780487809,-148.76480102789816,53.225957328489876,101700.0,102475.0,100426.66666666667,104162.45370306847,100787.54629693153,1
2021-05-06,103500,105000,103000,105000,18155,0.01941747572815533,0.01941747572815533,64.68481260786861,60.25433280771223,102600.0,102600.0,100510.0,104614.94416796087,100585.05583203913,1
2021-05-07,105500,105500,104000,105000,12071,0.0,0.0,194.34758894306077,60.254332807712224,103200.0,102675.0,100551.66666666667,104917.20873247777,100432.79126752223,0
2021-05-10,105500,105500,104000,105000,9375,0.0,0.0,264.2543044182746,60.254332807712224,104100.0,102775.0,100601.66666666667,105234.16652547149,100315.83347452851,0
2021-05-11,105000,105000,103500,105000,7940,0.0,0.0,292.44016406023275,60.254332807712224,104600.0,102875.0,100685.0,105518.38797757718,100231.61202242282,0
2021-05-12,105000,105000,102500,103500,12942,-0.014285714285714235,-0.014285714285714235,196.605624180883,52.323055389045976,104700.0,102850.0,100743.33333333333,105459.59767013989,100240.40232986011,0
