Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,117500,123000,116000,116500,128103,0.0,0.0,1474.3011791083318,73.55665008576813,115900.0,106350.0,103353.33333333333,118161.43513718805,94538.56486281195,0
2021-04-02,116500,118500,113000,118500,79065,0.01716738197424883,0.01716738197424883,1440.1483711216524,75.94962452064314,116800.0,107225.0,103553.33333333333,119883.89015672386,94566.10984327614,1
2021-04-05,117500,119000,115500,118000,61357,-0.00421940928270037,-0.00421940928270037,1287.3053998972368,74.14320899244382,117200.0,108075.0,103695.0,121221.38733645105,94928.61266354895,0
2021-04-06,118000,121000,117000,117000,48290,-0.008474576271186418,-0.008474576271186418,1033.2391535682873,70.53009887043338,117300.0,108750.0,103845.0,122268.5058345958,95231.4941654042,0
2021-04-07,117000,119000,115000,117000,59253,0.0,0.0,790.5093946655425,70.53009887043338,117400.0,109525.0,104003.33333333333,123069.27923516053,95980.72076483947,0
2021-04-08,119500,126000,119500,125500,255257,0.07264957264957261,0.07264957264957261,1108.2578331469813,80.0932121492128,119200.0,110675.0,104386.66666666667,125484.70965279201,95865.29034720799,1
2021-04-09,125500,129000,124000,125500,90960,0.0,0.0,1215.6701630527587,80.0932121492128,120600.0,111875.0,104770.0,127389.10648410024,96360.89351589976,0
2021-04-12,126000,126500,121500,124000,71874,-0.01195219123505975,-0.01195219123505975,1087.119909233883,75.10514802557945,121800.0,113025.0,105103.33333333333,128553.92462471247,97496.07537528753,0
2021-04-13,123500,123500,119000,120500,97405,-0.028225806451612878,-0.028225806451612878,687.2986022054592,64.94209726173872,122500.0,113925.0,105378.33333333333,128989.11298417537,98860.88701582463,0
2021-04-14,120000,122000,118500,121000,58983,0.004149377593360981,0.004149377593360981,392.1133107367714,65.65705208926995,123300.0,114850.0,105678.33333333333,129251.73600646816,100448.26399353184,1
2021-04-15,119500,120500,117500,117500,76139,-0.02892561983471076,-0.02892561983471076,-78.17841338840663,56.908214503189676,121700.0,115575.0,105961.66666666667,128940.15993170308,102209.84006829692,0
2021-04-16,118500,120000,117000,117500,53492,0.0,0.0,-410.02998004865367,56.908214503189676,120100.0,116400.0,106220.0,127982.74578845626,104817.25421154374,0
2021-04-19,118000,120000,117500,119000,51291,0.012765957446808418,0.012765957446808418,-541.0526935668204,59.584945481694945,119100.0,117150.0,106520.0,127274.7222184118,107025.2777815882,1
2021-04-20,118500,121500,118000,121500,55071,0.021008403361344463,0.021008403361344463,-474.28051313956166,63.63891519988025,119300.0,117850.0,106880.0,127107.9695398074,108592.0304601926,1
2021-04-21,124500,126000,119000,119500,146238,-0.016460905349794275,-0.016460905349794275,-573.1331390979385,58.57673970080017,119000.0,118400.0,107208.33333333333,126619.4890352139,110180.5109647861,0
2021-04-22,121500,122000,118000,118000,66377,-0.012552301255230103,-0.012552301255230103,-737.3990487484084,55.04049195753795,119100.0,118975.0,107500.0,125135.15421884888,112814.84578115112,0
2021-04-23,118000,119000,116000,116500,45722,-0.012711864406779627,-0.012711864406779627,-932.3729653381833,51.68056799572166,118900.0,119100.0,107788.33333333333,124944.65567848113,113255.34432151887,0
2021-04-26,117500,117500,114000,114500,64153,-0.01716738197424894,-0.01716738197424894,-1166.1569761989713,47.51564310699229,118000.0,119025.0,108046.66666666667,125062.17649236807,112987.82350763193,0
2021-04-27,115000,116500,112000,116500,65282,0.017467248908296984,0.017467248908296984,-1154.0824952045496,51.70694779662507,117000.0,119025.0,108370.0,125062.17649236807,112987.82350763193,1
2021-04-28,115500,116000,111500,113000,87627,-0.030042918454935674,-0.030042918454935674,-1336.9084023753285,44.94294724578684,115700.0,118850.0,108673.33333333333,125354.6137471799,112345.3862528201,0
2021-04-29,112000,114000,111000,111500,59102,-0.013274336283185861,-0.013274336283185861,-1501.627648527598,42.383982007486665,114400.0,118600.0,108931.66666666667,125794.4422994421,111405.5577005579,0
2021-04-30,110500,113000,109500,112000,72605,0.004484304932735439,0.004484304932735439,-1515.3052944744782,43.538025893663445,113500.0,118275.0,109180.0,126024.03219763614,110525.96780236386,1
2021-05-03,113000,113000,108000,108500,59564,-0.03125,-0.03125,-1685.4129547627008,37.82643353309127,112300.0,117800.0,109363.33333333333,126645.33775499849,108954.66224500151,0
2021-05-04,108500,110000,106000,108500,40298,0.0,0.0,-1717.4473724354807,37.82643353309127,110700.0,117375.0,109565.0,127105.75022801437,107644.24977198563,0
2021-05-06,110000,111000,108000,110500,55483,0.018433179723502224,0.018433179723502224,-1529.7111218503483,42.79945101312132,110200.0,117050.0,109698.33333333333,127232.82868362233,106867.17131637767,1
2021-05-07,111000,113500,110000,112500,52257,0.018099547511312153,0.018099547511312153,-1210.5817974662114,47.33587618606738,110400.0,116400.0,109781.66666666667,125984.36226360426,106815.63773639574,1
2021-05-10,113500,115000,113000,113500,82615,0.008888888888888946,0.008888888888888946,-886.8856294778336,49.49273679447104,110700.0,115800.0,109890.0,124491.37503505638,107108.62496494362,1
2021-05-11,114500,114500,109500,112000,59943,-0.013215859030836996,-0.013215859030836996,-734.8185081973521,46.42157279225755,111400.0,115200.0,109948.33333333333,123171.19815335193,107228.80184664807,0
2021-05-12,112000,112500,107000,108000,78702,-0.0357142857142857,-0.0357142857142857,-856.1661176882121,39.4003187075319,111300.0,114575.0,109940.0,122743.6902254891,106406.3097745109,0
