Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,76100,78000,75400,75800,183179,0.002645502645502562,0.002645502645502562,276.9421568057346,58.74753102866036,75640.0,71770.0,69403.33333333333,82014.62786049352,61525.37213950648,1
2021-04-02,76100,81600,76100,79100,451608,0.04353562005277034,0.04353562005277034,379.60003452338697,64.36015624590738,76320.0,72475.0,69650.0,82699.65158330591,62250.34841669409,1
2021-04-05,79100,86800,77800,85500,511910,0.08091024020227566,0.08091024020227566,813.4708770157149,72.24662544143067,78800.0,73625.0,70006.66666666667,84268.47217781866,62981.527822181335,1
2021-04-06,86100,87500,84200,85300,210949,-0.002339181286549752,-0.002339181286549752,1009.1447167928322,71.71258163558741,80260.0,74825.0,70361.66666666667,85042.80309068442,64607.19690931558,0
2021-04-07,84900,85300,83300,84900,142702,-0.004689331770222793,-0.004689331770222793,1030.2001661919212,70.58872902915249,82120.0,75945.0,70698.33333333333,85395.17989246766,66494.82010753234,0
2021-04-08,84500,92000,84500,90000,386539,0.060070671378091856,0.060070671378091856,1289.3535464028018,75.79684701155125,84960.0,77015.0,71085.0,87666.06098001509,66363.93901998491,1
2021-04-09,89500,92200,87800,90500,272331,0.005555555555555536,0.005555555555555536,1387.656897398846,76.24104728985972,87240.0,78100.0,71510.0,89572.05299848288,66627.94700151712,1
2021-04-12,90100,90500,87200,88800,196157,-0.018784530386740328,-0.018784530386740328,1236.4277310059979,71.44024919402446,87900.0,79040.0,71913.33333333333,90780.93693024539,67299.06306975461,0
2021-04-13,88300,92500,87400,89600,242529,0.009009009009008917,0.009009009009008917,1093.4501904002145,72.32345558296102,88760.0,79830.0,72318.33333333333,92165.49350451777,67494.50649548223,1
2021-04-14,89700,92300,89000,89600,211794,0.0,0.0,909.5934026946579,72.323455582961,89700.0,80605.0,72731.66666666667,93344.1483231808,67865.8516768192,0
2021-04-15,89800,97900,89800,97100,490219,0.0837053571428572,0.0837053571428572,1186.3117027659628,79.28773305645392,91120.0,81825.0,73251.66666666667,95905.18110678978,67744.81889321022,1
2021-04-16,97700,100900,97400,99000,306668,0.019567456230690006,0.019567456230690006,1377.120752772842,80.61828956308197,92820.0,83095.0,73780.0,98498.43792794323,67691.56207205677,1
2021-04-19,99800,101500,98100,100000,214986,0.010101010101010166,0.010101010101010166,1443.5063892853686,81.29921053699925,95060.0,84290.0,74196.66666666667,100991.00595772601,67588.99404227399,1
2021-04-20,100000,100400,99000,100100,121568,0.0009999999999998899,0.0009999999999998899,1367.6998554502516,81.36969756495364,97160.0,85490.0,74598.33333333333,103089.4204450033,67890.5795549967,1
