Date,Open,High,Low,Close,Volume,Change,Return,MACD,RSI,MA5,MA20,MA60,BB_Upper,BB_Lower,UpDown
2021-04-01,22816,23274,22575,23130,487896,0.01804577464788726,0.01804577464788726,219.1913861910064,56.648311944688686,22532.2,21781.7,23359.6,23767.205185085157,19796.194814914845,1
2021-04-02,23370,23731,23033,23515,612024,0.01664504971897962,0.01664504971897962,252.52613313057466,59.306715532214184,22792.4,21902.15,23330.683333333334,23998.27731245028,19806.022687549725,1
2021-04-05,23514,23828,23154,23154,408672,-0.015351903040612402,-0.015351903040612402,238.6819332075662,55.84845865848334,23043.0,22037.1,23303.783333333333,24090.263597962916,19983.93640203708,0
2021-04-06,23419,23708,23034,23034,471450,-0.005182689816014552,-0.005182689816014552,210.82867180948787,54.706498320503314,23110.6,22188.9,23276.483333333334,24057.183693661118,20320.616306338885,0
2021-04-07,23128,23442,22792,23009,372444,-0.0010853520882174728,-0.0010853520882174728,181.23707294064667,54.45667418739234,23168.4,22316.6,23240.733333333334,24036.624930051894,20596.575069948103,0
2021-04-08,22815,22984,22551,22744,465196,-0.011517232387326715,-0.011517232387326715,136.37784306686086,51.75851346894265,23091.2,22423.8,23191.733333333334,23959.9345774378,20887.665422562197,0
2021-04-09,22622,22887,22310,22455,494414,-0.012706647907140378,-0.012706647907140378,82.458296196317,48.91227542041301,22879.2,22498.5,23133.9,23880.39254285564,21116.60745714436,0
2021-04-12,22913,23996,22913,23853,1772942,0.062257849031396084,0.062257849031396084,133.1589296282648,60.28853201161608,23019.0,22653.9,23103.383333333335,23904.904380487944,21402.89561951206,1
2021-04-13,23852,23876,22551,22672,1625032,-0.04951159183331233,-0.04951159183331233,81.88640313912127,50.13239246263788,22946.6,22655.1,23059.616666666665,23906.125483353564,21404.074516646433,0
2021-04-14,22696,23081,22358,22672,570154,0.0,0.0,44.56889141422069,50.13239246263788,22879.2,22627.4,23023.066666666666,23850.86530804924,21403.934691950762,0
2021-04-15,22671,22887,22406,22503,380688,-0.007454128440366969,-0.007454128440366969,7.067591514791687,48.768929494781105,22831.0,22592.45,22999.766666666666,23787.87602866092,21397.02397133908,0
2021-04-16,22648,22889,22503,22793,303504,0.012887170599475528,0.012887170599475528,0.6931760784416383,51.22057443842547,22898.6,22608.15,22970.05,23805.450008352138,21410.849991647865,1
2021-04-19,22936,22960,22575,22648,441178,-0.006361602246303666,-0.006361602246303666,-13.599617463199877,49.93388369528009,22657.6,22645.5,22931.5,23797.99841648482,21493.00158351518,0
2021-04-20,22648,22648,22190,22263,721390,-0.016999293535853055,-0.016999293535853055,-47.391488178704336,46.58749415818302,22575.8,22688.9,22876.083333333332,23707.344676946188,21670.455323053815,0
2021-04-21,22141,22334,21756,21805,454532,-0.02057224992139428,-0.02057224992139428,-96.18425167637926,42.90393455371992,22402.4,22697.35,22806.616666666665,23682.986905761965,21711.71309423803,0
2021-04-22,21973,23564,21877,23323,2041820,0.069617060307269,0.069617060307269,-25.498559796216597,55.47096372623833,22566.4,22755.2,22743.166666666668,23745.10637941172,21765.29362058828,1
2021-04-23,23467,24238,23106,23805,2154124,0.02066629507353257,0.02066629507353257,50.31146912202399,58.58780470509713,22768.8,22834.75,22703.016666666666,23891.36646305555,21778.13353694445,1
2021-04-26,23997,25201,23876,24961,2276750,0.04856122663306017,0.04856122663306017,168.25768163281214,64.92830570460065,23231.4,22987.75,22698.2,24311.61266281666,21663.88733718334,1
2021-04-27,25057,25202,24142,24335,928316,-0.025079123432554806,-0.025079123432554806,192.32453213464268,59.60615000334825,23645.8,23069.7,22705.433333333334,24509.054730426113,21630.34526957389,0
2021-04-28,24382,24864,23660,23925,811086,-0.016848161084857205,-0.016848161084857205,169.63426207546917,56.348318112655186,24069.8,23129.95,22726.716666666667,24606.11780550181,21653.78219449819,0
2021-04-29,24238,24960,24021,24672,1268158,0.03122257053291544,0.03122257053291544,192.27740237529486,60.57615308685934,24339.6,23207.05,22752.016666666666,24829.047962390836,21585.052037609163,1
2021-04-30,24670,25008,23659,24286,737310,-0.015645265888456605,-0.015645265888456605,169.40400300435238,57.47822196996917,24435.8,23245.6,22767.666666666668,24930.47179334216,21560.728206657837,0
2021-05-03,24020,24478,23370,23515,544116,-0.031746685333113756,-0.031746685333113756,94.24487320166213,51.781837646854115,24146.6,23263.65,22766.45,24951.941121222888,21575.358878777115,0
2021-05-04,23491,23829,22817,23540,579518,0.00106315118009781,0.00106315118009781,40.83808355515225,51.94813163542382,23987.6,23288.95,22770.866666666665,24977.88238171338,21600.01761828662,1
2021-05-06,23612,24335,23612,23829,394348,0.012276975361087406,0.012276975361087406,20.619696464239496,53.926292359193205,23968.4,23329.95,22760.033333333333,25029.486698632907,21630.413301367094,1
2021-05-07,23731,23972,23659,23780,262868,-0.002056317931931728,-0.002056317931931728,0.645671560026642,53.52396230763473,23790.0,23381.75,22735.533333333333,25069.806145393286,21693.693854606714,0
2021-05-10,24817,25298,24672,25106,1768910,0.055761143818334746,0.055761143818334746,69.61969566454172,61.82438298319106,23954.0,23514.3,22755.616666666665,25303.738470582335,21724.861529417663,1
2021-05-11,24816,25731,24623,25154,1445880,0.0019118935712578722,0.0019118935712578722,109.0112496319212,62.08833577158488,24281.8,23579.35,22770.083333333332,25502.873774222728,21655.82622577727,1
2021-05-12,25346,26213,25202,25732,1461044,0.022978452731176047,0.022978452731176047,161.37101720934555,65.20788803394446,24720.2,23732.35,22794.183333333334,25822.429259262684,21642.270740737313,1
2021-05-13,25152,25490,24069,24527,1053538,-0.04682885123581537,-0.04682885123581537,104.9595325275589,55.039783046369145,24859.8,23825.1,22805.416666666668,25883.12000962091,21767.079990379087,0
2021-05-14,24816,25346,24286,25250,570810,0.02947771843274749,0.02947771843274749,106.13074925630087,59.155189261320494,25153.8,23962.45,22826.7,26015.853172784162,21909.04682721584,1
2021-05-17,25539,26406,25491,26166,1118768,0.03627722772277231,0.03627722772277231,155.40720622180515,63.689937372598095,25365.8,24131.1,22869.666666666668,26322.05804615243,21940.141953847567,1
2021-05-18,26117,26888,24623,25202,2006508,-0.03684170297332412,-0.03684170297332412,111.92053007889001,56.57156478764389,25375.4,24258.8,22894.966666666667,26385.89102767138,22131.70897232862,0
2021-05-20,25201,25731,24864,25154,457560,-0.0019046107451790029,-0.0019046107451790029,70.77325317561417,56.234539935170176,25259.8,24403.35,22928.7,26353.880827749228,22452.81917225077,0
2021-05-21,25490,25683,24768,24961,442400,-0.0076727359465691425,-0.0076727359465691425,23.8344068284689,54.82035459473683,25346.6,24561.15,22955.2,26115.780924045997,23006.519075954006,0
2021-05-24,25057,25298,24142,24335,602314,-0.025079123432554806,-0.025079123432554806,-51.96124302387966,50.39364844376021,25163.6,24611.75,22992.95,26064.423931066467,23159.076068933533,0
2021-05-25,24574,24622,24141,24286,372994,-0.002013560715019569,-0.002013560715019569,-104.92922284615508,50.05294624984015,24787.6,24635.8,23036.716666666667,26049.66047402143,23221.939525978567,0
2021-05-26,24286,24623,23949,24046,506890,-0.009882236679568446,-0.009882236679568446,-152.7626111766226,48.32944814792376,24556.4,24590.05,23074.866666666665,26018.00342711172,23162.09657288828,0
2021-05-27,24238,24816,23852,24479,510862,0.01800715295683264,0.01800715295683264,-151.5727671355246,51.56956638525182,24421.4,24597.25,23109.0,26021.433959325517,23173.066040674483,1
2021-05-28,24479,24960,24479,24672,284184,0.007884308999550615,0.007884308999550615,-134.68925869244362,52.984743081478626,24363.6,24634.6,23150.766666666666,26025.086734924178,23244.11326507582,1
2021-05-31,24671,24816,24142,24335,429586,-0.013659208819714608,-0.013659208819714608,-142.37070460822974,50.224994709196146,24363.6,24617.75,23202.166666666668,26014.170405895053,23221.329594104947,0
2021-06-01,24478,24575,24093,24190,377560,-0.005958495993425128,-0.005958495993425128,-152.46883083858324,49.04139658776855,24344.4,24612.95,23253.566666666666,26014.549154537453,23211.350845462548,0
2021-06-02,24383,24383,23997,24070,335000,-0.004960727573377399,-0.004960727573377399,-161.60937610567947,48.03256636107339,24349.2,24640.7,23313.816666666666,25974.58906585222,23306.810934147783,0
2021-06-03,24069,24333,24069,24238,280668,0.006979642708766054,0.006979642708766054,-150.9227380516469,49.595837740182304,24301.0,24675.6,23384.483333333334,25926.40508473547,23424.794915264527,1
2021-06-04,24189,24237,23852,23901,298326,-0.013903787441208015,-0.013903787441208015,-160.2529536132971,46.56954848181009,24146.8,24679.2,23441.916666666668,25920.61702904387,23437.78297095613,0
2021-06-07,24093,24141,23491,23540,564294,-0.015103970545165435,-0.015103970545165435,-182.80661494766838,43.50697789356168,23987.8,24667.2,23490.916666666668,25947.193531233697,23387.206468766304,0
2021-06-08,23636,23636,22769,22769,870616,-0.032752761257434204,-0.032752761257434204,-238.21476462815434,37.790842422764506,23703.6,24550.35,23521.05,26055.637783116603,23045.062216883394,0
2021-06-09,22984,23274,22623,22841,532462,0.0031621942114277157,0.0031621942114277157,-256.9696541101371,38.6021021174118,23457.8,24434.7,23555.983333333334,26085.120685764723,22784.27931423528,1
2021-06-10,22695,23539,22502,23515,405394,0.02950834026531246,0.02950834026531246,-212.76390845414176,45.73603743560338,23313.2,24323.85,23570.433333333334,25907.298676149654,22740.401323850343,1
2021-06-11,23755,24430,23611,24286,912462,0.03278758239421653,0.03278758239421653,-124.73774930228628,52.53069676774548,23390.2,24311.8,23588.1,25892.547114500005,22731.052885499994,1
2021-06-14,24479,24527,23997,24094,376674,-0.007905789343654823,-0.007905789343654823,-75.0323883266795,50.82399926600854,23501.0,24254.0,23602.966666666667,25776.77431026403,22731.22568973597,0
2021-06-15,24430,24526,23587,23901,490050,-0.008010293019008907,-0.008010293019008907,-51.844202080599146,49.097203745501375,23727.4,24140.75,23626.666666666668,25390.274849692913,22891.225150307087,0
2021-06-16,23851,23851,23346,23491,481780,-0.01715409397096357,-0.01715409397096357,-60.22229989651201,45.55616661224877,23857.4,24055.2,23653.166666666668,25234.70067401426,22875.69932598574,0
2021-06-17,23275,24190,23226,24094,534078,0.025669405304159065,0.025669405304159065,-23.161787039798483,51.1378411872827,23973.2,24002.2,23698.15,25069.352585153636,22935.047414846365,1
2021-06-18,24238,25490,24093,25250,1474874,0.047978749896239625,0.047978749896239625,75.77995185977933,59.67341086637945,24166.0,24016.65,23758.383333333335,25141.603736826582,22891.69626317342,1
2021-06-21,25057,26985,24913,26407,3369616,0.04582178217821786,0.04582178217821786,208.21205478269613,66.0632548746224,24628.6,24120.25,23829.066666666666,25651.61355905451,22588.88644094549,1
2021-06-22,26309,26406,25491,25973,1060052,-0.01643503616465336,-0.01643503616465336,252.68449886665323,62.08901058584556,25043.0,24204.6,23891.716666666667,25935.974182549828,22473.22581745017,0
2021-06-23,25925,26696,25395,26359,1139286,0.014861587032687806,0.014861587032687806,291.4487790907564,64.15444837356665,25616.6,24320.25,23966.016666666666,26286.824165903767,22353.675834096233,1
2021-06-24,26502,26599,25202,25443,839694,-0.03475093895823056,-0.03475093895823056,240.8483361565518,56.31375708303256,25886.4,24368.45,24011.8,26394.577880959172,22342.32211904083,0
2021-06-25,25538,25827,24864,25298,520886,-0.005699013481114679,-0.005699013481114679,185.5428515876989,55.164429258258714,25896.0,24399.75,24054.766666666666,26462.67499863667,22336.82500136333,0
2021-06-28,25347,25395,24431,24576,794370,-0.02853980551822277,-0.02853980551822277,92.94186125011151,49.722687923967676,25529.8,24411.8,24078.866666666665,26475.88649043593,22347.71350956407,0
2021-06-29,24575,25056,24334,24479,449428,-0.00394694010416663,-0.00394694010416663,21.49327394411756,49.02301033821446,25231.0,24426.25,24094.933333333334,26487.968203344026,22364.531796655974,0
2021-06-30,24624,25057,24624,24865,485822,0.01576861799910123,0.01576861799910123,-2.1769998170696,51.92227288656303,24932.2,24466.0,24123.45,26529.365987894565,22402.634012105435,1
2021-07-01,25056,25297,24671,24672,421340,-0.007761914337422127,-0.007761914337422127,-31.605382931775438,50.37943139703959,24778.0,24487.7,24150.75,26550.146615066707,22425.253384933294,0
2021-07-02,24624,25009,24431,24576,376712,-0.0038910505836575737,-0.0038910505836575737,-56.83780451405346,49.59009673077889,24633.6,24521.45,24176.866666666665,26566.40618290469,22476.49381709531,0
2021-07-05,24190,24431,23901,24094,818084,-0.01961263020833337,-0.01961263020833337,-102.6216268431694,45.71710043523426,24537.2,24549.15,24199.366666666665,26554.80961967631,22543.490380323692,0
2021-07-06,24093,24623,23997,24479,471994,0.015979081929111016,0.015979081929111016,-103.32279541722852,49.13433822174927,24537.2,24634.65,24233.1,26467.851273728593,22801.44872627141,1
2021-07-07,24526,24575,24021,24142,547026,-0.013766902242738688,-0.013766902242738688,-121.57113332402048,46.381918115024746,24392.6,24699.7,24237.916666666668,26357.652242979315,23041.747757020687,0
2021-07-08,24286,24575,23973,24479,656250,0.013959075470135085,0.013959075470135085,-106.57089837912855,49.43252047163018,24354.0,24747.9,24268.033333333333,26319.0624868231,23176.737513176904,1
